OBJECTID,GEO.id,acs_mi
321,1400000US51059432701,136667
322,1400000US51059432800,106731
323,1400000US51059440100,146781
324,1400000US51059440201,72713
325,1400000US51059440202,97803
326,1400000US51059440300,146250
327,1400000US51059440501,120485
328,1400000US51059440502,123889
329,1400000US51059440701,114643
330,1400000US51059440702,143438
331,1400000US51059440800,136538
332,1400000US51059450100,85954
333,1400000US51059450300,77331
334,1400000US51059450400,118850
335,1400000US51059450601,132237
336,1400000US51059450602,62207
337,1400000US51059450701,111287
338,1400000US51059450800,101216
339,1400000US51059450900,122083
340,1400000US51059451000,101797
341,1400000US51059451100,138227
342,1400000US51059451200,190781
343,1400000US51059451400,39538
344,1400000US51059451501,67832
345,1400000US51059451502,70372
346,1400000US51059451601,61752
347,1400000US51059451602,60156
348,1400000US51059451800,94714
349,1400000US51059452000,92736
350,1400000US51059452101,88250
351,1400000US51059452200,65255
352,1400000US51059452301,55355
353,1400000US51059452302,60417
354,1400000US51059452400,82455
355,1400000US51059452501,88109
356,1400000US51059452600,88698
357,1400000US51059452700,59318
358,1400000US51059452801,83115
359,1400000US51059460100,162344
360,1400000US51059460400,130676
361,1400000US51059460501,166250
362,1400000US51059460502,170842
363,1400000US51059460701,94550
364,1400000US51059460702,115116
365,1400000US51059460800,104477
366,1400000US51059460900,150833
367,1400000US51059461100,147447
368,1400000US51059461201,208221
369,1400000US51059461202,115950
370,1400000US51059461500,150175
371,1400000US51059461602,103887
372,1400000US51059461700,101398
373,1400000US51059461801,95573
374,1400000US51059461802,91383
375,1400000US51059461902,52841
376,1400000US51059470100,214091
377,1400000US51059470300,228021
378,1400000US51059470400,187216
379,1400000US51059470500,132213
380,1400000US51059470700,151685
381,1400000US51059470800,134583
382,1400000US51059470900,132536
383,1400000US51059471100,94928
384,1400000US51059471201,76509
385,1400000US51059471202,95341
386,1400000US51059471301,94135
387,1400000US51059471304,190929
388,1400000US51059471401,89531
389,1400000US51059471402,69323
390,1400000US51059480100,184886
391,1400000US51059480201,210625
392,1400000US51059480203,102847
393,1400000US51059480300,232500
394,1400000US51059480401,183661
395,1400000US51059480402,189135
396,1400000US51059480502,128942
397,1400000US51059480503,122241
398,1400000US51059480504,141600
399,1400000US51059480505,96359
400,1400000US51059480801,89182
401,1400000US51059480901,95504
402,1400000US51059480902,77426
403,1400000US51059480903,87661
404,1400000US51059481101,84654
405,1400000US51059481102,100729
406,1400000US51059481103,80564
407,1400000US51059481105,175938
408,1400000US51059481106,163542
409,1400000US51059481201,158355
410,1400000US51059481202,67456
411,1400000US51059481400,111161
412,1400000US51059481500,168194
413,1400000US51059481600,190875
414,1400000US51059481702,88407
415,1400000US51059481900,102667
416,1400000US51059482001,178796
417,1400000US51059482100,75590
418,1400000US51059482201,61716
419,1400000US51059482202,70143
420,1400000US51059482203,120833
421,1400000US51059482302,64892
422,1400000US51059482303,101639
423,1400000US51059482400,172083
424,1400000US51059482501,100472
425,1400000US51059482503,165250
426,1400000US51059482504,170134
427,1400000US51059482601,134150
428,1400000US51059482602,152154
429,1400000US51059490101,121250
430,1400000US51059490103,107411
431,1400000US51059490502,152809
432,1400000US51059491000,194167
433,1400000US51059491101,163828
434,1400000US51059491102,118611
435,1400000US51059491201,77500
436,1400000US51059491301,120547
437,1400000US51059491302,92708
438,1400000US51059491303,60737
439,1400000US51059491402,94884
440,1400000US51059491403,174770
441,1400000US51059491404,117321
442,1400000US51059491405,148984
443,1400000US51059491502,170283
444,1400000US51059491601,66339
445,1400000US51059491602,114118
