GEO.id,dem_acs,emp_acs,edu_acs,hsv_acs,ten_acs,pov_acs,ssh_acs
1400000US11001007601,-5.696370684,-6.800491165,-5.85682178,4.902969798,0.460034861,-4.73529268,-2.543560729
1400000US11001007603,-5.543295033,-6.589133475,-7.745596291,4.393384801,-2.316732219,-2.92495709,-1.85214935
1400000US11001007604,-5.579742767,-5.505809602,-7.055644888,1.165561695,-1.639487348,-4.869512443,-3.891467163
1400000US11001007605,-5.438524859,-5.580673603,-7.187648897,1.282354989,-4.274909765,-6.761256466,-3.017239409
1400000US11001007703,-5.494015038,-8.314729823,-6.335269448,4.001380041,-5.54884415,-8.48159943,-3.145234349
1400000US11001007707,-5.258802488,-5.427263201,-7.033174268,2.733652683,-0.724991218,-3.514004043,-0.727992226
1400000US11001007708,-5.038176532,-4.962930278,-5.738498246,1.558439012,-2.437232292,-6.977036102,-1.435606749
1400000US11001007709,-5.072995155,-3.737554256,-7.404641265,1.81011906,-0.736001623,-2.201665203,-1.719469881
1400000US11001007803,-5.198802907,-6.461403285,-5.824854859,1.978191604,-1.863798719,-5.416958442,-2.122798997
1400000US11001007804,-5.170866369,-5.32949104,-5.739437881,4.201709164,-1.079486728,-7.434661102,-0.785372014
1400000US11001007806,-4.87224903,-4.532699113,-5.858254031,-0.171041077,-1.066824184,-3.890200812,-2.682482618
1400000US11001007807,-4.996171845,-4.438600764,-6.215557758,1.153187599,-1.264006286,-4.941630637,-0.16508126
1400000US11001007808,-4.94611534,-6.589459077,-5.719830672,-1.337346105,-3.301546287,-9.830209821,-1.237926672
1400000US11001007809,-5.108590795,-5.213803575,-5.600506874,-1.396348663,-1.300515024,-7.520522226,-1.247770226
1400000US11001007901,-5.116927706,-5.74025536,-7.438391047,-1.751416496,-2.610657684,-9.505514677,-6.199112749
1400000US11001007903,-5.06781499,-3.238868074,-7.150907516,-1.5375534,0.326541737,-1.970295476,-0.642087811
1400000US11001008001,-4.176884324,-3.040490004,-9.530863406,-1.83625673,0.922494776,-1.544998507,-1.914373501
1400000US11001008002,-4.180750284,-4.584355097,-9.298513492,-2.224165633,0.567041569,-1.196395109,-3.192979448
1400000US11001008100,-3.67736851,-3.664619118,-10.64249167,-1.540452241,0.292676007,-0.812234384,-6.236847793
1400000US11001008200,-3.273088692,-3.307056544,-11.03679604,-0.399038887,-0.359384727,-2.261349532,-2.256748281
1400000US11001008301,-3.60032168,-2.901178592,-10.58170912,-0.306262942,0.78280944,-0.794913272,-4.03429328
1400000US11001008302,-3.38182692,-2.259043306,-10.52898127,1.789818284,0.408928545,0.302668889,-3.475704745
1400000US11001008402,-4.306595885,-5.825706864,-9.635614554,-0.980936182,-1.536561051,-3.164458897,-2.836606699
1400000US11001008410,-4.526714754,-3.275550443,-6.996024119,0.817527981,-0.088683901,-1.978814574,-1.586858196
1400000US11001008701,-4.731226235,-4.002371207,-8.458085963,0.302776588,0.566251823,-0.71363477,-0.3054461
1400000US11001008702,-4.666113643,-4.152461974,-6.703363598,-0.575867974,-0.158734049,-2.428628978,-0.769138872
1400000US11001008802,-5.28853909,-7.17809301,-7.707877314,1.504681568,-1.119620712,-7.564482927,-3.46423041
1400000US11001008803,-3.979316121,-3.070118196,-6.635934548,2.796141344,-0.647501159,-4.822378545,-0.487378717
1400000US11001008804,-5.288534973,-4.856505261,-5.737768133,-0.218127034,-1.740158007,-8.988072773,-3.51418206
1400000US11001008903,-4.955984748,-4.689577169,-5.505353391,1.597169501,-2.623381887,-5.64593304,-1.534165834
1400000US11001008904,-5.308222604,-6.519809514,-6.581435522,-0.052450517,-5.148432047,-5.984463051,-2.650096605
1400000US11001009000,-5.510132123,-3.709907543,-8.248010258,-0.084710263,-0.056684012,-2.987815881,-2.071930528
1400000US11001009102,-5.400043563,-6.461240283,-5.890000659,-0.649539276,-2.172480111,-9.858374235,-0.858769522
1400000US11001009201,-4.105280187,-2.347250832,-7.829081153,1.544792626,-0.489703375,-2.495511931,-0.131118599
1400000US11001009203,-4.576425923,-4.778918685,-7.976998157,0.773187681,-0.2858903,-2.049021638,-0.824806861
1400000US11001009204,-4.969749674,-4.37621462,-6.22111749,0.391438307,-3.422789357,-4.545671719,-3.5955183
1400000US11001009301,-4.993364904,-5.153034157,-8.527696932,1.262949617,1.098724535,-5.287620915,-1.764892619
1400000US11001009302,-4.520743118,-2.826062462,-8.105957002,1.256536264,0.109282945,0.078308828,0.1514377
1400000US11001009400,-5.508195574,-6.802402934,-7.796625431,0.570683585,0.469200358,-1.693834514,-1.775415584
1400000US11001009501,-4.574953199,-7.405277723,-9.569757662,1.996035521,-3.825441191,-5.063304277,-2.234928316
1400000US11001009503,-5.317697762,-4.89214243,-8.98682126,2.962270651,1.42135254,-1.236013371,-1.436554411
1400000US11001009504,-5.015329855,-4.785363392,-7.425665878,0.263656793,-1.453425063,-2.277977888,-1.067565666
1400000US11001009505,-5.270211602,-3.626537755,-8.231686286,-0.318045786,2.635990763,-0.570836073,-0.452222713
1400000US11001009507,-5.107160069,-2.827976786,-7.169647524,3.554043552,0.623333544,-0.025012925,-0.328278721
1400000US11001009508,-5.36780655,-4.519386791,-7.709174609,6.898897897,0.499277871,-1.39172479,-0.703353026
1400000US11001009509,-5.41331817,-4.900983032,-7.023551284,1.039643443,1.618819967,-0.378955827,-1.75507547
1400000US11001009601,-4.596272038,-4.24746801,-5.283216839,-0.293859386,-2.590270351,-10.72166353,-4.865982717
1400000US11001009602,-4.886408338,-5.939605149,-5.83454665,0.004458734,-3.824592219,-9.471581878,-4.12627563
1400000US11001009603,-5.24536605,-5.701816975,-6.961572018,0.783077644,-1.711312678,-3.082262543,-1.943293182
1400000US11001009604,-5.117570277,-3.849763862,-7.127970176,4.954855859,0.606256925,-3.116297516,-0.518467551
1400000US11001009700,-4.788127345,-5.131747319,-6.25718931,-0.72988105,-1.297040252,-6.276494979,-0.529961803
1400000US11001009801,-4.300409823,-4.886219881,-5.171449073,-0.356561106,-1.765193676,-6.597480579,0.210192717
1400000US11001009802,-4.477490554,-2.593817816,-6.484592824,1.373270423,-1.147280945,-7.167653099,0.118269546
1400000US11001009803,-4.773717849,-5.76552377,-5.640205241,4.740972009,-2.726856685,-4.481668318,-1.321840983
1400000US11001009804,-4.758460549,-5.226747408,-6.129724355,0.666309632,-2.337668551,-5.194890167,-1.013330882
1400000US11001009807,-5.424776821,-5.995474892,-6.096109531,-0.310686782,-2.333141892,-2.915410702,-1.703503965
1400000US11001009810,-4.62430091,-3.841598991,-5.232472865,2.360339371,-3.106947637,-6.902865711,-0.825008678
1400000US11001009811,-4.993901154,-6.149540836,-6.599076604,3.4519263,-6.076042087,-11.48008368,-0.796223859
1400000US11001009901,-5.330114807,-3.337982584,-7.899579417,0.996862472,0.846413871,-0.30968275,-0.952558229
1400000US11001009902,-5.358707684,-5.780886936,-6.87178598,-0.306162516,1.404630176,-4.812522579,-0.786319675
1400000US11001009903,-4.889532283,-3.555441642,-6.853824708,0.447690039,-0.355430056,-3.577731717,-0.118798999
1400000US11001009904,-4.673336842,-3.312965083,-5.862462822,1.732325517,-2.9998411,-3.534245133,-0.091163659
1400000US11001009905,-5.003174716,-5.206474102,-6.724967739,2.147320108,-0.541436148,-3.411624924,-0.401048989
1400000US11001009906,-4.830036256,-3.815311799,-6.518513933,-0.214904642,-0.056250722,-1.714197378,-0.064629135
1400000US11001009907,-4.746661319,-4.539218198,-5.611274989,2.079890607,-3.075365487,-8.374860114,-0.45032739
1400000US11001010100,-3.488420783,-2.891796285,-9.700910315,-1.732605286,-1.120570623,-2.08991939,-2.501756401
1400000US11001010200,-4.328217181,-4.043324195,-10.03087209,0.314306001,-1.798970127,-1.614853801,-2.44051266
1400000US11001010300,-4.54787163,-4.271939735,-8.622960114,11.5632775,0.007046115,-0.251627453,-1.906976788
1400000US11001010400,-5.521183772,-8.792011118,-6.572900926,2.336307545,-3.234474611,-9.301168354,-2.03434383
1400000US11001010500,-4.495519107,-5.493826991,-8.778186829,,-3.341133498,-5.080766273,-5.998175598
1400000US11001010600,-4.480914341,-5.352667121,-8.818937431,,0.055457208,-3.699368086,-2.569306922
1400000US11001010700,-3.197470551,-3.188161406,-11.07245029,,-0.687592217,-4.720224074,-0.784882762
1400000US11001010800,-3.677569312,-9.757636545,-13.56985261,,-0.661007281,-11.45675568,-0.599141097
1400000US11001010900,-4.786429022,-5.65161377,-7.005462451,,-4.053579657,-11.02416134,-0.960842557
1400000US11001011000,-4.821833038,-5.72994089,-9.698161966,,0.155042091,-4.273876773,-4.953446145
1400000US11001011100,-5.619824929,-6.937289395,-7.277353406,,1.211504564,-2.381267463,-1.535127608
0,1.10133468,1.078401975,1.887681751,,1.605554681,0.889292811,0.586414356
0,1.321790141,1.078401975,1.887681751,,2.152331745,0.889292811,0.586414356
0,1.144576031,1.078401975,1.887681751,,2.405864247,0.889292811,0.586414356
0,1.371079423,1.078401975,1.887681751,,1.897050079,0.889292811,0.586414356
0,0.80701729,1.078401975,1.887681751,,0.704207106,0.889292811,0.586414356
0,1.364907965,1.078401975,1.887681751,,1.861252483,0.889292811,0.586414356
0,1.357841272,1.078401975,1.887681751,,2.06710609,0.889292811,0.586414356
0,1.258111575,1.078401975,1.887681751,,0.591651439,0.889292811,0.586414356
0,0.799256247,1.078401975,1.887681751,,0.83232831,0.889292811,0.586414356
0,1.477944114,1.078401975,1.887681751,,-1.238915048,0.889292811,0.586414356
0,1.419762626,1.078401975,1.887681751,,2.554581043,0.889292811,0.586414356
0,1.344668039,1.078401975,1.887681751,,0.988723206,0.889292811,0.586414356
0,1.148040921,1.078401975,1.887681751,,-0.372451686,0.889292811,0.586414356
0,1.136693407,1.078401975,1.887681751,,0.427068606,0.889292811,0.586414356
0,1.266525884,1.078401975,1.887681751,,1.721682915,0.889292811,0.586414356
0,1.2166211,1.078401975,1.887681751,,0.490894481,0.889292811,0.586414356
0,0.846121323,1.078401975,1.887681751,,0.21647188,0.889292811,0.586414356
0,1.399545785,1.078401975,1.887681751,,1.704897546,0.889292811,0.586414356
0,1.450084909,1.078401975,1.887681751,,2.008205559,0.889292811,0.586414356
0,1.186823878,1.078401975,1.887681751,,1.713408626,0.889292811,0.586414356
0,1.743690939,1.078401975,1.887681751,,1.719496259,0.889292811,0.586414356
0,1.37392341,1.078401975,1.887681751,,2.078525032,0.889292811,0.586414356
0,0.783773047,1.078401975,1.887681751,,0.66237023,0.889292811,0.586414356
0,1.299137338,1.078401975,1.887681751,,2.030042431,0.889292811,0.586414356
0,1.394541772,1.078401975,1.887681751,,0.962816585,0.889292811,0.586414356
0,1.140916438,1.078401975,1.887681751,,0.60759162,0.889292811,0.586414356
0,0.945086671,1.078401975,1.887681751,,1.331583862,0.889292811,0.586414356
0,1.137951306,1.078401975,1.887681751,,1.664075885,0.889292811,0.586414356
0,0.934542767,1.078401975,1.887681751,,-0.121030663,0.889292811,0.586414356
0,0.917788247,1.078401975,1.887681751,,-1.540082835,0.889292811,0.586414356
0,1.405945638,1.078401975,1.887681751,,0.940391353,0.889292811,0.586414356
0,1.28075976,1.078401975,1.887681751,,1.013949998,0.889292811,0.586414356
0,1.170910862,1.078401975,1.887681751,,-2.342802497,0.889292811,0.586414356
0,1.288078458,1.078401975,1.887681751,,2.014814101,0.889292811,0.586414356
