GEO_ID,AREA,HC01_VC02,HC02_VC02,HC03_VC02,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC01_VC35,HC02_VC35,HC03_VC35,HC01_VC40,HC02_VC40,HC03_VC40,HC01_VC36,HC02_VC36,HC03_VC36,HC01_VC41,HC02_VC41,HC03_VC41,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC42,HC02_VC42,HC03_VC42,HC01_VC38,HC02_VC38_x,HC03_VC38_x,HC01_VC43,HC02_VC38_y,HC03_VC38_y
1400000US11001008803,0.000118705,693,319,374,52,23,29,142,72,70,431,209,222,68,15,53,85.3,87.4,82.8,25.8,26.6,25,81.5,62.1,92.9,7.9,10.6,6.3,60.3,70.4,51.6,9.8,7.4,11.9,56,0,61.4,0,0,61.4
1400000US11001008804,8.45E-05,238,102,136,116,67,49,63,10,53,17,10,7,42,15,27,82.8,82.5,83.1,0,0,0,79.3,83.6,75.8,4.2,9.3,0,57.6,57.3,57.9,5.9,5.5,6.3,44.4,49.4,39.4,0,49.4,39.4
1400000US11001003302,2.04E-05,146,66,80,63,16,47,53,34,19,22,13,9,8,3,5,78.6,83.5,73.2,33.1,24.5,42.5,78.7,70.7,86.3,33.9,41.3,26.9,77.5,70.6,84.6,19.3,19,19.7,52,82.1,40.3,9,82.1,40.3
1400000US11001004202,2.18E-05,290,105,185,44,21,23,11,0,11,14,6,8,221,78,143,95.7,93.9,97.7,89.3,84.6,94.2,94.1,100,83.4,79.9,81.8,76.5,92.1,95.2,87.5,72.3,75.8,67,77.8,74.8,84.2,59.7,74.8,84.2
1400000US11001004801,3.28E-05,134,84,50,48,7,41,70,63,7,16,14,2,0,0,0,92,90.9,93.5,33.1,19.3,54,79.7,81.4,77.4,10.1,12.4,7,57.8,60.1,55.4,14.9,16.9,12.9,31.6,44.1,25.8,2.7,44.1,25.8
1400000US11001004600,4.52E-05,297,164,133,75,49,26,119,58,61,70,48,22,33,9,24,85.3,91.1,79.1,22.9,24.4,21.3,78.2,64.1,94.1,17.8,13.7,22.4,63,56.2,69.2,20.5,21,20,30.8,45.1,22.4,8.9,45.1,22.4
1400000US11001005500,6.69E-05,660,294,366,0,0,0,64,43,21,196,90,106,400,161,239,100,100,100,91.4,89.9,92.7,98.6,97.5,100,90.2,88.4,92.5,96,96,96,80.5,81.8,78.8,67.4,63.8,70.8,39.3,63.8,70.8
1400000US11001005301,3.07E-05,648,251,397,34,21,13,15,4,11,44,32,12,555,194,361,96.3,96.7,96,86,82.2,89.6,92.4,92.9,91.1,74.8,76.7,70.6,96.3,100,91.7,77,85.2,66.7,74.9,90.1,66.9,52.5,90.1,66.9
1400000US11001005000,4.62E-05,1060,715,345,419,326,93,178,128,50,187,105,82,276,156,120,73.7,73.2,74.7,45,47.1,41.3,75.1,76.9,72.2,43.4,47.7,36.5,69.5,67.8,72,30.9,32.9,28,36.2,20,47.6,5.4,20,47.6
1400000US11001004901,2.90E-05,151,61,90,66,26,40,46,20,26,11,0,11,28,15,13,83.7,75.4,91.6,30.5,31.1,29.8,54.8,60.8,50.2,31.4,47.4,19,62.1,64,60.1,25.9,26.8,25,24.5,24.6,24.4,13.6,24.6,24.4
