GEO_ID_2,HC03_EST_VC52,HC03_EST_VC29,HC02_EST_VC31
1400000US11001002502,(X),13.1,63
1400000US11001002600,(X),4.0,90
1400000US11001002701,(X),6.2,234
1400000US11001002702,(X),1.0,123
1400000US11001002802,(X),27.0,73
1400000US11001003000,(X),61.5,137
1400000US11001003100,(X),9.2,32
1400000US11001003200,(X),18.8,84
1400000US11001003302,(X),24.1,61
1400000US11001003400,(X),16.1,156
1400000US11001003500,(X),27.4,21
1400000US11001003700,(X),32.5,79
1400000US11001003800,(X),46.9,73
1400000US11001003900,(X),0.0,164
1400000US11001004001,(X),0.0,15
1400000US11001004100,(X),2.1,147
1400000US11001004201,(X),43.0,136
1400000US11001004300,(X),19.1,49
1400000US11001004400,(X),8.7,368
1400000US11001004600,(X),12.8,29
1400000US11001004701,(X),46.6,93
1400000US11001004801,(X),22.6,34
1400000US11001004802,(X),38.0,19
1400000US11001004902,(X),6.5,34
1400000US11001005001,(X),80.5,20
1400000US11001005002,(X),22.5,91
1400000US11001005201,(X),7.3,210
1400000US11001005301,(X),61.4,206
1400000US11001005500,(X),0.9,211
1400000US11001005800,(X),0.0,24
1400000US11001005900,(X),67.3,85
1400000US11001006202,(X),-,0
1400000US11001006500,(X),26.1,50
1400000US11001006600,(X),0.0,14
1400000US11001006700,(X),6.9,75
1400000US11001006802,(X),17.6,8
1400000US11001006804,(X),100.0,6
1400000US11001006900,(X),7.4,0
1400000US11001007000,(X),12.7,74
1400000US11001007200,(X),23.5,64
1400000US11001007301,(X),0.0,9
1400000US11001007304,(X),29.9,37
1400000US11001007401,(X),62.3,5
1400000US11001007404,(X),33.3,11
1400000US11001007406,(X),29.3,21
1400000US11001009301,(X),16.3,102
1400000US11001009400,(X),24.9,42
1400000US11001009501,(X),15.9,115
1400000US11001009503,(X),20.6,41
1400000US11001009505,(X),15.2,10
1400000US11001009507,(X),13.3,3
1400000US11001009508,(X),11.6,0
1400000US11001009601,(X),43.8,10
1400000US11001009801,(X),41.6,4
1400000US11001009803,(X),39.8,24
1400000US11001009804,(X),25.6,0
1400000US11001009810,(X),31.3,34
1400000US11001009811,(X),27.9,11
1400000US11001009901,(X),14.7,16
1400000US11001009902,(X),10.0,24
1400000US11001009903,(X),21.9,0
1400000US11001009905,(X),20.6,13
1400000US11001009907,(X),34.9,0
1400000US11001010100,(X),20.7,133
1400000US11001010200,(X),8.1,48
1400000US11001010300,(X),10.3,3
