OBJECTID,GEO.id,dec_mi
420,,
421,,
422,,
423,1400000US51059482400,145272
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,1400000US51059491000,139034
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,1400000US51059492000,149613
453,1400000US51059492100,136000
454,,
455,,
456,1400000US51059492300,83322
457,1400000US51059492400,65563
458,,
459,,
460,,
461,1400000US51013100200,104633
462,1400000US51013100300,130240
463,1400000US51013100500,115529
464,1400000US51013100600,77186
465,1400000US51013100700,76312
466,1400000US51013100900,72656
467,1400000US51013101000,85795
468,1400000US51013101100,101673
469,1400000US51013101200,77934
470,1400000US51013101300,86734
471,,
472,,
473,,
474,1400000US51013101500,59754
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,1400000US51013102100,67167
486,1400000US51013102200,40370
487,,
488,1400000US51013102400,59444
489,1400000US51013102500,51118
490,1400000US51013102600,65128
491,,
492,,
493,,
494,,
495,1400000US51013103000,74222
496,1400000US51013103100,43851
497,1400000US51013103200,47188
498,1400000US51013103300,47000
499,1400000US51013103401,52292
500,,
501,,
502,,
503,,
504,1400000US51013103700,118307
505,1400000US51013103800,48192
506,,
507,,
508,,
509,1400000US51510201300,56531
510,1400000US51510201400,65739
511,1400000US51510201500,106417
512,1400000US51510201801,66646
513,1400000US51510201802,97864
514,1400000US51510201900,89394
515,1400000US51510202002,59583
516,1400000US51510200102,51551
517,1400000US51510200104,48179
518,1400000US51510200105,36901
519,,
520,1400000US51510200201,51667
521,1400000US51510200202,127378
522,1400000US51510200302,65817
523,1400000US51510200303,42939
524,,
525,,
526,,
527,,
528,,
529,1400000US51510200801,104623
530,1400000US51510200802,60029
531,1400000US51510201000,56042
532,1400000US51510201100,98495
533,1400000US51510201202,56711
534,1400000US51510201203,40599
535,,
536,,
537,,
538,,
539,1400000US51610500100,85587
540,1400000US51610500200,69896
541,1400000US51059420400,48173
542,,
543,,
544,1400000US24031700304,74975
545,1400000US24031700607,107386
546,,
547,1400000US24031700710,81853
548,,
549,,
550,1400000US24031700815,63304
551,,
552,,
553,1400000US24033803001,47121
554,1400000US24033803002,48472
555,1400000US24033803100,41284
556,1400000US24033803200,31267
557,1400000US24033803512,60326
558,1400000US24033803519,49821
559,,
560,1400000US24033803613,43663
561,1400000US24033804001,31103
562,1400000US24033804400,41351
563,1400000US24033804900,37460
564,1400000US24033805601,34785
565,1400000US24033805904,60495
566,1400000US24033806200,45348
567,1400000US24033806602,47500
568,1400000US24033806712,50884
569,1400000US24033807304,71500
570,,
571,,
572,,
573,,
574,1400000US24031700901,47500
575,1400000US24031701002,122136
576,1400000US24031701102,59487
577,1400000US24031701210,141126
578,1400000US24031701215,66658
579,1400000US24031701304,94452
580,1400000US24031701313,96380
581,1400000US24031701409,89614
582,,
583,,
584,,
585,1400000US24031701900,38208
586,1400000US24031702102,91651
587,1400000US24031702500,36275
588,1400000US24031703201,80573
589,1400000US24031703209,47056
590,,
591,1400000US24031703301,65000
592,1400000US24031703402,62120
593,1400000US24031703602,77301
594,1400000US24031703902,57326
595,,
596,,
597,1400000US24031705300,"200,000+"
598,1400000US24031705601,113956
599,1400000US24031705602,61912
600,1400000US24031705701,114855
601,1400000US24031705901,146968
602,,
603,1400000US24033800106,60847
604,1400000US24033800209,40513
605,,
606,1400000US24033800408,86236
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,1400000US24033801308,89520
616,,
617,,
618,1400000US24033801702,42127
619,1400000US24033801801,42031
620,1400000US24033801805,41071
621,1400000US24033802104,44779
622,1400000US24033802203,50899
623,1400000US24033802406,44787
624,1400000US24033802600,45341
625,1400000US24031700308,71003
626,1400000US24031700309,58363
627,1400000US24031700310,64215
628,,
629,,
630,1400000US24031700400,91859
631,1400000US24031700500,82082
632,1400000US24031700604,130626
633,1400000US24031700606,103848
634,1400000US24031700608,158255
635,1400000US24031700610,98417
636,,
637,,
638,,
639,,
640,1400000US24031700704,70667
641,1400000US24031700706,49567
642,1400000US24031700711,77070
643,1400000US24031700713,50279
644,1400000US24031700715,72500
645,1400000US24031700716,70147
646,,
647,,
648,,
649,,
650,,
651,,
652,1400000US24031700810,77325
653,1400000US24031700811,65792
654,1400000US24031700812,58750
655,1400000US24031700101,127529
656,1400000US24031700103,106727
657,,
658,1400000US24031700204,63810
659,1400000US24031700205,90399
660,1400000US24031700206,79585
661,,
662,,
663,1400000US24031700306,73841
664,1400000US24031700813,68293
665,1400000US24031700816,58762
666,1400000US24031700817,64438
667,1400000US24031700818,47047
668,1400000US24031700819,63652
669,,
670,,
671,1400000US24033803300,42872
672,1400000US24033803401,30565
673,1400000US24033803402,40976
674,1400000US24033803508,35927
675,1400000US24033803509,29187
676,1400000US24033803513,57941
677,1400000US24033803514,60583
678,1400000US24033803516,67344
679,1400000US24033806711,50994
680,,
681,,
682,1400000US24033806800,66694
683,1400000US24033806900,56667
684,1400000US24033807000,45171
685,1400000US24033807102,57969
686,1400000US24033807200,29449
687,1400000US24033807301,45313
688,1400000US24033807305,69688
689,1400000US24033807404,61333
690,1400000US24033807407,61106
691,1400000US24033807408,55220
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,1400000US24033803601,72321
702,1400000US24033803602,40156
703,1400000US24033803605,67088
704,1400000US24033803606,67008
705,1400000US24033803608,63059
706,1400000US24033803610,66739
707,1400000US24033803612,38478
708,1400000US24033803700,52143
709,1400000US24033803801,60375
710,1400000US24033803803,50444
711,1400000US24033803900,44427
712,1400000US24033804002,42463
713,1400000US24033804101,54135
714,1400000US24033804102,45608
715,1400000US24033804200,74474
716,1400000US24033804300,35985
717,1400000US24033804600,46650
718,1400000US24033804700,45000
719,,
720,,
721,1400000US24033805000,38452
722,1400000US24033805101,37094
723,1400000US24033805201,41190
724,1400000US24033805202,38447
725,1400000US24033805500,38004
726,1400000US24033805602,39813
727,1400000US24033805700,40875
728,1400000US24033805801,55563
729,1400000US24033805802,55781
730,,
731,,
732,,
733,,
734,1400000US24033806000,48014
735,1400000US24033806100,51032
736,1400000US24033806300,44141
737,1400000US24033806400,82849
738,1400000US24033806501,41034
739,1400000US24033806601,41789
740,1400000US24033806706,61667
741,1400000US24033806708,42363
742,1400000US24033806710,61399
743,1400000US24033803607,76988
744,1400000US24031701417,47609
745,,
746,1400000US24033807405,63320
747,1400000US24031704502,126831
748,,
749,,
750,,
751,,
752,1400000US24031700902,52321
753,1400000US24031700903,57908
754,1400000US24031700904,31875
755,1400000US24031700905,47478
756,1400000US24031701001,77619
757,1400000US24031701004,72759
758,1400000US24031701005,97567
759,,
760,,
761,1400000US24031701101,68125
762,1400000US24031701201,60823
763,1400000US24031701202,92175
764,1400000US24031701205,140219
765,1400000US24031701206,101508
766,1400000US24031701211,78921
767,1400000US24031701212,108012
768,1400000US24031701213,88371
769,1400000US24031701214,60793
770,,
771,,
772,,
773,,
774,,
775,1400000US24031701303,117749
776,1400000US24031701306,103111
777,1400000US24031701307,112572
778,1400000US24031701308,129424
779,1400000US24031701312,90599
780,,
781,,
782,,
783,,
784,1400000US24031701408,84639
785,1400000US24031701410,71952
786,1400000US24031701414,75304
787,1400000US24031701415,78662
788,,
789,,
790,,
791,,
792,1400000US24031701503,80385
793,1400000US24031701505,58264
794,1400000US24031701506,92599
795,1400000US24031701507,94533
796,,
797,,
798,1400000US24031701701,47138
799,1400000US24031701702,36946
800,1400000US24031701703,50192
801,1400000US24031701704,60022
802,1400000US24031701800,52593
803,1400000US24031702000,41758
804,1400000US24031702101,45938
