OBJECTID,GEO.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,acs_ma,acs_tp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
475,1400000US51013101601,,,,,,,,,30.5,1506,754,50.1,752,49.9,20,1.3
476,1400000US51013101603,,,,,,,,,28.8,3092,1740,56.3,1352,43.7,49,1.6
477,1400000US51013101701,,,,,,,,,28.3,3348,1787,53.4,1561,46.6,339,10.1
478,1400000US51013101702,,,,,,,,,31.4,3966,1788,45.1,2178,54.9,175,4.4
479,1400000US51013101801,,,,,,,,,31.9,2091,1149,54.9,942,45.1,108,5.2
480,1400000US51013101802,,,,,,,,,30.1,5445,2968,54.5,2477,45.5,453,8.3
481,1400000US51013101803,,,,,,,,,30.3,4286,2263,52.8,2023,47.2,501,11.7
482,1400000US51013102001,,,,,,,,,34.8,1584,819,51.7,765,48.3,66,4.2
483,1400000US51013102002,,,,,,,,,27.2,1483,785,52.9,698,47.1,108,7.3
484,1400000US51013102003,,,,,,,,,35.0,3708,2022,54.5,1686,45.5,227,6.1
485,1400000US51013102100,46.4,2211,1027,46.4,1184,53.6,92,4.2,44.3,2503,1015,40.6,1488,59.4,28,1.1
486,1400000US51013102200,30.2,7576,3955,52.2,3621,47.8,1154,15.2,29.5,6722,3426,51.0,3296,49.0,1291,19.2
487,1400000US51013102302,,,,,,,,,33.8,4467,2411,54.0,2056,46.0,254,5.7
488,1400000US51013102400,34.7,3450,1757,50.9,1693,49.1,427,12.4,33.6,3512,1801,51.3,1711,48.7,365,10.4
489,1400000US51013102500,32.5,4158,2068,49.7,2090,50.3,594,14.3,35.5,4708,2381,50.6,2327,49.4,809,17.2
490,1400000US51013102600,33.7,3115,1525,49.0,1590,51.0,352,11.3,36.6,3357,1434,42.7,1923,57.3,309,9.2
491,1400000US51013102701,,,,,,,,,32.9,3621,1979,54.7,1642,45.3,965,26.7
492,1400000US51013102801,,,,,,,,,34.7,5697,3058,53.7,2639,46.3,1035,18.2
493,1400000US51013102802,,,,,,,,,38.1,1208,605,50.1,603,49.9,157,13.0
494,1400000US51013102901,,,,,,,,,34.1,2560,1120,43.8,1440,56.3,70,2.7
495,1400000US51013103000,36.4,3090,1334,43.2,1756,56.8,87,2.8,36.7,3319,1411,42.5,1908,57.5,34,1.0
496,1400000US51013103100,35.5,4150,2000,48.2,2150,51.8,2519,60.7,32.7,4743,2231,47.0,2512,53.0,2152,45.4
497,1400000US51013103200,32.5,6902,3404,49.3,3498,50.7,1216,17.6,33.2,5072,2559,50.5,2513,49.5,805,15.9
498,1400000US51013103300,35.4,1024,492,48.0,532,52.0,627,61.2,29.5,2312,1192,51.6,1120,48.4,702,30.4
499,1400000US51013103401,22.9,2245,1804,80.4,441,19.6,574,25.6,23.6,1666,1332,80.0,334,20.0,214,12.8
500,1400000US51013103501,,,,,,,,,33.5,3151,1270,40.3,1881,59.7,77,2.4
501,1400000US51013103502,,,,,,,,,38.9,2828,1279,45.2,1549,54.8,345,12.2
502,1400000US51013103503,,,,,,,,,32.8,3585,1930,53.8,1655,46.2,299,8.3
503,1400000US51013103601,,,,,,,,,37.8,2295,1118,48.7,1177,51.3,77,3.4
504,1400000US51013103700,46.0,2327,1204,51.7,1123,48.3,67,2.9,46.8,2300,1191,51.8,1109,48.2,43,1.9
505,1400000US51013103800,29.3,4490,2411,53.7,2079,46.3,756,16.8,30.0,4308,2274,52.8,2034,47.2,1215,28.2
506,1400000US51013980100,,,,,,,,,-,0,0,-,0,-,0,-
507,1400000US51013980200,,,,,,,,,37.5,28,28,100.0,0,0.0,0,0.0
508,1400000US51059491103,,,,,,,,,32.4,6797,3639,53.5,3158,46.5,422,6.2
509,1400000US51510201300,36.3,3034,1447,47.7,1587,52.3,820,27.0,35.1,3265,1652,50.6,1613,49.4,427,13.1
510,1400000US51510201400,34.4,3791,1808,47.7,1983,52.3,444,11.7,36.3,4195,2025,48.3,2170,51.7,189,4.5
511,1400000US51510201500,40.3,3445,1631,47.3,1814,52.7,189,5.5,44.4,3835,1692,44.1,2143,55.9,480,12.5
512,1400000US51510201801,39.3,4727,2142,45.3,2585,54.7,932,19.7,41.9,4868,2427,49.9,2441,50.1,547,11.2
513,1400000US51510201802,40.3,1876,847,45.1,1029,54.9,469,25.0,43.7,1898,821,43.3,1077,56.7,321,16.9
514,1400000US51510201900,36.0,1644,820,49.9,824,50.1,119,7.2,35.6,1586,796,50.2,790,49.8,38,2.4
515,1400000US51510202002,38.9,2479,1144,46.1,1335,53.9,75,3.0,43.9,2350,1050,44.7,1300,55.3,174,7.4
516,1400000US51510200102,31.1,4021,2059,51.2,1962,48.8,930,23.1,31.1,4088,2272,55.6,1816,44.4,898,22.0
517,1400000US51510200104,28.1,3089,1554,50.3,1535,49.7,838,27.1,28.2,3565,1716,48.1,1849,51.9,1050,29.5
518,1400000US51510200105,34.6,4025,2101,52.2,1924,47.8,1511,37.5,37.7,3918,2234,57.0,1684,43.0,2373,60.6
519,1400000US51510200106,,,,,,,,,50.5,2920,1194,40.9,1726,59.1,599,20.5
520,1400000US51510200201,35.9,3416,1613,47.2,1803,52.8,740,21.7,36.8,3126,1553,49.7,1573,50.3,643,20.6
521,1400000US51510200202,46.8,1538,741,48.2,797,51.8,72,4.7,50.2,1485,622,41.9,863,58.1,100,6.7
522,1400000US51510200302,35.4,3857,1897,49.2,1960,50.8,785,20.4,36.2,4098,1777,43.4,2321,56.6,1115,27.2
523,1400000US51510200303,37.0,4933,2138,43.3,2795,56.7,1419,28.8,36.8,4489,2050,45.7,2439,54.3,1237,27.6
524,1400000US51510200403,,,,,,,,,35.2,1331,730,54.8,601,45.2,263,19.8
525,1400000US51510200404,,,,,,,,,39.2,3390,1512,44.6,1878,55.4,151,4.5
526,1400000US51510200406,,,,,,,,,30.4,4392,2159,49.2,2233,50.8,1902,43.3
527,1400000US51510200407,,,,,,,,,44.6,3932,1706,43.4,2226,56.6,486,12.4
528,1400000US51510200703,,,,,,,,,34.7,2521,1343,53.3,1178,46.7,898,35.6
529,1400000US51510200801,42.3,2454,1189,48.5,1265,51.5,164,6.7,40.4,2704,1362,50.4,1342,49.6,402,14.9
530,1400000US51510200802,33.6,2840,1350,47.5,1490,52.5,649,22.9,33.9,2876,1510,52.5,1366,47.5,296,10.3
531,1400000US51510201000,37.4,2677,1101,41.1,1576,58.9,130,4.9,39.5,2597,1084,41.7,1513,58.3,119,4.6
532,1400000US51510201100,38.6,2702,1318,48.8,1384,51.2,223,8.3,38.7,2911,1327,45.6,1584,54.4,118,4.1
533,1400000US51510201202,32.5,3278,1629,49.7,1649,50.3,793,24.2,31.1,3263,1797,55.1,1466,44.9,592,18.1
534,1400000US51510201203,27.8,7120,4005,56.3,3115,43.8,1619,22.7,29.5,5402,2893,53.6,2509,46.4,742,13.7
535,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,
539,1400000US51610500100,42.4,2288,1121,49.0,1167,51.0,45,2.0,44.6,2516,1327,52.7,1189,47.3,48,1.9
540,1400000US51610500200,38.3,4704,2224,47.3,2480,52.7,166,3.5,35.9,5459,2404,44.0,3055,56.0,470,8.6
541,1400000US51059420400,31.4,2513,1292,51.4,1221,48.6,556,22.1,33.5,2160,1109,51.3,1051,48.7,242,11.2
542,1400000US51059482002,,,,,,,,,42.4,3322,1689,50.8,1633,49.2,186,5.6
543,1400000US24031700105,,,,,,,,,33.5,6885,3329,48.4,3556,51.6,1724,25.0
544,1400000US24031700304,31.8,5376,2589,48.2,2787,51.8,742,13.8,35.1,7105,3571,50.3,3534,49.7,1042,14.7
545,1400000US24031700607,36.1,7957,3913,49.2,4044,50.8,265,3.3,39.8,8459,4131,48.8,4328,51.2,392,4.6
546,1400000US24031700611,,,,,,,,,34.6,5936,2812,47.4,3124,52.6,1004,16.9
547,1400000US24031700710,35.6,6310,3156,50.0,3154,50.0,1042,16.5,37.3,6502,3440,52.9,3062,47.1,915,14.1
548,1400000US24031700718,,,,,,,,,39.2,3933,1924,48.9,2009,51.1,414,10.5
549,1400000US24031700723,,,,,,,,,76.2,3023,1196,39.6,1827,60.4,480,15.9
550,1400000US24031700815,31.2,6319,3119,49.4,3200,50.6,1625,25.7,31.0,7974,3972,49.8,4002,50.2,2370,29.7
551,1400000US24031700820,,,,,,,,,31.9,2749,1441,52.4,1308,47.6,680,24.7
552,1400000US24031700824,,,,,,,,,42.9,2695,1346,49.9,1349,50.1,142,5.3
553,1400000US24033803001,34.6,2934,1372,46.8,1562,53.2,2830,96.5,35.6,2898,1326,45.8,1572,54.2,2430,83.9
554,1400000US24033803002,36.2,2947,1340,45.5,1607,54.5,2862,97.1,37.1,2792,1274,45.6,1518,54.4,2743,98.2
555,1400000US24033803100,36.3,2567,1210,47.1,1357,52.9,2443,95.2,39.4,2349,1089,46.4,1260,53.6,2159,91.9
556,1400000US24033803200,27.2,3051,1368,44.8,1683,55.2,2918,95.6,31.8,2920,1497,51.3,1423,48.7,2852,97.7
557,1400000US24033803512,33.6,4146,1927,46.5,2219,53.5,3760,90.7,35.6,6311,2757,43.7,3554,56.3,5665,89.8
558,1400000US24033803519,27.7,4866,2327,47.8,2539,52.2,3664,75.3,30.7,3426,1391,40.6,2035,59.4,2993,87.4
559,1400000US24033803525,,,,,,,,,29.2,2819,1320,46.8,1499,53.2,2185,77.5
560,1400000US24033803613,31.0,5137,2457,47.8,2680,52.2,3827,74.5,35.8,4372,2203,50.4,2169,49.6,3010,68.8
561,1400000US24033804001,29.8,3949,1843,46.7,2106,53.3,3260,82.6,29.6,4828,2304,47.7,2524,52.3,4203,87.1
562,1400000US24033804400,37.9,2393,1151,48.1,1242,51.9,1235,51.6,33.2,2489,1154,46.4,1335,53.6,992,39.9
563,1400000US24033804900,36.6,3848,1730,45.0,2118,55.0,3051,79.3,49.5,4747,1741,36.7,3006,63.3,3866,81.4
564,1400000US24033805601,26.9,5669,3351,59.1,2318,40.9,737,13.0,28.7,6052,4318,71.3,1734,28.7,406,6.7
565,1400000US24033805904,39.8,3069,1513,49.3,1556,50.7,1138,37.1,35.5,3383,1758,52.0,1625,48.0,1237,36.6
566,1400000US24033806200,35.1,3905,1800,46.1,2105,53.9,1407,36.0,37.2,4167,2065,49.6,2102,50.4,1408,33.8
567,1400000US24033806602,30.1,4422,2198,49.7,2224,50.3,2441,55.2,29.5,4482,2150,48.0,2332,52.0,2177,48.6
568,1400000US24033806712,34.0,2807,1250,44.5,1557,55.5,1514,53.9,35.2,2876,1393,48.4,1483,51.6,1780,61.9
569,1400000US24033807304,41.5,1719,875,50.9,844,49.1,557,32.4,36.1,2052,1190,58.0,862,42.0,395,19.2
570,1400000US24031700826,,,,,,,,,39.5,5873,2493,42.4,3380,57.6,348,5.9
571,1400000US24031700828,,,,,,,,,41.4,2638,1102,41.8,1536,58.2,37,1.4
572,1400000US24031700829,,,,,,,,,38.3,2787,1265,45.4,1522,54.6,196,7.0
573,1400000US24031700830,,,,,,,,,30.1,1787,763,42.7,1024,57.3,271,15.2
574,1400000US24031700901,41.5,2850,1239,43.5,1611,56.5,477,16.7,46.3,3420,1443,42.2,1977,57.8,318,9.3
575,1400000US24031701002,39.0,3608,1966,54.5,1642,45.5,378,10.5,44.9,3557,1672,47.0,1885,53.0,58,1.6
576,1400000US24031701102,36.0,5688,2922,51.4,2766,48.6,387,6.8,37.8,5623,2902,51.6,2721,48.4,385,6.8
577,1400000US24031701210,45.3,3966,1966,49.6,2000,50.4,80,2.0,47.5,4023,1936,48.1,2087,51.9,34,0.8
578,1400000US24031701215,40.3,3994,1755,43.9,2239,56.1,219,5.5,38.5,4036,1716,42.5,2320,57.5,332,8.2
579,1400000US24031701304,41.1,6146,3072,50.0,3074,50.0,315,5.1,43.8,6374,2978,46.7,3396,53.3,281,4.4
580,1400000US24031701313,35.0,3956,1928,48.7,2028,51.3,373,9.4,39.3,3873,2025,52.3,1848,47.7,340,8.8
581,1400000US24031701409,41.1,3942,1943,49.3,1999,50.7,467,11.8,42.3,4623,2103,45.5,2520,54.5,972,21.0
582,1400000US24031701422,,,,,,,,,29.7,1968,922,46.8,1046,53.2,1632,82.9
583,1400000US24031701508,,,,,,,,,32.1,3781,1453,38.4,2328,61.6,2736,72.4
584,1400000US24031701601,,,,,,,,,29.5,2346,1092,46.5,1254,53.5,497,21.2
585,1400000US24031701900,31.2,3218,1643,51.1,1575,48.9,664,20.6,30.2,3096,1762,56.9,1334,43.1,390,12.6
586,1400000US24031702102,37.5,2964,1492,50.3,1472,49.7,209,7.1,40.6,2826,1335,47.2,1491,52.8,82,2.9
587,1400000US24031702500,36.6,2660,1201,45.2,1459,54.8,1267,47.6,33.0,4157,1986,47.8,2171,52.2,2040,49.1
588,1400000US24031703201,41.2,6870,3320,48.3,3550,51.7,546,7.9,42.2,7359,3640,49.5,3719,50.5,644,8.8
589,1400000US24031703209,40.4,4885,2255,46.2,2630,53.8,889,18.2,31.9,5425,2312,42.6,3113,57.4,1066,19.6
590,1400000US24031703218,,,,,,,,,81.8,1786,609,34.1,1177,65.9,32,1.8
591,1400000US24031703301,37.4,4253,2121,49.9,2132,50.1,450,10.6,36.6,4365,2212,50.7,2153,49.3,326,7.5
592,1400000US24031703402,36.3,3271,1616,49.4,1655,50.6,425,13.0,35.8,3437,1779,51.8,1658,48.2,458,13.3
593,1400000US24031703602,38.2,2696,1285,47.7,1411,52.3,159,5.9,41.6,3007,1412,47.0,1595,53.0,268,8.9
594,1400000US24031703902,34.9,6222,3012,48.4,3210,51.6,1315,21.1,33.8,6853,3493,51.0,3360,49.0,1467,21.4
595,1400000US24031704403,,,,,,,,,52.2,1460,592,40.5,868,59.5,58,4.0
596,1400000US24031704804,,,,,,,,,34.0,1128,468,41.5,660,58.5,83,7.4
597,1400000US24031705300,46.5,1976,981,49.6,995,50.4,14,0.7,49.2,1935,933,48.2,1002,51.8,0,0.0
598,1400000US24031705601,39.8,2652,1216,45.9,1436,54.1,35,1.3,41.3,2751,1230,44.7,1521,55.3,76,2.8
599,1400000US24031705602,46.9,3234,1319,40.8,1915,59.2,116,3.6,42.9,4370,1863,42.6,2507,57.4,123,2.8
600,1400000US24031705701,42.3,4120,1914,46.5,2206,53.5,68,1.7,38.8,4273,1900,44.5,2373,55.5,70,1.6
601,1400000US24031705901,45.3,4044,1927,47.7,2117,52.3,129,3.2,46.5,4092,1867,45.6,2225,54.4,64,1.6
602,1400000US24031706011,,,,,,,,,45.2,5167,2530,49.0,2637,51.0,131,2.5
603,1400000US24033800106,35.5,2188,995,45.5,1193,54.5,785,35.9,36.7,2696,1270,47.1,1426,52.9,1205,44.7
604,1400000US24033800209,28.9,4472,2056,46.0,2416,54.0,2784,62.3,30.0,3861,1967,50.9,1894,49.1,2539,65.8
605,1400000US24033800214,,,,,,,,,29.6,2662,1269,47.7,1393,52.3,1656,62.2
606,1400000US24033800408,38.6,4002,1940,48.5,2062,51.5,2083,52.0,38.9,6538,3358,51.4,3180,48.6,4342,66.4
607,1400000US24033800413,,,,,,,,,34.8,3683,1773,48.1,1910,51.9,2746,74.6
608,1400000US24033800514,,,,,,,,,33.7,4206,2142,50.9,2064,49.1,3047,72.4
609,1400000US24033800519,,,,,,,,,36.9,4291,2117,49.3,2174,50.7,2320,54.1
610,1400000US24033800704,,,,,,,,,32.2,4832,1926,39.9,2906,60.1,3719,77.0
611,1400000US24033801005,,,,,,,,,39.5,4268,1911,44.8,2357,55.2,3468,81.3
612,1400000US24033801006,,,,,,,,,36.5,3922,1876,47.8,2046,52.2,3211,81.9
613,1400000US24033801209,,,,,,,,,35.8,4517,1878,41.6,2639,58.4,3812,84.4
614,1400000US24033801216,,,,,,,,,45.1,3418,1818,53.2,1600,46.8,2437,71.3
615,1400000US24033801308,38.4,3712,1727,46.5,1985,53.5,2828,76.2,38.3,4140,2067,49.9,2073,50.1,3356,81.1
616,1400000US24033801313,,,,,,,,,40.6,3175,1528,48.1,1647,51.9,2870,90.4
617,1400000US24033801409,,,,,,,,,41.7,2620,1267,48.4,1353,51.6,1778,67.9
618,1400000US24033801702,29.5,3394,1503,44.3,1891,55.7,3008,88.6,29.7,3709,1662,44.8,2047,55.2,3363,90.7
619,1400000US24033801801,31.4,2099,938,44.7,1161,55.3,1930,91.9,28.9,2079,796,38.3,1283,61.7,1901,91.4
620,1400000US24033801805,35.1,2310,1107,47.9,1203,52.1,2153,93.2,39.5,2272,1204,53.0,1068,47.0,2128,93.7
621,1400000US24033802104,36.2,2095,933,44.5,1162,55.5,1776,84.8,36.7,2000,898,44.9,1102,55.1,1774,88.7
622,1400000US24033802203,37.4,4791,2235,46.6,2556,53.4,3995,83.4,36.5,4792,2246,46.9,2546,53.1,4166,86.9
623,1400000US24033802406,30.2,2435,1070,43.9,1365,56.1,2279,93.6,37.3,2090,965,46.2,1125,53.8,1836,87.8
624,1400000US24033802600,33.0,3314,1564,47.2,1750,52.8,3072,92.7,31.4,2976,1527,51.3,1449,48.7,2685,90.2
625,1400000US24031700308,32.2,5616,2706,48.2,2910,51.8,684,12.2,32.2,6333,3041,48.0,3292,52.0,1157,18.3
626,1400000US24031700309,31.1,3939,1895,48.1,2044,51.9,732,18.6,30.6,5169,2532,49.0,2637,51.0,1391,26.9
627,1400000US24031700310,32.1,4200,2025,48.2,2175,51.8,500,11.9,31.9,4781,2307,48.3,2474,51.7,913,19.1
628,1400000US24031700311,,,,,,,,,36.0,5407,2817,52.1,2590,47.9,633,11.7
629,1400000US24031700312,,,,,,,,,32.8,5136,2779,54.1,2357,45.9,757,14.7
630,1400000US24031700400,42.7,2034,1010,49.7,1024,50.3,165,8.1,46.3,2234,1188,53.2,1046,46.8,41,1.8
631,1400000US24031700500,36.5,6440,3202,49.7,3238,50.3,317,4.9,42.0,6229,3060,49.1,3169,50.9,484,7.8
632,1400000US24031700604,40.2,6378,3170,49.7,3208,50.3,252,4.0,43.9,6502,3271,50.3,3231,49.7,418,6.4
633,1400000US24031700606,38.9,4554,2247,49.3,2307,50.7,108,2.4,42.6,4520,2229,49.3,2291,50.7,46,1.0
634,1400000US24031700608,39.4,4958,2470,49.8,2488,50.2,222,4.5,42.0,5984,2983,49.8,3001,50.2,388,6.5
635,1400000US24031700610,40.3,2106,1055,50.1,1051,49.9,122,5.8,39.5,1952,918,47.0,1034,53.0,191,9.8
636,1400000US24031700613,,,,,,,,,37.2,6307,3231,51.2,3076,48.8,697,11.1
637,1400000US24031700614,,,,,,,,,36.5,4798,2384,49.7,2414,50.3,921,19.2
638,1400000US24031700615,,,,,,,,,40.4,3156,1556,49.3,1600,50.7,405,12.8
639,1400000US24031700616,,,,,,,,,43.1,4320,1997,46.2,2323,53.8,184,4.3
640,1400000US24031700704,35.4,2936,1471,50.1,1465,49.9,225,7.7,35.3,2880,1434,49.8,1446,50.2,103,3.6
641,1400000US24031700706,29.8,3269,1641,50.2,1628,49.8,696,21.3,30.5,3258,1488,45.7,1770,54.3,785,24.1
642,1400000US24031700711,35.2,6086,2980,49.0,3106,51.0,922,15.1,34.7,5642,2595,46.0,3047,54.0,722,12.8
643,1400000US24031700713,29.8,5115,2615,51.1,2500,48.9,888,17.4,29.7,5375,2741,51.0,2634,49.0,1510,28.1
644,1400000US24031700715,33.2,5685,2794,49.1,2891,50.9,1007,17.7,37.1,5939,2926,49.3,3013,50.7,1158,19.5
645,1400000US24031700716,32.7,7613,3677,48.3,3936,51.7,1243,16.3,33.5,7933,3932,49.6,4001,50.4,1271,16.0
646,1400000US24031700717,,,,,,,,,34.0,5879,3045,51.8,2834,48.2,766,13.0
647,1400000US24031700719,,,,,,,,,30.9,6582,3362,51.1,3220,48.9,1072,16.3
648,1400000US24031700720,,,,,,,,,32.5,3296,1636,49.6,1660,50.4,601,18.2
649,1400000US24031700721,,,,,,,,,32.6,2308,1027,44.5,1281,55.5,620,26.9
650,1400000US24031700722,,,,,,,,,31.3,4631,2403,51.9,2228,48.1,1306,28.2
651,1400000US24031700724,,,,,,,,,32.7,2839,1417,49.9,1422,50.1,323,11.4
652,1400000US24031700810,35.9,4935,2372,48.1,2563,51.9,779,15.8,36.1,5081,2419,47.6,2662,52.4,1375,27.1
653,1400000US24031700811,34.2,3722,1737,46.7,1985,53.3,934,25.1,31.2,4578,2011,43.9,2567,56.1,1591,34.8
654,1400000US24031700812,39.6,4055,1872,46.2,2183,53.8,552,13.6,40.3,4294,2108,49.1,2186,50.9,481,11.2
655,1400000US24031700101,40.8,3849,1935,50.3,1914,49.7,247,6.4,44.4,4095,2119,51.7,1976,48.3,294,7.2
656,1400000US24031700103,39.2,4530,2275,50.2,2255,49.8,297,6.6,43.6,5799,2824,48.7,2975,51.3,604,10.4
657,1400000US24031700104,,,,,,,,,39.8,4774,2229,46.7,2545,53.3,798,16.7
658,1400000US24031700204,39.4,1949,987,50.6,962,49.4,43,2.2,45.8,1973,950,48.2,1023,51.8,0,0.0
659,1400000US24031700205,35.8,5196,2577,49.6,2619,50.4,126,2.4,39.6,5792,2804,48.4,2988,51.6,161,2.8
660,1400000US24031700206,35.2,5430,2691,49.6,2739,50.4,203,3.7,37.8,5919,2765,46.7,3154,53.3,384,6.5
661,1400000US24031700207,,,,,,,,,32.2,5723,2728,47.7,2995,52.3,1100,19.2
662,1400000US24031700208,,,,,,,,,39.3,1977,933,47.2,1044,52.8,76,3.8
663,1400000US24031700306,31.5,6161,3033,49.2,3128,50.8,1107,18.0,35.4,7002,3340,47.7,3662,52.3,1400,20.0
664,1400000US24031700813,37.4,5459,2484,45.5,2975,54.5,911,16.7,33.6,5707,2907,50.9,2800,49.1,1510,26.5
665,1400000US24031700816,31.5,7627,3743,49.1,3884,50.9,1316,17.3,31.8,8044,3902,48.5,4142,51.5,1052,13.1
666,1400000US24031700817,32.3,4434,2138,48.2,2296,51.8,439,9.9,34.8,5445,2416,44.4,3029,55.6,680,12.5
667,1400000US24031700818,29.1,5672,2808,49.5,2864,50.5,1357,23.9,28.8,6123,3241,52.9,2882,47.1,1759,28.7
668,1400000US24031700819,31.8,6151,2983,48.5,3168,51.5,887,14.4,32.8,6362,3144,49.4,3218,50.6,1486,23.4
669,1400000US24031700822,,,,,,,,,37.3,1621,599,37.0,1022,63.0,134,8.3
670,1400000US24031700823,,,,,,,,,40.8,3130,1535,49.0,1595,51.0,167,5.3
671,1400000US24033803300,32.4,4619,2156,46.7,2463,53.3,4376,94.7,33.8,4174,1896,45.4,2278,54.6,3733,89.4
672,1400000US24033803401,33.1,1424,661,46.4,763,53.6,1378,96.8,30.9,1402,651,46.4,751,53.6,1217,86.8
673,1400000US24033803402,31.0,4744,2162,45.6,2582,54.4,4583,96.6,30.4,4796,2016,42.0,2780,58.0,4321,90.1
674,1400000US24033803508,25.6,5051,2221,44.0,2830,56.0,4742,93.9,27.4,4753,2053,43.2,2700,56.8,4201,88.4
675,1400000US24033803509,25.5,3053,1441,47.2,1612,52.8,2819,92.3,26.0,2644,1263,47.8,1381,52.2,2515,95.1
676,1400000US24033803513,34.5,4262,1795,42.1,2467,57.9,4033,94.6,32.0,4701,2074,44.1,2627,55.9,4225,89.9
677,1400000US24033803514,33.4,2736,1131,41.3,1605,58.7,2571,94.0,35.3,4110,1630,39.7,2480,60.3,3896,94.8
678,1400000US24033803516,34.1,3255,1472,45.2,1783,54.8,2239,68.8,33.7,4645,2048,44.1,2597,55.9,3872,83.4
679,1400000US24033806711,33.5,4158,1864,44.8,2294,55.2,2330,56.0,36.2,3764,1737,46.1,2027,53.9,2629,69.8
680,1400000US24033806713,,,,,,,,,28.7,3533,1502,42.5,2031,57.5,2372,67.1
681,1400000US24033806714,,,,,,,,,31.7,3108,1739,56.0,1369,44.0,2071,66.6
682,1400000US24033806800,37.9,3689,1872,50.7,1817,49.3,444,12.0,34.7,3926,2030,51.7,1896,48.3,515,13.1
683,1400000US24033806900,35.0,3864,1947,50.4,1917,49.6,612,15.8,35.4,4377,1957,44.7,2420,55.3,557,12.7
684,1400000US24033807000,29.9,4655,2454,52.7,2201,47.3,800,17.2,25.6,5238,2842,54.3,2396,45.7,757,14.5
685,1400000US24033807102,34.5,2405,1209,50.3,1196,49.7,404,16.8,31.2,2666,1513,56.8,1153,43.2,662,24.8
686,1400000US24033807200,20.1,11591,6185,53.4,5406,46.6,1766,15.2,19.6,15160,7524,49.6,7636,50.4,1808,11.9
687,1400000US24033807301,28.8,3107,1667,53.7,1440,46.3,542,17.4,28.1,3397,1749,51.5,1648,48.5,962,28.3
688,1400000US24033807305,32.7,3554,1753,49.3,1801,50.7,1407,39.6,31.6,3538,1830,51.7,1708,48.3,1409,39.8
689,1400000US24033807404,34.3,4758,2452,51.5,2306,48.5,1035,21.8,34.7,4500,2334,51.9,2166,48.1,1093,24.3
690,1400000US24033807407,35.9,4594,2291,49.9,2303,50.1,1561,34.0,33.2,5827,2820,48.4,3007,51.6,2366,40.6
691,1400000US24033807408,37.8,5384,2573,47.8,2811,52.2,1347,25.0,42.1,5290,2617,49.5,2673,50.5,1309,24.7
692,1400000US24033807409,,,,,,,,,30.3,3494,1841,52.7,1653,47.3,1707,48.9
693,1400000US24033807410,,,,,,,,,33.1,3609,1851,51.3,1758,48.7,1991,55.2
694,1400000US24033803520,,,,,,,,,40.7,4493,1954,43.5,2539,56.5,4015,89.4
695,1400000US24033803521,,,,,,,,,38.1,4552,1686,37.0,2866,63.0,3851,84.6
696,1400000US24033803522,,,,,,,,,37.9,3823,1664,43.5,2159,56.5,3518,92.0
697,1400000US24033803523,,,,,,,,,46.5,3873,1642,42.4,2231,57.6,2951,76.2
698,1400000US24033803524,,,,,,,,,35.0,3281,1494,45.5,1787,54.5,2986,91.0
699,1400000US24033803526,,,,,,,,,40.6,3403,1652,48.5,1751,51.5,3060,89.9
700,1400000US24033803527,,,,,,,,,38.5,3236,1464,45.2,1772,54.8,3008,93.0
701,1400000US24033803601,37.3,3497,1667,47.7,1830,52.3,3268,93.5,43.7,3566,1601,44.9,1965,55.1,3190,89.5
702,1400000US24033803602,33.8,1938,882,45.5,1056,54.5,1871,96.5,32.5,1725,679,39.4,1046,60.6,1618,93.8
703,1400000US24033803605,36.3,6341,3123,49.3,3218,50.7,3617,57.0,31.1,6948,3370,48.5,3578,51.5,3820,55.0
704,1400000US24033803606,37.1,4930,2472,50.1,2458,49.9,2422,49.1,35.2,5280,2683,50.8,2597,49.2,2170,41.1
705,1400000US24033803608,35.8,5475,2625,47.9,2850,52.1,4091,74.7,38.7,5133,2394,46.6,2739,53.4,3463,67.5
706,1400000US24033803610,36.7,3184,1569,49.3,1615,50.7,1903,59.8,31.0,3050,1496,49.0,1554,51.0,1578,51.7
707,1400000US24033803612,30.9,3308,1533,46.3,1775,53.7,2577,77.9,30.0,2942,1269,43.1,1673,56.9,2413,82.0
708,1400000US24033803700,35.3,2153,1021,47.4,1132,52.6,1286,59.7,30.3,2382,1221,51.3,1161,48.7,960,40.3
709,1400000US24033803801,35.6,2156,1024,47.5,1132,52.5,1505,69.8,32.7,2102,1052,50.0,1050,50.0,1134,53.9
710,1400000US24033803803,31.8,5242,2548,48.6,2694,51.4,3796,72.4,29.6,5708,3014,52.8,2694,47.2,3366,59.0
711,1400000US24033803900,27.8,3922,2068,52.7,1854,47.3,1765,45.0,24.9,4156,2273,54.7,1883,45.3,1245,30.0
712,1400000US24033804002,33.0,3808,1881,49.4,1927,50.6,2030,53.3,31.1,4057,2111,52.0,1946,48.0,1425,35.1
713,1400000US24033804101,32.1,3467,1713,49.4,1754,50.6,2387,68.8,33.1,2981,1581,53.0,1400,47.0,2121,71.2
