OBJECTID,GEO.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,acs_ma,acs_tp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
84,1400000US11001000901,21.4,7208,3131,43.4,4077,56.6,408,5.7,19.8,7789,3417,43.9,4372,56.1,268,3.4
85,1400000US11001000902,41.8,1973,917,46.5,1056,53.5,96,4.9,41.6,2228,1083,48.6,1145,51.4,22,1.0
86,1400000US11001001001,40.5,6062,2815,46.4,3247,53.6,195,3.2,36.4,8039,3626,45.1,4413,54.9,264,3.3
87,1400000US11001001100,42.4,4428,1925,43.5,2503,56.5,252,5.7,42.0,4247,2022,47.6,2225,52.4,74,1.7
88,1400000US11001001200,37.4,4856,2182,44.9,2674,55.1,281,5.8,35.0,5002,2183,43.6,2819,56.4,154,3.1
89,1400000US11001001301,38.8,3747,1716,45.8,2031,54.2,270,7.2,37.0,4410,2194,49.8,2216,50.2,494,11.2
90,1400000US11001001302,38.3,6294,2582,41.0,3712,59.0,374,5.9,34.4,7012,3044,43.4,3968,56.6,288,4.1
91,1400000US11001001402,54.5,3925,2279,58.1,1646,41.9,555,14.1,46.7,2958,1411,47.7,1547,52.3,632,21.4
92,1400000US11001001500,44.8,5649,2664,47.2,2985,52.8,633,11.2,46.4,5692,2722,47.8,2970,52.2,716,12.6
93,1400000US11001001600,48.2,4030,1871,46.4,2159,53.6,2919,72.4,47.4,4448,2083,46.8,2365,53.2,3202,72.0
94,1400000US11001001803,37.1,3066,1417,46.2,1649,53.8,2146,70.0,44.0,2965,1376,46.4,1589,53.6,2272,76.6
95,1400000US11001001804,36.7,4156,1900,45.7,2256,54.3,2995,72.1,37.1,4809,2338,48.6,2471,51.4,2913,60.6
96,1400000US11001001901,42.6,3949,1734,43.9,2215,56.1,3586,90.8,42.6,4197,1746,41.6,2451,58.4,3464,82.5
97,1400000US11001002001,38.7,2435,1176,48.3,1259,51.7,1510,62.0,39.4,2668,1264,47.4,1404,52.6,1290,48.4
