,GEO.id,xxxxx1
528,1400000US24033803402,55000
529,1400000US24033803508,42764
530,1400000US24033803509,44873
531,1400000US24033803512,85567
532,1400000US24033803513,73393
533,1400000US24033803514,84792
534,1400000US24033803516,106172
535,1400000US24033803519,79100
536,1400000US24033803520,106438
537,1400000US24033803521,103357
538,1400000US24033803522,103438
539,1400000US24033803523,125104
540,1400000US24033803524,81696
541,1400000US24033803525,52721
542,1400000US24033803526,77969
543,1400000US24033803527,99914
544,1400000US24033803601,95357
545,1400000US24033803602,66288
546,1400000US24033803605,78696
547,1400000US24033803606,78750
548,1400000US24033803607,107292
549,1400000US24033803608,62025
550,1400000US24033803610,50346
551,1400000US24033803612,49783
552,1400000US24033803613,52482
553,1400000US24033803700,62143
554,1400000US24033803801,67143
555,1400000US24033803803,65970
556,1400000US24033803900,69000
557,1400000US24033804001,40663
558,1400000US24033804002,55847
559,1400000US24033804101,72083
560,1400000US24033804102,53490
561,1400000US24033804200,100000
562,1400000US24033804300,40417
563,1400000US24033804400,60034
564,1400000US24033804600,46083
565,1400000US24033804700,80147
566,1400000US24033804801,40444
567,1400000US24033804802,36838
568,1400000US24033804900,52853
569,1400000US24033805000,70407
570,1400000US24033805101,49228
571,1400000US24033805201,50318
572,1400000US24033805202,53494
573,1400000US24033805500,74310
574,1400000US24033805601,39620
575,1400000US24033805602,53276
576,1400000US24033805700,54222
577,1400000US24033805801,78295
578,1400000US24033805802,65909
579,1400000US24033805904,55603
580,1400000US24033805906,48905
581,1400000US24033805907,54090
582,1400000US24033805908,49758
583,1400000US24033805909,44978
584,1400000US24033806000,53732
585,1400000US24033806100,62792
586,1400000US24033806200,76771
587,1400000US24033806300,54732
588,1400000US24033806400,134868
589,1400000US24033806501,52520
590,1400000US24033806601,54708
591,1400000US24033806602,59282
592,1400000US24033806706,76429
593,1400000US24033806708,49804
594,1400000US24033806710,69167
595,1400000US24033806711,54545
596,1400000US24033806712,77125
597,1400000US24033806713,43762
598,1400000US24033806714,57132
599,1400000US24033806800,103750
600,1400000US24033806900,74977
601,1400000US24033807000,42679
602,1400000US24033807102,68864
603,1400000US24033807200,17887
604,1400000US24033807301,61146
605,1400000US24033807304,87163
606,1400000US24033807305,76287
607,1400000US24033807404,80240
608,1400000US24033807405,74615
609,1400000US24033807407,86815
610,1400000US24033807408,83977
611,1400000US24033807409,54917
612,1400000US24033807410,57692
613,1400000US51013100100,170375
614,1400000US51013100200,175833
615,1400000US51013100300,226645
616,1400000US51013100400,210156
617,1400000US51013100500,159821
618,1400000US51013100600,114309
619,1400000US51013100700,88533
620,1400000US51013100800,84318
621,1400000US51013100900,112250
622,1400000US51013101000,141282
623,1400000US51013101100,149643
624,1400000US51013101200,135321
625,1400000US51013101300,157781
626,1400000US51013101401,110417
627,1400000US51013101402,127077
628,1400000US51013101403,104180
629,1400000US51013101404,115560
630,1400000US51013101500,116914
631,1400000US51013101601,131875
632,1400000US51013101602,91382
633,1400000US51013101603,97844
634,1400000US51013101701,94286
635,1400000US51013101702,84655
636,1400000US51013101703,86857
637,1400000US51013101801,121659
638,1400000US51013101802,116793
639,1400000US51013101803,77248
640,1400000US51013101900,160240
641,1400000US51013102001,67939
642,1400000US51013102002,67620
643,1400000US51013102003,37401
644,1400000US51013102100,99844
645,1400000US51013102200,46875
646,1400000US51013102301,115417
647,1400000US51013102302,96250
648,1400000US51013102400,79186
649,1400000US51013102500,97011
650,1400000US51013102600,86838
651,1400000US51013102701,42902
652,1400000US51013102702,91156
653,1400000US51013102801,61773
654,1400000US51013102802,135724
655,1400000US51013102901,103205
656,1400000US51013102902,95117
657,1400000US51013103000,120000
658,1400000US51013103100,84678
659,1400000US51013103200,85212
660,1400000US51013103300,61944
661,1400000US51013103401,120903
662,1400000US51013103402,114854
663,1400000US51013103501,86735
664,1400000US51013103502,130985
665,1400000US51013103503,92770
666,1400000US51013103601,129531
667,1400000US51013103602,89500
668,1400000US51013103700,172955
669,1400000US51013103800,84330
670,1400000US51013980100,-
671,1400000US51013980200,-
672,1400000US51059415100,111366
673,1400000US51059415200,84896
674,1400000US51059415300,75781
675,1400000US51059415401,54604
676,1400000US51059415402,123224
677,1400000US51059415500,104107
678,1400000US51059415600,185938
