,GEO.id,QWE12,HC02_EST_VC23,QQQQ23
228,1400000US24031700813,47098,100.0,87.6
229,1400000US24031700815,57206,85.4,74.9
230,1400000US24031700816,49954,83.6,87.1
231,1400000US24031700817,49958,100.0,89.5
232,1400000US24031700818,47903,94.8,88.7
233,1400000US24031700819,54943,98.2,95.6
234,1400000US24031700901,51111,97.4,96.3
235,1400000US24031700902,43056,86.6,90.1
236,1400000US24031700903,39792,92.8,93.6
237,1400000US24031700904,27159,82.8,100.0
238,1400000US24031700905,36250,100.0,95.7
239,1400000US24031701001,45500,96.8,95.2
240,1400000US24031701002,40455,100.0,100.0
241,1400000US24031701003,49167,99.1,98.7
242,1400000US24031701004,48077,83.8,94.2
243,1400000US24031701005,60625,97.9,100.0
244,1400000US24031701101,53750,94.6,89.1
245,1400000US24031701102,47614,81.0,81.5
246,1400000US24031701201,42610,93.7,90.1
247,1400000US24031701202,48421,100.0,100.0
248,1400000US24031701204,49671,91.8,83.4
249,1400000US24031701205,35375,98.0,97.8
250,1400000US24031701206,42500,97.6,100.0
251,1400000US24031701209,36250,100.0,97.9
252,1400000US24031701210,53750,97.9,93.8
253,1400000US24031701211,57714,100.0,97.1
254,1400000US24031701212,72679,96.0,100.0
255,1400000US24031701213,80287,100.0,97.7
256,1400000US24031701214,51830,100.0,100.0
257,1400000US24031701215,59250,92.4,100.0
258,1400000US24031701303,39036,97.7,100.0
259,1400000US24031701304,42879,93.4,96.8
260,1400000US24031701306,39688,91.5,100.0
261,1400000US24031701307,37400,97.4,100.0
262,1400000US24031701308,41328,100.0,100.0
263,1400000US24031701309,48409,96.9,100.0
264,1400000US24031701310,46838,95.3,96.7
265,1400000US24031701312,55078,99.2,100.0
266,1400000US24031701313,38125,97.4,92.2
267,1400000US24031701407,54219,95.6,95.0
268,1400000US24031701408,63750,99.1,92.7
269,1400000US24031701409,49545,97.4,92.8
270,1400000US24031701410,64432,97.8,90.2
271,1400000US24031701412,44650,94.0,90.8
272,1400000US24031701414,61755,93.5,100.0
273,1400000US24031701415,47361,95.5,91.1
274,1400000US24031701416,56316,93.4,96.0
275,1400000US24031701417,55446,97.7,100.0
276,1400000US24031701503,48250,95.6,89.9
277,1400000US24031701504,33375,74.4,84.1
278,1400000US24031701505,38472,96.8,93.4
279,1400000US24031701506,52946,98.3,100.0
280,1400000US24031701507,50417,97.5,100.0
281,1400000US24031701600,43309,63.1,69.2
282,1400000US24031701701,47019,98.1,94.4
283,1400000US24031701702,56157,88.5,96.6
284,1400000US24031701703,60685,86.9,85.4
285,1400000US24031701704,36711,99.4,86.6
286,1400000US24031701800,54375,97.8,93.6
287,1400000US24031701900,39205,65.0,39.9
288,1400000US24031702000,27500,70.0,40.9
289,1400000US24031702101,53102,85.9,67.5
290,1400000US24031702102,60347,98.3,97.4
291,1400000US24031702200,46625,90.6,90.2
292,1400000US24031702301,44783,67.3,73.2
293,1400000US24031702302,47188,92.7,88.7
294,1400000US24031702401,49722,91.4,89.9
295,1400000US24031702402,40804,97.2,98.0
296,1400000US24031702500,44896,96.1,88.6
297,1400000US24031702601,47409,100.0,98.9
298,1400000US24031702602,38516,88.5,93.1
299,1400000US24031702700,43942,82.6,65.1
300,1400000US24031702800,58438,100.0,100.0
301,1400000US24031702900,48942,91.4,97.1
302,1400000US24031703000,58750,100.0,100.0
303,1400000US24031703100,40603,86.4,85.7
304,1400000US24031703201,41206,79.8,87.0
305,1400000US24031703202,32857,93.1,95.3
306,1400000US24031703203,30563,93.0,86.9
307,1400000US24031703206,36827,96.3,100.0
308,1400000US24031703207,36944,88.5,97.0
309,1400000US24031703208,50948,98.8,96.4
310,1400000US24031703209,38125,85.6,85.9
311,1400000US24031703210,55625,88.6,97.3
312,1400000US24031703211,41979,92.5,90.8
313,1400000US24031703212,52143,93.2,91.2
314,1400000US24031703213,53827,64.0,86.5
315,1400000US24031703214,57266,92.8,70.2
316,1400000US24031703215,52098,92.0,100.0
317,1400000US24031703301,45909,88.3,70.0
318,1400000US24031703302,40250,79.8,77.4
319,1400000US24031703401,30913,96.9,63.0
320,1400000US24031703402,43333,71.1,71.6
321,1400000US24031703403,50662,51.0,55.9
322,1400000US24031703404,22500,59.8,67.4
323,1400000US24031703501,31250,74.1,55.2
324,1400000US24031703502,31528,94.5,90.2
325,1400000US24031703601,49306,96.7,89.2
326,1400000US24031703602,54792,94.8,87.1
327,1400000US24031703701,52105,71.9,75.9
328,1400000US24031703702,49327,88.7,66.3
329,1400000US24031703800,37813,86.0,74.2
330,1400000US24031703901,68375,90.8,87.8
331,1400000US24031703902,48603,79.8,63.2
332,1400000US24031704000,35357,87.9,92.0
333,1400000US24031704100,75027,98.7,100.0
334,1400000US24031704200,51667,97.4,100.0
335,1400000US24031704300,51310,93.2,100.0
336,1400000US24031704401,63156,98.2,100.0
337,1400000US24031704402,67411,100.0,98.2
338,1400000US24031704501,61250,100.0,100.0
339,1400000US24031704502,27125,100.0,100.0
340,1400000US24031704503,60104,97.7,96.5
341,1400000US24031704600,67417,96.2,88.4
342,1400000US24031704700,34265,100.0,100.0
343,1400000US24031704801,49341,96.6,98.9
344,1400000US24031704802,47287,95.1,100.0
345,1400000US24031705000,44031,94.9,94.1
346,1400000US24031705100,48100,98.7,100.0
347,1400000US24031705200,45893,100.0,96.8
348,1400000US24031705300,50750,100.0,100.0
349,1400000US24031705400,60563,100.0,91.6
350,1400000US24031705500,48190,100.0,98.6
351,1400000US24031705601,63250,100.0,100.0
352,1400000US24031705602,62667,100.0,100.0
353,1400000US24031705701,41875,100.0,100.0
354,1400000US24031705702,30313,100.0,100.0
355,1400000US24031705800,55625,100.0,100.0
356,1400000US24031705901,35769,100.0,100.0
357,1400000US24031705902,50446,100.0,60.6
358,1400000US24031705903,53500,100.0,100.0
359,1400000US24031706003,50365,100.0,96.6
360,1400000US24031706004,46310,92.7,100.0
361,1400000US24031706005,80125,100.0,92.3
362,1400000US24031706007,50466,100.0,95.1
363,1400000US24031706008,50536,97.7,100.0
364,1400000US24031706009,41639,98.9,100.0
365,1400000US24033800102,43750,82.7,93.5
366,1400000US24033800103,31500,100.0,94.9
367,1400000US24033800105,41458,89.1,98.4
368,1400000US24033800106,49821,88.0,91.5
369,1400000US24033800107,47019,91.7,98.2
370,1400000US24033800202,50292,92.9,99.2
371,1400000US24033800203,46818,91.0,77.7
372,1400000US24033800206,54821,96.3,98.2
373,1400000US24033800207,43594,85.4,98.2
374,1400000US24033800208,62273,96.8,96.8
375,1400000US24033800209,43967,93.8,83.4
376,1400000US24033800210,26951,100.0,77.8
377,1400000US24033800211,45083,100.0,100.0
378,1400000US24033800401,81136,94.4,100.0
379,1400000US24033800402,56223,98.6,100.0
380,1400000US24033800403,59375,86.3,100.0
381,1400000US24033800406,55750,98.1,92.3
382,1400000US24033800407,55996,88.7,91.9
383,1400000US24033800408,79719,98.5,92.9
384,1400000US24033800409,58825,96.5,92.7
385,1400000US24033800503,66964,96.0,93.8
386,1400000US24033800504,42237,97.3,96.6
387,1400000US24033800505,53125,98.4,100.0
388,1400000US24033800507,63173,81.1,100.0
389,1400000US24033800508,73953,98.5,100.0
390,1400000US24033800509,45951,97.2,100.0
391,1400000US24033800510,48985,95.5,93.2
392,1400000US24033800511,58147,92.2,100.0
393,1400000US24033800512,57125,95.1,96.1
394,1400000US24033800601,65000,91.7,100.0
395,1400000US24033800603,77361,97.7,93.5
396,1400000US24033800604,64856,100.0,90.5
397,1400000US24033800605,55197,84.9,81.0
398,1400000US24033800606,63448,88.3,93.8
399,1400000US24033800701,70769,84.0,94.2
400,1400000US24033800702,63000,96.9,100.0
401,1400000US24033800703,69196,96.9,98.5
402,1400000US24033800800,90110,98.5,94.9
403,1400000US24033800900,-,92.4,81.8
404,1400000US24033801001,69500,92.7,94.6
405,1400000US24033801002,74777,99.1,91.6
406,1400000US24033801104,59792,100.0,98.4
407,1400000US24033801202,52560,83.6,88.4
408,1400000US24033801203,72500,87.0,96.6
409,1400000US24033801204,52174,91.9,90.7
410,1400000US24033801205,51467,79.4,95.0
411,1400000US24033801206,67167,92.8,89.1
412,1400000US24033801207,80833,97.7,100.0
413,1400000US24033801301,75380,95.2,86.8
414,1400000US24033801302,57875,80.3,93.2
415,1400000US24033801305,60893,95.2,89.4
416,1400000US24033801306,56190,95.2,89.4
417,1400000US24033801307,47344,96.4,100.0
418,1400000US24033801308,54297,96.8,95.2
419,1400000US24033801309,47054,100.0,93.8
420,1400000US24033801402,49725,95.4,85.8
421,1400000US24033801403,72699,89.7,92.6
422,1400000US24033801404,95625,97.0,97.4
423,1400000US24033801405,22153,78.5,69.9
