OBJECTID,GEO.id,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000
19,1400000US11001008002,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,31,43,207,191,270,168,7
178,1400000US11001008100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,52,31,59,343,146,81
20,1400000US11001008200,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,19,17,9,55,41,124,151,170
21,1400000US11001008301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,23,13,52,116,309,204,47
60,1400000US11001008302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,30,83,319,136,27
22,1400000US11001008402,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,24,84,170,23,8
23,1400000US11001008410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,12,45,139,87,85,12,0
24,1400000US11001008701,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,8,0,35,24,223,180,65,0,0
61,1400000US11001008702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,37,21,163,104,11,0,0
25,1400000US11001008802,8,0,0,0,0,0,11,0,0,0,0,10,7,7,9,12,9,98,99,356,168,71,0,0
26,1400000US11001008803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,27,0,0,17,0
27,1400000US11001008804,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,31,83,94,39,22,8,0,0
28,1400000US11001008903,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,11,112,40,33,8,0,0,0
62,1400000US11001008904,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,18,52,53,20,0,0,0
29,1400000US11001009000,0,0,0,0,8,0,0,0,0,0,0,8,7,0,7,0,0,98,116,206,101,55,10,0
30,1400000US11001009102,0,0,0,1,15,0,0,0,0,5,0,29,0,0,7,0,13,94,160,252,47,12,0,0
31,1400000US11001009201,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,22,10,12,78,51,7,0,0,19
