GEO_ID,dem_dec,emp_dec,edu_dec,hsv_dec,ten_dec,pov_dec,ssh_dec
1400000US11001007403,-3.956840049,-4.028630093,-5.773228231,2.889160732,-3.462939598,-4.10130943,-1.771118962
1400000US11001007404,-3.923568079,-4.139036422,-4.812199444,1.962297485,-4.980410442,-8.325055605,-0.894669656
1400000US11001007406,-3.923704749,-4.378218055,-5.800837527,3.758864598,-5.62975376,-5.556058833,-0.838249362
1400000US11001007407,-4.063628392,-3.868429166,-5.350460254,0.639129486,-5.233436423,-2.449392383,-0.039330668
1400000US11001007408,-3.892857539,-3.448346803,-4.360559506,1.054371292,-4.225095964,-5.696162673,-0.364916849
1400000US11001007409,-4.120411063,-4.529217813,-7.439517174,2.460317862,-6.917787709,-5.344962741,-1.070194563
1400000US11001007502,-4.323539413,-5.279943248,-7.502157326,4.090056676,-8.238301765,-7.457320726,-2.84271323
1400000US11001007503,-4.020905696,-4.253840994,-5.78453855,9.088301496,-3.13848371,-4.441304067,-0.288363849
1400000US11001007504,-4.025258674,-3.536814144,-4.796913805,10.34677478,-5.400094341,-5.377488572,-1.46919266
1400000US11001007601,-4.594666277,-6.013725124,-7.552166567,9.718503444,-9.105098301,-4.866810599,-3.163639299
1400000US11001007603,-4.534901261,-5.851172723,-5.626579019,3.026536924,-7.391789652,-3.158332376,-4.111763725
1400000US11001007604,-4.508135511,-5.140771845,-6.234176258,1.916568122,-6.749526428,-1.957928394,-3.556688122
1400000US11001007605,-4.448957143,-5.398471541,-6.543748678,4.058132037,-6.792039317,-3.313573942,-4.103249118
1400000US11001007703,-4.39058749,-5.66830538,-7.195362037,4.532746944,-8.042339113,-4.084569065,-1.845352289
1400000US11001007707,-4.500676569,-4.823609788,-6.145826459,1.429129979,-7.726217144,-3.266107388,-2.802106243
1400000US11001007708,-4.213619004,-3.850114206,-4.881432276,8.586515579,-6.568000529,-2.854583685,-1.00250191
1400000US11001007709,-4.215579422,-3.83100674,-5.258895007,14.02102069,-1.49096861,-2.548026377,-1.84587446
1400000US11001007803,-4.444447231,-4.2122524,-5.546974043,2.164902472,-5.117061242,-4.03895074,-2.477621241
1400000US11001007804,-4.406063662,-3.923038319,-5.08985097,8.596169776,-5.70903938,-4.876929047,-0.835194037
1400000US11001007806,-4.280185804,-3.442562972,-4.605988015,5.737401883,-2.561881156,-2.584846234,-0.414563009
1400000US11001007807,-4.182147851,-3.011858594,-4.691259946,0.06157963,-4.001679456,-3.056268129,-0.946555562
1400000US11001007808,-4.375543564,-4.640463662,-6.319059473,6.647235672,-7.393361871,-5.713919792,-0.567373469
1400000US11001007809,-4.342021086,-3.95473315,-4.794851832,1.257718298,-3.845303303,-5.315111975,-0.605290897
1400000US11001007901,-4.407073716,-4.908629719,-5.406476753,4.17289962,-7.399078815,-5.90986745,-0.728810223
1400000US11001007903,-4.273191392,-3.458365724,-4.589775199,8.618676773,-2.338336326,-3.132857253,-1.278550111
1400000US11001008001,-4.153089088,-4.262049879,-4.180923942,2.563672336,-4.635319453,-2.916138896,-2.423512749
1400000US11001008002,-4.014172688,-5.336679213,-5.604161531,3.764063677,-3.685589895,-2.804924203,-2.283086421
1400000US11001008100,-3.326683618,-4.734932288,-6.71307828,7.956487574,-1.761105671,-1.111361337,-4.292596104
