,GEO.id,HD01_VD01
938,1400000US51510200301,73008
939,1400000US51510200302,99539
940,1400000US51510200303,59383
941,1400000US51510200403,106711
942,1400000US51510200404,137240
943,1400000US51510200405,61886
944,1400000US51510200406,58182
945,1400000US51510200407,64038
946,1400000US51510200500,48423
947,1400000US51510200600,81316
948,1400000US51510200701,133708
949,1400000US51510200702,105208
950,1400000US51510200703,96354
951,1400000US51510200801,132760
952,1400000US51510200802,86726
953,1400000US51510200900,160172
954,1400000US51510201000,79437
955,1400000US51510201100,130350
956,1400000US51510201202,89147
957,1400000US51510201203,44264
958,1400000US51510201204,60510
959,1400000US51510201300,96250
960,1400000US51510201400,99531
961,1400000US51510201500,145515
962,1400000US51510201600,100234
963,1400000US51510201801,103727
964,1400000US51510201802,137396
965,1400000US51510201900,104000
966,1400000US51510202001,157375
967,1400000US51510202002,89801
968,1400000US51610500100,135361
969,1400000US51610500200,92188
970,1400000US51610500300,114493
