OBJECTID,GEO.id,dec_bpl,dec_bplp,dec_bplm,dec_bplf,dec_bplmp,dec_bplfp
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,1400000US11001001902,179,8.8,48,46,26.2,15.7
178,1400000US11001008100,150,6.2,59,38,9.2,7.0
179,1400000US11001000801,442,7.4,119,167,14.2,10.7
180,1400000US51059415100,178,5.5,15,76,8.1,25.8
181,,,,,,,
182,1400000US51059416000,304,7.5,69,26,18.9,8.3
183,1400000US51059420100,131,4.0,11,15,7.7,10.3
184,1400000US51059420800,178,5.4,12,40,6.7,19.0
185,1400000US51059421200,5,0.2,0,5,0.0,5.7
186,1400000US51059421600,760,13.8,152,60,25.9,13.9
187,1400000US51059421800,265,5.8,48,59,8.6,8.5
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,1400000US51059430500,6,0.4,0,6,0.0,6.7
192,,,,,,,
193,,,,,,,
194,1400000US51059431900,65,1.9,0,17,0.0,25.8
195,1400000US51059432300,147,3.0,0,38,0.0,19.2
196,,,,,,,
197,1400000US51059440600,160,6.5,31,5,23.0,4.0
198,1400000US51059450200,569,12.5,86,95,17.3,28.8
199,1400000US51059450500,128,4.5,55,27,24.1,17.0
200,,,,,,,
201,1400000US51059451300,71,3.5,21,14,11.3,4.4
202,1400000US51059451900,961,15.9,168,99,21.5,15.4
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,1400000US51059460200,56,1.4,0,7,0.0,11.7
207,1400000US51059460300,5,0.2,0,5,0.0,5.7
208,1400000US51059460600,188,4.4,58,78,20.9,25.9
209,1400000US51059461000,45,1.9,8,37,6.1,15.4
210,,,,,,,
211,,,,,,,
212,1400000US51059470600,74,3.1,0,74,0.0,27.8
213,1400000US51059471000,19,1.1,6,13,3.2,4.6
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,1400000US51059481000,96,2.4,0,34,0.0,13.8
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,1400000US51013100100,130,3.1,25,58,6.3,12.2
232,1400000US51013100400,46,1.4,5,28,2.7,9.8
233,1400000US51013100800,39,2.7,19,20,13.9,9.7
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,1400000US51013101900,78,3.2,10,68,3.1,14.2
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,1400000US51013103402,194,6.4,92,53,9.9,7.8
242,,,,,,,
243,1400000US51510200103,710,10.3,93,120,8.8,13.8
244,,,,,,,
245,1400000US51510200301,606,17.4,102,131,18.1,20.0
246,,,,,,,
247,1400000US51510200500,567,13.4,86,93,8.0,7.0
248,1400000US51510200600,325,7.4,74,66,13.0,12.3
249,,,,,,,
250,,,,,,,
251,1400000US51510200900,39,0.9,0,20,0.0,4.5
252,1400000US51510201204,287,9.8,62,78,10.7,20.5
253,1400000US51510201600,766,18.8,102,87,12.0,13.2
254,1400000US51510202001,32,1.5,0,32,0.0,9.9
255,,,,,,,
256,1400000US51610500300,89,2.7,33,19,6.6,4.3
257,1400000US51059415200,135,4.5,40,41,7.5,4.8
258,1400000US51059415300,153,4.1,32,84,8.2,19.2
259,,,,,,,
260,1400000US51059415500,640,11.6,66,74,25.6,14.8
261,1400000US51059415600,80,3.2,12,14,5.6,6.3
262,1400000US51059415700,69,1.9,4,11,5.8,7.0
263,1400000US51059415800,76,1.7,12,33,7.9,17.2
264,1400000US51059415900,43,1.4,7,14,7.8,9.1
265,1400000US51059416100,46,1.3,0,11,0.0,5.6
266,1400000US51059416200,190,4.6,19,51,15.4,82.3
267,1400000US51059416300,38,2.2,6,5,5.9,3.8
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,1400000US51059420300,205,3.9,34,14,8.9,3.4
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,1400000US51059420600,485,11.1,94,38,16.2,11.1
276,1400000US51059420700,72,2.0,8,43,5.8,16.5
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,1400000US51059421300,56,1.5,8,26,3.4,8.4
283,1400000US51059421400,571,9.7,103,200,13.5,29.5
284,1400000US51059421500,1222,21.8,107,124,22.2,27.7
285,,,,,,,
286,,,,,,,
287,1400000US51059421900,248,8.5,0,21,0.0,77.8
288,1400000US51059422000,145,5.6,8,14,4.0,4.4
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,1400000US51059430400,80,1.2,45,10,12.6,2.9
301,1400000US51059430600,395,6.2,93,51,18.2,15.3
302,1400000US51059430700,114,4.5,10,19,6.8,9.8
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,1400000US51059431300,66,1.5,10,15,12.0,8.9
309,1400000US51059431400,170,3.9,3,15,2.1,6.4
310,1400000US51059431500,34,0.7,0,20,0.0,7.7
311,1400000US51059431600,419,6.9,26,0,9.6,0.0
312,,,,,,,
313,1400000US51059432000,100,3.0,9,16,5.4,11.9
314,1400000US51059432100,34,1.0,12,22,5.3,6.1
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,1400000US51059432500,84,1.4,5,18,4.2,9.1
320,1400000US51059432600,51,1.1,10,19,5.2,9.6
321,,,,,,,
322,1400000US51059432800,110,5.1,12,15,10.1,16.3
323,1400000US51059440100,248,3.5,55,34,15.4,7.6
324,,,,,,,
325,,,,,,,
326,1400000US51059440300,65,2.4,0,15,0.0,12.2
327,,,,,,,
328,,,,,,,
