OBJECTID,GEO.id,dec_bpl,dec_bplp,dec_bplm,dec_bplf,dec_bplmp,dec_bplfp
658,1400000US24031700204,54,2.8,6,12,10.9,7.3
659,1400000US24031700205,164,3.2,0,17,0.0,17.0
660,1400000US24031700206,88,1.6,13,0,10.2,0.0
661,,,,,,,
662,,,,,,,
663,1400000US24031700306,151,2.5,34,39,10.1,9.8
664,1400000US24031700813,282,5.3,22,52,6.0,9.8
665,1400000US24031700816,547,7.2,95,153,11.4,21.7
666,1400000US24031700817,252,6.1,95,58,14.9,7.5
667,1400000US24031700818,241,4.2,56,85,6.6,12.6
668,1400000US24031700819,323,5.3,23,40,5.3,8.1
669,,,,,,,
670,,,,,,,
671,1400000US24033803300,708,15.2,59,60,18.9,25.3
672,1400000US24033803401,317,22.9,20,0,19.6,0.0
673,1400000US24033803402,654,13.8,69,45,20.8,19.1
674,1400000US24033803508,1312,26.1,60,80,18.5,26.0
675,1400000US24033803509,701,23.1,15,135,5.5,41.9
676,1400000US24033803513,215,4.9,25,43,7.5,8.8
677,1400000US24033803514,71,2.7,21,50,8.3,8.7
678,1400000US24033803516,214,6.7,0,40,0.0,15.5
679,1400000US24033806711,228,5.7,47,48,10.9,9.9
680,,,,,,,
681,,,,,,,
682,1400000US24033806800,166,4.5,62,84,17.5,21.9
683,1400000US24033806900,347,9.0,120,56,27.0,16.6
684,1400000US24033807000,1077,23.2,564,353,45.8,43.7
685,1400000US24033807102,200,8.4,82,97,24.3,26.4
686,1400000US24033807200,1314,45.0,754,514,55.1,63.6
687,1400000US24033807301,588,18.5,217,247,28.9,43.0
688,1400000US24033807305,224,6.3,45,48,23.0,21.9
689,1400000US24033807404,274,5.8,60,132,14.2,33.4
690,1400000US24033807407,271,5.9,36,100,7.0,18.5
691,1400000US24033807408,278,5.2,45,73,8.9,9.3
692,,,,,,,
693,,,,,,,
694,,,,,,,
695,,,,,,,
696,,,,,,,
697,,,,,,,
698,,,,,,,
699,,,,,,,
700,,,,,,,
701,1400000US24033803601,174,5.0,28,8,17.0,4.7
702,1400000US24033803602,194,10.1,0,32,0.0,21.8
703,1400000US24033803605,176,2.8,18,54,5.6,12.8
704,1400000US24033803606,353,7.3,75,15,27.8,6.4
705,1400000US24033803608,243,4.5,36,62,13.3,17.1
706,1400000US24033803610,252,7.9,53,15,21.8,9.7
707,1400000US24033803612,404,12.5,55,81,14.4,22.0
708,1400000US24033803700,226,10.6,7,22,7.5,16.2
709,1400000US24033803801,80,3.8,0,37,0.0,27.4
710,1400000US24033803803,430,8.2,51,23,14.5,6.9
711,1400000US24033803900,780,20.0,59,89,22.5,32.7
712,1400000US24033804002,435,11.6,86,100,19.8,27.8
713,1400000US24033804101,271,7.9,41,27,14.9,13.9
714,1400000US24033804102,527,10.0,39,103,10.2,27.7
715,1400000US24033804200,137,4.6,22,22,9.8,9.0
716,1400000US24033804300,624,18.1,255,42,50.8,16.7
717,1400000US24033804600,354,12.5,59,42,18.9,21.1
718,1400000US24033804700,435,11.4,100,69,30.0,21.2
719,,,,,,,
720,,,,,,,
721,1400000US24033805000,482,9.2,111,112,24.4,13.1
722,1400000US24033805101,462,13.7,123,29,28.5,9.9
723,1400000US24033805201,656,17.0,58,104,18.0,27.4
724,1400000US24033805202,328,9.3,28,38,9.8,14.1
725,1400000US24033805500,403,9.6,84,99,17.9,25.1
726,1400000US24033805602,1211,23.8,252,121,25.9,35.4
727,1400000US24033805700,739,13.8,130,72,28.4,20.0
728,1400000US24033805801,263,6.9,16,102,9.0,39.2
729,1400000US24033805802,267,7.7,32,72,14.7,29.4
730,,,,,,,
731,,,,,,,
732,,,,,,,
733,,,,,,,
734,1400000US24033806000,460,11.2,41,50,9.6,13.3
735,1400000US24033806100,347,8.2,95,74,22.3,14.3
736,1400000US24033806300,148,7.9,32,60,16.9,32.8
737,1400000US24033806400,189,6.0,91,37,30.4,14.3
738,1400000US24033806501,638,13.9,93,90,17.9,24.5
739,1400000US24033806601,669,15.6,80,48,26.7,24.0
740,1400000US24033806706,124,3.5,26,62,7.6,12.1
741,1400000US24033806708,356,8.6,133,195,18.3,21.2
742,1400000US24033806710,284,5.9,61,71,12.2,13.3
743,1400000US24033803607,61,2.1,22,20,20.2,15.2
744,1400000US24031701417,221,4.7,82,60,11.1,5.1
745,,,,,,,
746,1400000US24033807405,229,4.8,29,16,7.9,4.1
747,1400000US24031704502,67,2.5,0,34,0.0,25.0
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,,,,,,,
752,1400000US24031700902,497,14.1,39,72,11.5,26.1
753,1400000US24031700903,305,15.5,50,28,22.4,13.0
754,1400000US24031700904,158,9.1,6,56,3.3,19.4
755,1400000US24031700905,536,13.6,86,62,20.3,13.3
756,1400000US24031701001,365,7.0,49,25,12.3,5.3
757,1400000US24031701004,315,6.3,64,43,13.9,9.6
758,1400000US24031701005,79,3.2,56,14,25.0,5.4
759,,,,,,,
760,,,,,,,
761,1400000US24031701101,168,3.9,11,39,3.8,11.0
762,1400000US24031701201,611,10.4,50,79,8.7,12.9
763,1400000US24031701202,49,1.9,11,2,10.0,0.9
764,1400000US24031701205,100,1.8,10,7,6.4,3.0
765,1400000US24031701206,347,5.5,27,59,15.4,19.8
766,1400000US24031701211,289,7.8,82,46,25.7,22.1
767,1400000US24031701212,98,3.5,20,34,14.7,45.9
768,1400000US24031701213,153,3.0,17,76,3.5,6.8
769,1400000US24031701214,47,2.6,8,29,2.2,5.5
770,,,,,,,
771,,,,,,,
772,,,,,,,
773,,,,,,,
774,,,,,,,
775,1400000US24031701303,34,0.9,0,22,0.0,13.3
776,1400000US24031701306,28,1.0,6,22,10.2,27.8
777,1400000US24031701307,71,2.7,6,7,4.1,7.7
778,1400000US24031701308,42,1.8,2,12,3.2,10.5
779,1400000US24031701312,229,3.7,10,11,5.8,5.3
780,,,,,,,
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,1400000US24031701408,105,1.9,48,9,20.9,3.0
785,1400000US24031701410,157,2.3,23,68,5.5,12.7
786,1400000US24031701414,436,6.1,51,76,12.2,20.3
787,1400000US24031701415,338,4.5,32,45,14.3,16.4
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,1400000US24031701503,315,5.0,47,48,17.5,18.2
793,1400000US24031701505,339,5.2,158,134,19.6,19.8
794,1400000US24031701506,84,1.7,20,48,6.6,12.2
795,1400000US24031701507,181,3.5,21,75,13.3,24.0
796,,,,,,,
797,,,,,,,
798,1400000US24031701701,364,10.3,70,156,15.8,28.1
799,1400000US24031701702,352,15.4,49,53,11.9,14.9
800,1400000US24031701703,311,9.2,65,35,20.7,9.6
801,1400000US24031701704,204,7.6,56,49,18.7,14.0
802,1400000US24031701800,569,11.7,47,153,11.6,25.0
803,1400000US24031702000,722,13.7,142,60,26.7,22.6
804,1400000US24031702101,700,13.0,102,103,21.9,23.1
805,1400000US24031701407,101,1.8,35,14,28.5,7.1
806,1400000US24031702200,195,4.7,30,26,10.3,7.4
807,1400000US24031702301,397,10.6,64,106,16.1,23.2
808,1400000US24031702302,463,11.3,45,47,10.9,8.9
809,1400000US24031702401,224,8.9,61,44,27.7,13.3
810,1400000US24031702402,380,8.2,42,119,7.1,16.2
811,1400000US24031702601,330,7.8,100,144,11.9,12.5
812,1400000US24031702602,407,8.9,95,128,10.2,10.3
813,1400000US24031702700,491,7.6,107,113,19.7,19.1
814,1400000US24031702800,294,6.6,116,45,18.8,5.0
815,1400000US24031702900,110,2.2,30,61,5.8,8.4
816,1400000US24031703000,84,5.0,23,45,12.0,19.5
817,1400000US24031703100,229,5.3,56,56,15.9,13.2
818,1400000US24031703202,126,2.4,40,22,12.1,4.8
819,1400000US24031703206,68,2.0,11,19,8.3,7.9
820,1400000US24031703207,558,10.7,106,87,20.7,20.1
821,1400000US24031703208,193,3.8,54,47,24.1,16.7
822,1400000US24031703210,154,5.0,15,22,10.0,9.9
823,1400000US24031703212,561,7.4,62,124,11.2,20.4
824,1400000US24031703213,760,14.0,88,131,12.3,18.9
825,1400000US24031703214,945,14.2,156,143,19.5,18.9
826,1400000US24031703215,108,3.6,6,42,2.6,18.0
827,,,,,,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,1400000US24031703302,332,9.0,10,97,6.4,37.0
832,1400000US24031703401,151,3.3,22,90,7.4,26.7
833,1400000US24031703403,153,4.7,30,14,17.6,6.9
834,1400000US24031703404,284,9.9,31,41,15.9,20.2
835,1400000US24031703501,706,11.5,90,116,18.0,23.7
836,1400000US24031703502,252,8.6,45,57,14.5,14.6
837,1400000US24031703601,229,5.4,28,66,8.7,11.1
838,1400000US24031703701,204,5.7,16,32,9.4,11.1
839,1400000US24031703702,343,9.2,46,45,14.2,15.9
840,1400000US24031703800,115,5.6,36,46,12.3,19.0
841,1400000US24031703901,98,3.5,18,28,9.9,10.1
842,1400000US24031704000,277,4.7,58,112,9.2,14.1
843,1400000US24031704100,87,2.0,13,15,6.8,4.9
844,1400000US24031704200,38,2.1,10,20,7.1,9.0
845,1400000US24031704300,38,1.1,18,6,8.9,1.6
846,1400000US24031704401,102,3.6,11,19,6.5,7.9
847,,,,,,,
848,1400000US24031704501,131,3.9,37,19,18.2,7.1
849,1400000US24031704503,167,4.8,38,86,16.5,23.9
850,1400000US24031704600,117,2.4,12,92,3.9,12.0
851,1400000US24031704700,72,1.9,6,39,3.0,14.9
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,1400000US24031705000,145,3.5,78,67,14.1,7.6
856,1400000US24031705100,83,1.7,22,30,10.5,6.4
857,1400000US24031705200,39,1.2,4,10,3.7,5.1
858,1400000US24031705400,56,2.1,12,20,9.9,10.4
859,,,,,,,
860,,,,,,,
861,1400000US24031705702,70,1.5,25,34,10.1,5.9
862,1400000US24031705800,109,1.9,30,64,10.1,14.1
863,1400000US24031705902,85,2.1,0,55,0.0,18.9
864,1400000US24031705903,97,2.3,21,32,16.7,12.2
865,1400000US24031706005,200,4.5,14,45,11.5,17.9
866,1400000US24031706007,116,1.6,13,24,5.6,9.3
867,1400000US24031706008,64,1.2,0,64,0.0,23.8
868,1400000US24031706009,105,1.9,0,35,0.0,17.1
869,,,,,,,
870,,,,,,,
871,,,,,,,
872,1400000US24033800102,210,8.1,49,49,12.7,10.9
873,1400000US24033800103,147,7.3,63,55,15.2,20.0
874,1400000US24033800105,79,2.5,3,33,0.9,9.3
875,,,,,,,
876,,,,,,,
877,1400000US24033800203,90,2.2,6,50,3.3,24.3
878,1400000US24033800206,242,6.4,62,81,15.9,21.1
879,1400000US24033800208,113,1.9,28,61,8.1,11.5
880,1400000US24033800210,289,9.9,20,67,5.0,17.0
881,1400000US24033800211,139,4.9,39,54,10.4,9.4
882,,,,,,,
883,,,,,,,
884,,,,,,,
885,1400000US24033800401,16,0.6,12,4,7.5,3.0
886,1400000US24033800402,125,2.4,18,72,6.9,17.3
887,1400000US24033800403,20,0.7,0,5,0.0,2.6
888,1400000US24033800409,105,1.7,13,32,8.6,10.7
889,,,,,,,
890,,,,,,,
891,,,,,,,
892,1400000US24033800504,70,1.5,37,19,14.2,5.1
893,1400000US24033800505,47,1.7,6,26,4.2,22.2
894,1400000US24033800507,74,3.2,0,23,0.0,9.5
895,1400000US24033800509,140,2.3,10,31,6.2,13.0
896,1400000US24033800511,82,1.5,0,4,0.0,1.0
897,,,,,,,
898,,,,,,,
899,,,,,,,
900,,,,,,,
901,,,,,,,
902,,,,,,,
903,1400000US24033800601,161,7.0,6,16,8.7,15.4
904,1400000US24033800604,32,1.9,0,32,0.0,30.2
905,1400000US24033800605,53,1.6,0,12,0.0,4.3
906,1400000US24033800606,168,4.3,23,53,3.9,7.9
907,,,,,,,
908,,,,,,,
909,1400000US24033800701,167,3.6,64,62,24.4,26.6
910,,,,,,,
911,,,,,,,
912,,,,,,,
913,1400000US24033800800,127,3.9,80,12,37.4,8.5
914,1400000US24033800900,158,9.6,14,42,20.6,45.2
915,,,,,,,
916,,,,,,,
917,1400000US24033801104,157,2.4,0,0,0.0,0.0
918,1400000US24033801207,220,5.3,12,35,6.9,19.8
919,,,,,,,
920,,,,,,,
921,,,,,,,
922,,,,,,,
923,,,,,,,
924,,,,,,,
925,,,,,,,
926,,,,,,,
927,1400000US24033801302,122,4.8,13,25,8.2,12.0
928,1400000US24033801305,7,0.1,0,7,0.0,3.6
929,1400000US24033801307,155,4.4,18,22,15.8,16.4
930,1400000US24033801309,20,0.6,0,0,0.0,0.0
931,,,,,,,
932,,,,,,,
933,,,,,,,
934,1400000US24033801404,353,7.7,44,69,11.2,16.2
935,1400000US24033801405,375,9.3,57,84,21.8,23.4
936,1400000US24033801406,132,4.2,16,15,5.8,3.6
937,1400000US24033801407,160,2.6,32,41,8.4,10.5
938,,,,,,,
939,,,,,,,
940,,,,,,,
941,1400000US24033801500,86,3.3,6,15,4.3,9.2
942,1400000US24033801600,205,7.0,30,25,11.2,9.7
943,1400000US24033801701,410,9.1,44,35,10.6,7.7
944,1400000US24033801704,462,9.4,96,172,14.3,28.4
945,1400000US24033801706,197,10.7,41,18,23.6,10.1
946,1400000US24033801707,881,14.0,95,92,15.4,21.4
947,1400000US24033801708,413,11.0,48,66,12.7,22.2
948,1400000US24033801802,395,9.7,58,56,14.6,13.4
949,1400000US24033801804,75,3.5,6,26,9.5,17.3
950,1400000US24033801807,468,9.9,55,71,9.0,13.7
951,1400000US24033801808,167,4.6,15,42,5.0,10.0
952,1400000US24033801901,96,2.1,24,44,9.1,16.9
953,1400000US24033801904,326,10.0,62,56,19.4,18.0
954,1400000US24033801905,51,1.5,40,11,18.5,5.4
955,1400000US24033801906,157,6.6,17,30,7.2,15.2
956,,,,,,,
957,1400000US24033802001,781,14.0,114,37,19.9,7.2
958,1400000US24033802002,334,8.5,67,89,17.9,23.5
959,1400000US24033802103,116,3.9,50,13,24.3,5.2
960,,,,,,,
961,,,,,,,
962,1400000US24033802201,114,5.7,22,23,9.2,12.6
963,1400000US24033802204,287,5.1,63,27,21.0,7.8
964,1400000US24033802301,62,1.7,11,36,8.7,15.7
965,1400000US24033802404,596,13.4,49,78,12.0,15.3
966,1400000US24033802405,329,7.7,0,95,0.0,21.1
967,,,,,,,
968,,,,,,,
969,1400000US24033802501,272,7.6,64,107,18.4,26.8
970,1400000US24033802502,429,14.8,125,45,40.1,23.0
971,1400000US24033802700,280,10.3,35,33,14.9,17.0
972,1400000US24033802803,579,12.1,106,57,31.2,13.6
973,1400000US24033802804,753,12.3,37,116,12.8,29.7
974,1400000US24033802805,434,9.1,43,63,18.1,27.5
975,1400000US24033802901,842,19.8,77,79,30.1,24.1
