GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",755,96,5,12,0,132,0,132,0,132,0,132,24,37,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,16,9,14,10,15,86,79,276,81,199,77,137,89,0,132,0,132
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",180,55,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,19,12,19,0,132,10,19,10,15,22,24,63,35,50,38,0,132,0,132,0,132
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",911,108,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,19,22,0,132,0,132,0,132,0,132,0,132,51,66,31,29,47,40,281,106,264,76,208,78,0,132,10,17
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",498,87,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,33,36,9,14,94,45,318,86,38,38,6,12
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",657,113,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,14,0,132,10,17,10,16,13,20,42,35,130,66,175,82,264,89,0,132,5,9
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",729,60,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,16,12,18,0,132,0,132,0,132,10,15,0,132,0,132,11,16,13,19,0,132,150,67,319,80,204,70
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",638,125,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,34,38,31,35,78,53,67,54,64,52,177,82,142,79,45,41
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",925,116,0,132,24,41,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,87,84,58,32,63,56,198,75,447,109,48,41
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",327,93,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,38,36,20,24,58,38,61,49,131,70,11,17,8,13
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",227,86,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,33,29,49,36,52,40,32,36,51,36,10,16,0,132
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",578,110,6,11,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,13,0,132,0,132,0,132,0,132,0,132,0,132,14,21,0,132,15,20,140,61,101,57,202,72,66,46,26,23
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",366,97,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,1,5,32,32,43,35,202,84,46,42,42,34
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",604,112,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,31,50,0,132,24,25,0,132,11,17,12,19,0,132,0,132,0,132,44,35,46,35,126,63,197,82,72,40,29,45,12,19
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",972,150,0,132,0,132,0,132,0,132,0,132,9,13,0,132,0,132,0,132,0,132,0,132,8,13,0,132,14,21,36,45,0,132,36,33,101,67,58,40,283,106,313,108,80,55,10,15,24,27
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",917,125,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,16,0,132,0,132,4,12,0,132,0,132,0,132,34,30,34,32,90,52,182,85,413,109,150,93,0,132
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",541,124,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,6,13,0,132,10,16,16,17,129,69,94,64,267,131,7,11,12,16
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",590,113,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,24,29,0,132,0,132,0,132,0,132,0,132,82,46,58,52,120,73,131,70,147,76,28,24,0,132
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",303,92,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,5,7,0,132,0,132,36,40,25,23,80,49,95,59,57,62,5,8,0,132
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",576,104,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,20,0,132,0,132,0,132,14,17,37,36,95,51,108,56,203,85,110,56,0,132
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",426,127,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,20,10,16,99,98,62,58,146,60,76,62,20,25,0,132
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",741,134,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,50,41,139,83,25,28,370,93,58,59,99,83
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",815,149,0,132,0,132,0,132,0,132,0,132,0,132,0,132,29,44,0,132,0,132,0,132,0,132,0,132,0,132,19,29,59,47,46,42,26,30,50,38,231,96,178,83,66,49,90,56,21,30
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",1176,137,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,8,13,0,132,30,33,42,39,223,85,197,91,340,102,99,58,237,70
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",582,106,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,15,0,132,0,132,0,132,12,20,9,13,80,41,103,48,252,94,28,20,89,43
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",713,106,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,9,15,12,19,0,132,0,132,0,132,0,132,0,132,23,28,11,18,82,36,60,39,100,46,51,34,365,71
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",803,135,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,31,51,0,132,32,36,38,46,196,96,163,91,224,75,56,41,63,38
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",649,113,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,19,23,0,132,0,132,10,15,13,20,100,47,144,72,127,45,98,49,138,50
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",382,122,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,36,34,58,71,26,32,15,25,66,39,95,59,86,67
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",1191,172,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,15,23,42,51,0,132,135,76,195,101,421,127,265,106,118,83
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",594,122,0,132,0,132,0,132,0,132,0,132,13,20,0,132,14,21,0,132,0,132,0,132,0,132,11,20,0,132,0,132,0,132,0,132,6,13,0,132,109,72,199,81,242,109,0,132,0,132
