GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,pVD02,pVD03
Id,Id2,Geography,Total:,Owner occupied,Renter occupied,perc Owner occupied,perc Renter occupied
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1539,596,943,0.387264457,0.612735543
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1173,623,550,0.531116795,0.468883205
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",860,497,363,0.577906977,0.422093023
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1085,372,713,0.342857143,0.657142857
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",528,381,147,0.721590909,0.278409091
1400000US11001008500,11001008500,"Census Tract 85, District of Columbia, District of Columbia",1128,677,451,0.600177305,0.399822695
1400000US11001008600,11001008600,"Census Tract 86, District of Columbia, District of Columbia",13,7,6,0.538461538,0.461538462
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",750,463,287,0.617333333,0.382666667
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",737,261,476,0.354138399,0.645861601
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1597,764,833,0.478396994,0.521603006
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",430,52,378,0.120930233,0.879069767
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1068,232,836,0.217228464,0.782771536
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1040,316,724,0.303846154,0.696153846
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1424,193,1231,0.135533708,0.864466292
1400000US11001008905,11001008905,"Census Tract 89.05, District of Columbia, District of Columbia",0,0,0,#DIV/0!,#DIV/0!
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1466,438,1028,0.298772169,0.701227831
1400000US11001009101,11001009101,"Census Tract 91.01, District of Columbia, District of Columbia",1713,1223,490,0.713952131,0.286047869
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1634,633,1001,0.387392901,0.612607099
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",502,182,320,0.362549801,0.637450199
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1172,569,603,0.485494881,0.514505119
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1103,145,958,0.131459655,0.868540345
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1125,878,247,0.780444444,0.219555556
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",491,344,147,0.700610998,0.299389002
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1686,1356,330,0.804270463,0.195729537
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1767,307,1460,0.173740804,0.826259196
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1207,1114,93,0.922949461,0.077050539
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1318,714,604,0.541729894,0.458270106
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1149,945,204,0.822454308,0.177545692
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",655,512,143,0.781679389,0.218320611
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1316,783,533,0.594984802,0.405015198
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1233,1139,94,0.923763179,0.076236821
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",722,307,415,0.425207756,0.574792244
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1318,118,1200,0.08952959,0.91047041
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1613,487,1126,0.301921885,0.698078115
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",923,650,273,0.704225352,0.295774648
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",865,355,510,0.410404624,0.589595376
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",685,117,568,0.17080292,0.82919708
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",574,165,409,0.287456446,0.712543554
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",974,195,779,0.200205339,0.799794661
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",904,291,613,0.321902655,0.678097345
1400000US11001009806,11001009806,"Census Tract 98.06, District of Columbia, District of Columbia",2369,312,2057,0.13170114,0.86829886
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1259,522,737,0.414614774,0.585385226
1400000US11001009808,11001009808,"Census Tract 98.08, District of Columbia, District of Columbia",1190,89,1101,0.074789916,0.925210084
1400000US11001009809,11001009809,"Census Tract 98.09, District of Columbia, District of Columbia",0,0,0,#DIV/0!,#DIV/0!
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",1009,867,142,0.859266601,0.140733399
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1186,895,291,0.754637437,0.245362563
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",860,351,509,0.408139535,0.591860465
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",778,80,698,0.102827763,0.897172237
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1034,374,660,0.361702128,0.638297872
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",693,186,507,0.268398268,0.731601732
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1050,334,716,0.318095238,0.681904762
1400000US24031700101,24031700101,"Census Tract 7001.01, Montgomery County, Maryland",1238,1181,57,0.953957997,0.046042003
1400000US24031700102,24031700102,"Census Tract 7001.02, Montgomery County, Maryland",3839,3355,484,0.873925501,0.126074499
1400000US24031700103,24031700103,"Census Tract 7001.03, Montgomery County, Maryland",1415,1323,92,0.934982332,0.065017668
1400000US24031700202,24031700202,"Census Tract 7002.02, Montgomery County, Maryland",2340,1864,476,0.796581197,0.203418803
1400000US24031700204,24031700204,"Census Tract 7002.04, Montgomery County, Maryland",698,596,102,0.853868195,0.146131805
1400000US24031700205,24031700205,"Census Tract 7002.05, Montgomery County, Maryland",1554,1495,59,0.962033462,0.037966538
1400000US24031700206,24031700206,"Census Tract 7002.06, Montgomery County, Maryland",1644,1559,85,0.948296837,0.051703163
1400000US24031700302,24031700302,"Census Tract 7003.02, Montgomery County, Maryland",1053,940,113,0.892687559,0.107312441
1400000US24031700304,24031700304,"Census Tract 7003.04, Montgomery County, Maryland",2002,1512,490,0.755244755,0.244755245
1400000US24031700306,24031700306,"Census Tract 7003.06, Montgomery County, Maryland",2075,1830,245,0.881927711,0.118072289
1400000US24031700308,24031700308,"Census Tract 7003.08, Montgomery County, Maryland",2285,1706,579,0.746608315,0.253391685
1400000US24031700309,24031700309,"Census Tract 7003.09, Montgomery County, Maryland",1555,1029,526,0.661736334,0.338263666
1400000US24031700310,24031700310,"Census Tract 7003.10, Montgomery County, Maryland",1739,999,740,0.574468085,0.425531915
1400000US24031700400,24031700400,"Census Tract 7004, Montgomery County, Maryland",747,608,139,0.813922356,0.186077644
1400000US24031700500,24031700500,"Census Tract 7005, Montgomery County, Maryland",2107,1815,292,0.861414333,0.138585667
1400000US24031700604,24031700604,"Census Tract 7006.04, Montgomery County, Maryland",2038,1947,91,0.955348381,0.044651619
1400000US24031700605,24031700605,"Census Tract 7006.05, Montgomery County, Maryland",2366,2178,188,0.920540997,0.079459003
1400000US24031700606,24031700606,"Census Tract 7006.06, Montgomery County, Maryland",1443,1352,91,0.936936937,0.063063063
1400000US24031700607,24031700607,"Census Tract 7006.07, Montgomery County, Maryland",2331,2056,275,0.882024882,0.117975118
1400000US24031700608,24031700608,"Census Tract 7006.08, Montgomery County, Maryland",1454,1432,22,0.984869326,0.015130674
1400000US24031700609,24031700609,"Census Tract 7006.09, Montgomery County, Maryland",3453,2526,927,0.731537793,0.268462207
1400000US24031700610,24031700610,"Census Tract 7006.10, Montgomery County, Maryland",684,607,77,0.887426901,0.112573099
1400000US24031700704,24031700704,"Census Tract 7007.04, Montgomery County, Maryland",998,680,318,0.681362725,0.318637275
1400000US24031700705,24031700705,"Census Tract 7007.05, Montgomery County, Maryland",2220,1132,1088,0.50990991,0.49009009
1400000US24031700706,24031700706,"Census Tract 7007.06, Montgomery County, Maryland",1251,368,883,0.294164668,0.705835332
1400000US24031700708,24031700708,"Census Tract 7007.08, Montgomery County, Maryland",3072,1431,1641,0.465820313,0.534179688
1400000US24031700710,24031700710,"Census Tract 7007.10, Montgomery County, Maryland",1931,1578,353,0.817193164,0.182806836
1400000US24031700711,24031700711,"Census Tract 7007.11, Montgomery County, Maryland",1990,1454,536,0.730653266,0.269346734
1400000US24031700712,24031700712,"Census Tract 7007.12, Montgomery County, Maryland",2936,1453,1483,0.494891008,0.505108992
1400000US24031700713,24031700713,"Census Tract 7007.13, Montgomery County, Maryland",2024,719,1305,0.355237154,0.644762846
1400000US24031700714,24031700714,"Census Tract 7007.14, Montgomery County, Maryland",3022,366,2656,0.121111846,0.878888154
1400000US24031700715,24031700715,"Census Tract 7007.15, Montgomery County, Maryland",1716,1444,272,0.841491841,0.158508159
1400000US24031700716,24031700716,"Census Tract 7007.16, Montgomery County, Maryland",2506,1910,596,0.76217079,0.23782921
1400000US24031700805,24031700805,"Census Tract 7008.05, Montgomery County, Maryland",2893,1803,1090,0.623228483,0.376771517
1400000US24031700806,24031700806,"Census Tract 7008.06, Montgomery County, Maryland",3504,2691,813,0.767979452,0.232020548
1400000US24031700808,24031700808,"Census Tract 7008.08, Montgomery County, Maryland",2754,1891,863,0.686637618,0.313362382
1400000US24031700809,24031700809,"Census Tract 7008.09, Montgomery County, Maryland",2827,2084,743,0.73717722,0.26282278
1400000US24031700810,24031700810,"Census Tract 7008.10, Montgomery County, Maryland",1739,1521,218,0.874640598,0.125359402
1400000US24031700811,24031700811,"Census Tract 7008.11, Montgomery County, Maryland",1286,1005,281,0.781493002,0.218506998
1400000US24031700812,24031700812,"Census Tract 7008.12, Montgomery County, Maryland",1710,1255,455,0.733918129,0.266081871
1400000US24031700813,24031700813,"Census Tract 7008.13, Montgomery County, Maryland",2001,1631,370,0.815092454,0.184907546
1400000US24031700815,24031700815,"Census Tract 7008.15, Montgomery County, Maryland",2160,1790,370,0.828703704,0.171296296
