OBJECTID,GEO.id,acs_oo,acs_ro
593,1400000US24031703602,963,95
594,1400000US24031703902,1773,772
595,1400000US24031704403,758,312
596,1400000US24031704804,309,448
597,1400000US24031705300,643,29
598,1400000US24031705601,904,122
599,1400000US24031705602,1115,1695
600,1400000US24031705701,1178,458
601,1400000US24031705901,1329,110
602,1400000US24031706011,1699,55
603,1400000US24033800106,945,149
604,1400000US24033800209,218,1403
605,1400000US24033800214,175,873
606,1400000US24033800408,2021,39
607,1400000US24033800413,656,675
608,1400000US24033800514,1140,43
609,1400000US24033800519,1138,245
610,1400000US24033800704,1461,417
611,1400000US24033801005,1281,52
612,1400000US24033801006,1210,48
613,1400000US24033801209,1330,96
614,1400000US24033801216,1178,69
615,1400000US24033801308,1165,85
616,1400000US24033801313,835,176
617,1400000US24033801409,777,302
618,1400000US24033801702,341,1293
619,1400000US24033801801,216,671
620,1400000US24033801805,588,455
621,1400000US24033802104,463,376
622,1400000US24033802203,1099,573
623,1400000US24033802406,350,517
624,1400000US24033802600,691,395
625,1400000US24031700308,1781,594
626,1400000US24031700309,1195,846
627,1400000US24031700310,1575,662
628,1400000US24031700311,1526,202
629,1400000US24031700312,1278,272
630,1400000US24031700400,675,156
631,1400000US24031700500,1940,219
632,1400000US24031700604,2130,42
633,1400000US24031700606,1381,92
634,1400000US24031700608,1786,56
635,1400000US24031700610,625,51
636,1400000US24031700613,1632,341
637,1400000US24031700614,1330,794
638,1400000US24031700615,971,37
639,1400000US24031700616,1433,42
640,1400000US24031700704,691,344
641,1400000US24031700706,392,945
642,1400000US24031700711,1367,568
643,1400000US24031700713,754,1194
644,1400000US24031700715,1507,236
645,1400000US24031700716,2236,380
646,1400000US24031700717,1331,805
647,1400000US24031700719,999,1134
648,1400000US24031700720,653,509
649,1400000US24031700721,622,689
650,1400000US24031700722,900,783
651,1400000US24031700724,94,1075
652,1400000US24031700810,1470,248
653,1400000US24031700811,1135,341
654,1400000US24031700812,1373,290
655,1400000US24031700101,1311,59
656,1400000US24031700103,1751,87
657,1400000US24031700104,1661,151
658,1400000US24031700204,688,35
659,1400000US24031700205,1709,66
660,1400000US24031700206,1793,115
661,1400000US24031700207,1515,441
662,1400000US24031700208,614,34
663,1400000US24031700306,2139,285
664,1400000US24031700813,1673,382
665,1400000US24031700816,1465,1454
666,1400000US24031700817,959,1521
667,1400000US24031700818,589,1983
668,1400000US24031700819,1904,380
669,1400000US24031700822,520,224
670,1400000US24031700823,932,202
