GEO_ID,AREA,dec_ma,dec_tp,dec_mpp,dec_fpp,dec_aapp,AREA
1400000US11001006400,9.56E-05,36.9,2240,43.4,56.6,90.8,0.0000956
1400000US11001007604,0.000140802,39.2,3764,44.3,55.7,94.4,0.0001408
1400000US11001006302,6.84E-05,39.3,57,57.9,42.1,45.6,0.0000684
1400000US11001007401,0.000151121,20.8,2996,42,58,98.2,0.0001511
1400000US11001007301,0.000993533,23.7,5234,53,47,30,0.0009935
1400000US11001007605,4.73E-05,36.2,3721,45.2,54.8,96.5,0.0000473
1400000US11001007503,4.87E-05,27.5,2515,42.6,57.4,97.2,0.0000487
1400000US11001007504,8.05E-05,28.3,2358,46.1,53.9,97.4,0.0000805
1400000US11001007603,0.000123942,39.5,4255,43.2,56.8,90.7,0.0001239
1400000US11001007407,7.24E-05,29.8,2373,44,56,97.1,0.0000724
1400000US11001007502,6.00E-05,28.6,4221,45.5,54.5,97.2,0.0000600
1400000US11001009809,0.000154893,46.7,723,72.9,27.1,82,0.0001549
1400000US11001007406,2.48E-05,19,3227,40.9,59.1,99.4,0.0000248
1400000US11001007408,3.80E-05,24,2166,42.2,57.8,99.1,0.0000380
1400000US11001007404,8.39E-05,18.9,3314,41.6,58.4,98.6,0.0000839
1400000US11001007302,0.000116669,35.1,3261,47.8,52.2,95.8,0.0001167
1400000US11001007403,4.16E-05,26,2308,42.4,57.6,98,0.0000416
1400000US11001007409,4.24E-05,25.2,3444,42.6,57.4,98.4,0.0000424
1400000US11001007304,0.000131606,25.4,4665,41.1,58.9,97.8,0.0001316
1400000US11001009804,5.16E-05,26.8,2566,43.7,56.3,97.8,0.0000516
1400000US11001009803,5.50E-05,32.8,2236,46.2,53.8,96.8,0.0000550
1400000US11001009807,0.000120224,34.9,3238,46.4,53.6,96.8,0.0001202
1400000US11001009700,4.32E-05,28.5,2309,43.3,56.7,98.8,0.0000432
1400000US11001009801,4.34E-05,21.4,2091,42,58,98.1,0.0000434
1400000US11001009802,2.30E-05,24.3,1806,44,56,98.3,0.0000230
1400000US11001009806,8.90E-05,27.3,5948,43.3,56.7,97.8,0.0000890
1400000US11001009808,5.23E-05,29.3,2468,45.3,54.7,97.5,0.0000523
1400000US11001007308,0.000499452,19.1,377,57.3,42.7,85.1,0.0004995
