,OBJECTID,GEO_ID_2,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA,HC01_EST_VC02,HC03_EST_VC04,HC02_EST_VC21
94,95,1400000US11001001804,11,1,1804,18.04,Tract,0.232,11001001804,11001,11165.9170169,6480058.73281,36.6,49.0,12.7
95,96,1400000US11001001901,11,1,1901,19.01,Tract,0.297,11001001901,11001,11907.6874146,8268714.41236,27.8,31.5,24.2
96,97,1400000US11001002001,11,1,2001,20.01,Tract,0.244,11001002001,11001,13159.5969954,6880435.42872,41.0,24.8,14.3
97,98,1400000US11001002002,11,1,2002,20.02,Tract,0.328,11001002002,11001,14463.0075292,9132853.84833,18.5,38.8,21.7
98,99,1400000US11001002101,11,1,2101,21.01,Tract,0.232,11001002101,11001,10455.7573576,6476661.19312,37.9,5.8,19.9
99,100,1400000US11001002102,11,1,2102,21.02,Tract,0.28,11001002102,11001,11636.1328558,7822375.10963,17.3,61.9,21.4
100,101,1400000US11001002202,11,1,2202,22.02,Tract,0.268,11001002202,11001,10887.554372,7382626.17719,5.2,49.4,50.4
101,102,1400000US11001002301,11,1,2301,23.01,Tract,0.159,11001002301,11001,9255.54336476,4509407.77826,11.2,61.7,60.8
102,103,1400000US11001002302,11,1,2302,23.02,Tract,0.776,11001002302,11001,19103.2341115,21570557.6413,0.0,55.6,70.9
103,104,1400000US11001002400,11,1,2400,24.0,Tract,0.215,11001002400,11001,10604.9381208,5929863.32972,16.1,71.1,75.2
104,105,1400000US11001002502,11,1,2502,25.02,Tract,0.233,11001002502,11001,10610.3613955,6507491.71681,35.4,49.2,50.8
105,106,1400000US11001002600,11,1,2600,26.0,Tract,0.816,11001002600,11001,27941.4490157,23922420.0411,20.0,37.0,35.7
106,107,1400000US11001002701,11,1,2701,27.01,Tract,0.174,11001002701,11001,10848.7171435,4702228.83336,12.1,7.0,62.3
107,108,1400000US11001002702,11,1,2702,27.02,Tract,0.188,11001002702,11001,11788.7805487,5565023.44211,15.6,16.7,76.2
108,109,1400000US11001002802,11,1,2802,28.02,Tract,0.089,11001002802,11001,6879.78824042,2475065.81534,37.5,49.0,49.8
109,110,1400000US11001003000,11,1,3000,30.0,Tract,0.081,11001003000,11001,6079.65110715,2256363.90551,9.7,3.5,77.3
110,111,1400000US11001003100,11,1,3100,31.0,Tract,0.114,11001003100,11001,8438.62028379,3176369.62557,28.2,52.5,61.6
111,112,1400000US11001003200,11,1,3200,32.0,Tract,0.172,11001003200,11001,9770.61120748,4779960.18797,22.8,34.7,47.9
112,113,1400000US11001003302,11,1,3302,33.02,Tract,0.077,11001003302,11001,6202.87068456,2138278.46139,22.4,0.0,52.6
113,114,1400000US11001003400,11,1,3400,34.0,Tract,0.354,11001003400,11001,15248.3034674,11785924.6427,5.5,63.0,70.4
114,115,1400000US11001003500,11,1,3500,35.0,Tract,0.147,11001003500,11001,9703.2534048,4231382.15786,6.5,65.2,47.3
115,116,1400000US11001003700,11,1,3700,37.0,Tract,0.113,11001003700,11001,7545.48148778,3108689.70983,11.9,66.7,71.7
116,117,1400000US11001003800,11,1,3800,38.0,Tract,0.137,11001003800,11001,8835.57154648,3886184.80983,0.0,44.1,74.0
117,118,1400000US11001003900,11,1,3900,39.0,Tract,0.147,11001003900,11001,10806.7560902,4397556.23436,0.0,10.0,96.4
118,119,1400000US11001004001,11,1,4001,40.01,Tract,0.105,11001004001,11001,7577.54319958,3023305.27403,0.0,0.0,100.0
119,120,1400000US11001004100,11,1,4100,41.0,Tract,0.304,11001004100,11001,12346.1649449,8874128.13219,0.0,0.0,89.1
120,121,1400000US11001004201,11,1,4201,42.01,Tract,0.079,11001004201,11001,5997.72780068,2142727.99279,0.0,13.8,91.0
121,122,1400000US11001004300,11,1,4300,43.0,Tract,0.091,11001004300,11001,6649.72587855,2599030.31284,0.0,0.0,89.3
122,123,1400000US11001004400,11,1,4400,44.0,Tract,0.201,11001004400,11001,9579.41864137,5490129.81552,6.6,16.6,87.6
123,124,1400000US11001004600,11,1,4600,46.0,Tract,0.169,11001004600,11001,9485.87488442,4669766.40524,13.2,56.0,71.2
124,125,1400000US11001004701,11,1,4701,47.01,Tract,0.124,11001004701,11001,9571.45611669,3459918.27829,41.1,25.6,100.0
125,126,1400000US11001004801,11,1,4801,48.01,Tract,0.123,11001004801,11001,8037.05127045,3446673.98364,26.9,43.6,76.7
126,127,1400000US11001004802,11,1,4802,48.02,Tract,0.111,11001004802,11001,7192.20084152,3101164.46704,8.9,39.3,72.9
127,128,1400000US11001004902,11,1,4902,49.02,Tract,0.102,11001004902,11001,6731.76734426,2840169.68002,2.0,17.7,62.6
128,129,1400000US11001005001,11,1,5001,50.01,Tract,0.079,11001005001,11001,6909.77991776,2199492.18844,0.0,0.0,94.2
129,130,1400000US11001005002,11,1,5002,50.02,Tract,0.09,11001005002,11001,7261.21211166,2490709.04369,67.5,0.0,68.0
130,131,1400000US11001005201,11,1,5201,52.01,Tract,0.131,11001005201,11001,8580.86947849,3721873.27161,0.0,4.4,91.6
131,132,1400000US11001005301,11,1,5301,53.01,Tract,0.111,11001005301,11001,7567.98308977,3103195.96644,0.0,4.6,91.9
132,133,1400000US11001005500,11,1,5500,55.0,Tract,0.243,11001005500,11001,12810.4021095,7062933.1943,0.0,23.8,92.8
133,134,1400000US11001005800,11,1,5800,58.0,Tract,0.352,11001005800,11001,13189.9503683,9867325.71227,0.0,21.8,92.6
134,135,1400000US11001005900,11,1,5900,59.0,Tract,0.249,11001005900,11001,10928.6275188,6890515.43593,3.4,15.2,89.5
135,136,1400000US11001006202,11,1,6202,62.02,Tract,2.542,11001006202,11001,83981.1320186,124545736.766,-,-,-
136,137,1400000US11001006500,11,1,6500,65.0,Tract,0.192,11001006500,11001,10822.6375594,5130927.12735,0.0,0.0,95.7
137,138,1400000US11001006600,11,1,6600,66.0,Tract,0.114,11001006600,11001,8730.35843672,3188481.75996,0.0,24.7,100.0
138,139,1400000US11001006700,11,1,6700,67.0,Tract,0.165,11001006700,11001,9883.84297494,4600830.57465,0.0,0.0,89.9
139,140,1400000US11001006802,11,1,6802,68.02,Tract,0.109,11001006802,11001,8141.57674122,2904691.07418,8.0,22.1,57.0
140,141,1400000US11001006804,11,1,6804,68.04,Tract,0.596,11001006804,11001,21659.8861108,22068329.0011,75.8,0.0,0.0
141,142,1400000US11001006900,11,1,6900,69.0,Tract,0.158,11001006900,11001,9357.56090561,4421144.07551,0.0,47.7,89.0
142,143,1400000US11001007000,11,1,7000,70.0,Tract,0.162,11001007000,11001,9535.45586979,4522309.62725,0.0,0.0,93.8
143,144,1400000US11001007200,11,1,7200,72.0,Tract,0.525,11001007200,11001,17532.199715,17588261.3785,0.0,0.0,100.0
144,145,1400000US11001007301,11,1,7301,73.01,Tract,1.772,11001007301,11001,52541.428145,105542492.998,0.0,54.7,20.8
145,146,1400000US11001007304,11,1,7304,73.04,Tract,0.478,11001007304,11001,18098.8350646,13817351.0086,29.4,0.0,3.9
146,147,1400000US11001007401,11,1,7401,74.01,Tract,0.464,11001007401,11001,20505.5312137,15693951.2079,29.5,0.0,32.8
147,148,1400000US11001007404,11,1,7404,74.04,Tract,0.311,11001007404,11001,16317.2803844,8702963.59804,45.3,14.5,49.7
148,149,1400000US11001007406,11,1,7406,74.06,Tract,0.143,11001007406,11001,8384.18654066,3698844.92293,47.5,48.7,0.0
