GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",3582,211,1170,168,2412,223
1400000US11001005202,11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",430,68,0,132,430,68
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3291,174,1343,198,1948,218
1400000US11001005302,11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",110,32,71,35,39,27
1400000US11001005401,11001005401,"Census Tract 54.01, District of Columbia, District of Columbia",874,85,129,51,745,88
1400000US11001005402,11001005402,"Census Tract 54.02, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3304,228,1284,176,2020,211
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3066,198,1333,196,1733,200
1400000US11001005701,11001005701,"Census Tract 57.01, District of Columbia, District of Columbia",836,101,45,38,791,107
1400000US11001005702,11001005702,"Census Tract 57.02, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1429,130,616,119,813,121
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1356,131,106,46,1250,137
1400000US11001006001,11001006001,"Census Tract 60.01, District of Columbia, District of Columbia",2267,167,466,113,1801,172
1400000US11001006002,11001006002,"Census Tract 60.02, District of Columbia, District of Columbia",171,58,0,132,171,58
1400000US11001006100,11001006100,"Census Tract 61, District of Columbia, District of Columbia",1587,132,321,93,1266,154
1400000US11001006201,11001006201,"Census Tract 62.01, District of Columbia, District of Columbia",305,64,274,68,31,24
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001006301,11001006301,"Census Tract 63.01, District of Columbia, District of Columbia",2807,163,2016,206,791,182
1400000US11001006302,11001006302,"Census Tract 63.02, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",1044,71,154,79,890,103
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1405,128,826,143,579,134
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1056,88,540,97,516,102
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1799,114,1177,138,622,107
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",803,82,445,97,358,104
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",888,82,507,97,381,100
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",9,14,9,14,0,132
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1030,81,669,105,361,97
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1171,75,600,115,571,120
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1130,103,387,80,743,115
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",381,81,93,34,288,89
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",798,128,14,24,784,123
1400000US11001007302,11001007302,"Census Tract 73.02, District of Columbia, District of Columbia",1418,146,383,89,1035,164
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1141,108,421,103,720,152
1400000US11001007308,11001007308,"Census Tract 73.08, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",844,84,40,32,804,90
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1161,67,164,70,997,107
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1176,138,171,88,1005,159
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",1021,72,66,41,955,72
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1068,83,449,100,619,136
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1015,84,99,72,916,104
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1488,98,420,100,1068,127
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1753,115,523,121,1230,127
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",849,87,215,72,634,112
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",1067,102,204,87,863,119
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1931,128,855,165,1076,184
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",2172,116,1121,223,1051,227
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1822,100,677,109,1145,134
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1679,113,284,71,1395,125
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2141,121,564,130,1577,171
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1510,135,893,103,617,132
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1190,95,232,72,958,126
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",1016,91,255,61,761,117
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1418,116,657,106,761,128
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1084,131,384,101,700,130
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",819,107,401,95,418,117
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",800,97,340,87,460,108
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1234,129,408,114,826,151
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1239,120,577,135,662,150
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1488,125,611,102,877,131
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",876,82,539,94,337,106
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1127,102,821,113,306,84
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1476,113,981,136,495,117
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1323,99,723,100,600,107
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1526,80,656,90,870,127
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1166,86,798,101,368,92
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",925,70,676,93,249,77
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1038,114,397,109,641,112
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",487,94,358,109,129,72
1400000US11001008500,11001008500,"Census Tract 85, District of Columbia, District of Columbia",1355,91,790,111,565,102
1400000US11001008600,11001008600,"Census Tract 86, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",723,95,554,116,169,88
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",777,76,253,87,524,105
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1796,131,866,128,930,153
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",441,83,97,53,344,74
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1237,131,342,115,895,149
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1191,124,261,84,930,146
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1565,115,128,58,1437,124
1400000US11001008905,11001008905,"Census Tract 89.05, District of Columbia, District of Columbia",0,132,0,132,0,132
