OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
254,1400000US51510202001,5,24,0,1053
255,,,,,
256,1400000US51610500300,23,27,6,1509
257,1400000US51059415200,0,34,17,1751
258,1400000US51059415300,16,19,7,1340
259,,,,,
260,1400000US51059415500,13,6,18,2157
261,1400000US51059415600,16,18,0,1079
262,1400000US51059415700,0,0,0,1270
263,1400000US51059415800,0,0,6,1630
264,1400000US51059415900,0,0,0,1138
265,1400000US51059416100,4,18,0,1334
266,1400000US51059416200,7,0,16,1032
267,1400000US51059416300,0,13,4,684
268,,,,,
269,,,,,
270,,,,,
271,1400000US51059420300,7,59,19,1792
272,,,,,
273,,,,,
274,,,,,
275,1400000US51059420600,6,52,4,1559
276,1400000US51059420700,6,48,0,1262
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,1400000US51059421300,7,0,0,1417
283,1400000US51059421400,6,26,0,2295
284,1400000US51059421500,15,72,0,1873
285,,,,,
286,,,,,
287,1400000US51059421900,0,0,0,811
288,1400000US51059422000,6,6,0,1084
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,1400000US51059430400,0,24,0,2222
301,1400000US51059430600,0,15,12,1728
302,1400000US51059430700,0,32,0,897
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,1400000US51059431300,0,22,0,1379
309,1400000US51059431400,0,43,6,1397
310,1400000US51059431500,6,0,0,1825
311,1400000US51059431600,3,22,0,2002
312,,,,,
313,1400000US51059432000,0,12,4,1083
314,1400000US51059432100,0,16,0,1401
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,1400000US51059432500,0,20,6,1839
320,1400000US51059432600,0,20,7,1479
321,,,,,
322,1400000US51059432800,5,5,0,697
323,1400000US51059440100,0,44,0,2585
324,,,,,
325,,,,,
326,1400000US51059440300,0,6,5,920
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,1400000US51059440800,7,13,15,1951
332,1400000US51059450100,8,74,19,2067
333,1400000US51059450300,0,30,4,1555
334,1400000US51059450400,7,5,0,884
335,,,,,
336,,,,,
337,,,,,
338,1400000US51059450800,6,20,4,1114
339,1400000US51059450900,12,10,0,580
340,1400000US51059451000,15,10,0,833
341,1400000US51059451100,0,12,0,779
342,1400000US51059451200,0,0,6,597
343,1400000US51059451400,8,35,0,1064
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,1400000US51059451800,5,0,0,1070
349,1400000US51059452000,0,10,0,1062
350,,,,,
351,1400000US51059452200,0,54,20,2010
352,,,,,
353,,,,,
354,1400000US51059452400,10,42,10,2228
355,,,,,
356,1400000US51059452600,6,75,15,1585
357,1400000US51059452700,0,23,12,1623
358,,,,,
359,1400000US51059460100,0,7,6,1225
360,1400000US51059460400,11,28,0,1782
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,1400000US51059460800,0,33,0,1082
366,1400000US51059460900,0,10,0,790
367,1400000US51059461100,0,25,0,2344
368,,,,,
369,,,,,
370,1400000US51059461500,0,29,0,1837
371,,,,,
372,1400000US51059461700,19,28,6,2118
373,,,,,
374,,,,,
375,,,,,
376,1400000US51059470100,0,0,0,940
377,1400000US51059470300,7,0,12,1104
378,1400000US51059470400,12,22,0,1653
379,1400000US51059470500,6,5,0,2028
380,1400000US51059470700,0,29,14,1760
381,1400000US51059470800,5,12,0,982
382,1400000US51059470900,0,36,12,2332
383,1400000US51059471100,9,53,0,2291
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,1400000US51059480100,7,13,0,1336
391,,,,,
392,,,,,
393,1400000US51059480300,17,2,0,2108
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,1400000US51059481400,0,40,0,2600
412,1400000US51059481500,7,0,0,769
413,1400000US51059481600,0,8,9,993
414,,,,,
415,1400000US51059481900,0,47,7,1996
416,,,,,
417,1400000US51059482100,23,46,0,1316
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,1400000US51059482400,0,7,8,808
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,1400000US51059491000,0,0,0,572
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,1400000US51059492000,2,11,6,2008
453,1400000US51059492100,0,22,0,2066
454,,,,,
455,,,,,
456,1400000US51059492300,0,7,0,1030
457,1400000US51059492400,0,44,7,1490
458,,,,,
459,,,,,
460,,,,,
461,1400000US51013100200,33,0,0,2106
462,1400000US51013100300,8,33,0,2042
463,1400000US51013100500,17,13,5,1432
464,1400000US51013100600,14,16,4,1118
465,1400000US51013100700,45,71,0,2106
466,1400000US51013100900,22,43,9,1617
467,1400000US51013101000,13,46,14,1145
468,1400000US51013101100,31,25,12,1715
469,1400000US51013101200,6,36,0,1387
470,1400000US51013101300,39,66,7,2204
471,,,,,
472,,,,,
473,,,,,
474,1400000US51013101500,24,59,18,2883
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,1400000US51013102100,0,23,4,833
486,1400000US51013102200,0,66,26,2332
487,,,,,
488,1400000US51013102400,22,59,3,1427
489,1400000US51013102500,53,41,28,1845
490,1400000US51013102600,23,6,12,1058
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,1400000US51013103000,7,34,7,1613
496,1400000US51013103100,12,34,0,1470
497,1400000US51013103200,31,105,10,3416
498,1400000US51013103300,0,6,0,482
499,1400000US51013103401,0,7,0,170
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,1400000US51013103700,5,18,0,973
505,1400000US51013103800,16,25,0,1342
506,,,,,
507,,,,,
508,,,,,
509,1400000US51510201300,33,26,33,1297
510,1400000US51510201400,15,29,19,1722
511,1400000US51510201500,0,61,13,1291
512,1400000US51510201801,26,72,25,2804
513,1400000US51510201802,6,22,0,891
514,1400000US51510201900,10,22,0,882
515,1400000US51510202002,4,58,10,1715
516,1400000US51510200102,7,19,0,1655
517,1400000US51510200104,9,59,0,1252
518,1400000US51510200105,19,10,19,2320
519,,,,,
520,1400000US51510200201,43,0,6,1626
521,1400000US51510200202,0,18,0,545
522,1400000US51510200302,0,53,0,1366
523,1400000US51510200303,24,91,0,2805
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,,,,,
529,1400000US51510200801,17,8,0,886
530,1400000US51510200802,32,52,5,1285
531,1400000US51510201000,0,59,16,1718
532,1400000US51510201100,0,2,18,1139
533,1400000US51510201202,29,27,8,1333
534,1400000US51510201203,10,131,0,2176
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,1400000US51610500100,8,0,12,915
540,1400000US51610500200,9,35,5,1853
541,1400000US51059420400,15,29,15,1385
542,,,,,
543,,,,,
544,1400000US24031700304,0,51,0,1902
545,1400000US24031700607,9,17,8,2274
546,,,,,
547,1400000US24031700710,16,8,8,1874
548,,,,,
549,,,,,
550,1400000US24031700815,17,72,6,1981
551,,,,,
552,,,,,
553,1400000US24033803001,2,21,2,952
554,1400000US24033803002,8,31,0,1056
555,1400000US24033803100,19,17,0,905
556,1400000US24033803200,0,35,15,997
557,1400000US24033803512,20,44,17,1519
558,1400000US24033803519,0,12,21,1471
559,,,,,
560,1400000US24033803613,0,77,0,1877
561,1400000US24033804001,0,81,16,1708
562,1400000US24033804400,2,13,0,824
563,1400000US24033804900,36,26,0,1387
564,1400000US24033805601,0,140,0,1375
565,1400000US24033805904,0,4,0,888
566,1400000US24033806200,14,26,0,1546
567,1400000US24033806602,0,102,0,1274
568,1400000US24033806712,0,35,0,1211
569,1400000US24033807304,0,5,0,545
570,,,,,
571,,,,,
572,,,,,
573,,,,,
574,1400000US24031700901,3,28,5,1348
575,1400000US24031701002,5,6,0,1021
576,1400000US24031701102,6,41,18,1851
577,1400000US24031701210,4,11,0,1326
578,1400000US24031701215,10,47,0,2368
579,1400000US24031701304,0,15,11,2041
580,1400000US24031701313,0,14,0,1224
581,1400000US24031701409,0,7,0,1203
582,,,,,
583,,,,,
584,,,,,
585,1400000US24031701900,10,47,18,1198
586,1400000US24031702102,0,36,8,1078
587,1400000US24031702500,5,21,0,1373
588,1400000US24031703201,8,85,0,2242
589,1400000US24031703209,14,26,0,1999
590,,,,,
591,1400000US24031703301,0,10,8,1330
592,1400000US24031703402,0,12,3,975
593,1400000US24031703602,16,16,7,956
