GEO_ID_2,ACS21,HC03_VC77
1400000US11001009504,78.1,7.5
1400000US11001009509,83.6,4.5
1400000US11001009602,100.0,0.0
1400000US11001009603,96.1,0.4
1400000US11001009604,99.0,0.0
1400000US11001009700,98.5,1.3
1400000US11001009802,98.7,0.0
1400000US11001009807,95.8,0.0
1400000US11001009904,92.4,2.7
1400000US11001009906,98.0,0.0
1400000US11001010500,44.9,1.1
1400000US11001010800,12.9,1.6
1400000US11001000202,2.2,0.6
1400000US11001000300,1.6,2.2
1400000US11001000501,3.0,0.6
1400000US11001000502,3.6,2.6
1400000US11001000600,8.0,0.7
1400000US11001000701,5.0,0.9
1400000US11001000802,6.4,0.8
1400000US11001000901,7.5,0.7
1400000US11001000902,1.7,1.3
1400000US11001001001,2.1,0.1
1400000US11001001100,6.1,0.0
1400000US11001001200,5.0,3.2
1400000US11001001301,6.4,2.1
1400000US11001001302,3.8,0.9
1400000US11001001402,17.5,1.0
1400000US11001001500,12.9,1.5
1400000US11001001600,69.7,4.7
1400000US11001001803,71.3,14.7
1400000US11001001804,58.7,14.4
1400000US11001001901,86.9,1.4
1400000US11001002001,47.0,20.3
1400000US11001002002,56.1,15.0
1400000US11001002101,63.4,16.4
1400000US11001002102,63.4,25.3
1400000US11001002202,74.6,17.5
1400000US11001002301,69.0,5.9
1400000US11001002302,63.9,1.0
1400000US11001002400,62.3,11.8
1400000US11001002502,46.5,18.3
1400000US11001002600,46.8,4.6
1400000US11001002701,18.0,2.0
1400000US11001002702,20.6,9.1
1400000US11001002802,26.9,11.3
1400000US11001003000,49.7,1.7
1400000US11001003100,27.6,18.1
1400000US11001003200,54.1,3.3
1400000US11001003302,63.1,2.8
1400000US11001003400,67.5,4.5
1400000US11001003500,67.7,7.3
1400000US11001003700,46.1,4.5
1400000US11001003800,19.7,7.5
1400000US11001003900,17.2,3.2
1400000US11001004001,3.7,0.7
1400000US11001004100,2.1,0.3
1400000US11001004201,8.3,2.4
1400000US11001004300,31.8,2.1
1400000US11001004400,23.8,3.3
1400000US11001004600,62.3,0.0
1400000US11001004701,71.6,0.0
1400000US11001004801,53.9,5.3
1400000US11001004802,54.5,5.9
1400000US11001004902,26.7,2.1
1400000US11001005001,26.7,2.2
1400000US11001005002,19.5,11.6
1400000US11001005201,11.3,3.2
1400000US11001005301,4.4,0.2
1400000US11001005500,5.0,1.0
1400000US11001005800,7.1,5.8
1400000US11001005900,33.7,4.4
1400000US11001006202,-,-
1400000US11001006500,4.9,1.4
1400000US11001006600,2.1,0.6
1400000US11001006700,12.3,0.3
1400000US11001006802,49.3,4.3
1400000US11001006804,91.4,4.9
1400000US11001006900,27.6,0.3
1400000US11001007000,14.1,2.6
1400000US11001007200,34.6,0.4
1400000US11001007301,17.3,6.8
1400000US11001007304,96.2,1.6
1400000US11001007401,96.2,0.0
1400000US11001007404,95.9,0.0
1400000US11001007406,100.0,0.0
1400000US11001009301,62.6,0.7
1400000US11001009400,86.5,2.2
1400000US11001009501,58.6,11.5
1400000US11001009503,82.3,0.8
1400000US11001009505,87.4,7.4
1400000US11001009507,91.4,0.0
1400000US11001009508,84.7,9.7
1400000US11001009601,98.6,0.0
1400000US11001009801,96.6,0.0
1400000US11001009803,98.2,0.0
1400000US11001009804,96.7,0.5
1400000US11001009810,95.9,0.7
1400000US11001009811,98.9,0.5
1400000US11001009901,91.1,2.0
1400000US11001009902,98.1,0.0
1400000US11001009903,97.2,0.0
1400000US11001009905,98.3,0.0
1400000US11001009907,95.9,0.0
1400000US11001010100,13.0,8.2
1400000US11001010200,38.9,1.6
1400000US11001010300,66.3,12.6
1400000US11001010400,96.2,0.1
1400000US11001010600,40.6,3.6
1400000US11001010700,9.4,0.4
