GEO.id,ACS_MA,ACS_TP,ACS_MP,ACS_MPp,ACS_FP,ACS_FPp,ACS_AAP,ACS_AAPp,a_e1824,a_e24lm,a_e24lf,a_nh24l,a_nh24lm,a_nh24lf,a_hs24l,a_hs24lm,a_hs24lf,a_as24l,a_as24lm,a_as24lf,a_ba24l,a_ba24lm,a_ba24lf,a_hs34l,a_hs34lm,a_hs34lf,a_ba34l,a_ba34lm,a_ba34lf,a_hs44l,a_hs44lm,a_hs44lf,a_ba44l,a_ba44lm,a_ba44lf,acs_e,acs_elfp,acs_ue,acs_uep,asc_nlf,acs_nlfp,acs_e16f,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000,acs_mgr,ACS_MOC,ACS_MO,ACS_FOC,ACS_FO,ACS_MRC,ACS_MR,ACS_FRC,ACS_FR,ACS_OO,ACS_RO,ACS_BPL,ACS_BPLp,ACS_BPLM,ACS_BPLMp,ACS_BPLF,ACS_BPLFp,DEC_MI,ACS_SSM,ACS_SSMF,ACS_SSF,ACS_SSO,dem_acs,emp_acs,edu_acs,hsv_acs,ten_acs,pov_acs,ssh_acs
1400000US11001000801,43.1,6286,2784,44.3,3502,55.7,141,2.2,664,338,326,0,0,0,9.6,13.9,5.2,69.6,54.4,85.3,20.8,31.7,9.5,97.4,93.8,100,78.3,74.4,81.2,82.2,78.5,86.4,76.4,67.6,86.4,3402,62.1,309,5.6,1765,32.2,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,73,59,288,44,510,317,525,1775,11,0,85,91,48,0,0,20,1852,1286,403,7,204,8,199,6.1,114732,30,12,7,3040,-4.185583241,-7.843332898,-10.43530201,-1.991538171,0.479219587,-1.724531349,-4.285109508
1400000US11001000802,41.1,2595,1275,49.1,1320,50.9,77,3,178,114,64,10.7,0,29.7,14.6,22.8,0,0,0,0,74.7,77.2,70.3,100,100,100,91.4,80.8,100,100,100,100,86,84.2,87.3,1460,65.1,36,1.6,747,33.3,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,46,50,21,256,307,140,1237,11,0,7,13,0,0,0,0,841,509,209,8.1,118,9.3,91,6.9,92000,0,5,0,1303,-3.570297821,-3.283710953,-10.36778507,-3.022370725,0.453164298,-1.040237319,-0.791149454
1400000US11001000901,19.8,7789,3417,43.9,4372,56.1,268,3.4,4064,1610,2454,0,0,0,9.3,8.2,9.9,87.5,88.6,86.8,3.2,3.2,3.3,100,100,100,89.3,85.6,92.1,100,100,100,100,100,100,2718,38.8,155,2.2,4139,59,3923,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,11,0,0,117,157,919,1591,0,12,12,0,0,0,0,16,1221,247,183,4.9,101,5.5,82,4.3,213889,54,0,0,1414,-3.70255089,-9.401957499,-16.21198771,-2.517878074,0.788843175,-0.520149984,-2.69937864
1400000US11001000902,41.6,2228,1083,48.6,1145,51.4,22,1,107,80,27,0,0,0,26.2,16.3,55.6,73.8,83.8,44.4,0,0,0,100,100,100,78.1,80.5,76.5,100,100,100,83.2,68.9,100,1092,63.5,51,3,567,33,884,0,0,0,0,0,0,0,0,11,0,0,0,11,11,0,0,0,0,0,25,52,120,218,281,2000,0,0,0,42,0,0,0,0,729,104,128,5.7,21,1.9,107,9.3,163750,11,0,0,797,-3.494655986,-2.966880388,-10.4411602,-4.214463768,0.702058047,-0.31216788,-0.565238482
1400000US11001001001,36.4,8039,3626,45.1,4413,54.9,264,3.3,1377,558,819,1.2,2.9,0,8.4,3,12,63,53.4,69.6,27.5,40.7,18.4,100,100,100,89.8,88.2,91.2,100,100,100,96,91.7,100,4040,62.7,95,1.5,2296,35.6,3627,0,0,0,0,0,0,0,0,14,0,0,0,20,0,0,0,0,16,17,39,83,489,1248,298,1615,15,0,68,155,13,10,0,0,2224,552,543,7.7,318,9.6,225,6,142697,30,0,68,2645,-4.267604739,-7.713999357,-12.53751505,-1.435183588,2.088183869,-2.455939454,-8.509218773
1400000US11001001002,32.8,3343,1342,40.1,2001,59.9,377,11.3,813,375,438,6.5,14.1,0,11.2,17.9,5.5,46.5,46.7,46.3,35.8,21.3,48.2,87.5,80.8,90.9,79.8,69.8,85,100,100,100,82.8,76.2,87.9,2462,78.9,70,2.2,547,17.5,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,185,306,196,51,0,1481,0,68,8,40,0,0,0,0,781,1127,531,15.9,151,11.3,380,19,85543,24,29,0,1806,-3.563839157,-4.04601276,-10.76856702,-1.837970398,0.393333754,-3.203109761,-2.817874853
1400000US11001001100,42,4247,2022,47.6,2225,52.4,74,1.7,422,252,170,10.2,12.3,7.1,9.7,4.8,17.1,37,44.4,25.9,43.1,38.5,50,100,100,100,95.6,89.6,100,96,100,92.8,91.1,95.1,87.8,2619,73.3,21,0.6,926,25.9,1973,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,15,19,72,184,30,353,378,432,1643,0,0,59,112,0,0,39,0,1516,300,314,7.4,124,6.1,190,8.5,141607,50,25,11,1693,-3.827381487,-4.293439901,-11.14097417,-2.662178993,1.560919441,-1.341705747,-4.424457998
1400000US11001001200,35,5002,2183,43.6,2819,56.4,154,3.1,693,299,394,2.5,0,4.3,7.5,0,13.2,23.4,41.5,9.6,66.7,58.5,72.8,100,100,100,98.6,96.4,100,100,100,100,92.1,100,86.1,3249,73.2,91,2,1059,23.9,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,209,85,347,401,198,1559,0,0,22,0,23,0,0,13,1259,1272,485,9.7,159,7.3,326,11.6,93785,0,23,0,2457,-3.745632162,-5.540680852,-11.53701553,-2.137105458,-0.357173113,-2.302433832,-2.398689768
1400000US11001001301,37,4410,2194,49.8,2216,50.2,494,11.2,560,260,300,9.1,19.6,0,0,0,0,13.9,23.5,5.7,77,56.9,94.3,97.6,100,95.5,93.7,95.6,92.1,100,100,100,97.8,95.7,100,2605,68.6,100,2.6,1095,28.8,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,46,58,85,352,1714,0,0,0,27,0,18,0,0,570,1508,427,10.1,308,14.2,119,5.8,88981,0,47,0,1973,-3.878910477,-5.003948259,-11.25438624,0.725433282,-0.887401891,-2.297630199,-2.625273407
1400000US11001001302,34.4,7012,3044,43.4,3968,56.6,288,4.1,743,261,482,0,0,0,2.2,6.1,0,9.2,13.8,6.6,88.7,80.1,93.4,100,100,100,94.7,95.8,93.9,100,100,100,95.4,95,96.1,4859,74.7,141,2.2,1443,22.2,3695,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,30,13,154,101,408,278,386,32,146,1560,44,45,0,16,0,39,0,14,1561,3220,451,6.4,154,5.1,297,7.5,78961,27,135,13,4398,-4.062307689,-7.539940716,-11.40340162,-2.577052848,-1.368433885,-1.769177117,-9.461855626
