OBJECTID,GEO.id,acsma,acsmpp,acsfpp,acsaapp
314,1400000US51059432100,39.8,45.4,54.6,7.5
315,1400000US51059432201,38.0,48.7,51.3,2.3
316,1400000US51059432202,37.7,48.7,51.3,4.6
317,1400000US51059432401,40.7,48.0,52.0,3.5
318,1400000US51059432402,44.2,45.8,54.2,5.9
319,1400000US51059432500,42.7,50.2,49.8,7.4
320,1400000US51059432600,38.1,49.6,50.4,8.7
321,1400000US51059432701,37.9,50.6,49.4,10.5
322,1400000US51059432800,33.3,46.3,53.7,34.8
323,1400000US51059440100,41.2,49.2,50.8,2.8
324,1400000US51059440201,31.7,51.6,48.4,6.1
325,1400000US51059440202,31.8,47.9,52.1,12.7
326,1400000US51059440300,45.5,50.9,49.1,4.4
327,1400000US51059440501,43.4,48.0,52.0,0.0
328,1400000US51059440502,19.8,55.1,44.9,12.5
329,1400000US51059440701,44.8,48.0,52.0,5.0
330,1400000US51059440702,45.6,50.4,49.6,0.1
331,1400000US51059440800,43.1,46.5,53.5,1.5
332,1400000US51059450100,35.7,46.4,53.6,6.8
333,1400000US51059450300,40.4,48.7,51.3,6.4
334,1400000US51059450400,40.0,48.1,51.9,0.3
335,1400000US51059450601,42.8,49.9,50.1,2.8
336,1400000US51059450602,35.2,40.9,59.1,3.1
337,1400000US51059450701,37.6,54.0,46.0,4.5
338,1400000US51059450800,44.0,46.1,53.9,5.3
339,1400000US51059450900,41.0,47.7,52.3,0.7
340,1400000US51059451000,45.5,50.0,50.0,1.7
341,1400000US51059451100,45.8,48.7,51.3,0.0
342,1400000US51059451200,47.5,49.4,50.6,2.5
343,1400000US51059451400,41.3,50.4,49.6,2.3
344,1400000US51059451501,33.5,58.6,41.4,10.3
345,1400000US51059451502,36.6,48.6,51.4,23.9
346,1400000US51059451601,27.1,70.4,29.6,4.4
347,1400000US51059451602,34.8,41.0,59.0,11.2
348,1400000US51059451800,40.3,51.3,48.7,0.0
349,1400000US51059452000,50.2,49.0,51.0,8.7
350,1400000US51059452101,39.5,40.2,59.8,16.0
351,1400000US51059452200,39.0,51.1,48.9,8.2
352,1400000US51059452301,35.0,50.6,49.4,6.6
353,1400000US51059452302,29.2,46.0,54.0,3.4
354,1400000US51059452400,38.1,47.4,52.6,9.8
355,1400000US51059452501,37.0,48.5,51.5,6.9
356,1400000US51059452600,37.8,46.6,53.4,21.0
357,1400000US51059452700,31.4,47.2,52.8,26.0
358,1400000US51059452801,39.2,53.3,46.7,12.4
359,1400000US51059460100,44.0,48.2,51.8,2.7
360,1400000US51059460400,44.7,45.4,54.6,3.3
361,1400000US51059460501,44.2,48.3,51.7,0.7
362,1400000US51059460502,38.6,47.9,52.1,4.2
363,1400000US51059460701,37.3,50.0,50.0,7.2
364,1400000US51059460702,40.2,51.0,49.0,7.2
365,1400000US51059460800,39.0,54.4,45.6,1.1
366,1400000US51059460900,46.0,50.7,49.3,0.0
367,1400000US51059461100,40.3,54.0,46.0,0.7
368,1400000US51059461201,46.1,48.3,51.7,1.2
369,1400000US51059461202,32.5,43.7,56.3,5.5
370,1400000US51059461500,37.2,53.5,46.5,2.3
371,1400000US51059461602,31.2,51.9,48.1,2.8
372,1400000US51059461700,36.5,50.6,49.4,10.6
373,1400000US51059461801,34.4,44.4,55.6,4.4
374,1400000US51059461802,33.9,43.4,56.6,4.4
375,1400000US51059461902,27.6,60.1,39.9,8.4
376,1400000US51059470100,48.7,47.9,52.1,0.0
377,1400000US51059470300,46.0,49.2,50.8,0.9
378,1400000US51059470400,45.5,51.4,48.6,0.9
379,1400000US51059470500,43.6,50.7,49.3,0.0
380,1400000US51059470700,44.2,46.5,53.5,1.0
381,1400000US51059470800,41.0,47.0,53.0,2.6
382,1400000US51059470900,43.9,46.7,53.3,2.1
383,1400000US51059471100,36.8,49.3,50.7,1.8
384,1400000US51059471201,34.8,47.0,53.0,9.4
385,1400000US51059471202,36.2,49.6,50.4,2.9
386,1400000US51059471301,30.1,49.3,50.7,2.7
387,1400000US51059471304,43.2,44.8,55.2,0.9
388,1400000US51059471401,34.9,41.8,58.2,4.0
389,1400000US51059471402,35.2,45.8,54.2,8.2
390,1400000US51059480100,47.2,50.9,49.1,0.0
391,1400000US51059480201,46.9,51.9,48.1,0.9
392,1400000US51059480203,45.9,42.2,57.8,10.2
393,1400000US51059480300,43.7,52.6,47.4,1.7
394,1400000US51059480401,40.2,47.6,52.4,2.1
395,1400000US51059480402,40.3,49.3,50.7,1.5
396,1400000US51059480502,36.1,46.9,53.1,7.3
397,1400000US51059480503,37.7,51.3,48.7,2.2
398,1400000US51059480504,40.3,42.3,57.7,8.5
