GEO.id,GEO.id2,GEO.display-label,VD01,
Id,Id2,Geography,Median household income in 1999,
1400000US24031700206,24031700206,"Census Tract 7002.06, Montgomery County, Maryland",79585,104176.77
1400000US24031700302,24031700302,"Census Tract 7003.02, Montgomery County, Maryland",87060,113961.54
1400000US24031700304,24031700304,"Census Tract 7003.04, Montgomery County, Maryland",74975,98142.28
1400000US24031700306,24031700306,"Census Tract 7003.06, Montgomery County, Maryland",73841,96657.87
1400000US24031700308,24031700308,"Census Tract 7003.08, Montgomery County, Maryland",71003,92942.93
1400000US24031700309,24031700309,"Census Tract 7003.09, Montgomery County, Maryland",58363,76397.17
1400000US24031700310,24031700310,"Census Tract 7003.10, Montgomery County, Maryland",64215,84057.44
1400000US24031700400,24031700400,"Census Tract 7004, Montgomery County, Maryland",91859,120243.43
1400000US24031700500,24031700500,"Census Tract 7005, Montgomery County, Maryland",82082,107445.34
1400000US24031700604,24031700604,"Census Tract 7006.04, Montgomery County, Maryland",130626,170989.43
1400000US24031700605,24031700605,"Census Tract 7006.05, Montgomery County, Maryland",110802,145039.82
1400000US24031700606,24031700606,"Census Tract 7006.06, Montgomery County, Maryland",103848,135937.03
1400000US24031700607,24031700607,"Census Tract 7006.07, Montgomery County, Maryland",107386,140568.27
1400000US24031700608,24031700608,"Census Tract 7006.08, Montgomery County, Maryland",158255,207155.80
1400000US24031700609,24031700609,"Census Tract 7006.09, Montgomery County, Maryland",69675,91204.58
1400000US24031700610,24031700610,"Census Tract 7006.10, Montgomery County, Maryland",98417,128827.85
1400000US24031700704,24031700704,"Census Tract 7007.04, Montgomery County, Maryland",70667,92503.10
1400000US24031700705,24031700705,"Census Tract 7007.05, Montgomery County, Maryland",49882,65295.54
1400000US24031700706,24031700706,"Census Tract 7007.06, Montgomery County, Maryland",49567,64883.20
1400000US24031700708,24031700708,"Census Tract 7007.08, Montgomery County, Maryland",54472,71303.85
1400000US24031700710,24031700710,"Census Tract 7007.10, Montgomery County, Maryland",81853,107145.58
1400000US24031700711,24031700711,"Census Tract 7007.11, Montgomery County, Maryland",77070,100884.63
1400000US24031700712,24031700712,"Census Tract 7007.12, Montgomery County, Maryland",54474,71306.47
1400000US24031700713,24031700713,"Census Tract 7007.13, Montgomery County, Maryland",50279,65815.21
1400000US24031700714,24031700714,"Census Tract 7007.14, Montgomery County, Maryland",41922,54875.90
1400000US24031700715,24031700715,"Census Tract 7007.15, Montgomery County, Maryland",72500,94902.50
1400000US24031700716,24031700716,"Census Tract 7007.16, Montgomery County, Maryland",70147,91822.42
1400000US24031700805,24031700805,"Census Tract 7008.05, Montgomery County, Maryland",66270,86747.43
1400000US24031700806,24031700806,"Census Tract 7008.06, Montgomery County, Maryland",92043,120484.29
1400000US24031700808,24031700808,"Census Tract 7008.08, Montgomery County, Maryland",61345,80300.61
1400000US24031700809,24031700809,"Census Tract 7008.09, Montgomery County, Maryland",71129,93107.86
1400000US24031700810,24031700810,"Census Tract 7008.10, Montgomery County, Maryland",77325,101218.43
1400000US24031700811,24031700811,"Census Tract 7008.11, Montgomery County, Maryland",65792,86121.73
1400000US24031700812,24031700812,"Census Tract 7008.12, Montgomery County, Maryland",58750,76903.75
1400000US24031700813,24031700813,"Census Tract 7008.13, Montgomery County, Maryland",68293,89395.54
1400000US24031700815,24031700815,"Census Tract 7008.15, Montgomery County, Maryland",63304,82864.94
1400000US24031700816,24031700816,"Census Tract 7008.16, Montgomery County, Maryland",58762,76919.46
1400000US24031700817,24031700817,"Census Tract 7008.17, Montgomery County, Maryland",64438,84349.34
1400000US24031700818,24031700818,"Census Tract 7008.18, Montgomery County, Maryland",47047,61584.52
1400000US24031700819,24031700819,"Census Tract 7008.19, Montgomery County, Maryland",63652,83320.47
1400000US24031700901,24031700901,"Census Tract 7009.01, Montgomery County, Maryland",47500,62177.50
1400000US24031700902,24031700902,"Census Tract 7009.02, Montgomery County, Maryland",52321,68488.19
1400000US24031700903,24031700903,"Census Tract 7009.03, Montgomery County, Maryland",57908,75801.57
1400000US24031700904,24031700904,"Census Tract 7009.04, Montgomery County, Maryland",31875,41724.38
1400000US24031700905,24031700905,"Census Tract 7009.05, Montgomery County, Maryland",47478,62148.70
1400000US24031701001,24031701001,"Census Tract 7010.01, Montgomery County, Maryland",77619,101603.27
1400000US24031701002,24031701002,"Census Tract 7010.02, Montgomery County, Maryland",122136,159876.02
1400000US24031701003,24031701003,"Census Tract 7010.03, Montgomery County, Maryland",99880,130742.92
1400000US24031701004,24031701004,"Census Tract 7010.04, Montgomery County, Maryland",72759,95241.53
1400000US24031701005,24031701005,"Census Tract 7010.05, Montgomery County, Maryland",97567,127715.20
1400000US24031701101,24031701101,"Census Tract 7011.01, Montgomery County, Maryland",68125,89175.63
1400000US24031701102,24031701102,"Census Tract 7011.02, Montgomery County, Maryland",59487,77868.48
1400000US24031701201,24031701201,"Census Tract 7012.01, Montgomery County, Maryland",60823,79617.31
1400000US24031701202,24031701202,"Census Tract 7012.02, Montgomery County, Maryland",92175,120657.08
1400000US24031701204,24031701204,"Census Tract 7012.04, Montgomery County, Maryland",51865,67891.29
1400000US24031701205,24031701205,"Census Tract 7012.05, Montgomery County, Maryland",140219,183546.67
1400000US24031701206,24031701206,"Census Tract 7012.06, Montgomery County, Maryland",101508,132873.97
1400000US24031701209,24031701209,"Census Tract 7012.09, Montgomery County, Maryland",129055,168933.00
1400000US24031701210,24031701210,"Census Tract 7012.10, Montgomery County, Maryland",141126,184733.93
1400000US24031701211,24031701211,"Census Tract 7012.11, Montgomery County, Maryland",78921,103307.59
1400000US24031701212,24031701212,"Census Tract 7012.12, Montgomery County, Maryland",108012,141387.71
1400000US24031701213,24031701213,"Census Tract 7012.13, Montgomery County, Maryland",88371,115677.64
1400000US24031701214,24031701214,"Census Tract 7012.14, Montgomery County, Maryland",60793,79578.04
1400000US24031701215,24031701215,"Census Tract 7012.15, Montgomery County, Maryland",66658,87255.32
1400000US24031701303,24031701303,"Census Tract 7013.03, Montgomery County, Maryland",117749,154133.44
1400000US24031701304,24031701304,"Census Tract 7013.04, Montgomery County, Maryland",94452,123637.67
1400000US24031701306,24031701306,"Census Tract 7013.06, Montgomery County, Maryland",103111,134972.30
1400000US24031701307,24031701307,"Census Tract 7013.07, Montgomery County, Maryland",112572,147356.75
1400000US24031701308,24031701308,"Census Tract 7013.08, Montgomery County, Maryland",129424,169416.02
1400000US24031701309,24031701309,"Census Tract 7013.09, Montgomery County, Maryland",94413,123586.62
1400000US24031701310,24031701310,"Census Tract 7013.10, Montgomery County, Maryland",85227,111562.14
1400000US24031701312,24031701312,"Census Tract 7013.12, Montgomery County, Maryland",90599,118594.09
1400000US24031701313,24031701313,"Census Tract 7013.13, Montgomery County, Maryland",96380,126161.42
1400000US24031701407,24031701407,"Census Tract 7014.07, Montgomery County, Maryland",104215,136417.44
1400000US24031701408,24031701408,"Census Tract 7014.08, Montgomery County, Maryland",84639,110792.45
1400000US24031701409,24031701409,"Census Tract 7014.09, Montgomery County, Maryland",89614,117304.73
1400000US24031701410,24031701410,"Census Tract 7014.10, Montgomery County, Maryland",71952,94185.17
