OBJECTID,GEO.id,dec_moc,dec_foc,dec_mrc,dec_frc
182,1400000US51059416000,22,32,19,107
183,1400000US51059420100,0,30,0,36
184,1400000US51059420800,5,41,0,6
185,1400000US51059421200,18,6,0,5
186,1400000US51059421600,0,49,49,257
187,1400000US51059421800,8,47,12,216
188,,,,,
189,,,,,
190,,,,,
191,1400000US51059430500,0,7,7,0
192,,,,,
193,,,,,
194,1400000US51059431900,10,38,0,1
195,1400000US51059432300,6,31,0,7
196,,,,,
197,1400000US51059440600,15,13,0,0
198,1400000US51059450200,7,18,35,148
199,1400000US51059450500,6,41,0,0
200,,,,,
201,1400000US51059451300,7,23,0,0
202,1400000US51059451900,0,10,34,100
203,,,,,
204,,,,,
205,,,,,
206,1400000US51059460200,6,25,0,0
207,1400000US51059460300,0,9,0,0
208,1400000US51059460600,6,46,9,0
209,1400000US51059461000,5,20,0,5
210,,,,,
211,,,,,
212,1400000US51059470600,6,11,7,6
213,1400000US51059471000,0,14,0,6
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,1400000US51059481000,11,36,18,50
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,1400000US51013100100,6,44,0,13
232,1400000US51013100400,0,8,7,0
233,1400000US51013100800,0,9,0,6
234,,,,,
235,,,,,
236,,,,,
237,1400000US51013101900,6,12,0,0
238,,,,,
239,,,,,
240,,,,,
241,1400000US51013103402,0,0,8,0
242,,,,,
243,1400000US51510200103,10,41,85,174
244,,,,,
245,1400000US51510200301,0,0,28,60
246,,,,,
247,1400000US51510200500,0,0,9,181
248,1400000US51510200600,27,66,0,53
249,,,,,
250,,,,,
251,1400000US51510200900,6,36,0,38
252,1400000US51510201204,11,32,33,57
253,1400000US51510201600,0,15,19,147
254,1400000US51510202001,0,42,0,0
255,,,,,
256,1400000US51610500300,0,39,8,37
257,1400000US51059415200,4,16,14,48
258,1400000US51059415300,22,58,10,27
259,,,,,
260,1400000US51059415500,5,45,0,134
261,1400000US51059415600,0,7,6,8
262,1400000US51059415700,4,13,0,4
263,1400000US51059415800,11,15,0,0
264,1400000US51059415900,15,12,0,4
265,1400000US51059416100,14,6,0,6
266,1400000US51059416200,0,0,31,141
267,1400000US51059416300,0,0,7,12
268,,,,,
269,,,,,
270,,,,,
271,1400000US51059420300,15,52,4,34
272,,,,,
273,,,,,
274,,,,,
275,1400000US51059420600,12,34,7,108
276,1400000US51059420700,30,39,0,9
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,1400000US51059421300,14,66,0,24
283,1400000US51059421400,5,9,34,212
284,1400000US51059421500,21,55,63,191
285,,,,,
286,,,,,
287,1400000US51059421900,0,0,6,109
288,1400000US51059422000,0,12,0,18
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,1400000US51059430400,13,46,5,38
301,1400000US51059430600,0,27,34,21
302,1400000US51059430700,9,11,8,5
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,1400000US51059431300,12,48,0,31
309,1400000US51059431400,13,57,0,7
310,1400000US51059431500,18,64,0,27
311,1400000US51059431600,12,33,0,49
312,,,,,
313,1400000US51059432000,10,25,0,54
314,1400000US51059432100,14,59,11,11
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,1400000US51059432500,24,47,6,16
320,1400000US51059432600,18,52,7,6
321,,,,,
322,1400000US51059432800,7,13,5,36
323,1400000US51059440100,7,45,0,41
324,,,,,
325,,,,,
326,1400000US51059440300,8,21,0,0
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,1400000US51059440800,15,17,7,6
332,1400000US51059450100,6,19,15,21
333,1400000US51059450300,4,37,5,34
334,1400000US51059450400,0,9,0,0
335,,,,,
336,,,,,
337,,,,,
338,1400000US51059450800,5,7,0,17
339,1400000US51059450900,0,19,0,22
340,1400000US51059451000,0,25,0,9
341,1400000US51059451100,16,11,0,7
342,1400000US51059451200,0,19,0,0
343,1400000US51059451400,0,7,18,72
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,1400000US51059451800,23,8,0,0
349,1400000US51059452000,14,38,0,16
350,,,,,
351,1400000US51059452200,25,51,34,31
352,,,,,
353,,,,,
354,1400000US51059452400,22,60,36,55
355,,,,,
356,1400000US51059452600,27,39,4,97
357,1400000US51059452700,7,20,20,179
358,,,,,
359,1400000US51059460100,12,13,6,5
360,1400000US51059460400,4,41,0,0
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,1400000US51059460800,6,7,10,20
366,1400000US51059460900,13,9,0,13
367,1400000US51059461100,24,35,5,16
368,,,,,
369,,,,,
370,1400000US51059461500,37,65,7,17
371,,,,,
372,1400000US51059461700,37,58,5,44
373,,,,,
374,,,,,
375,,,,,
376,1400000US51059470100,5,12,0,0
377,1400000US51059470300,0,26,0,4
378,1400000US51059470400,13,34,0,5
