OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA
84,1400000US11001000901,11,001,000901,9.01,Tract,1.141,11001000901,11001,23007.0408248,32348295.7757
85,1400000US11001000902,11,001,000902,9.02,Tract,0.719,11001000902,11001,27672.7322341,23692845.8724
86,1400000US11001001001,11,001,001001,10.01,Tract,0.948,11001001001,11001,21294.7687175,26489165.9783
87,1400000US11001001100,11,001,001100,11,Tract,0.647,11001001100,11001,18695.0117624,18233341.12
88,1400000US11001001200,11,001,001200,12,Tract,0.47,11001001200,11001,16026.418526,12927028.0192
89,1400000US11001001301,11,001,001301,13.01,Tract,1.102,11001001301,11001,27467.3157858,30722486.9196
90,1400000US11001001302,11,001,001302,13.02,Tract,0.615,11001001302,11001,20074.5453435,17230409.4485
91,1400000US11001001402,11,001,001402,14.02,Tract,0.346,11001001402,11001,15809.683505,9606843.26955
92,1400000US11001001500,11,001,001500,15,Tract,1.81,11001001500,11001,33694.9437264,49668943.9125
93,1400000US11001001600,11,001,001600,16,Tract,1.024,11001001600,11001,26564.5042149,28472689.4214
94,1400000US11001001803,11,001,001803,18.03,Tract,0.439,11001001803,11001,14496.0698913,12765300.7313
95,1400000US11001001804,11,001,001804,18.04,Tract,0.232,11001001804,11001,11165.9170169,6480058.73281
96,1400000US11001001901,11,001,001901,19.01,Tract,0.297,11001001901,11001,11907.6874146,8268714.41236
97,1400000US11001002001,11,001,002001,20.01,Tract,0.244,11001002001,11001,13159.5969954,6880435.42872
98,1400000US11001002002,11,001,002002,20.02,Tract,0.328,11001002002,11001,14463.0075292,9132853.84833
99,1400000US11001002101,11,001,002101,21.01,Tract,0.232,11001002101,11001,10455.7573576,6476661.19312
100,1400000US11001002102,11,001,002102,21.02,Tract,0.28,11001002102,11001,11636.1328558,7822375.10963
101,1400000US11001002202,11,001,002202,22.02,Tract,0.268,11001002202,11001,10887.554372,7382626.17719
102,1400000US11001002301,11,001,002301,23.01,Tract,0.159,11001002301,11001,9255.54336476,4509407.77826
103,1400000US11001002302,11,001,002302,23.02,Tract,0.776,11001002302,11001,19103.2341115,21570557.6413
104,1400000US11001002400,11,001,002400,24,Tract,0.215,11001002400,11001,10604.9381208,5929863.32972
105,1400000US11001002502,11,001,002502,25.02,Tract,0.233,11001002502,11001,10610.3613955,6507491.71681
106,1400000US11001002600,11,001,002600,26,Tract,0.816,11001002600,11001,27941.4490157,23922420.0411
107,1400000US11001002701,11,001,002701,27.01,Tract,0.174,11001002701,11001,10848.7171435,4702228.83336
108,1400000US11001002702,11,001,002702,27.02,Tract,0.188,11001002702,11001,11788.7805487,5565023.44211
109,1400000US11001002802,11,001,002802,28.02,Tract,0.089,11001002802,11001,6879.78824042,2475065.81534
110,1400000US11001003000,11,001,003000,30,Tract,0.081,11001003000,11001,6079.65110715,2256363.90551
111,1400000US11001003100,11,001,003100,31,Tract,0.114,11001003100,11001,8438.62028379,3176369.62557
112,1400000US11001003200,11,001,003200,32,Tract,0.172,11001003200,11001,9770.61120748,4779960.18797
113,1400000US11001003302,11,001,003302,33.02,Tract,0.077,11001003302,11001,6202.87068456,2138278.46139
114,1400000US11001003400,11,001,003400,34,Tract,0.354,11001003400,11001,15248.3034674,11785924.6427
115,1400000US11001003500,11,001,003500,35,Tract,0.147,11001003500,11001,9703.2534048,4231382.15786
116,1400000US11001003700,11,001,003700,37,Tract,0.113,11001003700,11001,7545.48148778,3108689.70983
117,1400000US11001003800,11,001,003800,38,Tract,0.137,11001003800,11001,8835.57154648,3886184.80983
118,1400000US11001003900,11,001,003900,39,Tract,0.147,11001003900,11001,10806.7560902,4397556.23436
119,1400000US11001004001,11,001,004001,40.01,Tract,0.105,11001004001,11001,7577.54319958,3023305.27403
120,1400000US11001004100,11,001,004100,41,Tract,0.304,11001004100,11001,12346.1649449,8874128.13219
121,1400000US11001004201,11,001,004201,42.01,Tract,0.079,11001004201,11001,5997.72780068,2142727.99279
122,1400000US11001004300,11,001,004300,43,Tract,0.091,11001004300,11001,6649.72587855,2599030.31284
123,1400000US11001004400,11,001,004400,44,Tract,0.201,11001004400,11001,9579.41864137,5490129.81552
124,1400000US11001004600,11,001,004600,46,Tract,0.169,11001004600,11001,9485.87488442,4669766.40524
125,1400000US11001004701,11,001,004701,47.01,Tract,0.124,11001004701,11001,9571.45611669,3459918.27829
126,1400000US11001004801,11,001,004801,48.01,Tract,0.123,11001004801,11001,8037.05127045,3446673.98364
127,1400000US11001004802,11,001,004802,48.02,Tract,0.111,11001004802,11001,7192.20084152,3101164.46704
128,1400000US11001004902,11,001,004902,49.02,Tract,0.102,11001004902,11001,6731.76734426,2840169.68002
129,1400000US11001005001,11,001,005001,50.01,Tract,0.079,11001005001,11001,6909.77991776,2199492.18844
130,1400000US11001005002,11,001,005002,50.02,Tract,0.09,11001005002,11001,7261.21211166,2490709.04369
131,1400000US11001005201,11,001,005201,52.01,Tract,0.131,11001005201,11001,8580.86947849,3721873.27161
132,1400000US11001005301,11,001,005301,53.01,Tract,0.111,11001005301,11001,7567.98308977,3103195.96644
133,1400000US11001005500,11,001,005500,55,Tract,0.243,11001005500,11001,12810.4021095,7062933.1943
134,1400000US11001005800,11,001,005800,58,Tract,0.352,11001005800,11001,13189.9503683,9867325.71227
135,1400000US11001005900,11,001,005900,59,Tract,0.249,11001005900,11001,10928.6275188,6890515.43593
136,1400000US11001006202,11,001,006202,62.02,Tract,2.542,11001006202,11001,83981.1320186,124545736.766
137,1400000US11001006500,11,001,006500,65,Tract,0.192,11001006500,11001,10822.6375594,5130927.12735
138,1400000US11001006600,11,001,006600,66,Tract,0.114,11001006600,11001,8730.35843672,3188481.75996
139,1400000US11001006700,11,001,006700,67,Tract,0.165,11001006700,11001,9883.84297494,4600830.57465
140,1400000US11001006802,11,001,006802,68.02,Tract,0.109,11001006802,11001,8141.57674122,2904691.07418
141,1400000US11001006804,11,001,006804,68.04,Tract,0.596,11001006804,11001,21659.8861108,22068329.0011
142,1400000US11001006900,11,001,006900,69,Tract,0.158,11001006900,11001,9357.56090561,4421144.07551
143,1400000US11001007000,11,001,007000,70,Tract,0.162,11001007000,11001,9535.45586979,4522309.62725
144,1400000US11001007200,11,001,007200,72,Tract,0.525,11001007200,11001,17532.199715,17588261.3785
145,1400000US11001007301,11,001,007301,73.01,Tract,1.772,11001007301,11001,52541.428145,105542492.998
146,1400000US11001007304,11,001,007304,73.04,Tract,0.478,11001007304,11001,18098.8350646,13817351.0086
147,1400000US11001007401,11,001,007401,74.01,Tract,0.464,11001007401,11001,20505.5312137,15693951.2079
148,1400000US11001007404,11,001,007404,74.04,Tract,0.311,11001007404,11001,16317.2803844,8702963.59804
149,1400000US11001007406,11,001,007406,74.06,Tract,0.143,11001007406,11001,8384.18654066,3698844.92293
150,1400000US11001009301,11,001,009301,93.01,Tract,0.425,11001009301,11001,14988.8529196,11780166.8491
151,1400000US11001009400,11,001,009400,94,Tract,0.614,11001009400,11001,18029.8285304,17067048.7698
152,1400000US11001009501,11,001,009501,95.01,Tract,0.616,11001009501,11001,20053.4800156,17311236.6542
153,1400000US11001009503,11,001,009503,95.03,Tract,0.549,11001009503,11001,17608.9156256,14972196.8911
154,1400000US11001009505,11,001,009505,95.05,Tract,0.402,11001009505,11001,14685.4316711,10991699.079
155,1400000US11001009507,11,001,009507,95.07,Tract,0.114,11001009507,11001,7942.9442223,3027390.63013
156,1400000US11001009508,11,001,009508,95.08,Tract,0.365,11001009508,11001,18297.1441523,10295728.4192
157,1400000US11001009601,11,001,009601,96.01,Tract,0.728,11001009601,11001,21780.4477558,22540800.8093
158,1400000US11001009801,11,001,009801,98.01,Tract,0.167,11001009801,11001,10382.3921881,4981228.11303
159,1400000US11001009803,11,001,009803,98.03,Tract,0.205,11001009803,11001,10376.3140493,5590273.55077
160,1400000US11001009804,11,001,009804,98.04,Tract,0.2,11001009804,11001,12137.493019,5594034.57543
161,1400000US11001009810,11,001,009810,98.10,Tract,0.154,11001009810,11001,9063.23660685,4374977.06804
162,1400000US11001009811,11,001,009811,98.11,Tract,0.181,11001009811,11001,11385.3445832,5018786.68515
163,1400000US11001009901,11,001,009901,99.01,Tract,0.812,11001009901,11001,19308.2443977,22749079.9674
164,1400000US11001009902,11,001,009902,99.02,Tract,0.5,11001009902,11001,17395.3493829,13867516.78
165,1400000US11001009903,11,001,009903,99.03,Tract,0.145,11001009903,11001,10583.6635635,4063198.79259
166,1400000US11001009905,11,001,009905,99.05,Tract,0.167,11001009905,11001,9570.36189592,4674529.74404
167,1400000US11001009907,11,001,009907,99.07,Tract,0.18,11001009907,11001,10339.9701848,5199220.0052
168,1400000US11001010100,11,001,010100,101,Tract,0.224,11001010100,11001,11070.0811769,6201931.66347
169,1400000US11001010200,11,001,010200,102,Tract,0.479,11001010200,11001,16614.3292489,14926716.2092
170,1400000US11001010300,11,001,010300,103,Tract,0.417,11001010300,11001,17366.5993728,11469185.969
171,1400000US11001010400,11,001,010400,104,Tract,1.056,11001010400,11001,24966.6050348,29322226.5845
172,1400000US11001010600,11,001,010600,106,Tract,0.477,11001010600,11001,17133.1777215,13371474.013
173,1400000US11001010700,11,001,010700,107,Tract,0.344,11001010700,11001,12443.9140225,9596492.77146
