GEO_ID_2,ACS_15,HC03_EST_VC32,DEC_20
1400000US11001002102,35983,82.1,0
1400000US11001002202,43244,86.7,8
1400000US11001002301,35189,82.5,5
1400000US11001002302,58333,22.7,0
1400000US11001002400,37653,80.5,13
1400000US11001002502,35429,53.0,0
1400000US11001002600,94375,98.6,0
1400000US11001002701,44363,62.9,0
1400000US11001002702,69025,54.9,0
1400000US11001002802,38638,48.3,0
1400000US11001003000,46198,50.9,0
1400000US11001003100,39766,57.1,68
1400000US11001003200,34536,54.0,102
1400000US11001003302,64402,70.4,0
1400000US11001003400,34504,63.1,0
1400000US11001003500,49375,68.2,46
1400000US11001003700,53229,69.5,0
1400000US11001003800,62519,70.3,0
1400000US11001003900,65000,75.4,0
1400000US11001004001,75685,93.1,0
1400000US11001004100,74955,95.2,0
1400000US11001004201,78550,100.0,8
1400000US11001004300,54375,75.4,0
1400000US11001004400,65058,49.0,11
1400000US11001004600,60039,42.9,23
1400000US11001004701,93599,28.8,
1400000US11001004801,71836,64.2,0
1400000US11001004802,50619,49.2,13
1400000US11001004902,46296,100.0,0
1400000US11001005001,78056,100.0,
1400000US11001005002,76655,55.6,
1400000US11001005201,76435,92.4,0
1400000US11001005301,83060,100.0,0
1400000US11001005500,101347,84.6,0
1400000US11001005800,94438,54.3,0
1400000US11001005900,60889,75.0,0
1400000US11001006202,-,-,0
1400000US11001006500,100625,100.0,0
1400000US11001006600,100125,87.7,0
1400000US11001006700,100958,89.8,0
1400000US11001006802,68942,67.9,22
1400000US11001006804,45117,-,0
1400000US11001006900,69615,52.6,0
1400000US11001007000,82500,85.7,0
1400000US11001007200,90063,49.3,0
1400000US11001007301,46638,100.0,7
1400000US11001007304,41532,62.4,33
1400000US11001007401,46964,24.7,0
1400000US11001007404,45313,58.0,26
1400000US11001007406,33359,62.2,16
1400000US11001009301,47862,98.2,51
1400000US11001009400,56836,87.0,18
1400000US11001009501,19697,48.7,20
1400000US11001009503,60921,90.3,0
1400000US11001009505,30593,91.6,42
1400000US11001009507,35721,76.5,14
1400000US11001009508,46860,78.7,7
1400000US11001009601,41222,39.4,27
1400000US11001009801,31042,16.1,53
1400000US11001009803,34132,47.4,30
1400000US11001009804,37656,57.1,22
1400000US11001009810,17019,9.9,
1400000US11001009811,33821,58.6,
1400000US11001009901,52857,87.1,37
1400000US11001009902,36250,69.9,81
1400000US11001009903,32169,87.4,48
1400000US11001009905,36089,69.7,67
1400000US11001009907,36236,78.0,77
1400000US11001010100,64440,56.4,
1400000US11001010200,83933,100.0,
1400000US11001010300,49583,81.8,
1400000US11001010400,31008,68.8,
1400000US11001010600,46296,70.5,
1400000US11001010700,87083,81.5,
1400000US11001010900,38958,63.0,
1400000US11001011000,70572,90.0,
1400000US11001011100,45453,68.9,
1400000US11001001902,33077,95.0,5
1400000US11001008100,72983,90.2,6
1400000US11001000801,93028,100.0,0
1400000US51059415100,73571,95.0,0
1400000US51059415401,37438,87.5,
1400000US51059416000,57614,91.6,0
1400000US51059420100,51138,71.3,0
1400000US51059420800,53661,76.6,0
1400000US51059421200,80750,100.0,5
1400000US51059421600,32474,68.7,62
1400000US51059421800,52135,75.3,41
1400000US51059422301,75058,100.0,
1400000US51059422401,64074,81.0,
1400000US51059430203,66202,94.9,
1400000US51059430500,52824,97.0,0
1400000US51059430901,58506,94.7,
1400000US51059431801,52411,82.4,
1400000US51059431900,110735,94.0,0
1400000US51059432300,97350,72.2,0
1400000US51059432702,53764,86.3,
1400000US51059440600,40954,89.6,0
1400000US51059450200,40625,79.2,0
1400000US51059450500,45000,61.5,0
1400000US51059450702,34028,90.7,
1400000US51059451300,94000,86.5,0
1400000US51059451900,51494,82.0,0
1400000US51059452102,37500,84.7,
1400000US51059452502,31950,41.7,
1400000US51059452802,61105,96.6,
1400000US51059460200,136339,94.5,0
1400000US51059460300,124539,100.0,0
1400000US51059460600,92386,89.5,0
1400000US51059461000,89813,87.7,15
1400000US51059461601,66186,44.9,
1400000US51059461901,36591,68.1,
1400000US51059470600,124271,90.6,0
1400000US51059471000,111833,95.9,0
1400000US51059471303,83093,96.6,
1400000US51059480202,85818,100.0,
1400000US51059480501,131429,65.4,
1400000US51059480802,83317,88.4,
1400000US51059481000,51676,85.3,6
1400000US51059481104,99297,13.2,
1400000US51059481701,135745,100.0,
1400000US51059482301,63915,94.2,
1400000US51059482502,87045,100.0,
1400000US51059490501,58163,22.2,
1400000US51059491202,55596,100.0,
1400000US51059491401,61513,100.0,
1400000US51059491501,83596,36.4,
1400000US51059491703,71434,41.5,
1400000US51059491801,53545,83.8,
1400000US51059492202,113000,82.3,
1400000US51059980100,-,-,
1400000US51013100100,90682,96.1,7
1400000US51013100400,153816,100.0,0
1400000US51013100800,42596,46.7,0
1400000US51013101401,115536,100.0,
1400000US51013101602,70313,53.6,
1400000US51013101703,83066,100.0,
1400000US51013101900,89180,100.0,0
1400000US51013102301,94677,100.0,
1400000US51013102702,47115,-,
1400000US51013102902,80625,100.0,
1400000US51013103402,84310,87.8,0
1400000US51013103602,54194,100.0,
1400000US51510200103,36858,74.3,9
1400000US51510200107,68220,100.0,
1400000US51510200301,50579,100.0,0
1400000US51510200405,55205,52.9,
1400000US51510200500,64605,59.7,6
1400000US51510200600,42168,57.5,0
1400000US51510200701,83824,-,
1400000US51510200702,83931,95.0,
1400000US51510200900,110500,85.7,0
1400000US51510201204,41410,66.0,57
1400000US51510201600,67480,68.1,6
1400000US51510202001,135545,94.4,0
1400000US51600300300,,,
1400000US51610500300,99615,89.7,0
1400000US51059415200,75139,95.4,0
1400000US51059415300,51944,85.6,0
1400000US51059415402,83125,84.1,
1400000US51059415500,78199,56.0,0
1400000US51059415600,145313,90.6,0
1400000US51059415700,108793,100.0,0
1400000US51059415800,115365,98.4,0
1400000US51059415900,102452,96.6,0
1400000US51059416100,105758,96.2,0
1400000US51059416200,62500,100.0,0
1400000US51059416300,72885,81.3,0
1400000US51059420201,83398,78.6,
1400000US51059420202,77563,100.0,
1400000US51059420203,91250,75.3,
1400000US51059420300,58538,97.0,0
1400000US51059420501,97738,97.2,
1400000US51059420502,63929,100.0,
1400000US51059420503,47000,100.0,
1400000US51059420600,48558,100.0,17
1400000US51059420700,59057,86.0,0
1400000US51059421001,79688,55.4,
1400000US51059421002,66458,75.3,
1400000US51059421101,84957,92.7,
1400000US51059421102,65859,59.1,
1400000US51059421103,92391,86.1,
1400000US51059421300,82820,86.0,0
1400000US51059421400,27051,73.9,9
1400000US51059421500,31864,65.3,6
1400000US51059421701,29397,59.3,
1400000US51059421702,37486,74.6,
1400000US51059421900,45515,100.0,0
1400000US51059422000,66836,88.3,0
1400000US51059422101,49628,81.5,
1400000US51059422102,45943,88.9,
1400000US51059422201,88375,63.9,
1400000US51059422202,52460,75.8,
1400000US51059422302,70851,75.0,
1400000US51059422402,82786,63.4,
1400000US51059422403,123517,90.1,
1400000US51059430101,101750,95.0,
1400000US51059430102,68537,83.8,
1400000US51059430201,58438,80.8,
1400000US51059430202,82212,80.4,
1400000US51059430400,49929,90.2,0
1400000US51059430600,34132,63.4,0
1400000US51059430700,59583,100.0,0
1400000US51059430801,89877,97.0,
1400000US51059430802,83750,95.3,
1400000US51059430902,54688,87.3,
1400000US51059431001,55242,75.5,
1400000US51059431002,56724,62.3,
1400000US51059431300,94345,91.7,0
1400000US51059431400,80031,74.9,5
1400000US51059431500,104703,89.0,0
1400000US51059431600,39647,95.4,0
