,GEO_ID_1,B_DEC_TP,B_DEC_1759,B_DEC_1507,B_D_E1824,B_DEC_MP,B_DEC_NLF,B_DEC_MO,B_DEC_MI,B_DEC_7079,B_DEC_MPP,B_DEC_MA,B_DEC_BPL,B_DEC_FLFP,B_DEC_2004,B_D_NH24L,B_DEC_EM,B_DEC_8089,B_DEC_10KL,B_DEC_EMP,B_DEC_4050,B_DEC_SSMF,B_DEC_1519,B_DEC_2509,B_DEC_SSF,B_DEC_1254,B_DEC_SSM,B_DEC_SSO,B_DEC_AAP,B_DEC_MR,B_DEC_LF,B_DEC_BPLP,B_DEC_7509,B_DEC_1015,B_DEC_BPLF,B_D_HS34LF,B_DEC_5007,B_DEC_BPLM,B_D_HS34LM,B_D_BA24L,B_DEC_MOC,B_DEC_FPP,B_DEC_OO,B_DEC_RO,B_DEC_3009,B_DEC_2025,B_DEC_2530,B_D_E24LM,B_DEC_MRC,B_DEC_3540,B_DEC_1000,B_D_HS24LM,B_DEC_LFP,B_D_AS24LM,B_DEC_1124,B_D_AS24L,B_D_AS24LF,B_D_HS44L,B_D_NH24LF,B_DEC_9099,B_D_NH24LM,B_DEC_5059,B_DEC_AAPP,B_DEC_FOC,B_DEC_UE,B_DEC_UEP,B_D_HS44LF,B_DEC_3035,B_DEC_6069,B_D_E24LF,B_D_BA34LF,B_DEC_FO,B_DECNLFP,B_D_HS24L,B_D_BA34LM,B_D_BA34L,B_D_BA24LM,B_DEC_FRC,B_D_HS44LM,B_DEC_MGRP,B_DEC_FLF,B_DEC_4009,B_D_BA24LF,B_DEC_FP,B_DEC_FR
46,1400000US11001003000,935.122194554,10.5206198743,12.6842722404,76.8592927696,457.486197048,241.22403533,0.460457934728,8585.89660544,0.262632649871,150.9,9.7250664884,332.604052029,182.2,5.66369148675,38.2618456211,325.262665704,0.0967593973208,0.0134094542396,161.6,0.0,8.22323405286,0.138227710458,7.82525283172,2.78722922651,10.3435530009,3.90298014342,297.050469141,636.545432701,19.321117855,393.534939222,71.5,0.0,0.0,11.9982592181,21.5231585143,1.926536086,51.9324310903,21.6946511688,3.39853584352,0.138227710458,149.1,85.4369353596,252.04117429,8.92195710852,0.0,0.0,33.4306980351,5.20041700116,0.0,0.0148993935996,5.7456140788,194.1,9.73893203541,13.55789893,21.0065196752,11.2675876398,18.688995454,22.3087770795,5.2177962956,15.9530685416,0.0,189.5,4.85861608615,68.2722735182,32.5,17.0894038844,0.0,0.0,43.4285947344,20.7854631101,4.94474442889,105.9,14.1923916297,22.554248429,21.7392757608,1.99308337932,68.9744212817,20.4735179464,8.92730730663,208.37401922,0.0700271499181,1.4054524642,477.635997507,93.2048272396
47,1400000US11001003100,884.933221821,2.39960711791,16.1372526872,100.449503013,434.153115608,234.124424291,9.35875766774,11408.7563665,5.86297750789,149.7,10.3345214083,131.399776801,173.5,10.1625404128,40.8285900352,396.368220642,2.16004434501,0.00161164263326,158.7,0.0,5.54101724297,3.08577763573,2.87230566559,5.55672767257,4.94279543069,2.8988118474,294.45405698,595.824036679,14.4278919706,486.081983572,59.5,0.0,0.0,5.75756135631,18.2070704208,1.00017483234,16.3809993746,19.4977924538,4.11873701231,3.17698661716,150.3,152.000031615,142.409810686,1.63145381391,0.0,0.0,65.2970044466,2.2439309713,0.0,0.0853989470119,19.600142426,189.5,13.1687095636,14.1960096956,17.5911183711,4.42240880759,18.0339282873,10.2532208892,4.01151092645,30.575369146,0.0,203.4,8.596400594,89.6225539488,30.4,16.7687594566,0.0,0.0,35.1524985661,21.2842347915,23.329763783,110.5,37.9110575941,17.2054595655,19.3791735838,1.95278331097,19.7056039252,19.2073017708,8.1368178326,223.420203603,1.17133086917,2.16595370134,450.780106213,38.8631296452
48,1400000US11001003200,1414.83278133,9.78570313634,3.80783705268,132.19745415,675.109855762,462.691468085,16.7089733424,10012.4284689,0.0,135.1,11.1839985792,363.411280714,152.9,11.0645195986,66.5887997706,518.891485414,0.00364561431477,0.0,136.2,0.00273421073608,11.6739573511,0.0,28.7142517049,0.00519290051244,0.0683747286718,5.05105389434,467.59239061,1160.98459594,9.17039068047,615.817820835,89.8,0.0,0.0,9.55600322866,22.7795183628,41.2995378839,51.2043543297,22.6253484725,4.16943052344,3.78316377563,164.9,272.297788525,218.346802396,65.5791661946,0.0,0.0,70.4091174087,3.16509764875,0.0,3.46790012766,18.6540579814,155.2,8.78385886716,0.0939858691951,25.9948106312,17.210951764,18.1316961467,27.7583469811,0.0300763180969,38.8304527895,0.0,237.0,23.3329718834,93.1371132612,18.3,18.1275784085,0.0,0.0,61.7883367416,19.8387385058,58.0516281765,144.8,35.444413225,23.436119478,21.4481842548,4.14074777061,61.5459749684,18.1667593173,7.1140459145,314.535253617,48.2353381393,0.0286827528387,739.722925568,87.7666624819
49,1400000US11001003301,642.076314718,0.706616846533,18.7518888366,60.2444026281,325.512144909,195.50581692,5.40729393257,9255.36841376,2.57731310853,184.1,9.14980455506,145.741582584,210.9,11.9501376667,20.3503194098,268.579403967,2.57891412502,1.87440953348,194.8,0.00120076236058,10.0944959766,0.0,14.0889000912,2.57744628981,8.69577173463,1.40880905601,223.46103187,572.83473757,6.18570861648,316.557921761,112.0,0.157427346964,0.0,4.68434731181,17.6831028228,7.31318893544,25.8082659651,22.9527638051,10.3613597796,3.54075576644,215.9,144.687080136,99.8472447503,16.1668932107,0.0,0.0,32.4513149821,0.0320078658929,0.0,0.453915517081,9.04876334781,221.1,8.55308282176,16.9082766735,16.4241415454,7.87105872365,18.9707696562,10.4250876006,5.63643698641,9.9252318092,0.0,337.6,4.55676299417,45.4010493071,25.5,18.9140089213,0.0,0.0,27.793087646,17.1255387539,25.738197206,178.9,13.1085818932,18.2853242291,17.7271539281,4.92423700333,18.2328595942,19.0273647402,6.17334769087,143.994869487,6.37336037958,5.43712277631,316.564169809,26.1765019507
50,1400000US11001003302,367.067095024,0.00504447507105,0.132430389544,29.3582780951,181.142046972,110.24562094,1.46191236559,9146.34400677,0.0181896208432,237.5,7.52158481312,57.1815549862,264.4,0.0849193823425,12.6085184262,163.82083889,0.0181896208432,0.0132288151587,248.1,0.0,4.02074507585,0.0,0.0997993185892,0.0210900856448,0.0613422419434,1.20137044512,121.225940791,335.953979367,1.24087771706,193.845687064,122.3,0.000853587423192,0.0,6.41387350396,14.6110117818,0.0720657460342,18.6108694676,16.6800585333,1.65434305325,3.37536187581,262.5,83.5456701685,45.4664121881,2.08281876921,0.0,0.0,13.3062769767,1.18984738729,0.0,0.0024611770702,6.79709902727,290.8,2.62612654258,0.119184840508,4.47014754331,1.84402100073,15.4639812908,9.35706984192,0.0396864454761,3.25144858432,0.0,461.3,3.01580996033,27.6441775331,40.9,16.86173721,0.0,0.0,16.0520011183,17.1853467105,25.6787973776,209.2,10.6252690723,14.1231029276,15.6937519901,0.63160282256,9.46783786066,14.1056872549,3.71317083059,95.8122621464,0.0551702196927,1.02274023069,185.925048052,11.7288558691
51,1400000US11001003400,721.560101242,1.71983421447,3.49955388516,335.221899747,320.329913177,335.537821049,0.348684269792,3429.79862176,0.0999773503277,279.6,3.87364522533,164.808496119,326.5,11.8330291597,25.0363605928,250.92030714,0.100462318721,0.0727029972844,289.9,0.000362576752831,3.07196161716,0.0,8.99865018652,2.03350147742,3.40565823991,0.0989578470345,177.626234716,660.981224734,7.08210992595,301.308380933,164.1,0.0,0.0,6.68392361237,13.9146323657,0.620691933018,30.6141687447,15.4123366872,17.0362917965,0.173407442294,320.4,64.4994665378,119.61977194,2.78004879098,0.0,0.0,129.950507703,2.12358897772,0.0,0.0284663396461,18.3960975209,332.9,79.3627545369,3.08286179635,247.545008647,168.18225411,10.7541301843,6.28372722053,0.222097336134,18.7526333723,0.0,501.6,1.65847534708,47.9970056652,41.0,11.1891811883,0.0,0.0,205.271392044,10.5863667002,15.5223156056,267.1,45.604238711,11.9125495185,11.2166604842,13.439022273,21.5251311705,10.2387968644,4.34762033198,142.990328434,0.64123939376,3.59726952348,401.230188065,34.6143938968
52,1400000US11001003500,699.986500029,1.4036781712,1.62315190805,304.324154736,311.639844527,290.196045001,8.80799752417,3905.8906136,1.42301842007,239.3,4.62916837839,139.559036763,276.1,7.05190380272,20.8392753602,289.444991549,1.56872209663,0.0,255.6,0.0,0.906961161652,0.03913521205,3.46462346927,0.101547773942,0.111864960346,0.127251569153,163.697293634,585.535575765,4.23958428105,318.991351101,136.3,0.0,0.0,8.00209849472,15.1789738659,11.0524916654,27.9948384249,17.2329319768,34.5610282854,0.0490635798666,260.7,48.1065546507,120.721892902,10.0822304736,0.0,0.0,112.534213133,2.23503822188,0.0,1.36162487662,15.2132819937,293.0,68.3466420012,1.95289584497,205.840196371,137.49355437,12.0477924554,2.93736804129,0.050875775665,17.9019073189,0.0,383.5,2.49415897775,29.5032326112,36.5,11.8945003922,0.0,0.0,191.789941603,9.1986403606,13.4916069157,207.0,43.0836547192,9.72357391217,9.48258768423,11.0723818196,12.7988481671,12.2197404589,5.00435065517,193.753496285,9.5046471489,23.4886464659,388.346655503,26.3787560201
53,1400000US11001003600,934.85490763,1.65615308611,1.70509613893,119.177382916,470.473007073,281.391777253,7.79605974252,5436.72163924,0.0463695709798,192.9,7.8606633766,260.850452171,236.5,3.29759839343,43.6677509677,415.909491891,0.0491393161378,0.0,209.5,0.0,4.08904118205,0.00261954901685,9.1707748492,1.20391617911,6.39664924497,6.01824465983,356.806782212,585.420801591,17.6650368649,468.258884873,115.7,0.0,0.0,8.72682815266,16.9756045626,6.08040302193,81.8331223664,13.5313270149,14.573436422,0.00261954901685,207.1,66.0186302181,312.174229184,16.692614653,0.0,0.0,56.7826222479,2.23733033798,0.0,0.0413924278477,15.3938971238,244.4,15.9554176749,0.369940435663,35.8528771315,19.8974594566,14.0108610465,25.6782084971,0.122301676895,17.9895424707,0.0,280.9,6.56441951751,50.5257884073,34.7,13.1480224289,0.0,0.0,62.3947606679,17.9834810049,4.15116481169,155.6,25.0833183944,14.9196510524,16.14602816,7.44376497851,53.7378665547,14.6051303216,6.19091240086,213.711687195,8.49596758186,7.12967144353,464.381900557,72.7136721133
54,1400000US11001003700,1030.55128519,8.62025744167,5.73680640859,222.678203554,495.079103397,307.589608855,0.431153192751,5502.5361109,1.33560525448,254.3,5.67950567821,307.914780983,306.9,5.22172990561,62.5881855404,479.717274646,4.35619652151,0.0,294.9,0.0,12.6310123936,0.0,0.705109186641,0.177398860625,19.8376321546,2.11232296398,346.337748586,580.075053526,23.7683634731,513.005898942,154.1,0.126835366881,0.0,6.9270958001,13.1679760547,0.557271552706,66.5913958831,14.0648849323,25.5465765319,1.35031472421,245.7,36.544057227,339.996496163,0.994731179542,0.0,0.0,91.9355424335,5.655816305,0.0,1.73517842898,17.9082039155,324.1,26.4034495339,22.1127528292,93.5123352859,67.108885752,10.2927931102,27.0360430658,9.71925666737,35.5521424746,1.51519879009,251.5,4.78006796626,33.1415911853,28.7,10.1241448435,0.0,1.91361111392,130.74266112,11.9617401027,4.49163213586,175.9,41.0311061957,11.0015757614,11.4275315675,12.0717465095,59.2863244434,10.458129405,6.1182020439,267.760059251,0.528329535977,13.4748300223,535.472181794,81.6451717238
55,1400000US11001003800,1481.27644239,0.0244035500601,2.20060995321,149.495832651,800.464249298,321.669920572,0.0496594981185,11942.6065764,0.0172263360255,156.9,10.220290728,309.900695395,229.5,2.22012336328,42.2868682348,882.992428492,0.0,0.0,231.3,0.0,26.3948430708,0.0,8.10711461298,5.04149982228,0.0190203200521,14.5532586771,713.652642063,472.450578566,16.9108986359,932.520509511,34.9,6.89882128955,0.0,4.88805780164,26.6016444568,14.813823797,64.2826459691,25.5794492374,53.72823776,0.00322993800478,143.1,169.75644508,599.318154446,5.77087123632,0.0,0.0,60.0178899849,7.19204637537,0.0,1.86593463529,16.8703008018,240.9,8.71307819469,0.0,22.7842527956,14.0711746009,21.6368117884,24.0317525931,0.0,18.2551156417,0.0,64.0,2.21317039725,47.297146601,8.6,19.6027300114,0.0,0.0,89.4779426665,23.9045380101,5.35401407017,59.1,30.696473861,24.1015972369,24.0352992421,16.1793953467,30.8779545665,23.3577287427,7.44971314858,410.58855074,4.42041860253,37.5488424133,680.812193095,76.5077372358
56,1400000US11001003900,1162.84818661,2.23047581081,0.622760164726,131.610325631,585.26495461,191.926407413,3.67544536853,10911.1703367,0.14304844049,201.4,8.22758753586,98.939226055,300.6,3.8594246995,28.7218432432,866.132219776,0.555933700196,0.0,298.9,0.0,24.2453249859,0.0,2.28932523911,6.00558464915,2.90641271244,15.5319628912,654.02629287,226.550319423,9.87733070623,899.894283282,54.3,5.8049977394,0.0,3.06592913389,23.8731890895,20.0725324369,47.1387292883,23.8554102383,73.9100203822,0.089129243426,198.6,182.970897391,528.501165887,16.0328679916,0.0,0.0,52.4317241934,3.02409611561,0.0,0.000636394423506,6.63931032996,313.5,0.499483973338,1.16317688071,7.63270330877,7.13321933543,21.6707681673,8.92354430448,0.392409634359,19.7982989387,0.079935295888,76.6,2.12414269721,28.8528982874,13.5,22.6166429828,0.0,0.0227640864708,79.1786014373,21.8573827622,6.40509521319,86.5,21.3457586965,22.4436793297,22.2100104685,25.4946309513,6.75638266546,20.7184715028,5.79495840356,418.091547167,6.8238542162,48.4153894308,577.583231998,28.5061954509
57,1400000US11001004001,594.357612034,0.0737021575145,2.92757723087,33.8300997686,299.525080984,67.7748222796,0.109600178147,10081.008499,1.08887928549,297.9,6.07518184247,30.2432848909,462.5,2.84707543922,0.442646717704,482.651298199,2.18296677636,0.0,472.2,0.0,12.8316016996,0.0,0.0206813640249,1.40953802521,0.0870467397935,11.6080436703,355.208916252,33.8039773306,0.224256629634,486.201888339,49.7,0.0518166862667,0.0,0.940921640674,16.8595654848,0.177151076487,10.8511606038,17.1285850851,29.6813666791,0.0246259867001,302.1,174.356939745,220.673055594,4.7873284515,0.0,0.0,11.730218249,0.0873395374527,0.0,0.0004225712704,0.155496821462,487.0,2.18296479419,0.121975536326,3.4218225486,1.23885775441,16.8632991137,0.0813326551299,4.28117089188,0.361314062574,0.0113706008439,77.8,0.93165539751,3.46496714233,12.9,17.1447756175,0.0,0.0,22.0998815195,16.104166725,1.38659525352,113.0,0.284263823133,17.1091431355,16.6427048782,9.03044257082,1.99550994413,16.6378808171,4.18690088711,226.819065895,0.0647995892144,20.6509241083,294.83253105,2.31080291777
