2010,2000,DEC_MA,DEC_TP,DEC_MP,DEC_MPP,DEC_FP,DEC_FPP,DEC_AAP,DEC_AAPP,DEC_LF,DEC_LFP,DEC_EM,DEC_EMP,DEC_UE,DEC_UEP,DEC_NLF,DECNLFP,DEC_FLF,DEC_FLFP,D_E1824,D_E24LM,D_E24LF,D_NH24L,D_NH24LM,D_NH24LF,D_HS24L,D_HS24LM,D_AS24L,D_AS24LM,D_AS24LF,D_BA24L,D_BA24LM,D_BA24LF,D_HS34LM,D_HS34LF,D_BA34L,D_BA34LM,D_BA34LF,D_HS44L,D_HS44LM,D_HS44LF,DEC_10KL,DEC_1015,DEC_1519,DEC_2025,DEC_2530,DEC_3035,DEC_3540,DEC_4050,DEC_5059,DEC_6069,DEC_7079,DEC_8089,DEC_9099,DEC_1124,DEC_12549,DEC_15074,DEC_17599,DEC_20049,DEC_25099,DEC_30099,DEC_40099,DEC_500749,DEC_750999,DEC_1000,DEC_MGRP,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_BPLMP,DEC_BPLFP,DEC_MI,AREA,PERCENTAGE
1400000US11001000300,1400000US11001000400,45.2,1510,737,48.8,773,51.2,67,4.4,833,64.1,830,63.8,3,0.2,467,35.9,360,52.6,74,11,63,0,0,0,21,0,0,0,0,53,11,42,100,100,100,100,100,99.1,98.5,100,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0,28.7,0,0,0,0,5,14,0,5,451,219,16,0,0,664,45,3,5,2,40,14.7,129133,6.57E-09,0.006284528
1400000US11001000400,1400000US11001000400,45.2,1510,737,48.8,773,51.2,67,4.4,833,64.1,830,63.8,3,0.2,467,35.9,360,52.6,74,11,63,0,0,0,21,0,0,0,0,53,11,42,100,100,100,100,100,99.1,98.5,100,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0,28.7,0,0,0,0,5,14,0,5,451,219,16,0,0,664,45,3,5,2,40,14.7,129133,0.000152996,96.62667981
1400000US11001000400,1400000US11001000502,38,3112,1393,44.8,1719,55.2,83,2.7,2276,80.7,2246,79.6,30,1.1,544,19.3,1201,77.6,175,107,68,32,25,7,9,9,23,13,10,111,60,51,100,100,100,100,100,94.1,97,91.8,0,8,0,0,0,0,8,0,0,9,15,0,37,95,66,38,16,23,10,0,0,0,0,0,27.1,19,25,0,0,7,22,20,12,849,871,52,33,0,1642,133,4.3,72,11.8,45,5.5,66815,2.39E-06,1.508900729
1400000US11001000400,1400000US11001000600,45.6,4919,2075,42.2,2844,57.8,630,12.8,2759,63.3,2727,62.6,24,0.6,1598,36.7,1502,56.3,306,88,218,31,5,26,34,15,21,5,16,220,63,157,93,99.4,94.2,88.3,100,95.1,95.7,94.7,0,0,0,0,0,0,0,0,0,0,9,5,49,282,251,105,20,7,0,0,8,0,0,0,19.5,0,38,0,18,17,41,0,65,1345,822,7,43,28,1965,206,4.8,56,8.3,137,12.5,89507,1.21E-06,0.761809148
1400000US11001000400,1400000US11001000300,30.4,5706,2649,46.4,3057,53.6,175,3.1,4020,74.8,3922,73,84,1.6,1355,25.2,2067,73.9,1248,588,660,55,16,39,69,42,455,313,142,669,217,452,100,100,97.6,95.5,100,97.2,98.1,96.5,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0,27.9,0,32,10,10,22,47,18,30,1314,1464,0,31,0,2680,898,15.6,350,21.3,371,21,73558,9.18E-07,0.579665803
1400000US11001000400,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,145,37,108,221,92,129,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,7.64E-07,0.482688296
1400000US11001000400,1400000US11001000702,31.2,3326,1379,41.5,1947,58.5,221,6.6,2347,76.4,2279,74.2,68,2.2,725,23.6,1448,75.7,576,162,414,0,0,0,56,39,182,44,138,338,79,259,98.8,99,97,96.7,97.2,92.3,87.3,95.4,0,0,0,0,0,0,0,0,0,0,0,14,16,30,7,0,8,6,0,0,0,0,0,0,22.9,0,21,9,48,6,0,41,83,476,1826,0,17,0,2250,622,19,201,26.1,278,19.2,37244,6.37E-08,0.040258038
1400000US11001000501,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,145,37,108,221,92,129,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,9.02E-05,94.21871027
1400000US11001000501,1400000US11001002702,32.6,6052,3298,54.5,2754,45.5,1214,20.1,3968,75.9,3737,71.5,222,4.2,1262,24.1,1701,71.1,772,457,315,323,258,65,140,80,162,70,92,147,49,98,72.1,73.6,76,73.5,79.1,65.1,63.5,67.5,0,0,0,0,0,0,0,0,0,7,6,19,0,94,147,122,33,49,34,7,5,0,0,0,29.6,14,47,37,67,15,36,136,143,823,1730,17,55,44,2376,1122,18.5,375,23.9,321,28.5,45428,1.80E-06,1.87927501
1400000US11001000501,1400000US11001000502,38,3112,1393,44.8,1719,55.2,83,2.7,2276,80.7,2246,79.6,30,1.1,544,19.3,1201,77.6,175,107,68,32,25,7,9,9,23,13,10,111,60,51,100,100,100,100,100,94.1,97,91.8,0,8,0,0,0,0,8,0,0,9,15,0,37,95,66,38,16,23,10,0,0,0,0,0,27.1,19,25,0,0,7,22,20,12,849,871,52,33,0,1642,133,4.3,72,11.8,45,5.5,66815,1.44E-06,1.499962807
