OBJECTID,GEO.id,dec_oo,dec_ro
821,1400000US24031703208,1621,97
822,1400000US24031703210,971,103
823,1400000US24031703212,1940,835
824,1400000US24031703213,459,1716
825,1400000US24031703214,498,2019
826,1400000US24031703215,695,420
827,,,
828,,,
829,,,
830,,,
831,1400000US24031703302,1026,131
832,1400000US24031703401,1200,299
833,1400000US24031703403,822,181
834,1400000US24031703404,646,141
835,1400000US24031703501,1224,756
836,1400000US24031703502,830,363
837,1400000US24031703601,1364,304
838,1400000US24031703701,927,162
839,1400000US24031703702,1034,167
840,1400000US24031703800,304,523
841,1400000US24031703901,944,138
842,1400000US24031704000,1551,898
843,1400000US24031704100,1531,126
844,1400000US24031704200,488,241
845,1400000US24031704300,1212,167
846,1400000US24031704401,936,162
847,,,
848,1400000US24031704501,1072,193
849,1400000US24031704503,1139,199
850,1400000US24031704600,1512,611
851,1400000US24031704700,1217,140
852,,,
853,,,
854,,,
855,1400000US24031705000,1141,688
856,1400000US24031705100,1615,290
857,1400000US24031705200,1071,97
858,1400000US24031705400,929,58
859,,,
860,,,
861,1400000US24031705702,1648,280
862,1400000US24031705800,1916,230
863,1400000US24031705902,1342,135
864,1400000US24031705903,1380,146
865,1400000US24031706005,1390,86
866,1400000US24031706007,2150,131
867,1400000US24031706008,1624,69
868,1400000US24031706009,1676,131
869,,,
870,,,
871,,,
872,1400000US24033800102,526,760
873,1400000US24033800103,186,719
874,1400000US24033800105,994,257
875,,,
876,,,
877,1400000US24033800203,1373,63
878,1400000US24033800206,757,765
879,1400000US24033800208,1469,806
880,1400000US24033800210,148,1107
881,1400000US24033800211,352,1021
882,,,
883,,,
884,,,
885,1400000US24033800401,816,49
886,1400000US24033800402,1686,219
887,1400000US24033800403,950,56
888,1400000US24033800409,1971,59
889,,,
890,,,
891,,,
892,1400000US24033800504,1591,139
893,1400000US24033800505,916,34
894,1400000US24033800507,488,407
895,1400000US24033800509,1861,108
896,1400000US24033800511,1685,267
897,,,
898,,,
899,,,
900,,,
901,,,
902,,,
903,1400000US24033800601,657,41
904,1400000US24033800604,522,46
905,1400000US24033800605,1098,124
906,1400000US24033800606,1522,484
907,,,
908,,,
909,1400000US24033800701,1455,94
910,,,
911,,,
912,,,
913,1400000US24033800800,1006,124
914,1400000US24033800900,450,117
915,,,
916,,,
917,1400000US24033801104,6,1926
918,1400000US24033801207,1222,154
919,,,
920,,,
921,,,
922,,,
923,,,
924,,,
925,,,
926,,,
927,1400000US24033801302,767,119
928,1400000US24033801305,1467,100
929,1400000US24033801307,1079,94
930,1400000US24033801309,1145,29
931,,,
932,,,
933,,,
934,1400000US24033801404,1212,589
935,1400000US24033801405,899,592
936,1400000US24033801406,662,772
937,1400000US24033801407,1763,366
938,,,
939,,,
940,,,
941,1400000US24033801500,830,79
942,1400000US24033801600,415,735
943,1400000US24033801701,850,820
944,1400000US24033801704,551,1579
945,1400000US24033801706,305,354
946,1400000US24033801707,815,1357
947,1400000US24033801708,547,882
948,1400000US24033801802,958,693
949,1400000US24033801804,739,44
950,1400000US24033801807,909,1108
951,1400000US24033801808,554,959
952,1400000US24033801901,1577,85
953,1400000US24033801904,630,603
954,1400000US24033801905,1036,120
955,1400000US24033801906,404,488
956,,,
957,1400000US24033802001,625,1515
958,1400000US24033802002,943,587
959,1400000US24033802103,939,127
960,,,
961,,,
962,1400000US24033802201,761,146
963,1400000US24033802204,1760,102
964,1400000US24033802301,1143,99
965,1400000US24033802404,489,1305
966,1400000US24033802405,673,1023
967,,,
968,,,
969,1400000US24033802501,497,1018
970,1400000US24033802502,640,377
971,1400000US24033802700,665,286
972,1400000US24033802803,1066,663
973,1400000US24033802804,1250,858
974,1400000US24033802805,1233,345
975,1400000US24033802901,871,545
