GEO_ID_2,ACSDE1,ACSde23,VD06,DEC1
1400000US51059420503,,,,
1400000US51059420600,3992,2693,36,98
1400000US51059420700,3770,2908,0,54
1400000US51059421001,,,,
1400000US51059421002,,,,
1400000US51059421101,,,,
1400000US51059421102,,,,
1400000US51059421103,,,,
1400000US51059421300,3727,2716,32,39
1400000US51059421400,5631,3024,40,72
1400000US51059421500,7059,3393,27,114
1400000US51059421701,,,,
1400000US51059421702,,,,
1400000US51059421900,2033,1585,0,0
1400000US51059422000,3688,2207,6,18
1400000US51059422101,,,,
1400000US51059422102,,,,
1400000US51059422201,,,,
1400000US51059422202,,,,
1400000US51059422302,,,,
1400000US51059422402,,,,
1400000US51059422403,,,,
1400000US51059430101,,,,
1400000US51059430102,,,,
1400000US51059430201,,,,
1400000US51059430202,,,,
1400000US51059430400,6570,4881,10,34
1400000US51059430600,6873,3307,18,45
1400000US51059430700,2750,1745,12,44
1400000US51059430801,,,,
1400000US51059430802,,,,
1400000US51059430902,,,,
1400000US51059431001,,,,
1400000US51059431002,,,,
1400000US51059431300,4062,3167,9,31
1400000US51059431400,4602,3158,5,54
1400000US51059431500,5130,3898,21,27
1400000US51059431600,8227,3975,5,30
1400000US51059431802,,,,
1400000US51059432000,3282,2444,3,19
1400000US51059432100,3729,2944,9,25
1400000US51059432201,,,,
1400000US51059432202,,,,
1400000US51059432401,,,,
1400000US51059432402,,,,
1400000US51059432500,5772,4350,16,42
1400000US51059432600,4806,3386,19,46
1400000US51059432701,,,,
1400000US51059432800,2285,1249,0,10
1400000US51059440100,7303,5384,0,44
1400000US51059440201,,,,
1400000US51059440202,,,,
1400000US51059440300,2709,2275,0,11
1400000US51059440501,,,,
1400000US51059440502,,,,
1400000US51059440701,,,,
1400000US51059440702,,,,
1400000US51059440800,6060,4793,9,44
1400000US51059450100,4628,2895,38,139
1400000US51059450300,4638,2404,43,77
1400000US51059450400,2276,1386,16,28
1400000US51059450601,,,,
1400000US51059450602,,,,
1400000US51059450701,,,,
1400000US51059450800,3042,1887,0,30
1400000US51059450900,1671,1212,0,22
1400000US51059451000,2672,2065,0,25
1400000US51059451100,2278,1627,34,46
1400000US51059451200,1617,1378,0,6
1400000US51059451400,2436,1032,14,57
1400000US51059451501,,,,
1400000US51059451502,,,,
1400000US51059451601,,,,
1400000US51059451602,,,,
1400000US51059451800,3388,2489,8,13
1400000US51059452000,2734,1846,6,16
1400000US51059452101,,,,
1400000US51059452200,5547,3674,44,118
1400000US51059452301,,,,
1400000US51059452302,,,,
1400000US51059452400,6515,4231,31,93
1400000US51059452501,,,,
1400000US51059452600,4438,2174,30,126
1400000US51059452700,5061,1625,59,94
1400000US51059452801,,,,
1400000US51059460100,4382,3624,0,13
1400000US51059460400,4902,3798,19,58
1400000US51059460501,,,,
1400000US51059460502,,,,
1400000US51059460701,,,,
1400000US51059460702,,,,
1400000US51059460800,3284,2607,0,33
1400000US51059460900,2412,1986,11,21
1400000US51059461100,7198,5761,27,52
1400000US51059461201,,,,
1400000US51059461202,,,,
1400000US51059461500,6012,4443,51,80
1400000US51059461602,,,,
1400000US51059461700,5779,3362,40,93
1400000US51059461801,,,,
1400000US51059461802,,,,
1400000US51059461902,,,,
1400000US51059470100,2690,1824,3,3
1400000US51059470300,3223,2931,0,19
1400000US51059470400,4125,3587,7,41
1400000US51059470500,4942,3703,14,25
1400000US51059470700,4938,3732,8,51
1400000US51059470800,2928,2450,8,25
1400000US51059470900,7079,6083,44,92
1400000US51059471100,5940,4677,36,98
1400000US51059471201,,,,
1400000US51059471202,,,,
1400000US51059471301,,,,
1400000US51059471304,,,,
1400000US51059471401,,,,
1400000US51059471402,,,,
1400000US51059480100,3921,3651,8,28
1400000US51059480201,,,,
1400000US51059480203,,,,
1400000US51059480300,6857,5559,9,28
1400000US51059480401,,,,
1400000US51059480402,,,,
1400000US51059480502,,,,
1400000US51059480503,,,,
1400000US51059480504,,,,
1400000US51059480505,,,,
1400000US51059480801,,,,
1400000US51059480901,,,,
1400000US51059480902,,,,
1400000US51059480903,,,,
1400000US51059481101,,,,
1400000US51059481102,,,,
1400000US51059481103,,,,
1400000US51059481105,,,,
1400000US51059481106,,,,
1400000US51059481201,,,,
1400000US51059481202,,,,
1400000US51059481400,6027,5097,41,81
1400000US51059481500,2146,2017,0,7
1400000US51059481600,3652,3368,16,33
1400000US51059481702,,,,
1400000US51059481900,4802,3821,42,96
1400000US51059482001,,,,
1400000US51059482100,2550,1931,38,107
1400000US51059482201,,,,
1400000US51059482202,,,,
1400000US51059482203,,,,
1400000US51059482302,,,,
1400000US51059482303,,,,
1400000US51059482400,2104,1768,7,22
1400000US51059482501,,,,
1400000US51059482503,,,,
1400000US51059482504,,,,
1400000US51059482601,,,,
1400000US51059482602,,,,
1400000US51059490101,,,,
1400000US51059490103,,,,
1400000US51059490502,,,,
1400000US51059491000,2106,1998,0,0
1400000US51059491101,,,,
1400000US51059491102,,,,
1400000US51059491201,,,,
1400000US51059491301,,,,
1400000US51059491302,,,,
1400000US51059491303,,,,
1400000US51059491402,,,,
1400000US51059491403,,,,
1400000US51059491404,,,,
1400000US51059491405,,,,
1400000US51059491502,,,,
1400000US51059491601,,,,
1400000US51059491602,,,,
1400000US51059491701,,,,
1400000US51059491702,,,,
1400000US51059491704,,,,
1400000US51059491705,,,,
1400000US51059491802,,,,
1400000US51059491803,,,,
1400000US51059492000,6674,5594,22,41
1400000US51059492100,7059,6367,17,39
1400000US51059492201,,,,
1400000US51059492203,,,,
1400000US51059492300,3595,2500,5,12
1400000US51059492400,4472,3310,54,105
1400000US51059492500,,,,
1400000US51059980200,,,,
1400000US51059980300,,,,
1400000US51013100200,6325,6006,7,40
1400000US51013100300,6359,5958,17,58
1400000US51013100500,4558,4338,41,76
1400000US51013100600,3174,2653,20,54
1400000US51013100700,5145,4458,60,176
1400000US51013100900,4298,3381,10,84
1400000US51013101000,3688,3124,9,82
1400000US51013101100,5412,4754,55,123
1400000US51013101200,3752,3221,8,50
1400000US51013101300,6795,5934,52,164
1400000US51013101402,,,,
1400000US51013101403,,,,
1400000US51013101404,,,,
1400000US51013101500,7593,6639,57,158
1400000US51013101601,,,,
1400000US51013101603,,,,
1400000US51013101701,,,,
1400000US51013101702,,,,
1400000US51013101801,,,,
1400000US51013101802,,,,
1400000US51013101803,,,,
1400000US51013102001,,,,
1400000US51013102002,,,,
1400000US51013102003,,,,
1400000US51013102100,2909,2110,0,27
1400000US51013102200,8258,4420,42,134
1400000US51013102302,,,,
1400000US51013102400,3803,2600,25,109
1400000US51013102500,4536,2660,44,166
1400000US51013102600,3575,2503,30,71
1400000US51013102701,,,,
1400000US51013102801,,,,
1400000US51013102802,,,,
1400000US51013102901,,,,
1400000US51013103000,3436,3257,41,89
1400000US51013103100,3929,1022,50,96
1400000US51013103200,7238,3965,75,221
1400000US51013103300,1133,360,0,6
1400000US51013103401,2145,1794,0,7
1400000US51013103501,,,,
1400000US51013103502,,,,
1400000US51013103503,,,,
1400000US51013103601,,,,
1400000US51013103700,2653,2376,6,29
1400000US51013103800,4659,2300,24,65
1400000US51013980100,,,,
1400000US51013980200,,,,
1400000US51059491103,,,,
1400000US51510201300,3734,3020,36,128
1400000US51510201400,4370,3199,39,102
1400000US51510201500,3631,3271,34,108
1400000US51510201801,4924,4127,71,194
1400000US51510201802,2017,1727,18,46
1400000US51510201900,1782,1599,36,68
1400000US51510202002,2434,2175,26,98
1400000US51510200102,4535,2211,14,40
1400000US51510200104,4151,1429,27,95
1400000US51510200105,4337,1608,33,81
1400000US51510200106,,,,
1400000US51510200201,2984,2276,33,82
1400000US51510200202,1812,1648,0,18
1400000US51510200302,4391,2576,18,71
1400000US51510200303,5174,3251,17,132
1400000US51510200403,,,,
1400000US51510200404,,,,
1400000US51510200406,,,,
1400000US51510200407,,,,
1400000US51510200703,,,,
1400000US51510200801,2749,2254,13,38
1400000US51510200802,2935,2090,21,110
1400000US51510201000,2870,2645,47,122
1400000US51510201100,3120,2680,16,36
1400000US51510201202,3434,2625,23,87
1400000US51510201203,5918,3283,44,185
1400000US51600300100,,,,
1400000US51600300200,,,,
1400000US51600300400,,,,
1400000US51600300500,,,,
1400000US51610500100,2569,2429,7,27
1400000US51610500200,5180,3721,49,98
1400000US51059420400,1889,1394,31,90
1400000US51059482002,,,,
1400000US24031700105,,,,
1400000US24031700304,6950,3324,48,99
1400000US24031700607,8364,3626,6,40
1400000US24031700611,,,,
1400000US24031700710,6714,3518,24,56
1400000US24031700718,,,,
1400000US24031700723,,,,
1400000US24031700815,7808,4676,100,195
1400000US24031700820,,,,
1400000US24031700824,,,,
1400000US24033803001,3056,215,27,52
1400000US24033803002,2879,50,13,52
1400000US24033803100,2517,199,45,81
1400000US24033803200,3139,83,56,106
1400000US24033803512,5447,160,50,131
1400000US24033803519,3168,240,11,44
1400000US24033803525,,,,
1400000US24033803613,4614,1077,52,129
1400000US24033804001,4087,284,16,113
1400000US24033804400,2680,1033,15,30
1400000US24033804900,4687,535,32,94
1400000US24033805601,5338,1251,59,199
1400000US24033805904,2857,1065,5,9
1400000US24033806200,3943,2253,14,54
1400000US24033806602,4804,1439,14,116
1400000US24033806712,2850,1037,77,112
1400000US24033807304,2119,709,6,11
1400000US24031700826,,,,
1400000US24031700828,,,,
1400000US24031700829,,,,
1400000US24031700830,,,,
1400000US24031700901,3171,1866,6,42
1400000US24031701002,3474,3055,4,15
1400000US24031701102,5574,3899,28,93
1400000US24031701210,4128,3457,12,27
1400000US24031701215,3908,3085,0,57
1400000US24031701304,6591,5557,2,28
1400000US24031701313,4029,3059,19,33
1400000US24031701409,4681,2508,4,11
1400000US24031701422,,,,
1400000US24031701508,,,,
1400000US24031701601,,,,
1400000US24031701900,3350,1328,50,125
1400000US24031702102,2941,2544,0,44
1400000US24031702500,3533,1265,64,90
1400000US24031703201,7572,4688,11,104
1400000US24031703209,5046,2218,16,56
1400000US24031703218,,,,
1400000US24031703301,4276,2622,0,18
1400000US24031703402,3521,1913,2,17
1400000US24031703602,3068,2571,4,43
1400000US24031703902,7260,3139,26,142
1400000US24031704403,,,,
1400000US24031704804,,,,
1400000US24031705300,1968,1900,0,4
1400000US24031705601,2717,2541,15,31
1400000US24031705602,4197,3698,38,71
