OBJECTID,GEO.id,dec_lf16,dec_lf16p,dec_em16,dec_dec_em,dec_ue16,dec_ue16p,dec_nw16,dec_nw16p,dec_flf16,dec)flf16p
814,1400000US24031702800,51.6,75.1,2795,72.9,48,1.3,100.0,24.9,1485,69.4
815,1400000US24031702900,56.1,74.7,2976,73.5,50,1.2,100.0,25.3,1466,68.0
816,1400000US24031703000,61.8,71.6,933,68.8,24,1.8,100.0,28.4,460,65.2
817,1400000US24031703100,65.2,64.0,2055,61.2,79,2.4,100.0,36.0,942,55.7
818,1400000US24031703202,75.5,69.0,2842,66.5,91,2.1,100.0,31.0,1456,62.4
819,1400000US24031703206,64.8,70.0,1971,68.9,17,0.6,100.0,30.0,933,62.7
820,1400000US24031703207,57.4,68.3,2661,65.9,72,1.8,100.0,31.7,1257,60.1
821,1400000US24031703208,66.6,61.8,2413,60.4,50,1.3,100.0,38.2,1208,57.5
822,1400000US24031703210,60.8,66.5,1533,62.9,87,3.6,100.0,33.5,787,60.3
823,1400000US24031703212,65.7,73.7,4187,70.4,167,2.8,100.0,26.3,2236,70.7
824,1400000US24031703213,63.6,72.6,2764,65.8,232,5.5,100.0,27.4,1559,67.2
825,1400000US24031703214,61.9,71.9,3553,68.5,178,3.4,100.0,28.1,1982,71.4
826,1400000US24031703215,62.2,69.2,1586,66.6,61,2.6,100.0,30.8,841,65.0
827,,,,,,,,,,,
828,,,,,,,,,,,
829,,,,,,,,,,,
830,,,,,,,,,,,
831,1400000US24031703302,65.8,60.9,1690,58.2,60,2.1,100.0,39.1,794,51.7
832,1400000US24031703401,63.6,64.4,2348,61.2,109,2.8,100.0,35.6,1171,59.2
833,1400000US24031703403,66.5,63.6,1475,58.6,124,4.9,100.0,36.4,759,57.2
834,1400000US24031703404,56.0,64.5,1277,58.2,132,6.0,100.0,35.5,712,64.9
835,1400000US24031703501,72.0,65.8,2900,63.1,128,2.8,100.0,34.2,1465,61.8
836,1400000US24031703502,71.2,66.6,1492,62.1,72,3.0,100.0,33.4,749,59.2
837,1400000US24031703601,63.5,65.6,2099,61.4,112,3.3,100.0,34.4,1157,61.9
838,1400000US24031703701,55.9,65.6,1720,63.5,47,1.7,100.0,34.4,877,63.7
839,1400000US24031703702,60.0,67.8,1836,64.9,65,2.3,100.0,32.2,860,62.4
840,1400000US24031703800,46.5,70.4,1096,66.1,62,3.7,100.0,29.6,556,65.9
841,1400000US24031703901,59.5,68.6,1503,65.5,64,2.8,100.0,31.4,839,65.3
842,1400000US24031704000,64.3,66.1,3021,62.5,149,3.1,100.0,33.9,1581,59.8
843,1400000US24031704100,71.8,63.7,2170,62.1,46,1.3,100.0,36.3,1014,53.0
844,1400000US24031704200,65.0,63.4,904,61.3,26,1.8,100.0,36.6,460,56.1
845,1400000US24031704300,63.6,70.0,1813,68.0,37,1.4,100.0,30.0,921,63.4
846,1400000US24031704401,65.4,61.1,1449,58.6,40,1.6,100.0,38.9,665,49.4
847,,,,,,,,,,,
848,1400000US24031704501,72.1,65.0,1704,62.2,61,2.2,100.0,35.0,829,58.5
849,1400000US24031704503,60.8,73.7,1963,71.7,46,1.7,100.0,26.3,1040,71.0
850,1400000US24031704600,53.1,71.6,2697,68.2,100,2.5,100.0,28.4,1399,64.3
851,1400000US24031704700,57.7,70.2,1925,69.9,6,0.2,100.0,29.8,845,58.3
852,,,,,,,,,,,
853,,,,,,,,,,,
854,,,,,,,,,,,
855,1400000US24031705000,49.6,67.7,2148,55.1,37,0.9,100.0,32.3,967,48.1
856,1400000US24031705100,70.3,62.8,2387,61.4,49,1.3,100.0,37.2,1152,53.2
857,1400000US24031705200,63.3,67.9,1569,66.1,44,1.9,100.0,32.1,770,62.9
858,1400000US24031705400,59.3,67.0,1309,64.5,37,1.8,100.0,33.0,630,59.2
859,,,,,,,,,,,
860,,,,,,,,,,,
861,1400000US24031705702,67.8,58.1,2074,57.0,33,0.9,100.0,41.9,996,48.9
862,1400000US24031705800,69.6,70.9,3031,69.0,86,2.0,100.0,29.1,1491,66.0
863,1400000US24031705902,71.8,68.7,2135,67.4,41,1.3,100.0,31.3,1099,62.6
864,1400000US24031705903,65.4,65.5,2063,63.2,70,2.1,100.0,34.5,1042,59.5
865,1400000US24031706005,73.4,63.2,2120,60.8,65,1.9,100.0,36.8,933,51.2
866,1400000US24031706007,78.1,67.8,3658,66.5,73,1.3,100.0,32.2,1671,58.0
867,1400000US24031706008,79.6,63.2,2386,61.4,72,1.9,100.0,36.8,1003,49.0
868,1400000US24031706009,77.8,62.0,2500,60.4,37,0.9,100.0,38.0,1070,49.0
869,,,,,,,,,,,
870,,,,,,,,,,,
871,,,,,,,,,,,
872,1400000US24033800102,63.7,68.2,1450,67.0,16,0.7,100.0,31.8,743,64.3
873,1400000US24033800103,69.8,77.4,1220,72.8,31,1.8,100.0,22.6,498,66.7
874,1400000US24033800105,79.5,86.4,1985,83.0,54,2.3,100.0,13.6,1138,84.9
875,,,,,,,,,,,
876,,,,,,,,,,,
877,1400000US24033800203,81.3,71.2,2256,70.0,34,1.1,100.0,28.8,1108,67.3
878,1400000US24033800206,72.4,78.0,2102,74.4,58,2.1,100.0,22.0,1092,72.8
879,1400000US24033800208,69.5,77.8,3500,74.3,107,2.3,100.0,22.2,1800,73.1
880,1400000US24033800210,77.5,80.5,1595,73.2,58,2.7,100.0,19.5,866,74.0
881,1400000US24033800211,78.3,66.1,1435,61.6,83,3.6,100.0,33.9,776,58.7
882,,,,,,,,,,,
883,,,,,,,,,,,
884,,,,,,,,,,,
885,1400000US24033800401,83.2,71.9,1352,71.3,10,0.5,100.0,28.1,696,69.3
886,1400000US24033800402,82.8,69.6,2776,68.0,54,1.3,100.0,30.4,1345,64.0
887,1400000US24033800403,81.2,65.6,1319,62.6,22,1.0,100.0,34.4,663,58.9
888,1400000US24033800409,76.8,76.8,3430,74.2,75,1.6,100.0,23.2,1797,73.5
889,,,,,,,,,,,
890,,,,,,,,,,,
891,,,,,,,,,,,
892,1400000US24033800504,76.6,66.7,2416,64.1,63,1.7,100.0,33.3,1214,60.9
893,1400000US24033800505,77.7,71.1,1422,68.1,40,1.9,100.0,28.9,645,61.0
894,1400000US24033800507,76.5,76.4,1348,74.4,7,0.4,100.0,23.6,726,77.4
895,1400000US24033800509,69.7,77.7,3470,74.2,142,3.0,100.0,22.3,1882,75.0
896,1400000US24033800511,77.1,79.2,3062,76.5,40,1.0,100.0,20.8,1609,74.1
897,,,,,,,,,,,
898,,,,,,,,,,,
899,,,,,,,,,,,
900,,,,,,,,,,,
901,,,,,,,,,,,
902,,,,,,,,,,,
903,1400000US24033800601,82.3,68.7,1101,66.0,36,2.2,100.0,31.3,621,68.9
904,1400000US24033800604,82.9,81.6,1004,79.2,30,2.4,100.0,18.4,539,74.6
905,1400000US24033800605,75.5,51.2,1782,48.9,31,0.9,100.0,48.8,1034,74.0
906,1400000US24033800606,80.9,85.7,2529,81.0,75,2.4,100.0,14.3,1437,83.1
907,,,,,,,,,,,
908,,,,,,,,,,,
909,1400000US24033800701,68.7,77.4,2647,75.0,59,1.7,100.0,22.6,1433,78.0
910,,,,,,,,,,,
911,,,,,,,,,,,
912,,,,,,,,,,,
913,1400000US24033800800,71.9,68.2,1703,65.5,54,2.1,100.0,31.8,805,63.9
914,1400000US24033800900,75.6,62.9,799,61.6,18,1.4,100.0,37.1,364,55.5
915,,,,,,,,,,,
916,,,,,,,,,,,
917,1400000US24033801104,83.1,64.1,1501,29.0,66,1.3,100.0,35.9,1096,46.8
918,1400000US24033801207,72.2,69.4,2148,64.3,101,3.0,100.0,30.6,1218,66.2
919,,,,,,,,,,,
920,,,,,,,,,,,
921,,,,,,,,,,,
922,,,,,,,,,,,
923,,,,,,,,,,,
924,,,,,,,,,,,
925,,,,,,,,,,,
926,,,,,,,,,,,
927,1400000US24033801302,79.2,71.3,1350,66.4,56,2.8,100.0,28.7,710,65.2
928,1400000US24033801305,73.1,68.9,2466,64.7,156,4.1,100.0,31.1,1397,69.4
929,1400000US24033801307,76.1,71.0,1944,68.0,79,2.8,100.0,29.0,1111,72.7
930,1400000US24033801309,73.0,72.7,1707,67.8,84,3.3,100.0,27.3,842,64.0
931,,,,,,,,,,,
932,,,,,,,,,,,
933,,,,,,,,,,,
934,1400000US24033801404,68.4,69.1,2356,64.3,174,4.7,100.0,30.9,1322,67.0
935,1400000US24033801405,64.7,64.2,1854,60.9,100,3.3,100.0,35.8,984,59.5
936,1400000US24033801406,68.6,79.2,1886,75.9,56,2.3,100.0,20.8,1159,80.9
937,1400000US24033801407,70.1,72.4,3169,66.7,214,4.5,100.0,27.6,1790,70.6
938,,,,,,,,,,,
939,,,,,,,,,,,
940,,,,,,,,,,,
941,1400000US24033801500,68.0,67.5,1164,59.9,125,6.4,100.0,32.5,716,64.1
942,1400000US24033801600,51.2,73.7,1432,67.7,118,5.6,100.0,26.3,900,73.2
943,1400000US24033801701,63.1,75.4,2352,70.9,108,3.3,100.0,24.6,1360,73.8
944,1400000US24033801704,50.8,70.8,2145,59.1,402,11.1,100.0,29.2,1390,68.1
945,1400000US24033801706,75.5,70.9,926,66.0,55,3.9,100.0,29.1,572,71.0
946,1400000US24033801707,54.0,71.0,2784,62.9,311,7.0,100.0,29.0,1757,70.7
947,1400000US24033801708,61.9,72.0,1760,64.6,132,4.8,100.0,28.0,1048,69.2
948,1400000US24033801802,58.3,69.7,2034,65.1,145,4.6,100.0,30.3,1264,69.2
949,1400000US24033801804,72.3,64.1,1040,61.1,50,2.9,100.0,35.9,632,65.0
950,1400000US24033801807,59.7,70.4,2356,64.6,198,5.4,100.0,29.6,1412,68.8
951,1400000US24033801808,60.2,70.4,1754,63.7,146,5.3,100.0,29.6,1100,69.4
952,1400000US24033801901,71.5,68.5,2426,64.8,99,2.6,100.0,31.5,1266,63.3
953,1400000US24033801904,64.5,67.0,1551,62.2,101,4.1,100.0,33.0,883,66.9
954,1400000US24033801905,69.0,63.4,1526,56.7,150,5.6,100.0,36.6,878,59.8
955,1400000US24033801906,68.3,74.6,1170,66.9,118,6.8,100.0,25.4,687,73.2
956,,,,,,,,,,,
957,1400000US24033802001,62.5,67.1,2342,59.6,271,6.9,100.0,32.9,1467,66.1
958,1400000US24033802002,59.1,74.3,1958,67.8,169,5.8,100.0,25.7,1179,71.0
959,1400000US24033802103,62.1,72.5,1502,67.6,103,4.6,100.0,27.5,840,69.0
960,,,,,,,,,,,
961,,,,,,,,,,,
962,1400000US24033802201,79.6,78.8,1189,73.8,81,5.0,100.0,21.2,700,77.3
963,1400000US24033802204,63.7,73.7,2845,67.9,228,5.4,100.0,26.3,1699,71.6
964,1400000US24033802301,69.5,65.6,1759,62.8,80,2.9,100.0,34.4,1008,66.1
965,1400000US24033802404,51.9,74.1,1987,65.9,246,8.2,100.0,25.9,1326,71.9
966,1400000US24033802405,56.3,72.7,2138,67.3,171,5.4,100.0,27.3,1426,75.7
967,,,,,,,,,,,
968,,,,,,,,,,,
969,1400000US24033802501,61.4,72.6,1737,64.6,215,8.0,100.0,27.4,1119,71.9
970,1400000US24033802502,46.4,72.0,1304,62.4,201,9.6,100.0,28.0,718,68.4
971,1400000US24033802700,57.9,65.1,1165,58.0,133,6.6,100.0,34.9,594,58.9
972,1400000US24033802803,61.2,70.1,2198,64.3,193,5.6,100.0,29.9,1324,66.9
973,1400000US24033802804,54.0,71.3,2859,65.6,249,5.7,100.0,28.7,1772,70.7
974,1400000US24033802805,56.8,56.3,1854,52.0,152,4.3,100.0,43.7,1058,53.4
975,1400000US24033802901,61.3,58.1,1614,52.4,174,5.6,100.0,41.9,921,54.3
