OBJECTID,GEO.id,dec_lf16,dec_lf16p,dec_em16,dec_dec_em,dec_ue16,dec_ue16p,dec_nw16,dec_nw16p,dec_flf16,dec)flf16p
102,1400000US11001002301,59.4,57.1,1228,51.7,126,5.3,100.0,42.9,872,60.7
103,1400000US11001002302,53.8,51.4,613,49.3,27,2.2,100.0,48.6,375,59.8
104,1400000US11001002400,42.1,56.1,1397,49.0,190,6.7,100.0,43.9,827,55.2
105,1400000US11001002502,36.0,58.8,2351,54.8,169,3.9,100.0,41.2,1210,56.3
106,1400000US11001002600,61.0,58.7,1036,55.3,64,3.4,100.0,41.3,549,53.9
107,1400000US11001002701,33.4,70.9,3319,66.7,209,4.2,100.0,29.1,1594,65.5
108,1400000US11001002702,26.2,75.9,3737,71.5,222,4.2,100.0,24.1,1701,71.1
109,1400000US11001002802,16.2,63.2,2199,59.5,132,3.6,100.0,36.8,982,56.2
110,1400000US11001003000,28.8,61.7,970,51.0,203,10.7,100.0,38.3,627,63.1
111,1400000US11001003100,31.6,67.9,1243,55.3,283,12.6,100.0,32.1,699,61.3
112,1400000US11001003200,34.3,57.1,1643,48.1,295,8.6,100.0,42.9,996,54.4
113,1400000US11001003302,48.3,63.8,818,53.9,138,9.1,100.0,36.2,479,60.6
114,1400000US11001003400,17.4,46.7,1465,38.8,282,7.5,100.0,53.3,836,38.7
115,1400000US11001003500,19.1,52.1,1446,47.4,143,4.7,100.0,47.9,975,56.1
116,1400000US11001003700,19.2,62.2,2311,58.3,155,3.9,100.0,37.8,1306,60.7
117,1400000US11001003800,34.1,74.3,2805,70.3,151,3.8,100.0,25.7,1304,70.9
118,1400000US11001003900,24.6,82.6,3469,79.5,114,2.6,100.0,17.4,1669,78.9
119,1400000US11001004001,27.7,88.0,2827,87.5,17,0.5,100.0,12.0,1328,83.6
120,1400000US11001004100,37.6,77.4,1813,75.8,22,0.9,100.0,22.6,882,69.7
121,1400000US11001004201,22.5,89.0,2777,86.6,76,2.4,100.0,11.0,1241,86.8
122,1400000US11001004300,25.1,70.0,1992,66.6,102,3.4,100.0,30.0,853,62.0
123,1400000US11001004400,33.7,69.2,1358,66.0,63,3.1,100.0,30.8,613,65.6
124,1400000US11001004600,24.9,56.5,1012,44.0,287,12.5,100.0,43.5,572,49.1
125,,,,,,,,,,,
126,1400000US11001004801,35.7,56.5,759,49.7,97,6.4,100.0,43.5,320,43.7
127,1400000US11001004802,26.6,59.4,1157,51.5,176,7.8,100.0,40.6,625,52.3
128,1400000US11001004902,24.5,72.4,1193,67.7,76,4.3,100.0,27.6,550,67.0
129,,,,,,,,,,,
130,,,,,,,,,,,
131,1400000US11001005201,20.8,77.8,3081,73.4,172,4.1,100.0,22.2,1189,68.4
132,1400000US11001005301,17.2,89.5,4252,86.7,128,2.6,100.0,10.5,2082,88.3
133,1400000US11001005500,17.6,79.9,3598,78.8,45,1.0,100.0,20.1,1799,79.4
134,1400000US11001005800,18.2,65.3,834,62.0,37,2.7,100.0,34.7,314,56.1
135,1400000US11001005900,21.0,63.7,782,43.3,369,20.4,100.0,36.3,563,66.2
136,1400000US11001006202,(X),(X),0,(X),0,(X),(X),(X),0,(X)
137,1400000US11001006500,32.5,87.3,1972,85.0,33,1.4,100.0,12.7,932,81.9
138,1400000US11001006600,32.7,86.3,1381,83.9,25,1.5,100.0,13.7,705,83.9
139,1400000US11001006700,39.0,80.3,2565,79.3,23,0.7,100.0,19.7,1263,80.8
140,1400000US11001006802,35.4,59.7,983,53.6,106,5.8,100.0,40.3,531,58.3
141,1400000US11001006804,27.6,9.9,246,9.9,0,0.0,100.0,90.1,97,18.4
142,1400000US11001006900,48.4,67.9,979,60.6,97,6.0,100.0,32.1,494,65.9
143,1400000US11001007000,28.5,83.9,1307,65.8,66,3.3,100.0,16.1,657,78.8
144,1400000US11001007200,32.1,34.5,305,22.3,148,10.8,100.0,65.5,238,31.2
145,1400000US11001007301,64.8,78.7,1015,30.1,64,1.9,100.0,21.3,638,40.6
146,1400000US11001007304,44.0,47.6,1070,37.0,305,10.6,100.0,52.4,789,43.4
147,1400000US11001007401,19.2,42.1,537,30.1,207,11.6,100.0,57.9,466,40.3
148,1400000US11001007404,17.6,40.4,384,20.4,377,20.0,100.0,59.6,460,40.3
149,1400000US11001007406,41.0,56.0,623,37.0,321,19.1,100.0,44.0,614,53.7
150,1400000US11001009301,39.0,59.8,1386,52.7,187,7.1,100.0,40.2,810,55.7
151,1400000US11001009400,58.5,56.3,1757,50.5,200,5.7,100.0,43.7,1065,55.0
152,1400000US11001009501,36.8,69.1,2171,46.7,1035,22.2,100.0,30.9,1587,64.8
153,1400000US11001009503,56.9,54.5,1303,50.8,95,3.7,100.0,45.5,722,50.8
154,1400000US11001009505,58.2,53.0,1083,48.5,88,3.9,100.0,47.0,628,47.7
155,1400000US11001009507,67.3,50.8,610,47.7,40,3.1,100.0,49.2,381,49.6
156,1400000US11001009508,48.5,58.0,1275,53.4,110,4.6,100.0,42.0,780,55.8
157,1400000US11001009601,39.9,55.6,686,44.1,180,11.6,100.0,44.4,500,54.2
158,1400000US11001009801,51.5,56.4,485,39.5,191,15.5,100.0,43.6,450,55.6
159,1400000US11001009803,45.0,61.6,806,48.2,224,13.4,100.0,38.4,595,62.1
160,1400000US11001009804,27.6,58.0,797,46.4,199,11.6,100.0,42.0,576,56.3
161,,,,,,,,,,,
162,,,,,,,,,,,
163,1400000US11001009901,63.1,55.0,1021,50.7,86,4.3,100.0,45.0,599,52.8
164,1400000US11001009902,46.3,52.1,1050,44.0,187,7.8,100.0,47.9,677,49.6
165,1400000US11001009903,36.1,43.2,510,34.6,111,7.5,100.0,56.8,406,46.8
166,1400000US11001009905,45.7,57.8,891,46.9,207,10.9,100.0,42.2,585,56.6
167,1400000US11001009907,41.5,49.6,747,37.2,250,12.4,100.0,50.4,655,51.3
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,1400000US11001001902,63.9,56.3,935,52.5,67,3.8,100.0,43.7,503,51.0
178,1400000US11001008100,43.1,76.7,1603,71.1,111,4.9,100.0,23.3,775,71.3
179,1400000US11001000801,56.8,70.1,3356,55.7,834,13.8,100.0,29.9,2323,65.6
180,1400000US51059415100,68.1,66.8,1644,64.6,35,1.4,100.0,33.2,806,60.6
181,,,,,,,,,,,
182,1400000US51059416000,75.5,66.7,1957,61.2,140,4.4,100.0,33.3,1047,62.2
183,1400000US51059420100,71.5,67.3,1630,64.1,61,2.4,100.0,32.7,836,62.7
184,1400000US51059420800,69.7,68.8,1724,65.4,56,2.1,100.0,31.2,859,63.5
185,1400000US51059421200,73.0,74.1,986,64.9,16,1.1,100.0,25.9,505,63.6
186,1400000US51059421600,62.3,72.5,2708,68.5,140,3.5,100.0,27.5,1445,69.6
187,1400000US51059421800,70.0,75.7,2486,69.8,99,2.8,100.0,24.3,1395,70.1
188,,,,,,,,,,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,1400000US51059430500,74.2,68.6,801,62.3,24,1.9,100.0,31.4,419,64.3
192,,,,,,,,,,,
193,,,,,,,,,,,
194,1400000US51059431900,74.2,73.8,1834,69.2,62,2.3,100.0,26.2,819,61.6
195,1400000US51059432300,76.4,74.1,2684,70.9,32,0.8,100.0,25.9,1300,66.2
196,,,,,,,,,,,
197,1400000US51059440600,76.5,71.2,1330,70.1,21,1.1,100.0,28.8,643,68.0
198,1400000US51059450200,59.0,70.1,2319,66.0,140,4.0,100.0,29.9,1018,62.8
199,1400000US51059450500,67.2,66.9,1463,64.8,40,1.8,100.0,33.1,718,62.3
200,,,,,,,,,,,
201,1400000US51059451300,69.6,75.7,1206,71.9,47,2.8,100.0,24.3,620,69.7
202,1400000US51059451900,65.4,71.4,3352,68.7,99,2.0,100.0,28.6,1442,60.8
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,1400000US51059460200,75.3,69.1,2005,67.3,46,1.5,100.0,30.9,875,57.1
207,1400000US51059460300,77.4,68.5,1358,66.9,16,0.8,100.0,31.5,586,58.4
208,1400000US51059460600,67.9,64.5,2106,61.7,75,2.2,100.0,35.5,979,57.9
209,1400000US51059461000,69.5,72.8,1298,70.9,30,1.6,100.0,27.2,687,67.6
210,,,,,,,,,,,
211,,,,,,,,,,,
