OBJECTID,GEO.id,acs_moc,acs_foc,acs_mrc,acs_frc,acs_mo,acs_fo,acs_mr,acs_fr
700,1400000US24033803527,10,54,0,61,32,132,0,9
701,1400000US24033803601,10,91,0,0,18,148,0,0
702,1400000US24033803602,0,18,0,151,30,52,0,3
703,1400000US24033803605,136,32,44,113,37,161,0,13
704,1400000US24033803606,42,98,23,69,73,84,0,0
705,1400000US24033803608,10,67,0,0,60,191,19,0
706,1400000US24033803610,49,7,0,36,48,64,11,60
707,1400000US24033803612,29,21,28,242,21,27,22,80
708,1400000US24033803700,17,86,9,15,33,48,2,7
709,1400000US24033803801,29,32,0,34,68,10,16,16
710,1400000US24033803803,66,25,66,92,23,61,26,65
711,1400000US24033803900,60,42,12,86,23,8,84,24
712,1400000US24033804002,0,45,53,139,7,133,41,64
713,1400000US24033804101,6,35,32,46,17,48,0,14
714,1400000US24033804102,57,121,54,126,0,174,0,33
715,1400000US24033804200,0,107,0,3,15,38,0,26
716,1400000US24033804300,16,32,0,226,35,9,28,15
717,1400000US24033804600,40,64,2,6,28,76,34,2
718,1400000US24033804700,18,29,0,17,32,151,37,67
719,1400000US24033804801,0,0,84,107,0,0,0,48
720,1400000US24033804802,0,0,65,73,0,0,96,77
721,1400000US24033805000,13,93,50,114,8,188,0,41
722,1400000US24033805101,25,24,69,80,0,20,137,48
723,1400000US24033805201,31,56,40,161,8,72,99,52
724,1400000US24033805202,10,0,89,108,10,60,87,39
725,1400000US24033805500,28,26,0,69,70,63,31,20
726,1400000US24033805602,20,33,49,104,2,13,202,31
727,1400000US24033805700,49,39,54,36,61,109,19,26
728,1400000US24033805801,80,35,33,46,129,126,29,0
729,1400000US24033805802,22,9,54,36,78,96,23,0
730,1400000US24033805906,0,11,90,194,16,19,110,76
731,1400000US24033805907,0,25,41,34,20,69,34,166
732,1400000US24033805908,0,55,17,95,0,0,79,98
733,1400000US24033805909,0,0,81,311,0,12,123,94
734,1400000US24033806000,78,41,0,50,58,47,12,45
735,1400000US24033806100,43,99,0,59,12,126,0,8
736,1400000US24033806300,19,24,42,53,6,30,32,49
737,1400000US24033806400,17,48,0,0,22,16,0,0
738,1400000US24033806501,0,0,120,141,0,36,95,20
739,1400000US24033806601,45,12,39,72,39,94,22,23
740,1400000US24033806706,2,89,0,40,57,64,27,0
741,1400000US24033806708,16,80,0,182,77,9,0,74
742,1400000US24033806710,10,171,90,0,80,247,0,0
743,1400000US24033803607,17,38,0,0,58,62,0,0
744,1400000US24031701417,11,73,45,328,26,43,11,122
745,1400000US24033801908,0,81,60,264,0,26,25,111
746,1400000US24033807405,45,70,0,39,50,84,15,0
747,1400000US24031704502,0,25,0,12,0,60,0,0
748,1400000US24031700832,0,11,0,117,0,64,15,12
749,1400000US24031700833,0,76,0,108,3,103,0,80
750,1400000US24031700834,89,64,0,47,36,111,79,53
751,1400000US24031700835,17,48,0,30,16,16,28,15
752,1400000US24031700902,0,46,11,92,6,110,9,23
753,1400000US24031700903,0,9,12,41,0,5,0,65
754,1400000US24031700904,0,0,22,71,0,0,0,42
755,1400000US24031700905,0,11,0,60,11,0,16,10
756,1400000US24031701001,23,67,46,65,49,94,25,31
757,1400000US24031701004,0,94,32,136,33,62,15,20
758,1400000US24031701005,0,43,0,0,5,25,0,0
759,1400000US24031701006,15,134,0,0,30,97,0,0
