OBJECTID,GEO.id,acs_moc,acs_foc,acs_mrc,acs_frc,acs_mo,acs_fo,acs_mr,acs_fr,acs_oo,acs_ro
464,1400000US51013100600,0,17,0,26,0,63,0,15,779,497
465,1400000US51013100700,0,19,0,0,29,58,0,14,1445,613
466,1400000US51013100900,20,16,0,60,9,51,0,25,1012,604
467,1400000US51013101000,10,85,21,0,0,54,10,24,958,252
468,1400000US51013101100,24,16,39,12,9,83,8,0,1685,357
469,1400000US51013101200,9,24,0,22,10,29,0,37,1034,205
470,1400000US51013101300,32,28,0,32,39,49,12,0,1812,403
471,1400000US51013101402,27,22,0,0,13,0,46,0,748,616
472,1400000US51013101403,0,0,14,79,12,17,23,31,907,2388
473,1400000US51013101404,0,0,0,0,0,37,5,48,889,1235
474,1400000US51013101500,33,60,0,152,0,55,0,15,1346,2087
475,1400000US51013101601,0,10,0,0,0,0,20,0,416,306
476,1400000US51013101603,0,8,0,0,0,17,11,11,412,1455
477,1400000US51013101701,0,0,0,8,0,0,0,37,286,1370
478,1400000US51013101702,0,0,0,54,0,0,0,44,718,1658
479,1400000US51013101801,10,0,0,0,0,10,0,13,515,745
480,1400000US51013101802,0,0,0,179,0,14,66,12,789,2364
481,1400000US51013101803,0,22,37,76,0,70,24,14,539,1641
482,1400000US51013102001,0,0,10,57,0,0,40,25,224,764
483,1400000US51013102002,0,0,15,89,0,0,44,0,41,606
484,1400000US51013102003,0,0,0,86,0,32,67,47,502,1495
485,1400000US51013102100,0,0,0,0,7,12,6,21,588,356
486,1400000US51013102200,0,49,40,311,95,28,58,33,1123,1361
487,1400000US51013102302,0,0,0,162,24,103,49,61,839,653
488,1400000US51013102400,5,0,0,79,61,0,0,3,864,764
489,1400000US51013102500,0,83,0,18,11,16,78,97,683,1374
490,1400000US51013102600,0,18,0,146,12,12,0,90,509,644
491,1400000US51013102701,5,0,56,227,0,6,68,112,75,1471
492,1400000US51013102801,0,41,23,198,95,29,64,0,1398,1353
493,1400000US51013102802,0,45,0,0,0,40,0,0,443,40
494,1400000US51013102901,0,27,33,0,0,15,0,0,1242,417
495,1400000US51013103000,0,57,0,0,0,20,0,13,1294,394
496,1400000US51013103100,36,36,39,0,61,124,0,89,952,825
497,1400000US51013103200,0,43,76,94,39,0,39,24,1029,1591
498,1400000US51013103300,0,0,8,19,0,45,10,36,247,838
499,1400000US51013103401,0,0,0,0,0,0,0,0,0,95
500,1400000US51013103501,0,0,19,18,0,10,0,14,595,1443
501,1400000US51013103502,0,0,0,28,0,0,16,0,115,1546
502,1400000US51013103503,0,0,38,13,0,0,61,27,112,2197
503,1400000US51013103601,0,0,0,0,12,30,0,0,686,300
504,1400000US51013103700,0,7,0,15,8,9,7,7,770,126
505,1400000US51013103800,12,18,36,0,26,35,21,13,490,1645
508,1400000US51059491103,83,95,10,25,86,72,53,0,1939,203
509,1400000US51510201300,0,32,0,22,33,90,0,20,947,413
510,1400000US51510201400,0,41,0,50,0,7,0,80,1147,753
511,1400000US51510201500,0,26,0,40,0,8,0,21,1114,249
512,1400000US51510201801,0,0,0,0,18,24,14,94,1968,1014
513,1400000US51510201802,0,16,16,56,0,23,0,21,600,355
514,1400000US51510201900,0,0,0,0,0,0,0,0,404,536
515,1400000US51510202002,0,16,0,47,0,0,22,12,648,895
516,1400000US51510200102,0,12,16,123,0,17,35,34,414,1128
517,1400000US51510200104,0,0,81,108,0,0,31,113,0,1354
518,1400000US51510200105,0,0,9,71,0,0,56,101,0,2191
519,1400000US51510200106,35,0,12,0,0,0,44,0,502,1030
520,1400000US51510200201,0,29,0,0,9,9,54,27,661,775
521,1400000US51510200202,0,0,0,9,0,0,0,8,589,49
522,1400000US51510200302,20,27,9,79,0,6,0,28,655,719
523,1400000US51510200303,0,24,10,104,100,17,0,36,935,1617
524,1400000US51510200403,0,65,21,0,0,0,0,0,440,312
525,1400000US51510200404,0,0,0,0,10,55,0,0,1410,233
526,1400000US51510200406,15,19,77,95,0,18,33,149,376,1610
527,1400000US51510200407,0,0,11,38,30,51,63,55,1458,776
528,1400000US51510200703,0,0,52,60,0,0,0,46,608,721
529,1400000US51510200801,9,11,0,51,20,42,0,9,776,203
530,1400000US51510200802,0,26,0,100,26,59,43,12,751,618
531,1400000US51510201000,1,9,0,25,9,0,44,0,1241,583
532,1400000US51510201100,0,27,28,29,0,0,0,73,786,401
533,1400000US51510201202,0,6,7,16,0,39,48,8,624,637
534,1400000US51510201203,0,58,44,163,0,21,98,160,459,1917
539,1400000US51610500100,9,19,0,21,0,17,0,0,903,166
540,1400000US51610500200,52,154,0,90,10,86,26,3,1319,801
541,1400000US51059420400,0,42,12,49,7,25,12,5,372,1102
542,1400000US51059482002,0,11,0,0,0,16,0,49,1089,656
543,1400000US24031700105,48,46,18,56,21,82,0,0,1859,222
544,1400000US24031700304,0,0,54,133,11,22,10,80,1778,772
545,1400000US24031700607,45,30,34,19,12,129,15,10,2181,340
546,1400000US24031700611,36,47,0,0,63,52,0,38,1555,74
547,1400000US24031700710,0,126,52,26,20,67,29,0,1688,411
548,1400000US24031700718,0,26,6,50,26,13,0,0,935,834
549,1400000US24031700723,0,11,0,27,0,0,44,13,184,1772
550,1400000US24031700815,34,110,28,131,18,118,32,113,1969,663
551,1400000US24031700820,0,0,0,144,0,0,83,40,467,553
552,1400000US24031700824,0,50,0,0,17,17,0,17,1018,68
553,1400000US24033803001,68,46,0,65,24,111,0,80,640,348
554,1400000US24033803002,0,139,0,99,20,72,9,12,821,317
555,1400000US24033803100,0,53,19,41,36,65,0,8,604,336
556,1400000US24033803200,16,33,10,200,0,34,56,84,274,847
557,1400000US24033803512,27,123,44,138,12,169,43,97,1441,893
558,1400000US24033803519,0,90,23,128,10,89,0,41,666,534
559,1400000US24033803525,0,0,77,245,39,29,36,34,150,981
560,1400000US24033803613,0,7,11,93,6,19,44,32,751,1238
561,1400000US24033804001,34,12,93,365,0,12,52,158,188,1972
562,1400000US24033804400,24,55,12,40,3,56,0,0,561,247
563,1400000US24033804900,0,13,66,182,13,27,74,40,452,968
564,1400000US24033805601,0,0,140,175,0,0,238,66,32,1442
565,1400000US24033805904,30,40,16,0,31,79,0,0,647,286
566,1400000US24033806200,12,62,0,10,0,88,33,71,871,711
567,1400000US24033806602,5,31,7,131,57,85,36,95,743,585
568,1400000US24033806712,18,24,59,93,50,81,40,37,625,609
569,1400000US24033807304,0,0,0,0,38,29,0,0,518,76
570,1400000US24031700826,20,46,9,0,23,8,0,38,1625,1072
571,1400000US24031700828,0,75,0,12,0,46,15,0,792,106
572,1400000US24031700829,0,44,0,14,15,0,0,0,981,194
573,1400000US24031700830,0,0,49,14,0,0,49,32,77,687
574,1400000US24031700901,0,44,49,51,12,83,46,13,799,932
575,1400000US24031701002,0,22,0,0,34,8,0,0,1158,64
576,1400000US24031701102,13,84,26,102,36,98,53,27,1460,602
577,1400000US24031701210,0,14,0,0,0,25,4,0,1326,55
578,1400000US24031701215,12,38,0,99,7,43,27,31,1444,1078
579,1400000US24031701304,31,108,7,0,15,166,0,0,1934,106
580,1400000US24031701313,0,14,0,49,27,50,14,10,1109,155
581,1400000US24031701409,18,11,0,0,36,43,0,11,1391,20
582,1400000US24031701422,0,0,0,146,0,0,17,64,0,852
583,1400000US24031701508,0,54,0,207,8,0,82,77,356,1255
584,1400000US24031701601,0,37,53,128,0,29,56,34,111,679
585,1400000US24031701900,14,0,79,61,0,64,77,0,337,883
586,1400000US24031702102,0,22,0,7,20,59,0,0,995,33
587,1400000US24031702500,12,0,35,62,10,0,78,47,476,2005
588,1400000US24031703201,38,31,0,17,40,123,19,0,2131,226
589,1400000US24031703209,6,46,0,48,72,53,46,92,1095,940
590,1400000US24031703218,0,0,0,0,0,0,0,0,974,324
591,1400000US24031703301,30,96,0,8,106,66,12,12,1070,226
592,1400000US24031703402,10,44,0,13,72,113,0,11,967,64
593,1400000US24031703602,0,43,0,0,11,115,11,15,963,95
594,1400000US24031703902,116,120,0,181,81,74,0,0,1773,772
595,1400000US24031704403,7,0,0,0,0,0,0,0,758,312
596,1400000US24031704804,0,0,0,36,0,29,0,0,309,448
597,1400000US24031705300,0,21,0,0,3,13,0,0,643,29
598,1400000US24031705601,13,37,0,0,0,6,0,0,904,122
599,1400000US24031705602,0,9,32,94,0,0,0,0,1115,1695
600,1400000US24031705701,13,31,26,15,0,40,16,27,1178,458
601,1400000US24031705901,10,44,0,0,0,36,0,12,1329,110
602,1400000US24031706011,0,58,0,0,13,32,0,0,1699,55
603,1400000US24033800106,9,54,18,35,34,50,0,23,945,149
604,1400000US24033800209,0,0,22,196,0,0,36,56,218,1403
605,1400000US24033800214,0,0,0,108,0,40,51,109,175,873
606,1400000US24033800408,37,144,0,0,60,94,0,10,2021,39
607,1400000US24033800413,51,0,10,161,0,68,16,37,656,675
608,1400000US24033800514,27,22,0,0,88,98,0,0,1140,43
609,1400000US24033800519,0,35,0,0,46,36,0,0,1138,245
610,1400000US24033800704,0,306,0,212,0,163,20,50,1461,417
611,1400000US24033801005,49,54,0,0,13,122,0,0,1281,52
612,1400000US24033801006,0,119,0,0,12,79,0,0,1210,48
613,1400000US24033801209,102,82,0,35,70,172,0,37,1330,96
614,1400000US24033801216,13,10,0,31,0,68,11,0,1178,69
615,1400000US24033801308,25,41,0,43,66,119,16,13,1165,85
616,1400000US24033801313,15,28,0,41,0,84,0,0,835,176
617,1400000US24033801409,92,0,23,0,0,87,0,0,777,302
618,1400000US24033801702,0,69,68,252,10,57,0,142,341,1293
619,1400000US24033801801,0,0,0,210,13,70,0,73,216,671
620,1400000US24033801805,5,74,0,32,45,29,0,60,588,455
621,1400000US24033802104,19,90,0,77,9,106,0,38,463,376
622,1400000US24033802203,0,63,33,140,82,160,13,22,1099,573
623,1400000US24033802406,0,39,33,25,10,47,18,48,350,517
624,1400000US24033802600,51,57,55,96,56,69,28,7,691,395
625,1400000US24031700308,16,178,14,45,24,127,52,76,1781,594
626,1400000US24031700309,35,90,30,165,49,70,13,82,1195,846
627,1400000US24031700310,10,72,33,123,29,48,0,18,1575,662
628,1400000US24031700311,0,85,0,14,10,47,0,0,1526,202
629,1400000US24031700312,0,47,9,48,0,34,0,42,1278,272
630,1400000US24031700400,0,10,0,7,0,41,18,22,675,156
631,1400000US24031700500,18,81,0,36,0,93,0,49,1940,219
632,1400000US24031700604,0,0,0,0,36,31,0,0,2130,42
633,1400000US24031700606,0,88,0,0,11,27,0,0,1381,92
634,1400000US24031700608,27,69,0,0,0,29,0,0,1786,56
