GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1796,130,87,87,0,95,53,80,0,95,34,32,1709,162
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1146,82,11,20,0,95,0,95,10,15,1,14,1135,84
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1154,109,13,19,13,19,0,95,0,95,0,95,1141,110
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1058,100,18,23,0,95,0,95,0,95,18,23,1040,101
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",655,29,35,36,8,13,0,95,0,95,27,34,620,45
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1454,113,25,25,0,95,11,17,0,95,14,18,1429,120
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1208,64,100,64,0,95,78,66,0,95,22,24,1108,88
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",840,57,39,51,0,95,8,14,31,48,0,95,801,85
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1308,95,65,59,0,95,0,95,27,45,38,38,1243,104
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1461,121,69,57,0,95,27,44,0,95,42,33,1392,130
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",997,36,18,23,0,95,7,13,0,95,11,18,979,43
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",893,123,9,15,0,95,9,15,0,95,0,95,884,123
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",494,81,18,22,0,95,0,95,0,95,18,22,476,85
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",497,89,44,40,0,95,0,95,0,95,44,40,453,89
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",1046,108,38,38,0,95,38,38,0,95,0,95,1008,111
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",1011,79,68,52,0,95,25,36,0,95,43,37,943,92
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1558,88,84,73,0,95,59,65,0,95,25,28,1474,114
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",993,127,115,93,22,36,0,95,0,95,93,87,878,132
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",1692,163,218,146,0,95,113,107,0,95,105,105,1474,180
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",1028,69,16,24,0,95,16,24,0,95,0,95,1012,74
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1147,97,26,29,0,95,14,21,0,95,12,20,1121,102
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",608,105,9,15,0,95,9,15,0,95,0,95,599,109
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",696,102,14,22,0,95,0,95,0,95,14,22,682,106
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1095,97,18,23,0,95,0,95,0,95,18,23,1077,100
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",665,83,35,33,0,95,0,95,15,26,20,32,630,83
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1085,88,0,95,0,95,0,95,0,95,0,95,1085,88
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",1724,135,91,48,36,34,36,33,0,95,19,20,1633,143
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",1605,145,114,88,15,21,11,16,0,95,88,85,1491,168
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",1129,113,91,63,0,95,60,54,0,95,31,35,1038,123
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",1518,132,58,57,36,54,5,10,0,95,17,23,1460,150
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",2399,170,209,112,20,23,120,104,17,27,52,43,2190,192
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",1591,107,148,80,0,95,75,60,15,16,58,42,1443,117
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",1297,103,44,32,0,95,23,23,0,95,21,24,1253,103
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",1006,102,20,15,0,95,9,14,0,95,11,14,986,101
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",1128,99,166,87,0,95,58,52,0,95,108,66,962,129
1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",2376,239,61,42,15,24,17,27,0,95,29,34,2315,232
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",1651,115,60,39,6,11,26,23,0,95,28,25,1591,118
1400000US24031700101,24031700101,"Census Tract 7001.01, Montgomery County, Maryland",1371,65,51,49,0,95,0,95,0,95,51,49,1320,80
1400000US24031700103,24031700103,"Census Tract 7001.03, Montgomery County, Maryland",1836,72,69,42,9,14,29,27,11,16,20,23,1767,80
1400000US24031700104,24031700104,"Census Tract 7001.04, Montgomery County, Maryland",1774,86,142,93,12,20,29,32,0,95,101,79,1632,121
1400000US24031700105,24031700105,"Census Tract 7001.05, Montgomery County, Maryland",2146,30,74,82,0,95,11,16,13,23,50,78,2072,81
1400000US24031700204,24031700204,"Census Tract 7002.04, Montgomery County, Maryland",734,49,34,48,0,95,0,95,0,95,34,48,700,64
1400000US24031700205,24031700205,"Census Tract 7002.05, Montgomery County, Maryland",1855,80,83,75,0,95,42,48,0,95,41,58,1772,89
1400000US24031700206,24031700206,"Census Tract 7002.06, Montgomery County, Maryland",1857,70,7,12,0,95,0,95,0,95,7,12,1850,71
1400000US24031700207,24031700207,"Census Tract 7002.07, Montgomery County, Maryland",1946,62,225,118,12,20,83,76,0,95,130,87,1721,130
