OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
80,1400000US11001000502,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,41,153,193,0,29
81,1400000US11001000600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,189,190,235,0,97
82,1400000US11001000701,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,59,85,59,0,6
83,1400000US11001000802,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,0,18,51,170,122,162,0,41
84,1400000US11001000901,0,0,0,0,7,0,0,0,0,0,0,0,0,7,6,0,0,0,31,118,127,447,7,260
85,1400000US11001000902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,55,66,160,106,113,0,35
86,1400000US11001001001,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,23,16,88,182,791,539,219,0,9
87,1400000US11001001100,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,21,8,56,145,314,216,293,0,16
88,1400000US11001001200,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,10,0,134,321,251,119,0,8
89,1400000US11001001301,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,8,0,101,24,172,0,80
90,1400000US11001001302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,23,21,14,0,57
91,1400000US11001001402,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,44,141,299,166,39,0,6
92,1400000US11001001500,0,0,0,0,0,0,0,0,0,0,0,0,16,4,25,25,10,9,107,666,639,287,0,14
93,1400000US11001001600,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,16,171,327,493,128,102,0,9
94,1400000US11001001803,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,20,38,50,22,22,14,0,0,0
95,1400000US11001001804,0,0,0,0,0,0,0,0,0,0,0,14,6,30,86,104,106,69,72,6,6,0,0,0
96,1400000US11001001901,0,0,7,0,0,0,0,0,0,0,0,7,78,340,352,204,118,38,0,0,0,9,0,7
97,1400000US11001002001,0,0,0,0,7,0,0,0,0,0,0,0,0,7,10,19,20,36,41,80,22,60,7,0
98,1400000US11001002002,0,0,0,0,0,0,0,0,0,0,0,6,9,123,142,148,124,100,61,33,16,6,0,0
99,1400000US11001002101,0,0,0,0,0,0,0,0,0,0,57,52,97,232,169,89,23,30,0,0,0,9,0,0
100,1400000US11001002102,0,0,0,0,0,0,0,0,0,0,0,0,47,180,380,279,117,17,0,0,0,0,0,0
101,1400000US11001002202,0,0,0,0,0,0,0,6,0,0,0,8,66,192,132,38,18,0,7,0,0,0,0,0
102,1400000US11001002301,0,0,0,0,0,0,0,0,0,0,9,5,49,282,251,105,20,7,0,0,8,0,0,0
103,1400000US11001002302,0,0,0,0,0,0,0,0,0,0,0,0,7,62,52,0,0,0,0,9,0,0,0,0
104,1400000US11001002400,0,16,0,0,0,0,6,0,0,0,8,13,20,231,235,118,48,6,20,5,0,0,0,0
105,1400000US11001002502,0,0,0,0,0,0,9,8,7,14,0,0,35,123,165,122,68,110,0,0,0,0,0,0
106,1400000US11001002600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,35,91,208,153,131,0,11
107,1400000US11001002701,0,0,0,10,0,7,0,0,0,0,0,0,0,0,7,43,53,63,105,97,31,10,0,0
108,1400000US11001002702,9,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,22,123,115,282,47,25,0,10
109,1400000US11001002802,0,0,0,0,0,12,0,0,0,0,0,0,5,8,46,0,6,6,18,0,0,0,0,7
110,1400000US11001003000,0,0,0,0,0,0,0,0,0,0,0,0,19,4,51,6,45,5,33,16,8,0,0,0
111,1400000US11001003100,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0
112,1400000US11001003200,0,0,0,0,0,0,0,6,6,7,10,102,175,133,183,143,27,17,8,0,0,0,0,0
113,1400000US11001003302,0,0,0,0,0,0,0,0,0,8,4,0,24,57,71,53,85,39,31,0,0,0,0,0
114,1400000US11001003400,0,8,0,0,0,0,8,0,0,9,15,0,37,95,66,38,16,23,10,0,0,0,0,0
115,1400000US11001003500,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0
116,1400000US11001003700,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,8,17,6,0,0,0,0,0
117,1400000US11001003800,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,17,10,70,51,10,0,0,0,0
118,1400000US11001003900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,27,54,35,37,0,0
119,1400000US11001004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,15,9,66,28,83,0,0
120,1400000US11001004100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,19,0,173
121,1400000US11001004201,0,0,0,0,0,0,0,0,0,0,7,8,0,9,0,7,7,35,17,52,49,57,0,7
122,1400000US11001004300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,6,13,39,71,36,25,0,0
123,1400000US11001004400,8,0,0,0,0,0,0,0,0,0,11,11,24,72,37,80,3,51,60,69,27,31,0,0
124,1400000US11001004600,0,0,0,0,0,0,0,0,8,10,7,23,51,116,102,29,44,26,0,0,0,0,0,9
125,,,,,,,,,,,,,,,,,,,,,,,,,
126,1400000US11001004801,0,0,0,0,0,0,0,0,0,15,30,0,32,69,58,34,21,23,7,0,0,0,0,0
