OBJECTID,GEO.id,acs_bpl,acs_bplp,acs_bplm,acs_bplf,acs_bplmp,acs_bplfp,acs_mi
37,1400000US11001001002,531,15.9,151,380,11.3,19,85543
38,1400000US11001001401,196,6.2,107,89,6.8,5.6,109609
39,1400000US11001001702,243,9.9,109,134,9.9,9.8,91989
40,1400000US11001002201,124,3.5,53,71,3.2,3.9,70541
41,1400000US11001002501,652,28.4,326,326,25.5,32,48750
42,1400000US11001002801,796,20.9,391,405,19.2,22.9,43661
43,1400000US11001002900,700,18,399,301,19.1,16.7,56000
44,1400000US11001003301,634,22.4,360,274,25.1,19.7,83285
45,1400000US11001003600,829,19.5,396,433,19.4,19.7,46034
46,1400000US11001004002,127,5.5,48,79,4.2,6.7,85368
47,1400000US11001004202,114,4.8,38,76,3.4,6.1,83588
48,1400000US11001004702,485,33.1,323,162,43.4,22.5,43476
49,1400000US11001004901,451,24.3,163,288,17.8,30.8,52375
50,1400000US11001005600,1245,26.2,445,800,19.9,31.9,61806
51,1400000US11001006400,598,31.1,184,414,21.7,38.5,21191
52,1400000US11001006801,327,17.9,177,150,21.7,14.9,77955
53,1400000US11001007100,1518,45.4,532,986,38.7,50.1,29493
54,1400000US11001007403,983,35.7,555,428,42.6,29.4,27333
55,1400000US11001007408,1220,53.3,496,724,58.4,50.2,17826
56,1400000US11001007601,759,19.4,328,431,18.4,20.1,37687
57,1400000US11001007703,1473,26.3,525,948,22.9,28.7,31955
58,1400000US11001007806,486,23,142,344,15.7,28.5,42171
59,1400000US11001007901,1420,37.7,422,998,26.7,45.6,32692
60,1400000US11001008302,57,2.8,21,36,2.2,3.4,101667
61,1400000US11001008702,287,16.8,131,156,15.2,18.3,41232
62,1400000US11001008904,846,25.8,426,420,27,24.7,27620
63,1400000US11001009203,314,12.4,237,77,16.5,7,51726
64,1400000US11001009302,53,4.4,53,0,8.5,0,63958
65,1400000US11001009504,359,13,176,183,12.3,13.8,50500
66,1400000US11001009509,151,5.5,33,118,2.7,7.8,59286
67,1400000US11001009602,1239,41.8,450,789,39.3,43.3,24786
68,1400000US11001009603,496,15.2,198,298,13.8,16.3,38404
69,1400000US11001009604,402,20.1,92,310,14.3,22.8,37441
70,1400000US11001009700,764,31.8,295,469,30.2,32.9,31549
71,1400000US11001009802,533,45.6,232,301,49.5,43,23633
72,1400000US11001009807,461,14.5,234,227,15.2,13.9,42420
73,1400000US11001009904,385,23.8,77,308,10,36.3,35302
74,1400000US11001009906,219,13.1,129,90,14.5,11.6,34269
75,1400000US11001010500,822,19.4,424,398,18.2,20.9,57052
76,1400000US11001010800,1011,64.7,425,586,60.6,68.1,11375
77,1400000US11001000202,495,14.4,197,298,11.5,17.4,120114
78,1400000US11001000300,681,12,323,358,11.3,12.7,101250
79,1400000US11001000501,459,14.3,92,367,7,19.3,87415
80,1400000US11001000502,234,7.2,88,146,6.2,8,95694
81,1400000US11001000600,216,5.3,53,163,2.8,7.6,115648
82,1400000US11001000701,69,1.5,0,69,0,2.6,79649
83,1400000US11001000802,209,8.1,118,91,9.3,6.9,92000
84,1400000US11001000901,183,4.9,101,82,5.5,4.3,213889
85,1400000US11001000902,128,5.7,21,107,1.9,9.3,163750
86,1400000US11001001001,543,7.7,318,225,9.6,6,142697
87,1400000US11001001100,314,7.4,124,190,6.1,8.5,141607
88,1400000US11001001200,485,9.7,159,326,7.3,11.6,93785
89,1400000US11001001301,427,10.1,308,119,14.2,5.8,88981
90,1400000US11001001302,451,6.4,154,297,5.1,7.5,78961
91,1400000US11001001402,198,6.8,48,150,3.4,9.9,100750
92,1400000US11001001500,169,3,88,81,3.2,2.8,179125
93,1400000US11001001600,172,3.9,33,139,1.6,5.9,133824
94,1400000US11001001803,424,14.3,177,247,12.9,15.5,35350
95,1400000US11001001804,1276,26.5,540,736,23.1,29.8,40281
96,1400000US11001001901,443,10.6,80,363,4.6,14.9,48073
97,1400000US11001002001,188,7,119,69,9.4,4.9,43478
98,1400000US11001002002,412,11.5,185,227,12.1,11,53373
99,1400000US11001002101,806,17,417,389,18.1,16,41886
100,1400000US11001002102,526,12.2,149,377,8.9,14.3,42522
101,1400000US11001002202,315,10.8,170,145,13.4,8.8,42283
102,1400000US11001002301,367,12.3,165,202,10.3,14.6,61500
103,1400000US11001002302,401,30.9,222,179,29.9,32.2,43342
104,1400000US11001002400,478,12.7,286,192,14.4,10.8,60082
105,1400000US11001002502,532,11,332,200,14.3,8,42199
106,1400000US11001002600,137,6,83,54,8,4.3,144141
107,1400000US11001002701,654,12.5,299,355,10.7,14.7,58617
108,1400000US11001002702,387,7.6,115,272,4.5,10.6,95490
109,1400000US11001002802,860,21.6,385,475,19.3,24,41453
110,1400000US11001003000,701,23.1,361,340,26.1,20.7,52228
111,1400000US11001003100,224,7.8,113,111,6.8,9.1,69063
112,1400000US11001003200,918,20.5,287,631,14.1,25.9,50665
113,1400000US11001003302,416,18.9,179,237,15.7,22.4,80039
114,1400000US11001003400,900,34,357,543,26.2,42.2,30603
115,1400000US11001003500,744,31.9,407,337,30.1,34.3,41136
116,1400000US11001003700,1111,26.2,624,487,31.2,21.7,52292
117,1400000US11001003800,240,5.9,194,46,8.1,2.8,76121
118,1400000US11001003900,230,5.1,153,77,7,3.4,72466
119,1400000US11001004001,120,3.7,74,46,4.5,2.9,100439
120,1400000US11001004100,114,4.2,46,68,3.6,4.8,97500
121,1400000US11001004201,694,19.6,394,300,19.3,20,86406
122,1400000US11001004300,552,19.3,295,257,21.1,17.6,51016
123,1400000US11001004400,550,12.3,316,234,13.7,10.7,98030
124,1400000US11001004600,454,19.1,150,304,14.2,22.9,76623
125,1400000US11001004701,1884,49,720,1164,45,51.9,15119
126,1400000US11001004801,252,14.4,101,151,12.1,16.5,76618
127,1400000US11001004802,418,13.7,161,257,11.5,15.5,42244
128,1400000US11001004902,453,17.3,229,224,15.8,19.1,78482
129,1400000US11001005001,163,10.3,163,0,15.1,0,119643
130,1400000US11001005002,689,11.8,462,227,13.9,9.1,73173
131,1400000US11001005201,619,11.9,329,290,10.7,13.6,64811
132,1400000US11001005301,1000,16.7,513,487,16.6,16.8,91638
133,1400000US11001005500,758,12.8,414,344,13.6,11.9,88831
134,1400000US11001005800,150,5.6,44,106,3.4,7.7,119167
135,1400000US11001005900,1570,44.4,1086,484,51.4,34,66790
136,1400000US11001006202,0,-,0,0,-,-,-
137,1400000US11001006500,33,1.3,11,22,1,1.5,113542
138,1400000US11001006600,162,8.7,54,108,6.5,10.5,94878
139,1400000US11001006700,184,4.6,128,56,6.6,2.7,141004
140,1400000US11001006802,56,2.7,27,29,2.9,2.5,86719
141,1400000US11001006804,31,91.2,24,7,88.9,100,-
142,1400000US11001006900,202,9.1,53,149,4.9,13,115299
143,1400000US11001007000,208,10.7,58,150,7.1,13.3,92656
144,1400000US11001007200,141,11.7,67,74,12.1,11.4,47885
145,1400000US11001007301,35,1.4,25,10,1.9,0.9,64821
146,1400000US11001007304,1298,38.2,450,848,30.3,44.3,31856
147,1400000US11001007401,1255,57.3,445,810,47.3,64.7,19238
148,1400000US11001007404,1616,48.8,667,949,47.4,49.8,26250
149,1400000US11001007406,1495,47.2,601,894,45.7,48.3,27838
150,1400000US11001009301,810,23.2,253,557,15.7,29.7,72578
151,1400000US11001009400,344,8.7,177,167,10,7.6,70990
152,1400000US11001009501,796,19.7,471,325,22.8,16.5,40536
153,1400000US11001009503,244,8.8,102,142,8,9.5,70875
154,1400000US11001009505,167,6.2,58,109,5.3,6.9,62462
155,1400000US11001009507,83,4.4,41,42,4.9,4,62986
156,1400000US11001009508,271,9,123,148,9.2,8.8,47410
157,1400000US11001009601,1336,45.6,538,798,56.3,40.5,40929
158,1400000US11001009801,606,39.6,250,356,33.7,45.2,31917
159,1400000US11001009803,567,24.3,206,361,21.6,26.2,30625
160,1400000US11001009804,702,24.5,320,382,26.1,23.4,46554
161,1400000US11001009810,813,34.9,343,470,33.2,36.3,26234
162,1400000US11001009811,1631,46.2,494,1137,39.9,49.6,21713
163,1400000US11001009901,121,6,25,96,2.8,8.5,76736
164,1400000US11001009902,650,23.4,275,375,24.6,22.6,51400
165,1400000US11001009903,337,24.3,148,189,21.6,27,52554
166,1400000US11001009905,483,18.1,209,274,17,19,35186
167,1400000US11001009907,1053,40.7,303,750,33.3,44.7,26612
168,1400000US11001010100,296,14,117,179,11.3,16.5,51151
169,1400000US11001010200,281,10.6,110,171,10.4,10.7,74744
170,1400000US11001010300,133,4.9,30,103,2.2,7.6,56736
171,1400000US11001010400,1354,34.3,785,569,37.2,31,33500
172,1400000US11001010600,589,16.2,341,248,16.7,15.5,65122
173,1400000US11001010700,494,28.6,179,315,26.2,30.2,55268
174,1400000US11001010900,1480,48.4,426,1054,35.1,57.3,28519
175,1400000US11001011000,708,17.4,294,414,17.1,17.7,79297
176,1400000US11001011100,444,11.1,197,247,10.6,11.6,55353
177,1400000US11001001902,165,7.8,83,82,8.7,7,72273
178,1400000US11001008100,222,6.6,49,173,3,10,132321
179,1400000US11001000801,403,7,204,199,8,6.1,114732
180,1400000US51059415100,233,6.8,91,142,5.6,7.9,109609
181,1400000US51059415401,314,6.8,189,125,9,4.9,61421
182,1400000US51059416000,775,14.9,260,515,10.8,18.3,71217
183,1400000US51059420100,599,14.7,383,216,18,11.1,84461
184,1400000US51059420800,330,9,187,143,9.5,8.5,88456
185,1400000US51059421200,0,0,0,0,0,0,119531
186,1400000US51059421600,853,14.6,274,579,9.8,19.1,52652
187,1400000US51059421800,495,9.3,255,240,10.4,8.4,74565
188,1400000US51059422301,26,0.9,0,26,0,1.9,93646
189,1400000US51059422401,178,9.1,13,165,1.5,15.6,85924
190,1400000US51059430203,246,8.9,66,180,5,12.4,119000
191,1400000US51059430500,64,3.8,32,32,4.2,3.5,90000
192,1400000US51059430901,164,3.7,74,90,3.7,3.8,89740
193,1400000US51059431801,102,2.5,0,102,0,4.8,95469
194,1400000US51059431900,0,0,0,0,0,0,154811
195,1400000US51059432300,185,3.5,89,96,3.4,3.6,146250
196,1400000US51059432702,115,2.7,63,52,2.8,2.7,92692
197,1400000US51059440600,124,4,75,49,5.1,3,96513
198,1400000US51059450200,551,14.1,291,260,14.9,13.3,79496
199,1400000US51059450500,333,12.3,169,164,12.3,12.3,92766
200,1400000US51059450702,606,15.3,269,337,12.8,18.1,59821
201,1400000US51059451300,0,0,0,0,0,0,124107
202,1400000US51059451900,288,4.9,80,208,3,6.6,88114
203,1400000US51059452102,366,13.6,137,229,10.8,16.1,62379
204,1400000US51059452502,1208,24.9,624,584,25.5,24.3,50647
205,1400000US51059452802,441,15.3,170,271,13,17.2,72580
206,1400000US51059460200,87,2.2,26,61,1.4,2.9,189500
207,1400000US51059460300,39,1.4,9,30,0.6,2.2,166000
208,1400000US51059460600,24,0.6,0,24,0,1.3,132695
209,1400000US51059461000,43,2,7,36,0.7,3.1,139712
210,1400000US51059461601,144,2.4,107,37,3.5,1.3,106480
211,1400000US51059461901,428,11.5,189,239,10.3,12.6,68404
212,1400000US51059470600,163,5.7,15,148,1.1,9.8,155250
213,1400000US51059471000,31,1.6,31,0,3.4,0,137000
214,1400000US51059471303,139,3.8,38,101,2.3,5.1,92434
215,1400000US51059480202,17,0.8,3,14,0.3,1.3,77500
216,1400000US51059480501,0,0,0,0,0,0,185057
217,1400000US51059480802,110,2.7,41,69,1.9,3.6,105101
218,1400000US51059481000,72,1.8,12,60,0.6,3.3,67262
219,1400000US51059481104,37,1.4,6,31,0.5,2.5,102923
220,1400000US51059481701,32,0.5,10,22,0.3,0.7,193468
221,1400000US51059482301,61,1.5,29,32,1.4,1.6,97460
222,1400000US51059482502,0,0,0,0,0,0,144550
223,1400000US51059490501,116,3.7,103,13,6,0.9,75684
224,1400000US51059491202,285,19.8,134,151,15.6,26,62716
225,1400000US51059491401,439,9.8,164,275,8,11.2,84000
226,1400000US51059491501,349,5.5,127,222,4.4,6.4,94286
227,1400000US51059491703,291,6.8,138,153,6,7.7,86981
228,1400000US51059491801,169,6.9,113,56,8,5.4,88155
229,1400000US51059492202,106,1.6,75,31,2.3,0.9,176915
230,1400000US51059980100,0,-,0,0,-,-,-
231,1400000US51013100100,39,0.9,21,18,0.9,0.9,161528
232,1400000US51013100400,8,0.2,0,8,0,0.5,211818
233,1400000US51013100800,62,4.3,40,22,5.3,3.2,56094
234,1400000US51013101401,66,5.3,18,48,2.9,7.6,88448
235,1400000US51013101602,76,5.4,11,65,1.8,8.2,94297
236,1400000US51013101703,323,13.1,116,207,8.6,18.6,77933
237,1400000US51013101900,10,0.4,2,8,0.2,0.5,144792
238,1400000US51013102301,24,1.8,15,9,2.4,1.3,98571
239,1400000US51013102702,247,17.5,136,111,16.6,18.6,86920
240,1400000US51013102902,256,6.3,130,126,6.9,5.8,91940
241,1400000US51013103402,196,5.1,104,92,5.8,4.5,108203
242,1400000US51013103602,119,10.9,28,91,6.8,13.4,80268
243,1400000US51510200103,801,10.9,292,509,8.5,12.9,54600
244,1400000US51510200107,341,6.7,239,102,10.3,3.7,85000
245,1400000US51510200301,252,9.2,60,192,4.7,13.1,73008
246,1400000US51510200405,755,11.3,309,446,10.6,11.9,61886
247,1400000US51510200500,522,12.4,252,270,12.5,12.3,48423
248,1400000US51510200600,403,8.7,157,246,7.2,10.2,81316
249,1400000US51510200701,0,0,0,0,0,0,133708
250,1400000US51510200702,68,2.5,32,36,2.4,2.7,105208
251,1400000US51510200900,60,1.2,37,23,1.6,0.9,160172
252,1400000US51510201204,96,3.6,27,69,1.8,5.6,60510
253,1400000US51510201600,774,16.7,203,571,9.5,22.8,100234
254,1400000US51510202001,103,5.3,35,68,3.7,6.8,157375
255,,,,,,,,
256,1400000US51610500300,28,0.8,5,23,0.3,1.3,114493
257,1400000US51059415200,121,3.9,21,100,1.6,5.7,81639
258,1400000US51059415300,158,3.9,96,62,5.3,2.8,72794
259,1400000US51059415402,126,4.9,39,87,3.2,6.5,107545
260,1400000US51059415500,481,8.5,110,371,4.1,12.4,97309
261,1400000US51059415600,0,0,0,0,0,0,170952
262,1400000US51059415700,0,0,0,0,0,0,143929
263,1400000US51059415800,73,1.6,0,73,0,3.3,141000
264,1400000US51059415900,0,0,0,0,0,0,159100
265,1400000US51059416100,131,3.7,68,63,4,3.5,128994
266,1400000US51059416200,92,2.1,54,38,2.4,1.8,73858
267,1400000US51059416300,61,2.7,29,32,2.5,3,100170
268,1400000US51059420201,55,1.5,14,41,0.8,2.1,129219
269,1400000US51059420202,5,0.3,5,0,0.5,0,89930
270,1400000US51059420203,105,4.1,68,37,4.9,3.2,123417
271,1400000US51059420300,120,2,90,30,2.7,1.1,113378
272,1400000US51059420501,102,7.4,14,88,2.1,12.3,107404
273,1400000US51059420502,134,9.8,70,64,8.9,11.1,73275
274,1400000US51059420503,265,9.5,160,105,9.2,9.9,75809
275,1400000US51059420600,205,4.9,89,116,3.8,6.1,83446
276,1400000US51059420700,33,0.8,14,19,0.7,1,99100
277,1400000US51059421001,33,1.1,7,26,0.5,1.8,90685
278,1400000US51059421002,244,4.9,75,169,2.9,7.2,96639
279,1400000US51059421101,30,0.5,12,18,0.4,0.6,117375
280,1400000US51059421102,144,4.1,57,87,3.7,4.4,105352
281,1400000US51059421103,79,1.5,29,50,1.2,1.7,113163
282,1400000US51059421300,82,2.2,50,32,2.6,1.8,109479
283,1400000US51059421400,936,16.1,368,568,13.7,18.1,41277
284,1400000US51059421500,1152,17.4,416,736,12.5,22.3,45943
285,1400000US51059421701,613,15,311,302,14.1,16.1,53495
286,1400000US51059421702,186,4.3,113,73,5,3.6,99750
287,1400000US51059421900,160,7.3,83,77,6.7,7.9,62151
288,1400000US51059422000,144,3.9,52,92,2.9,4.9,98224
289,1400000US51059422101,309,4.6,73,236,2,7.4,67151
290,1400000US51059422102,224,3.8,143,81,5.3,2.5,77475
291,1400000US51059422201,59,1.9,30,29,1.9,1.9,129375
292,1400000US51059422202,148,2.8,22,126,0.8,4.6,81889
293,1400000US51059422302,256,4.6,48,208,2,6.8,100162
294,1400000US51059422402,166,3.3,42,124,1.6,5.2,108867
295,1400000US51059422403,17,0.7,17,0,1.3,0,113239
296,1400000US51059430101,82,1.8,44,38,2,1.6,145583
297,1400000US51059430102,122,4.5,48,74,4.2,4.7,104410
298,1400000US51059430201,186,4.1,86,100,4,4.1,106875
299,1400000US51059430202,543,10,341,202,12.7,7.4,122679
300,1400000US51059430400,136,1.9,56,80,1.5,2.3,116519
301,1400000US51059430600,1292,17.1,616,676,16,18.3,81479
302,1400000US51059430700,64,2.3,0,64,0,4.8,102775
303,1400000US51059430801,160,3.8,66,94,3.2,4.4,108429
304,1400000US51059430802,0,0,0,0,0,0,87056
305,1400000US51059430902,83,2.5,58,25,3.2,1.6,105700
306,1400000US51059431001,55,1.2,55,0,2.3,0,103824
307,1400000US51059431002,110,5.3,0,110,0,9.7,84479
308,1400000US51059431300,0,0,0,0,0,0,111283
309,1400000US51059431400,189,4,87,102,3.9,4.1,123526
310,1400000US51059431500,321,6.1,100,221,3.9,8.1,126938
311,1400000US51059431600,395,4.9,212,183,5.7,4.3,67708
312,1400000US51059431802,69,2,69,0,4.3,0,118309
313,1400000US51059432000,210,6.4,101,109,6.3,6.5,112594
314,1400000US51059432100,307,8.6,118,189,7.2,9.7,105801
315,1400000US51059432201,75,4.1,39,36,4.4,3.8,67059
316,1400000US51059432202,197,4.3,37,160,1.6,6.9,120143
317,1400000US51059432401,11,0.3,11,0,0.6,0,146645
318,1400000US51059432402,58,1.2,41,17,1.8,0.6,137745
319,1400000US51059432500,28,0.5,13,15,0.4,0.5,148224
320,1400000US51059432600,188,3.7,51,137,2,5.3,150179
321,1400000US51059432701,77,2.4,38,39,2.4,2.5,136667
322,1400000US51059432800,421,18.7,127,294,12.2,24.4,106731
323,1400000US51059440100,385,5.2,236,149,6.4,3.9,146781
324,1400000US51059440201,157,8,70,87,6.9,9.1,72713
325,1400000US51059440202,90,1.5,62,28,2.2,0.9,97803
326,1400000US51059440300,15,0.5,15,0,1.1,0,146250
327,1400000US51059440501,246,4.8,150,96,6.1,3.6,120485
328,1400000US51059440502,187,9.3,86,101,8.2,10.5,123889
329,1400000US51059440701,34,1.2,34,0,2.5,0,114643
330,1400000US51059440702,23,0.4,0,23,0,0.9,143438
331,1400000US51059440800,271,4.4,140,131,4.9,4,136538
332,1400000US51059450100,132,2.6,33,99,1.4,3.6,85954
333,1400000US51059450300,336,6.8,236,100,9.8,3.9,77331
334,1400000US51059450400,35,1.3,9,26,0.7,1.9,118850
335,1400000US51059450601,49,1.4,0,49,0,2.8,132237
336,1400000US51059450602,545,13.2,114,431,6.8,17.7,62207
337,1400000US51059450701,88,3,88,0,5.6,0,111287
338,1400000US51059450800,33,1,20,13,1.3,0.7,101216
339,1400000US51059450900,126,7.2,64,62,7.7,6.8,122083
340,1400000US51059451000,89,3.7,49,40,3.9,3.4,101797
341,1400000US51059451100,49,2.3,29,20,2.8,1.8,138227
342,1400000US51059451200,0,0,0,0,0,0,190781
343,1400000US51059451400,753,27.8,388,365,28.4,27.2,39538
344,1400000US51059451501,834,14.9,502,332,15.3,14.4,67832
345,1400000US51059451502,141,3.4,30,111,1.5,5.3,70372
346,1400000US51059451601,921,18.2,662,259,18.6,17.1,61752
347,1400000US51059451602,22,0.9,0,22,0,1.5,60156
348,1400000US51059451800,247,7.5,144,103,8.5,6.4,94714
349,1400000US51059452000,299,11,136,163,10.1,11.8,92736
350,1400000US51059452101,266,5.5,31,235,1.6,8.1,88250
351,1400000US51059452200,72,1.2,28,44,0.9,1.6,65255
352,1400000US51059452301,851,24.6,525,326,30,19,55355
353,1400000US51059452302,158,3.4,58,100,2.7,4,60417
354,1400000US51059452400,286,4.2,55,231,1.7,6.4,82455
355,1400000US51059452501,314,8,58,256,3.1,12.7,88109
356,1400000US51059452600,255,5.6,83,172,3.9,7.2,88698
357,1400000US51059452700,696,13.5,358,338,14.7,12.4,59318
358,1400000US51059452801,564,13.7,208,356,9.5,18.5,83115
359,1400000US51059460100,54,1.2,22,32,1,1.4,162344
360,1400000US51059460400,273,5.6,35,238,1.6,8.9,130676
361,1400000US51059460501,102,4.1,25,77,2.1,6,166250
362,1400000US51059460502,129,1.9,12,117,0.4,3.3,170842
363,1400000US51059460701,383,11.4,160,223,9.6,13.3,94550
364,1400000US51059460702,221,5.1,107,114,4.8,5.3,115116
365,1400000US51059460800,116,3.7,51,65,3,4.5,104477
366,1400000US51059460900,8,0.3,0,8,0,0.7,150833
367,1400000US51059461100,388,5.3,121,267,3,7.9,147447
368,1400000US51059461201,35,0.8,0,35,0,1.5,208221
369,1400000US51059461202,569,12.7,114,455,5.8,18,115950
370,1400000US51059461500,217,3.4,121,96,3.5,3.2,150175
371,1400000US51059461602,249,6.4,56,193,2.8,10.3,103887
372,1400000US51059461700,215,3.5,79,136,2.5,4.4,101398
373,1400000US51059461801,91,8.4,30,61,6.3,10.1,95573
374,1400000US51059461802,277,6.2,157,120,8.1,4.7,91383
375,1400000US51059461902,193,10.5,108,85,9.8,11.6,52841
376,1400000US51059470100,34,1.2,0,34,0,2.3,214091
377,1400000US51059470300,33,1,0,33,0,2,228021
378,1400000US51059470400,45,1,11,34,0.5,1.6,187216
379,1400000US51059470500,202,4.1,78,124,3.1,5.1,132213
380,1400000US51059470700,214,4.3,65,149,2.8,5.5,151685
381,1400000US51059470800,34,1.2,9,25,0.7,1.7,134583
382,1400000US51059470900,256,3.6,117,139,3.5,3.6,132536
383,1400000US51059471100,344,5.4,151,193,4.8,5.9,94928
384,1400000US51059471201,111,4.2,12,99,1,7.1,76509
385,1400000US51059471202,105,2.6,73,32,3.7,1.6,95341
386,1400000US51059471301,152,4.9,0,152,0,9.8,94135
387,1400000US51059471304,0,0,0,0,0,0,190929
388,1400000US51059471401,233,7,72,161,5.2,8.4,89531
389,1400000US51059471402,404,11.9,155,249,9.9,13.5,69323
390,1400000US51059480100,17,0.4,7,10,0.3,0.5,184886
391,1400000US51059480201,108,2.7,34,74,1.6,3.8,210625
392,1400000US51059480203,94,4.6,0,94,0,8,102847
393,1400000US51059480300,126,1.7,61,65,1.6,1.9,232500
394,1400000US51059480401,105,2.3,42,63,1.9,2.7,183661
395,1400000US51059480402,119,1.8,35,84,1.1,2.5,189135
396,1400000US51059480502,365,5.9,134,231,4.6,7.1,128942
397,1400000US51059480503,88,2.4,27,61,1.4,3.4,122241
398,1400000US51059480504,40,2.2,14,26,1.8,2.4,141600
399,1400000US51059480505,43,1.5,31,12,2.1,0.8,96359
400,1400000US51059480801,33,0.8,13,20,0.6,1,89182
401,1400000US51059480901,413,6.1,226,187,6.9,5.4,95504
402,1400000US51059480902,220,5.7,76,144,3.5,8.7,77426
403,1400000US51059480903,72,1.9,35,37,1.9,1.8,87661
404,1400000US51059481101,30,1.8,0,30,0,3.9,84654
405,1400000US51059481102,147,5.8,59,88,4.7,6.8,100729
406,1400000US51059481103,153,4.7,65,88,3.8,5.6,80564
407,1400000US51059481105,37,0.7,25,12,1,0.4,175938
408,1400000US51059481106,26,0.5,0,26,0,0.9,163542
409,1400000US51059481201,0,0,0,0,0,0,158355
410,1400000US51059481202,845,14.4,329,516,11,18,67456
411,1400000US51059481400,547,9.3,132,415,4.9,13.1,111161
412,1400000US51059481500,0,0,0,0,0,0,168194
413,1400000US51059481600,78,2.3,8,70,0.5,4,190875
414,1400000US51059481702,263,7.1,157,106,8.6,5.6,88407
415,1400000US51059481900,435,8.1,183,252,7,9.3,102667
416,1400000US51059482001,48,1,15,33,0.6,1.4,178796
417,1400000US51059482100,147,5.5,100,47,7.4,3.6,75590
418,1400000US51059482201,152,7.5,50,102,5.7,8.8,61716
419,1400000US51059482202,161,5.2,48,113,3.3,7,70143
420,1400000US51059482203,9,0.3,9,0,0.6,0,120833
421,1400000US51059482302,988,24.4,569,419,25.7,22.8,64892
422,1400000US51059482303,104,3.5,44,60,3.2,3.7,101639
423,1400000US51059482400,18,0.8,11,7,1.1,0.6,172083
424,1400000US51059482501,174,3,71,103,2.6,3.3,100472
425,1400000US51059482503,71,1.5,15,56,0.6,2.3,165250
426,1400000US51059482504,0,0,0,0,0,0,170134
427,1400000US51059482601,80,1.1,28,52,0.8,1.5,134150
428,1400000US51059482602,189,2.8,75,114,2.4,3.2,152154
429,1400000US51059490101,280,5.3,108,172,4.5,6.1,121250
430,1400000US51059490103,153,2.9,100,53,3.5,2.1,107411
431,1400000US51059490502,328,5.4,109,219,3.7,7,152809
432,1400000US51059491000,21,1.1,14,7,1.6,0.7,194167
433,1400000US51059491101,11,0.3,0,11,0,0.6,163828
434,1400000US51059491102,0,0,0,0,0,0,118611
435,1400000US51059491201,140,2.4,43,97,1.5,3.3,77500
436,1400000US51059491301,132,1.9,50,82,1.5,2.3,120547
437,1400000US51059491302,237,6.4,149,88,8.8,4.4,92708
438,1400000US51059491303,284,7.5,190,94,9.3,5.5,60737
439,1400000US51059491402,306,7.2,176,130,8.1,6.3,94884
440,1400000US51059491403,79,2,31,48,1.5,2.4,174770
441,1400000US51059491404,158,4,39,119,2,5.9,117321
442,1400000US51059491405,0,0,0,0,0,0,148984
443,1400000US51059491502,44,0.6,22,22,0.6,0.6,170283
444,1400000US51059491601,617,12.7,248,369,11.7,13.6,66339
445,1400000US51059491602,414,7.6,213,201,7.7,7.5,114118
446,1400000US51059491701,83,2.7,12,71,0.8,4.2,93239
447,1400000US51059491702,490,7.5,208,282,6.9,8.1,82060
