OBJECTID,GEO.id,acs_bpl,acs_bplp,acs_bplm,acs_bplf,acs_bplmp,acs_bplfp
216,1400000US51059480501,0,0.0,0,0,0.0,0.0
217,1400000US51059480802,110,2.7,41,69,1.9,3.6
218,1400000US51059481000,72,1.8,12,60,0.6,3.3
219,1400000US51059481104,37,1.4,6,31,0.5,2.5
220,1400000US51059481701,32,0.5,10,22,0.3,0.7
221,1400000US51059482301,61,1.5,29,32,1.4,1.6
222,1400000US51059482502,0,0.0,0,0,0.0,0.0
223,1400000US51059490501,116,3.7,103,13,6.0,0.9
224,1400000US51059491202,285,19.8,134,151,15.6,26.0
225,1400000US51059491401,439,9.8,164,275,8.0,11.2
226,1400000US51059491501,349,5.5,127,222,4.4,6.4
227,1400000US51059491703,291,6.8,138,153,6.0,7.7
228,1400000US51059491801,169,6.9,113,56,8.0,5.4
229,1400000US51059492202,106,1.6,75,31,2.3,0.9
230,1400000US51059980100,0,-,0,0,-,-
231,1400000US51013100100,39,0.9,21,18,0.9,0.9
232,1400000US51013100400,8,0.2,0,8,0.0,0.5
233,1400000US51013100800,62,4.3,40,22,5.3,3.2
234,1400000US51013101401,66,5.3,18,48,2.9,7.6
235,1400000US51013101602,76,5.4,11,65,1.8,8.2
236,1400000US51013101703,323,13.1,116,207,8.6,18.6
237,1400000US51013101900,10,0.4,2,8,0.2,0.5
238,1400000US51013102301,24,1.8,15,9,2.4,1.3
239,1400000US51013102702,247,17.5,136,111,16.6,18.6
240,1400000US51013102902,256,6.3,130,126,6.9,5.8
241,1400000US51013103402,196,5.1,104,92,5.8,4.5
242,1400000US51013103602,119,10.9,28,91,6.8,13.4
243,1400000US51510200103,801,10.9,292,509,8.5,12.9
244,1400000US51510200107,341,6.7,239,102,10.3,3.7
245,1400000US51510200301,252,9.2,60,192,4.7,13.1
246,1400000US51510200405,755,11.3,309,446,10.6,11.9
247,1400000US51510200500,522,12.4,252,270,12.5,12.3
248,1400000US51510200600,403,8.7,157,246,7.2,10.2
249,1400000US51510200701,0,0.0,0,0,0.0,0.0
250,1400000US51510200702,68,2.5,32,36,2.4,2.7
251,1400000US51510200900,60,1.2,37,23,1.6,0.9
252,1400000US51510201204,96,3.6,27,69,1.8,5.6
253,1400000US51510201600,774,16.7,203,571,9.5,22.8
254,1400000US51510202001,103,5.3,35,68,3.7,6.8
255,,,,,,,
256,1400000US51610500300,28,0.8,5,23,0.3,1.3
257,1400000US51059415200,121,3.9,21,100,1.6,5.7
258,1400000US51059415300,158,3.9,96,62,5.3,2.8
259,1400000US51059415402,126,4.9,39,87,3.2,6.5
260,1400000US51059415500,481,8.5,110,371,4.1,12.4
261,1400000US51059415600,0,0.0,0,0,0.0,0.0
262,1400000US51059415700,0,0.0,0,0,0.0,0.0
263,1400000US51059415800,73,1.6,0,73,0.0,3.3
264,1400000US51059415900,0,0.0,0,0,0.0,0.0
265,1400000US51059416100,131,3.7,68,63,4.0,3.5
266,1400000US51059416200,92,2.1,54,38,2.4,1.8
267,1400000US51059416300,61,2.7,29,32,2.5,3.0
268,1400000US51059420201,55,1.5,14,41,0.8,2.1
269,1400000US51059420202,5,0.3,5,0,0.5,0.0
270,1400000US51059420203,105,4.1,68,37,4.9,3.2
271,1400000US51059420300,120,2.0,90,30,2.7,1.1
272,1400000US51059420501,102,7.4,14,88,2.1,12.3
273,1400000US51059420502,134,9.8,70,64,8.9,11.1
274,1400000US51059420503,265,9.5,160,105,9.2,9.9
