OBJECTID,GEO.id,decma,dectp,decmpp,decfpp,decaapp
82,1400000US11001000701,44.5,4395,40.5,59.5,3.6
83,1400000US11001000802,34.3,2806,48.8,51.2,3.3
84,1400000US11001000901,21.4,7208,43.4,56.6,5.7
85,1400000US11001000902,41.8,1973,46.5,53.5,4.9
86,1400000US11001001001,40.5,6062,46.4,53.6,3.2
87,1400000US11001001100,42.4,4428,43.5,56.5,5.7
88,1400000US11001001200,37.4,4856,44.9,55.1,5.8
89,1400000US11001001301,38.8,3747,45.8,54.2,7.2
90,1400000US11001001302,38.3,6294,41.0,59.0,5.9
91,1400000US11001001402,54.5,3925,58.1,41.9,14.1
92,1400000US11001001500,44.8,5649,47.2,52.8,11.2
93,1400000US11001001600,48.2,4030,46.4,53.6,72.4
94,1400000US11001001803,37.1,3066,46.2,53.8,70.0
95,1400000US11001001804,36.7,4156,45.7,54.3,72.1
96,1400000US11001001901,42.6,3949,43.9,56.1,90.8
97,1400000US11001002001,38.7,2435,48.3,51.7,62.0
98,1400000US11001002002,39.4,3781,47.1,52.9,73.7
99,1400000US11001002101,36.2,5233,47.9,52.1,81.0
100,1400000US11001002102,41.2,4631,45.2,54.8,89.9
101,1400000US11001002202,39.0,3013,43.7,56.3,89.7
102,1400000US11001002301,40.4,2995,44.6,55.4,88.1
103,1400000US11001002302,31.8,1345,43.3,56.7,63.0
104,1400000US11001002400,39.4,3580,48.5,51.5,82.8
105,1400000US11001002502,32.7,5486,50.4,49.6,56.3
106,1400000US11001002600,46.6,2184,45.5,54.5,61.5
107,1400000US11001002701,32.2,5742,50.7,49.3,30.3
108,1400000US11001002702,32.6,6052,54.5,45.5,20.1
109,1400000US11001002802,30.7,4700,53.1,46.9,32.4
110,1400000US11001003000,29.3,2829,48.9,51.1,68.2
111,1400000US11001003100,32.6,2755,49.1,50.9,66.8
112,1400000US11001003200,35.4,4480,47.7,52.3,82.1
113,1400000US11001003302,37.7,1830,49.3,50.7,91.5
114,1400000US11001003400,21.2,4249,44.1,55.9,91.9
115,1400000US11001003500,22.8,3498,44.4,55.6,83.9
116,1400000US11001003700,26.5,4990,47.7,52.3,56.9
117,1400000US11001003800,32.5,4718,54.1,45.9,32.0
118,1400000US11001003900,32.6,4643,50.4,49.6,19.7
119,1400000US11001004001,35.5,3474,50.4,49.6,5.2
120,1400000US11001004100,42.8,2570,48.2,51.8,3.8
121,1400000US11001004201,32.1,3392,57.0,43.0,14.2
122,1400000US11001004300,33.0,3290,53.6,46.4,39.0
123,1400000US11001004400,33.6,2589,54.0,46.0,58.8
124,1400000US11001004600,33.1,2997,49.5,50.5,90.5
125,,,,,,
126,1400000US11001004801,38.2,1876,53.6,46.4,77.2
127,1400000US11001004802,33.6,2853,46.0,54.0,76.1
128,1400000US11001004902,28.8,2286,53.2,46.8,60.1
129,,,,,,
130,,,,,,
131,1400000US11001005201,33.7,4559,58.8,41.2,23.2
132,1400000US11001005301,32.9,5045,54.4,45.6,7.1
133,1400000US11001005500,34.4,4696,50.1,49.9,8.2
134,1400000US11001005800,42.7,1470,52.2,47.8,13.8
135,1400000US11001005900,39.6,1856,53.5,46.5,82.0
136,1400000US11001006202,47.0,12,41.7,58.3,41.7
137,1400000US11001006500,34.1,2422,52.1,47.9,9.6
138,1400000US11001006600,35.0,1837,50.4,49.6,4.7
139,1400000US11001006700,37.1,3543,51.1,48.9,22.7
140,1400000US11001006802,39.5,2066,45.4,54.6,84.9
141,1400000US11001006804,31.9,2628,85.8,14.2,86.8
142,1400000US11001006900,41.1,1854,52.8,47.2,53.5
143,1400000US11001007000,33.3,2132,57.8,42.2,23.3
144,1400000US11001007200,36.2,1825,44.7,55.3,94.9
145,1400000US11001007301,23.7,5234,53.0,47.0,30.0
146,1400000US11001007304,25.4,4665,41.1,58.9,97.8
147,1400000US11001007401,20.8,2996,42.0,58.0,98.2
148,1400000US11001007404,18.9,3314,41.6,58.4,98.6
149,1400000US11001007406,19.0,3227,40.9,59.1,99.4
150,1400000US11001009301,41.0,3305,46.4,53.6,71.8
151,1400000US11001009400,45.1,4166,45.2,54.8,92.5
152,1400000US11001009501,25.4,5264,47.9,52.1,59.5
153,1400000US11001009503,46.3,3066,45.7,54.3,86.9
154,1400000US11001009505,47.5,2671,42.5,57.5,93.7
155,1400000US11001009507,44.8,1533,42.5,57.5,96.8
156,1400000US11001009508,46.2,2860,43.3,56.7,95.5
157,1400000US11001009601,28.1,2343,43.1,56.9,97.7
158,1400000US11001009801,21.4,2091,42.0,58.0,98.1
