OBJECTID,GEO.id,decma,dectp,decmpp,decfpp,decaapp
657,,,,,,
658,1400000US24031700204,39.4,1949,50.6,49.4,2.2
659,1400000US24031700205,35.8,5196,49.6,50.4,2.4
660,1400000US24031700206,35.2,5430,49.6,50.4,3.7
661,,,,,,
662,,,,,,
663,1400000US24031700306,31.5,6161,49.2,50.8,18.0
664,1400000US24031700813,37.4,5459,45.5,54.5,16.7
665,1400000US24031700816,31.5,7627,49.1,50.9,17.3
666,1400000US24031700817,32.3,4434,48.2,51.8,9.9
667,1400000US24031700818,29.1,5672,49.5,50.5,23.9
668,1400000US24031700819,31.8,6151,48.5,51.5,14.4
669,,,,,,
670,,,,,,
671,1400000US24033803300,32.4,4619,46.7,53.3,94.7
672,1400000US24033803401,33.1,1424,46.4,53.6,96.8
673,1400000US24033803402,31.0,4744,45.6,54.4,96.6
674,1400000US24033803508,25.6,5051,44.0,56.0,93.9
675,1400000US24033803509,25.5,3053,47.2,52.8,92.3
676,1400000US24033803513,34.5,4262,42.1,57.9,94.6
677,1400000US24033803514,33.4,2736,41.3,58.7,94.0
678,1400000US24033803516,34.1,3255,45.2,54.8,68.8
679,1400000US24033806711,33.5,4158,44.8,55.2,56.0
680,,,,,,
681,,,,,,
682,1400000US24033806800,37.9,3689,50.7,49.3,12.0
683,1400000US24033806900,35.0,3864,50.4,49.6,15.8
684,1400000US24033807000,29.9,4655,52.7,47.3,17.2
685,1400000US24033807102,34.5,2405,50.3,49.7,16.8
686,1400000US24033807200,20.1,11591,53.4,46.6,15.2
687,1400000US24033807301,28.8,3107,53.7,46.3,17.4
688,1400000US24033807305,32.7,3554,49.3,50.7,39.6
689,1400000US24033807404,34.3,4758,51.5,48.5,21.8
690,1400000US24033807407,35.9,4594,49.9,50.1,34.0
691,1400000US24033807408,37.8,5384,47.8,52.2,25.0
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,,,,,,
700,,,,,,
701,1400000US24033803601,37.3,3497,47.7,52.3,93.5
702,1400000US24033803602,33.8,1938,45.5,54.5,96.5
703,1400000US24033803605,36.3,6341,49.3,50.7,57.0
704,1400000US24033803606,37.1,4930,50.1,49.9,49.1
705,1400000US24033803608,35.8,5475,47.9,52.1,74.7
706,1400000US24033803610,36.7,3184,49.3,50.7,59.8
707,1400000US24033803612,30.9,3308,46.3,53.7,77.9
708,1400000US24033803700,35.3,2153,47.4,52.6,59.7
709,1400000US24033803801,35.6,2156,47.5,52.5,69.8
710,1400000US24033803803,31.8,5242,48.6,51.4,72.4
711,1400000US24033803900,27.8,3922,52.7,47.3,45.0
712,1400000US24033804002,33.0,3808,49.4,50.6,53.3
713,1400000US24033804101,32.1,3467,49.4,50.6,68.8
714,1400000US24033804102,31.4,5260,47.1,52.9,82.0
715,1400000US24033804200,40.1,3093,48.0,52.0,40.7
716,1400000US24033804300,29.9,3475,48.9,51.1,78.5
717,1400000US24033804600,33.4,2862,48.5,51.5,53.0
718,1400000US24033804700,34.6,3825,50.3,49.7,46.5
719,,,,,,
720,,,,,,
721,1400000US24033805000,32.9,5238,44.4,55.6,80.6
722,1400000US24033805101,30.1,3389,52.6,47.4,49.8
723,1400000US24033805201,31.7,3890,49.5,50.5,63.2
724,1400000US24033805202,32.5,3682,48.1,51.9,76.3
725,1400000US24033805500,30.8,4201,49.5,50.5,46.8
726,1400000US24033805602,26.1,5142,58.2,41.8,26.9
727,1400000US24033805700,30.1,5403,50.3,49.7,40.2
728,1400000US24033805801,33.7,3841,48.1,51.9,46.7
729,1400000US24033805802,32.0,3483,50.2,49.8,43.6
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,1400000US24033806000,33.4,4098,48.6,51.4,48.1
735,1400000US24033806100,37.9,4417,45.2,54.8,35.5
736,1400000US24033806300,33.1,1903,50.4,49.6,40.2
737,1400000US24033806400,40.2,3131,50.0,50.0,6.8
738,1400000US24033806501,28.3,4637,53.4,46.6,38.2
739,1400000US24033806601,28.1,4294,52.5,47.5,44.4
740,1400000US24033806706,41.3,3553,46.8,53.2,47.1
741,1400000US24033806708,36.0,4126,47.9,52.1,16.8
742,1400000US24033806710,34.9,4818,47.6,52.4,47.2
743,1400000US24033803607,38.3,2994,49.3,50.7,69.6
744,1400000US24031701417,29.8,4690,43.1,56.9,47.3
745,,,,,,
746,1400000US24033807405,39.7,4804,48.4,51.6,15.4
747,1400000US24031704502,44.5,2679,48.0,52.0,3.1
748,,,,,,
749,,,,,,
750,,,,,,
751,,,,,,
752,1400000US24031700902,35.0,3686,48.7,51.3,25.0
753,1400000US24031700903,32.3,1852,47.9,52.1,22.2
754,1400000US24031700904,36.8,1772,45.7,54.3,7.2
755,1400000US24031700905,34.9,3944,48.7,51.3,3.4
756,1400000US24031701001,39.0,5397,47.7,52.3,6.8
757,1400000US24031701004,38.5,4986,48.7,51.3,9.2
758,1400000US24031701005,40.1,2692,46.6,53.4,5.0
759,,,,,,
760,,,,,,
761,1400000US24031701101,38.8,4333,49.5,50.5,6.4
762,1400000US24031701201,36.5,5889,48.4,51.6,5.9
763,1400000US24031701202,42.9,2610,47.2,52.8,1.1
764,1400000US24031701205,45.2,5587,48.5,51.5,1.5
765,1400000US24031701206,43.4,6326,48.8,51.2,2.6
766,1400000US24031701211,35.5,3720,49.0,51.0,11.4
767,1400000US24031701212,41.4,2801,50.7,49.3,5.9
768,1400000US24031701213,42.2,5030,44.4,55.6,2.8
769,1400000US24031701214,34.8,1823,44.5,55.5,2.6
770,,,,,,
771,,,,,,
772,,,,,,
773,,,,,,
774,,,,,,
775,1400000US24031701303,46.1,3758,49.1,50.9,4.6
776,1400000US24031701306,38.9,2958,49.2,50.8,5.4
777,1400000US24031701307,38.8,2667,48.4,51.6,8.5
778,1400000US24031701308,42.2,2379,48.8,51.2,11.5
779,1400000US24031701312,37.4,6192,48.1,51.9,7.8
780,,,,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,1400000US24031701408,41.0,5456,49.8,50.2,13.0
785,1400000US24031701410,33.4,6780,47.1,52.9,33.1
786,1400000US24031701414,36.8,7197,46.6,53.4,32.0
787,1400000US24031701415,39.4,7588,48.0,52.0,31.7
788,,,,,,
789,,,,,,
790,,,,,,
791,,,,,,
792,1400000US24031701503,42.0,6378,48.1,51.9,21.2
793,1400000US24031701505,35.9,6483,46.6,53.4,37.6
794,1400000US24031701506,42.7,4914,48.2,51.8,17.5
795,1400000US24031701507,43.4,5204,48.4,51.6,18.3
796,,,,,,
797,,,,,,
798,1400000US24031701701,37.2,3630,46.6,53.4,24.0
799,1400000US24031701702,29.8,2680,47.5,52.5,37.9
800,1400000US24031701703,35.2,3395,49.4,50.6,36.8
801,1400000US24031701704,37.7,2702,47.0,53.0,35.1
802,1400000US24031701800,37.2,4850,46.0,54.0,36.3
803,1400000US24031702000,29.8,5275,51.0,49.0,25.8
804,1400000US24031702101,32.7,5438,48.8,51.2,40.9
805,1400000US24031701407,41.0,5627,49.5,50.5,19.1
806,1400000US24031702200,37.0,4157,48.4,51.6,14.8
807,1400000US24031702301,31.3,3783,49.2,50.8,33.9
808,1400000US24031702302,35.4,4099,47.3,52.7,24.5
809,1400000US24031702401,38.7,2543,49.4,50.6,17.0
810,1400000US24031702402,34.5,4582,47.9,52.1,38.2
811,1400000US24031702601,34.2,4242,44.1,55.9,48.7
812,1400000US24031702602,30.5,4558,45.6,54.4,37.0
813,1400000US24031702700,34.2,6607,48.8,51.2,27.3
814,1400000US24031702800,37.5,4545,45.6,54.4,29.1
815,1400000US24031702900,42.5,5088,47.5,52.5,17.1
816,1400000US24031703000,38.0,1682,49.5,50.5,11.5
817,1400000US24031703100,36.9,4350,48.9,51.1,12.6
818,1400000US24031703202,44.4,5280,47.4,52.6,6.1
819,1400000US24031703206,41.3,3513,49.7,50.3,15.0
820,1400000US24031703207,31.9,5309,49.5,50.5,27.2
821,1400000US24031703208,44.3,5181,48.8,51.2,15.8
822,1400000US24031703210,39.8,3092,48.0,52.0,19.7
823,1400000US24031703212,38.2,7548,47.7,52.3,27.2
824,1400000US24031703213,30.2,5463,45.8,54.2,40.8
825,1400000US24031703214,30.6,6699,47.6,52.4,35.9
826,1400000US24031703215,35.5,2997,46.7,53.3,31.9
827,,,,,,
828,,,,,,
829,,,,,,
830,,,,,,
831,1400000US24031703302,37.0,3689,50.7,49.3,10.6
832,1400000US24031703401,37.6,4764,49.5,50.5,11.4
833,1400000US24031703403,35.1,3290,48.2,51.8,12.9
834,1400000US24031703404,32.0,2904,50.7,49.3,22.3
835,1400000US24031703501,32.8,6192,49.1,50.9,18.7
836,1400000US24031703502,41.3,2942,48.1,51.9,15.1
837,1400000US24031703601,39.1,4236,46.8,53.2,12.7
838,1400000US24031703701,34.3,3609,49.5,50.5,15.1
839,1400000US24031703702,35.2,3715,50.3,49.7,14.0
840,1400000US24031703800,34.0,2070,52.2,47.8,17.6
841,1400000US24031703901,39.5,2838,47.1,52.9,15.3
842,1400000US24031704000,37.7,6059,46.3,53.7,19.4
843,1400000US24031704100,44.8,4553,46.6,53.4,3.3
844,1400000US24031704200,41.7,1873,46.9,53.1,2.5
845,1400000US24031704300,39.5,3390,47.9,52.1,0.8
846,1400000US24031704401,41.7,3059,48.4,51.6,6.1
847,,,,,,
848,1400000US24031704501,41.9,3464,47.8,52.2,4.4
849,1400000US24031704503,38.3,3491,48.1,51.9,2.8
850,1400000US24031704600,39.4,4987,45.6,54.4,1.9
851,1400000US24031704700,40.9,3792,48.5,51.5,1.2
852,,,,,,
853,,,,,,
854,,,,,,
855,1400000US24031705000,38.5,4616,48.4,51.6,4.7
856,1400000US24031705100,45.4,5000,45.9,54.1,3.9
857,1400000US24031705200,45.2,3138,47.9,52.1,3.3
858,1400000US24031705400,43.1,2726,46.3,53.7,0.9
859,,,,,,
860,,,,,,
861,1400000US24031705702,47.6,4560,46.1,53.9,0.9
862,1400000US24031705800,43.2,5778,49.0,51.0,2.3
863,1400000US24031705902,45.4,4137,46.7,53.3,2.8
864,1400000US24031705903,44.8,4284,47.9,52.1,1.8
865,1400000US24031706005,46.4,4445,48.5,51.5,3.4
866,1400000US24031706007,43.7,7190,47.6,52.4,2.9
867,1400000US24031706008,43.0,5355,48.7,51.3,2.4
868,1400000US24031706009,42.3,5607,49.0,51.0,3.5
869,,,,,,
870,,,,,,
871,,,,,,
872,1400000US24033800102,37.7,2714,46.9,53.1,19.4
873,1400000US24033800103,32.5,1898,54.2,45.8,29.5
874,1400000US24033800105,34.3,3111,45.8,54.2,38.2
875,,,,,,
876,,,,,,
877,1400000US24033800203,41.8,4083,49.3,50.7,9.3
878,1400000US24033800206,31.3,3797,47.5,52.5,59.5
879,1400000US24033800208,35.3,6120,49.1,50.9,39.4
880,1400000US24033800210,28.8,2919,46.8,53.2,60.4
881,1400000US24033800211,31.9,2881,46.4,53.6,46.4
882,,,,,,
883,,,,,,
884,,,,,,
885,1400000US24033800401,38.1,2493,48.6,51.4,11.2
886,1400000US24033800402,39.6,5161,48.8,51.2,8.4
887,1400000US24033800403,40.8,2715,48.0,52.0,8.7
888,1400000US24033800409,36.4,6327,48.2,51.8,33.7
889,,,,,,
890,,,,,,
891,,,,,,
892,1400000US24033800504,40.8,4763,47.5,52.5,8.9
893,1400000US24033800505,38.3,2856,50.1,49.9,6.6
894,1400000US24033800507,34.6,2155,49.9,50.1,40.8
895,1400000US24033800509,38.3,6196,47.6,52.4,89.9
896,1400000US24033800511,34.9,5310,47.9,52.1,36.9
897,,,,,,
898,,,,,,
899,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,1400000US24033800601,38.2,2111,47.8,52.2,82.4
904,1400000US24033800604,33.7,1745,47.6,52.4,86.4
905,1400000US24033800605,33.1,4544,58.8,41.2,75.9
906,1400000US24033800606,32.8,4041,44.2,55.8,68.7
907,,,,,,
908,,,,,,
909,1400000US24033800701,36.8,4642,47.9,52.1,79.6
910,,,,,,
911,,,,,,
912,,,,,,
913,1400000US24033800800,40.7,3309,51.4,48.6,24.2
914,1400000US24033800900,39.2,1628,48.9,51.1,36.9
915,,,,,,
916,,,,,,
917,1400000US24033801104,24.5,7925,54.5,45.5,22.8
918,1400000US24033801207,36.2,4465,46.4,53.6,68.5
919,,,,,,
920,,,,,,
921,,,,,,
922,,,,,,
923,,,,,,
924,,,,,,
925,,,,,,
926,,,,,,
927,1400000US24033801302,39.3,2513,49.6,50.4,30.4
928,1400000US24033801305,38.8,4900,48.1,51.9,80.2
929,1400000US24033801307,45.7,3431,47.9,52.1,70.9
930,1400000US24033801309,44.6,3239,48.5,51.5,55.2
931,,,,,,
932,,,,,,
933,,,,,,
934,1400000US24033801404,38.3,4635,46.8,53.2,67.3
935,1400000US24033801405,36.6,4046,46.9,53.1,64.4
936,1400000US24033801406,32.4,3140,44.4,55.6,87.0
937,1400000US24033801407,36.4,6232,47.6,52.4,84.6
938,,,,,,
939,,,,,,
940,,,,,,
941,1400000US24033801500,38.5,2620,46.9,53.1,79.8
942,1400000US24033801600,29.9,2961,45.5,54.5,95.8
943,1400000US24033801701,31.1,4533,45.4,54.6,82.9
944,1400000US24033801704,31.0,4948,45.9,54.1,94.9
945,1400000US24033801706,31.8,1938,45.3,54.7,88.3
946,1400000US24033801707,29.0,6326,45.6,54.4,92.6
947,1400000US24033801708,30.9,3746,47.0,53.0,89.7
948,1400000US24033801802,33.5,4133,44.6,55.4,91.8
949,1400000US24033801804,42.5,2122,45.8,54.2,91.1
950,1400000US24033801807,35.4,4717,45.9,54.1,96.0
951,1400000US24033801808,33.5,3686,44.1,55.9,92.4
952,1400000US24033801901,42.5,4706,48.9,51.1,72.3
953,1400000US24033801904,33.7,3355,49.9,50.1,72.8
954,1400000US24033801905,39.2,3425,46.7,53.3,75.9
955,1400000US24033801906,32.0,2379,46.7,53.3,68.1
956,,,,,,
957,1400000US24033802001,28.1,5595,45.0,55.0,91.9
958,1400000US24033802002,33.2,3936,45.8,54.2,88.0
959,1400000US24033802103,35.8,2970,46.0,54.0,79.9
960,,,,,,
961,,,,,,
962,1400000US24033802201,36.9,2096,46.9,53.1,68.8
963,1400000US24033802204,36.7,5524,45.1,54.9,90.7
964,1400000US24033802301,37.4,3729,47.9,52.1,83.1
965,1400000US24033802404,27.3,4524,42.3,57.7,95.2
966,1400000US24033802405,32.5,4285,43.8,56.2,95.4
967,,,,,,
968,,,,,,
969,1400000US24033802501,32.2,3541,45.6,54.4,94.1
970,1400000US24033802502,30.9,3015,47.7,52.3,94.5
971,1400000US24033802700,36.5,2669,48.5,51.5,91.0
972,1400000US24033802803,31.0,4823,44.3,55.7,94.9
973,1400000US24033802804,31.8,6155,45.0,55.0,96.4
974,1400000US24033802805,35.0,4801,46.8,53.2,96.9
975,1400000US24033802901,34.3,4250,45.9,54.1,96.2
