GEO_ID,GEO_ID_1,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC,AREA,PERCENTAGE
1400000US11001004801,1400000US11001004901,34.4,78.5,0.185430464,0.437086093,0.198435277,27,8.9,42.4,0,454.223,24805.55,0.353184878,0.154324184,0.198860694,0.292654028,0.707345972,0.009478673,0.120853081,1.92448654237e-07,0.578637139409
1400000US11001004802,1400000US11001004600,33.1,90.5,0.111111111,0.252525253,0.305335446,18.9,12.5,43.5,0.021176471,723.877,43382.88,0.241610738,0.118456376,0.123154362,0.46253469,0.53746531,0.039777983,0.129509713,2.90425671385e-07,0.970587065328
1400000US11001004802,1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126,2.55348265315e-08,0.0853360249754
1400000US11001004802,1400000US11001004801,38.2,77.2,0,0.358208955,0.224099927,15.5,6.4,43.5,0,726.495,31923.89,0.299387869,0.157484697,0.141903172,0.381578947,0.618421053,0.023923445,0.046650718,7.99177451438e-07,2.67080831239
1400000US11001004802,1400000US11001004802,33.6,76.1,0.145962733,0.406832298,0.312465678,12.4,7.8,40.6,0,692.461,36074.73,0.210290055,0.103936464,0.106353591,0.16057774,0.83942226,0.033135089,0.212404418,2.87720952512e-05,96.154803947
1400000US11001004802,1400000US11001004901,34.4,78.5,0.185430464,0.437086093,0.198435277,27,8.9,42.4,0,454.223,24805.55,0.353184878,0.154324184,0.198860694,0.292654028,0.707345972,0.009478673,0.120853081,9.71033255901e-10,0.00324514122214
1400000US11001004802,1400000US11001004902,28.8,60.1,0.109489051,0.433090024,0.222482436,23.1,4.3,27.6,0,763.147,40116.92,0.186265709,0.103231598,0.083034111,0.100798403,0.899201597,0.0,0.105788423,3.44788485261e-08,0.115226468264
1400000US11001004901,1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783,3.99276942293e-07,1.41403277598
1400000US11001004901,1400000US11001004901,34.4,78.5,0.185430464,0.437086093,0.198435277,27,8.9,42.4,0,454.223,24805.55,0.353184878,0.154324184,0.198860694,0.292654028,0.707345972,0.009478673,0.120853081,2.77961183309e-05,98.4394995093
1400000US11001004901,1400000US11001005000,33.1,37,0.260377358,0.395283019,0.159630607,36.5,5.4,28,0.030651341,797.181,43533.41,0.273417023,0.163194923,0.1102221,0.229385722,0.770614278,0.008577753,0.022966242,4.13559634412e-08,0.146461469706
1400000US11001004902,1400000US11001004802,33.6,76.1,0.145962733,0.406832298,0.312465678,12.4,7.8,40.6,0,692.461,36074.73,0.210290055,0.103936464,0.106353591,0.16057774,0.83942226,0.033135089,0.212404418,1.30666555759e-07,0.476812291195
1400000US11001004902,1400000US11001004901,34.4,78.5,0.185430464,0.437086093,0.198435277,27,8.9,42.4,0,454.223,24805.55,0.353184878,0.154324184,0.198860694,0.292654028,0.707345972,0.009478673,0.120853081,6.76644966531e-07,2.46912941834
1400000US11001004902,1400000US11001004902,28.8,60.1,0.109489051,0.433090024,0.222482436,23.1,4.3,27.6,0,763.147,40116.92,0.186265709,0.103231598,0.083034111,0.100798403,0.899201597,0.0,0.105788423,2.65507010707e-05,96.88554609
1400000US11001004902,1400000US11001005000,33.1,37,0.260377358,0.395283019,0.159630607,36.5,5.4,28,0.030651341,797.181,43533.41,0.273417023,0.163194923,0.1102221,0.229385722,0.770614278,0.008577753,0.022966242,4.61783579811e-08,0.168508372665
