GEO_ID,dem,edu,emp,Gen,hou,pov,ten
1400000US11001006900,-0.806916824,-0.940382947,-0.450676576,0.005095766,-0.013847895,-0.487839142,-1.043763367
1400000US11001007000,-0.579002107,-1.596463851,-1.536755258,-0.749405226,-0.453531205,-1.155891011,-0.761075607
1400000US11001007100,0.981777771,1.400995784,0.697821762,1.308585034,1.383159313,2.398472519,0.683386272
1400000US11001007200,0.520224705,1.651097123,1.959171204,-0.021216413,1.559958417,4.695804714,2.50329837
1400000US11001007301,0.523739488,-0.438657849,-1.39445952,-0.82217488,-0.981941646,-1.87954986,2.292654249
1400000US11001007304,1.711493892,1.986422173,1.188620982,1.749909805,0.58620993,2.523117796,1.220800565
1400000US11001007401,2.112994131,2.484067927,1.617175739,1.630863726,1.127560078,4.144386449,2.170689218
1400000US11001007403,1.663037099,1.982768682,0.202155148,0.657963899,0.401979102,0.92913925,1.754757533
1400000US11001007404,2.335724871,2.143796913,2.512148428,1.709401529,1.116281469,4.711993659,2.067494674
1400000US11001007406,2.259514726,2.567986208,1.607170206,1.725171565,0.571853243,3.376305172,2.112703539
1400000US11001007407,1.31390153,2.184032028,0.540036212,0.859036704,0.244435429,0.739351787,0.52464754
1400000US11001007408,1.869112393,2.192588795,0.941840711,1.222790386,0.616022275,3.12260586,1.70732593
1400000US11001007409,1.751892011,2.157756082,1.118680784,1.747776971,0.586323836,2.507404769,1.587803096
1400000US11001007502,1.416547825,1.793175259,1.042641759,1.51427593,0.552054034,2.791158369,1.604211516
1400000US11001007503,1.484650847,2.059683246,0.941021235,1.334868776,0.541122587,1.981839973,0.657840649
1400000US11001007504,1.381286168,2.436140841,0.72018031,3.038222183,0.560881653,1.912349713,1.25730313
1400000US11001007601,0.469222213,1.463427571,0.742662113,1.339488772,0.461206146,0.181799007,-0.168463039
1400000US11001007603,0.114965521,0.277782859,-0.112258993,0.399911149,0.156218924,-0.328679061,-0.447927808
1400000US11001007604,0.197431563,0.598548884,-0.354818388,-0.048977427,0.281299141,-0.585541403,0.271134515
1400000US11001007605,0.548967592,1.144110291,-0.257965325,-0.01228474,0.197856214,-0.237963459,1.098348426
1400000US11001007703,1.25466009,1.889408378,0.521143248,1.298767801,0.401569288,1.381225475,1.286888469
1400000US11001007707,0.536776843,1.420962921,0.403972719,1.045797153,0.261096399,0.074263184,-1.069693946
1400000US11001007708,0.951033224,2.021738764,0.025514283,1.07894521,0.287285936,0.557111324,1.44918995
1400000US11001007709,0.366726824,1.394991994,-0.135180952,0.072495398,-0.288195571,-0.452254781,0.516629689
1400000US11001007803,0.293443041,1.189912421,0.623812539,0.816147584,0.5759005,0.679273979,-0.428193571
1400000US11001007804,0.626052276,0.843615034,1.309750924,1.338786683,1.080846207,2.291819999,-0.066213906
1400000US11001007806,0.395094104,1.41002804,0.831053635,-0.159353238,0.474548198,-0.155276167,-0.399705645
1400000US11001007807,0.569404804,1.780111514,0.39344254,1.678981055,0.407449507,-0.371441812,-0.167678561
1400000US11001007808,1.115104107,1.615831369,1.239525786,1.193090791,0.821075584,1.778363315,0.155531043
1400000US11001007809,0.392845672,1.82373178,0.959151722,1.086288934,0.425076322,0.387999205,-1.079607944
1400000US11001007901,0.716588765,1.775558406,0.754372648,1.879366165,0.665021305,1.347455945,0.396723197
1400000US11001007903,0.160585269,1.538038911,0.733670724,0.090192496,0.647565906,-0.149127363,-1.105244421
1400000US11001008001,0.104606287,1.011701667,0.019784761,0.635972057,-0.012722494,-0.305603692,-1.752953834
1400000US11001008002,-0.008891958,-0.613376981,-0.747274447,-0.675715145,-0.436385108,-0.96879974,-0.267211124
1400000US11001008100,-0.58370865,-2.228444983,-1.017124436,-1.461117082,-0.364170269,-1.879977383,-0.633126409
1400000US11001008200,-0.928490005,-3.528910012,-1.912207884,-1.249546721,-0.672942713,-2.099609402,0.119484594
1400000US11001008301,-0.502822966,-2.299348045,-1.629776993,-0.015939654,-0.442912139,-1.631956842,-0.750459009
1400000US11001008302,-0.46704398,-1.8051454,-0.958863666,-1.179578872,-0.650117315,-2.107307068,-1.026852169
1400000US11001008402,-0.068023278,-0.760810503,0.2220133,-0.265986789,0.465040059,0.463507069,0.399915418
1400000US11001008410,0.436185694,1.275766722,0.959148882,0.399843401,-0.036942908,-0.175574496,-1.855115239
1400000US11001008701,0.35982249,1.025952793,0.446440642,1.053040689,0.295981221,-0.161020083,-1.264508794
1400000US11001008702,0.375120195,1.477257682,0.644291014,0.689899523,0.413029603,0.714302883,0.337278903
1400000US11001008802,0.274518775,1.372632568,1.057901612,0.803127513,0.647205518,0.994174918,-0.372604187
1400000US11001008803,1.04810273,0.636928941,1.720416991,1.070295571,0.507192217,2.768698551,1.828498359
1400000US11001008804,0.563403582,1.842378893,0.166513776,0.803982696,0.488947763,1.060803712,1.221034941
1400000US11001008903,0.456014338,1.275309731,0.457302966,1.535645288,0.586736397,0.379821203,0.657691156
1400000US11001008904,0.710704998,2.149487391,0.559058526,0.197342845,0.650457022,1.758474931,1.663861161
1400000US11001009000,-1.214663178,1.182014101,0.89464535,-0.424935772,1.326165737,0.60177277,0.711549001
1400000US11001009102,0.779963419,1.759298578,0.600027788,0.286473917,0.811034498,0.956661072,0.144985326
1400000US11001009201,0.092294291,-0.01591892,0.164514962,2.249362992,0.20130943,0.403560692,0.209932998
1400000US11001009203,0.331091892,1.083375492,0.066651428,0.234531044,0.44144326,0.552876614,-0.425358166
1400000US11001009204,0.70108115,1.251721127,0.643484407,0.174992166,0.475300272,1.018869986,1.650783163
1400000US11001009301,-0.440674663,-0.299571882,0.15615201,0.613322374,-0.236606826,-0.878547153,-2.30887767
1400000US11001009302,-0.001049637,1.788046396,0.120007367,0.108741482,0.495460599,-0.921437907,-1.791210084
1400000US11001009400,-0.464511974,0.012901945,0.204100156,0.61631533,-0.049556005,-1.590270606,-2.463998765
1400000US11001009501,0.827875939,-0.094099091,1.098615064,-0.479396535,0.12273261,-0.403778863,1.30094384
1400000US11001009503,-0.698591219,0.162819779,0.092929076,-0.091407759,-1.126315141,-1.782095307,-3.194915434
1400000US11001009504,-0.43030918,-0.250757956,0.307213894,0.859128914,0.191973444,-0.902318676,-0.961457036
1400000US11001009505,-0.684818972,0.639491022,0.180474799,0.090454171,0.255716434,-1.609728175,-2.554039785
1400000US11001009507,-0.410061139,0.049347976,0.227083568,-0.650758852,0.134771463,-0.974840755,-2.350670556
1400000US11001009508,-0.522590241,0.334321677,0.001246759,0.083132568,0.231661468,-1.585787574,-1.214582826
1400000US11001009509,-0.617263012,0.287309961,-0.031627279,0.281770833,-0.466801801,-1.807600344,-3.068535632
1400000US11001009601,1.412875213,1.279236111,0.855637378,1.729936092,0.754688444,0.867504196,-0.048150903
1400000US11001009602,1.425067941,1.686328516,0.330507397,1.184136138,0.316351052,1.477483041,1.986511413
1400000US11001009603,-0.049030755,1.483479489,0.578242489,-0.098132335,0.214088648,0.090834044,0.689983121
1400000US11001009604,-0.295982498,1.441913816,0.582167781,0.938267532,0.406655667,-0.379469386,-1.662094556
1400000US11001009700,1.422662642,1.943707802,0.305721508,1.807891318,0.458584503,0.185005051,0.052176535
1400000US11001009801,2.066828708,2.323472467,1.223120388,2.566523553,0.986329231,3.011971605,1.462408033
1400000US11001009802,1.828372382,2.003734419,1.525469661,1.989428603,0.966126544,2.31093714,0.844579696
1400000US11001009803,0.921366378,1.653066378,0.714599429,0.829098032,0.309789412,1.636231876,1.303148436
1400000US11001009804,1.532466144,1.471440824,0.738750819,2.631941596,0.491390987,1.558713305,0.623639093
1400000US11001009807,0.706016504,1.845047864,0.341070389,0.35733055,0.501390686,-0.00392185,0.015931683
1400000US11001009810,1.447059397,1.744092917,0.911791792,1.086865807,0.559830213,2.176026278,1.63637132
1400000US11001009811,1.519175888,1.728431924,0.969954359,1.160875076,0.57164939,2.398866833,1.77584131
1400000US11001009901,-0.920788352,0.11391575,0.133841007,0.278129004,-0.010150874,-1.828468821,-2.773849084
1400000US11001009902,-0.116242672,1.242243237,0.657559417,0.783247861,0.186742302,-0.878429733,-2.147571661
1400000US11001009903,0.503161823,1.272428808,1.124081164,0.565609835,1.281184176,2.594078645,0.04718723
1400000US11001009904,1.124472593,2.226867741,0.2351723,0.173611485,0.513285246,1.187619285,1.883690055
1400000US11001009905,1.006456984,2.180377383,0.659202117,1.534286136,0.512237034,1.593061458,0.376330455
1400000US11001009906,0.499746948,1.992654432,1.304960792,1.155359384,0.45707768,1.406573209,0.906712784
1400000US11001009907,1.732347402,2.390032789,1.283200647,2.992275877,0.940600518,2.501317374,0.600139789
1400000US11001010100,-1.000339069,-1.956226348,-0.614927098,-1.483808702,-0.165364607,-0.625804326,1.954461985
1400000US11001010200,-1.965399445,-2.783592086,-1.19810494,-1.454417732,1.102643895,-1.304064346,-1.613028662
1400000US11001010300,-0.013746651,-1.019431676,-1.447818001,-0.949281171,-0.342728787,-1.219757023,0.820813236
1400000US11001010400,-0.148484137,0.822768311,1.73590555,-0.476272662,1.201219791,3.900779475,-0.054497071
1400000US11001010500,0.229057764,-1.111268449,-0.283271384,-0.365463554,0.317931222,0.222078116,1.658856429
1400000US11001010600,0.00905646,0.435867912,1.380723367,1.607704994,0.075907995,0.568346762,-0.910583114
1400000US11001010700,-1.374863748,-2.573427471,-1.930533122,-1.56631616,0.041123512,-1.38833087,0.17743023
1400000US11001010800,1.051622324,-1.460932153,1.110200594,-1.568930715,0.489395634,1.939867446,1.138886678
1400000US11001010900,2.048688461,0.936511804,4.557623537,-1.339301273,1.830453121,7.308469125,-0.273024625
1400000US11001011000,-1.052800309,-1.828099756,-1.15470227,-1.211594823,1.174022858,-1.776934803,1.216306541
1400000US11001011100,-0.921546458,0.125216742,-1.082555363,-0.351767731,0.9804111,-0.943286773,-1.191382479
