GEO_ID,ten_1,ten_2
1400000US11001003600,0.983707056,-1.56E-11
1400000US11001003700,2.254935627,-3.97E-12
1400000US11001003800,1.179371796,-1.38E-11
1400000US11001003900,1.50093538,-1.09E-11
1400000US11001004001,0.804912482,-1.72E-11
1400000US11001004002,0.76809572,-1.76E-11
1400000US11001004100,0.045360609,-2.42E-11
1400000US11001004201,0.981705116,-1.56E-11
1400000US11001004202,0.482530624,-2.02E-11
1400000US11001004300,1.430350313,-1.15E-11
1400000US11001004400,0.772106053,-1.75E-11
1400000US11001004600,-0.007614241,-2.47E-11
1400000US11001004701,0.924792104,-1.61E-11
1400000US11001004702,0.95919484,-1.58E-11
1400000US11001004801,0.213568587,-2.26E-11
1400000US11001004802,1.500023845,-1.09E-11
1400000US11001004901,0.743995715,-1.78E-11
1400000US11001004902,1.944075481,-6.82E-12
1400000US11001005001,0.743995715,-1.78E-11
1400000US11001005002,2.224220426,-4.25E-12
1400000US11001005201,1.496222204,-1.09E-11
1400000US11001005301,0.784242309,-1.74E-11
1400000US11001005500,0.139213209,-2.33E-11
1400000US11001005600,0.04173542,-2.42E-11
1400000US11001005800,2.747836929,5.35E-13
1400000US11001005900,1.836172378,-7.80E-12
1400000US11001006202,0.767365566,-2.21E-11
1400000US11001006400,2.59593434,-8.55E-13
1400000US11001006500,0.79179785,-1.74E-11
1400000US11001006600,-0.793785305,-3.19E-11
1400000US11001006700,-0.966044322,-3.34E-11
1400000US11001006801,-0.183976053,-2.63E-11
1400000US11001006802,-0.180525858,-2.62E-11
1400000US11001006804,-0.416814149,-2.84E-11
1400000US11001006900,-0.922922047,-3.30E-11
1400000US11001007000,-0.041519911,-2.50E-11
1400000US11001007100,0.451773323,-2.05E-11
1400000US11001007200,1.745276667,-8.64E-12
1400000US11001007301,2.374974688,-2.88E-12
1400000US11001007304,1.581492804,-1.01E-11
1400000US11001007401,2.162513642,-4.82E-12
1400000US11001007403,2.406175893,-2.59E-12
1400000US11001007404,2.203307061,-4.45E-12
1400000US11001007406,2.543616493,-1.33E-12
1400000US11001007407,2.512791564,-1.62E-12
1400000US11001007408,2.11224661,-5.28E-12
1400000US11001007409,2.180666748,-4.65E-12
1400000US11001007502,2.047849278,-5.87E-12
1400000US11001007503,1.281771486,-1.29E-11
1400000US11001007504,1.593560798,-1.00E-11
1400000US11001007601,0.930145088,-1.61E-11
1400000US11001007603,0.638848794,-1.88E-11
1400000US11001007604,-0.022283417,-2.48E-11
1400000US11001007605,1.171187683,-1.39E-11
1400000US11001007703,0.484020151,-2.02E-11
1400000US11001007707,-0.15175489,-2.60E-11
1400000US11001007708,0.482929131,-2.02E-11
1400000US11001007709,-0.073095799,-2.53E-11
1400000US11001007803,0.097773468,-2.37E-11
1400000US11001007804,-0.42229556,-2.85E-11
1400000US11001007806,-0.798151171,-3.19E-11
1400000US11001007807,-0.233656163,-2.67E-11
1400000US11001007808,-0.052597127,-2.51E-11
1400000US11001007809,-0.666276748,-3.07E-11
1400000US11001007901,0.124685602,-2.35E-11
1400000US11001007903,0.317055987,-2.17E-11
1400000US11001008001,-0.634094427,-3.04E-11
1400000US11001008002,-0.747201793,-3.14E-11
1400000US11001008100,-1.010628201,-3.38E-11
1400000US11001008200,-0.852625766,-3.24E-11
1400000US11001008301,-1.071497908,-3.44E-11
1400000US11001008302,-1.295752591,-3.65E-11
1400000US11001008402,-0.955806576,-3.33E-11
1400000US11001008410,-0.395814083,-2.82E-11
1400000US11001008701,-1.065914268,-3.43E-11
1400000US11001008702,0.358616024,-2.13E-11
1400000US11001008802,1.062549576,-1.49E-11
1400000US11001008803,0.234476282,-2.25E-11
1400000US11001008804,-0.173291352,-2.62E-11
1400000US11001008903,0.693671812,-1.83E-11
1400000US11001008904,0.356702079,-2.13E-11
1400000US11001009000,-0.637330002,-3.04E-11
1400000US11001009102,-1.384889414,-3.73E-11
1400000US11001009201,-0.200528904,-2.64E-11
1400000US11001009203,0.349466956,-2.14E-11
1400000US11001009204,0.052087133,-2.41E-11
1400000US11001009301,-2.127024374,-4.41E-11
1400000US11001009302,-1.944216329,-4.24E-11
1400000US11001009400,-3.607022927,-5.76E-11
1400000US11001009501,-0.727902854,-3.13E-11
1400000US11001009503,-3.336167712,-5.51E-11
1400000US11001009504,-2.360486607,-4.62E-11
1400000US11001009505,-3.006960426,-5.21E-11
1400000US11001009507,-2.948007169,-5.16E-11
1400000US11001009508,-3.286622329,-5.47E-11
1400000US11001009509,-2.226925192,-4.50E-11
1400000US11001009601,0.791408697,-1.74E-11
1400000US11001009602,0.075559569,-2.39E-11
1400000US11001009603,0.303866501,-2.18E-11
1400000US11001009604,0.820355099,-1.71E-11
1400000US11001009700,1.395273574,-1.18E-11
1400000US11001009801,1.416864265,-1.16E-11
1400000US11001009802,1.450142963,-1.13E-11
1400000US11001009803,1.285641098,-1.28E-11
1400000US11001009804,1.308422853,-1.26E-11
1400000US11001009807,1.86551572,-7.54E-12
1400000US11001009810,1.842248723,-7.75E-12
1400000US11001009811,1.855029163,-7.63E-12
1400000US11001009901,-0.375719048,-2.80E-11
1400000US11001009902,-1.857251303,-4.16E-11
1400000US11001009903,0.660141021,-1.86E-11
1400000US11001009904,0.507287331,-2.00E-11
1400000US11001009905,0.391475031,-2.10E-11
1400000US11001009906,0.98541449,-1.56E-11
1400000US11001009907,-0.577359556,-2.99E-11
1400000US11001010100,1.759201178,-8.51E-12
1400000US11001010200,0.525165468,-1.98E-11
1400000US11001010300,-0.446918015,-2.87E-11
1400000US11001010400,1.804613574,-8.09E-12
1400000US11001010500,1.921134868,-7.03E-12
1400000US11001010600,-0.454618744,-2.88E-11
1400000US11001010700,1.075076323,-1.48E-11
1400000US11001010800,1.544555986,-1.05E-11
1400000US11001010900,2.146135272,-4.97E-12
1400000US11001011000,1.173541622,-1.39E-11
1400000US11001011100,0.158552043,-2.31E-11
