,GEO.id,HC01_VC32,HC01_VC23,HC02_VC23,sdsdsds89
494,1400000US24033803801,11.4,33.9,29.9,133
495,1400000US24033803803,16.0,33.3,31.5,499
496,1400000US24033803900,11.8,23.5,23.2,486
497,1400000US24033804001,15.4,33.7,31.1,425
498,1400000US24033804002,10.3,32.2,34.1,353
499,1400000US24033804101,30.0,24.4,27.1,304
500,1400000US24033804102,15.1,31.0,32.6,514
501,1400000US24033804200,47.4,16.6,19.1,187
502,1400000US24033804300,10.3,30.1,28.8,387
503,1400000US24033804400,9.7,30.7,32.2,203
504,1400000US24033804600,13.0,26.5,26.8,241
505,1400000US24033804700,20.6,26.7,30.2,420
506,1400000US24033804800,18.2,29.1,25.9,721
507,1400000US24033804900,18.2,32.9,34.1,332
508,1400000US24033805000,25.9,25.2,24.1,575
509,1400000US24033805101,13.9,28.5,28.1,337
510,1400000US24033805201,17.0,25.4,25.2,350
511,1400000US24033805202,21.8,28.2,25.9,422
512,1400000US24033805500,19.7,29.6,28.5,522
513,1400000US24033805601,8.8,10.7,9.5,998
514,1400000US24033805602,12.6,21.9,16.9,940
515,1400000US24033805700,16.8,25.5,23.5,733
516,1400000US24033805801,20.6,29.3,35.7,507
517,1400000US24033805802,19.8,25.4,25.3,436
518,1400000US24033805901,31.6,28.4,22.6,961
519,1400000US24033805904,28.7,27.0,27.5,325
520,1400000US24033805905,27.9,18.6,21.5,882
521,1400000US24033806000,19.4,36.2,32.6,424
522,1400000US24033806100,30.4,25.3,24.2,464
523,1400000US24033806200,33.0,27.8,30.9,336
524,1400000US24033806300,17.8,32.8,30.1,230
525,1400000US24033806400,72.4,10.3,8.8,241
526,1400000US24033806501,16.9,26.9,26.1,671
527,1400000US24033806601,13.4,28.6,27.5,547
528,1400000US24033806602,17.6,29.6,26.3,503
529,1400000US24033806703,33.2,21.8,20.2,1214
530,1400000US24033806706,37.8,23.8,24.3,317
531,1400000US24033806708,51.8,19.3,15.4,597
532,1400000US24033806710,53.3,18.0,19.4,478
533,1400000US24033806711,33.5,24.9,19.4,436
534,1400000US24033806712,36.9,23.6,25.4,255
535,1400000US24033806800,39.4,24.9,24.3,351
536,1400000US24033806900,25.8,32.1,32.6,368
537,1400000US24033807000,33.7,27.8,27.0,1212
538,1400000US24033807102,51.5,14.5,13.7,325
539,1400000US24033807200,52.6,15.9,12.8,10342
540,1400000US24033807301,56.1,16.8,16.2,830
541,1400000US24033807304,30.1,27.7,26.7,156
542,1400000US24033807305,41.4,18.5,20.1,390
543,1400000US24033807404,29.5,28.6,25.1,492
544,1400000US24033807405,38.6,23.2,23.7,367
545,1400000US24033807406,33.2,22.4,22.7,995
546,1400000US24033807407,46.5,23.0,18.9,429
547,1400000US24033807408,43.4,19.1,14.9,315
548,1400000US51013100100,70.4,12.1,8.5,198
549,1400000US51013100200,75.4,6.6,4.4,153
550,1400000US51013100300,79.9,6.6,4.1,701
551,1400000US51013100400,79.4,5.2,2.1,107
552,1400000US51013100500,78.2,6.0,5.2,153
553,1400000US51013100600,66.8,10.5,6.1,158
554,1400000US51013100700,60.5,11.9,10.8,451
555,1400000US51013100800,24.3,28.5,34.0,101
556,1400000US51013100900,60.8,10.2,7.5,198
557,1400000US51013101000,63.3,10.8,12.7,102
558,1400000US51013101100,71.7,9.6,6.9,264
559,1400000US51013101200,55.9,14.1,10.1,208
560,1400000US51013101300,63.0,12.3,10.3,404
561,1400000US51013101400,81.4,5.9,3.3,1086
562,1400000US51013101500,69.0,10.1,6.0,567
563,1400000US51013101600,76.9,6.9,5.2,783
564,1400000US51013101700,65.3,11.1,9.5,1537
565,1400000US51013101800,76.9,7.3,7.2,1090
566,1400000US51013101900,75.7,8.5,7.0,141
567,1400000US51013102000,42.3,13.0,12.4,1236
568,1400000US51013102100,53.5,12.0,11.6,174
569,1400000US51013102200,27.3,16.1,12.3,930
570,1400000US51013102300,45.0,18.2,15.9,485
571,1400000US51013102400,50.0,17.0,14.3,251
572,1400000US51013102500,47.6,17.5,16.5,441
573,1400000US51013102600,36.2,16.0,18.2,267
574,1400000US51013102700,18.3,23.9,21.8,901
575,1400000US51013102800,41.1,18.8,18.1,811
576,1400000US51013102900,73.5,7.9,7.6,639
577,1400000US51013103000,85.5,4.3,2.8,69
578,1400000US51013103100,22.6,23.9,24.6,424
579,1400000US51013103200,51.7,13.9,12.1,785
580,1400000US51013103300,25.6,25.8,39.1,125
581,1400000US51013103401,24.1,19.4,19.4,1296
582,1400000US51013103402,76.5,7.4,3.4,229
583,1400000US51013103500,68.9,6.9,4.7,938
584,1400000US51013103600,67.9,9.4,7.1,516
585,1400000US51013103700,78.0,6.8,6.5,83
586,1400000US51013103800,27.5,19.0,16.4,663
587,1400000US51059415100,53.7,15.4,14.9,155
588,1400000US51059415200,66.9,6.2,4.9,125
589,1400000US51059415300,35.6,24.8,21.2,243
590,1400000US51059415400,41.3,18.7,19.0,735
591,1400000US51059415500,47.1,14.5,13.7,273
592,1400000US51059415600,74.5,6.6,4.5,35
593,1400000US51059415700,67.6,11.1,3.1,129
594,1400000US51059415800,69.9,6.9,4.2,154
595,1400000US51059415900,62.1,12.9,10.6,104
596,1400000US51059416000,39.9,18.7,20.3,251
597,1400000US51059416100,66.1,10.1,6.7,115
598,1400000US51059416200,28.2,14.1,12.5,219
599,1400000US51059416300,48.7,17.7,13.5,100
600,1400000US51059420100,37.8,18.7,16.1,261
601,1400000US51059420200,59.7,15.5,12.1,438
602,1400000US51059420300,43.1,21.6,18.5,285
603,1400000US51059420400,55.6,11.8,10.3,410
604,1400000US51059420500,53.5,12.6,12.1,452
605,1400000US51059420600,38.7,18.6,17.3,467
606,1400000US51059420700,39.5,20.9,16.0,282
607,1400000US51059420800,38.0,27.6,29.5,194
608,1400000US51059421000,44.3,17.6,12.5,506
609,1400000US51059421100,59.2,12.1,10.5,662
610,1400000US51059421200,54.6,16.9,12.0,37
611,1400000US51059421300,56.0,14.0,10.0,212
612,1400000US51059421400,28.4,21.0,20.2,630
613,1400000US51059421500,12.4,29.3,25.6,647
614,1400000US51059421600,18.4,29.4,27.0,518
615,1400000US51059421700,25.3,28.2,28.4,682
616,1400000US51059421800,28.3,25.2,21.9,465
617,1400000US51059421900,12.7,25.3,25.2,476
618,1400000US51059422000,33.0,22.0,16.9,111
619,1400000US51059422100,30.0,23.4,25.0,841
620,1400000US51059422200,3.4,21.8,21.8,263
621,1400000US51059422300,53.8,15.5,13.4,412
622,1400000US51059422400,63.5,10.1,5.9,605
623,1400000US51059430100,62.9,11.3,7.6,453
624,1400000US51059430200,60.0,11.9,8.9,973
625,1400000US51059430400,49.3,20.2,19.5,390
626,1400000US51059430500,50.6,14.7,10.8,81
627,1400000US51059430600,24.2,21.1,18.8,690
628,1400000US51059430700,39.2,21.7,13.4,155
629,1400000US51059430800,53.7,15.0,12.9,550
630,1400000US51059430900,52.8,15.7,15.2,578
631,1400000US51059431000,51.6,15.9,12.8,582
632,1400000US51059431300,60.7,15.4,9.6,311
633,1400000US51059431400,56.5,10.5,6.7,284
634,1400000US51059431500,66.0,7.8,3.8,215
635,1400000US51059431600,36.6,21.5,18.5,476
636,1400000US51059431800,50.7,18.1,15.1,547
637,1400000US51059431900,70.7,10.4,8.6,230
638,1400000US51059432000,55.2,11.8,11.4,215
639,1400000US51059432100,60.4,10.5,7.8,232
640,1400000US51059432200,53.7,14.3,12.7,608
641,1400000US51059432300,63.3,9.7,5.3,343
642,1400000US51059432400,63.6,8.0,6.3,560
643,1400000US51059432500,68.1,7.1,5.0,424
644,1400000US51059432600,60.6,11.1,9.0,228
645,1400000US51059432700,50.4,12.6,12.9,543
646,1400000US51059432800,53.7,12.0,8.4,191
647,1400000US51059440100,59.3,17.1,14.0,447
648,1400000US51059440200,44.2,17.3,15.8,744
649,1400000US51059440300,66.9,9.8,10.3,85
650,1400000US51059440500,55.4,15.6,16.7,3166
651,1400000US51059440600,36.7,27.1,23.0,141
652,1400000US51059440700,68.2,9.3,6.1,347
653,1400000US51059440800,59.4,11.9,8.9,157
654,1400000US51059450100,53.8,15.3,14.1,403
655,1400000US51059450200,29.3,21.8,18.8,486
656,1400000US51059450300,36.2,19.9,20.1,310
657,1400000US51059450400,55.9,15.3,12.4,111
658,1400000US51059450500,23.7,25.9,26.3,259
659,1400000US51059450600,40.4,19.7,16.0,499
660,1400000US51059450700,42.5,17.4,12.1,767
661,1400000US51059450800,45.8,14.7,7.0,220
662,1400000US51059450900,50.7,18.4,14.2,76
663,1400000US51059451000,51.9,19.5,14.9,187
664,1400000US51059451100,66.7,12.3,8.3,137
665,1400000US51059451200,76.9,4.5,6.6,26
666,1400000US51059451300,64.5,10.1,4.0,51
667,1400000US51059451400,23.2,14.5,17.2,347
668,1400000US51059451500,34.2,17.0,15.5,1151
669,1400000US51059451600,26.9,15.7,12.3,1202
670,1400000US51059451800,41.9,21.2,21.4,176
671,1400000US51059451900,43.9,15.6,12.8,644
672,1400000US51059452000,56.3,12.3,8.3,183
673,1400000US51059452100,42.4,20.5,19.2,435
674,1400000US51059452200,36.6,22.2,18.8,571
675,1400000US51059452300,43.2,23.6,22.4,588
676,1400000US51059452400,44.7,15.5,8.5,456
677,1400000US51059452500,35.7,22.7,21.7,883
678,1400000US51059452600,44.2,18.9,18.4,323
679,1400000US51059452700,33.9,19.5,22.0,430
680,1400000US51059452800,54.3,14.5,11.1,562
681,1400000US51059460100,76.3,5.9,1.7,194
682,1400000US51059460200,78.1,5.7,2.9,166
683,1400000US51059460300,76.9,6.9,3.0,121
684,1400000US51059460400,69.8,10.0,5.2,202
685,1400000US51059460500,67.4,10.3,6.0,498
686,1400000US51059460600,53.6,15.3,10.5,348
687,1400000US51059460700,54.3,15.4,13.0,272
688,1400000US51059460800,50.9,14.6,12.7,149
689,1400000US51059460900,66.9,6.9,2.9,113
690,1400000US51059461000,59.5,11.9,6.5,114
691,1400000US51059461100,63.3,11.7,10.8,429
692,1400000US51059461200,72.6,9.1,6.4,268
693,1400000US51059461500,71.2,11.2,7.5,286
694,1400000US51059461600,60.9,10.3,9.5,694
695,1400000US51059461700,59.3,14.0,11.8,624
696,1400000US51059461800,70.1,9.1,6.5,464
697,1400000US51059461900,37.1,22.7,19.3,644
698,1400000US51059470100,83.6,2.1,0.6,122
699,1400000US51059470200,(X),(X),(X),0
700,1400000US51059470300,79.7,5.8,3.1,82
701,1400000US51059470400,79.8,4.9,3.3,168
702,1400000US51059470500,73.4,7.3,3.0,144
703,1400000US51059470600,69.9,7.9,2.8,110
704,1400000US51059470700,73.1,6.0,3.1,199
705,1400000US51059470800,72.7,9.5,4.6,125
706,1400000US51059470900,72.9,8.7,5.5,241
707,1400000US51059471000,72.5,8.2,5.3,88
708,1400000US51059471100,39.1,25.3,22.9,485
709,1400000US51059471200,67.9,8.6,7.5,523
710,1400000US51059471300,63.2,10.6,8.5,996
711,1400000US51059471400,41.4,18.6,19.6,503
712,1400000US51059480100,78.5,4.2,2.5,162
713,1400000US51059480200,74.5,8.8,6.4,489
714,1400000US51059480300,78.6,5.2,2.3,322
715,1400000US51059480400,71.3,5.6,3.6,328
716,1400000US51059480500,65.4,8.5,6.6,1007
717,1400000US51059480800,43.1,16.4,15.3,715
718,1400000US51059480900,39.5,19.2,15.7,1391
719,1400000US51059481000,41.3,17.8,17.5,438
720,1400000US51059481100,66.8,9.8,6.3,905
721,1400000US51059481200,43.6,15.6,15.2,769
722,1400000US51059481400,61.1,9.5,8.9,372
723,1400000US51059481500,75.5,5.0,4.3,108
724,1400000US51059481600,74.3,7.5,3.5,155
725,1400000US51059481700,68.2,9.2,5.1,568
726,1400000US51059481900,63.1,14.2,10.5,335
727,1400000US51059482000,78.3,3.6,1.4,268
728,1400000US51059482100,64.1,7.6,6.3,247
729,1400000US51059482200,62.6,9.8,5.9,455
730,1400000US51059482300,59.5,9.7,8.6,1011
731,1400000US51059482400,74.6,6.2,2.0,79
732,1400000US51059482500,68.9,7.9,5.2,949
733,1400000US51059482600,68.5,7.4,4.7,602
734,1400000US51059490100,45.3,18.3,15.2,634
735,1400000US51059490500,60.5,13.6,10.8,671
736,1400000US51059490900,55.0,10.9,9.5,15
737,1400000US51059491000,65.4,12.8,7.4,137
738,1400000US51059491100,52.2,15.5,14.3,725
739,1400000US51059491200,52.4,13.4,11.3,749
740,1400000US51059491300,47.3,16.4,14.3,1077
741,1400000US51059491400,54.9,14.3,11.9,1177
742,1400000US51059491500,68.0,8.9,7.6,340
743,1400000US51059491600,43.5,21.5,20.6,743
