OBJECTID,GEO.id,acsmedrnt
240,1400000US51013102902,1708
591,1400000US24031703301,1710
89,1400000US11001001301,1714
612,1400000US24033801006,1714
677,1400000US24033803514,1715
596,1400000US24031704804,1716
765,1400000US24031701206,1717
508,1400000US51059491103,1717
227,1400000US51059491703,1719
700,1400000US24033803527,1720
355,1400000US51059452501,1720
841,1400000US24031703901,1724
788,1400000US24031701418,1725
757,1400000US24031701004,1728
325,1400000US51059440202,1729
281,1400000US51059421103,1730
365,1400000US51059460800,1732
480,1400000US51013101802,1733
689,1400000US24033807404,1738
653,1400000US24031700811,1744
678,1400000US24033803516,1745
420,1400000US51059482203,1745
888,1400000US24033800409,1750
915,1400000US24033801003,1750
300,1400000US51059430400,1750
899,1400000US24033800516,1752
760,1400000US24031701007,1753
305,1400000US51059430902,1753
226,1400000US51059491501,1754
405,1400000US51059481102,1759
234,1400000US51013101401,1761
763,1400000US24031701202,1762
576,1400000US24031701102,1764
329,1400000US51059440701,1765
78,1400000US11001000300,1767
552,1400000US24031700824,1767
889,1400000US24033800410,1771
199,1400000US51059450500,1772
179,1400000US11001000801,1775
660,1400000US24031700206,1775
477,1400000US51013101701,1777
439,1400000US51059491402,1778
600,1400000US24031705701,1779
277,1400000US51059421001,1779
195,1400000US51059432300,1781
215,1400000US51059480202,1782
133,1400000US11001005500,1787
817,1400000US24031703100,1794
524,1400000US51510200403,1796
542,1400000US51059482002,1797
350,1400000US51059452101,1798
294,1400000US51059422402,1802
316,1400000US51059432202,1802
715,1400000US24033804200,1804
580,1400000US24031701313,1806
908,1400000US24033800608,1806
297,1400000US51059430102,1808
834,1400000US24031703404,1810
921,1400000US24033801211,1810
501,1400000US51013103502,1813
704,1400000US24033803606,1819
298,1400000US51059430201,1823
303,1400000US51059430801,1826
392,1400000US51059480203,1830
475,1400000US51013101601,1831
222,1400000US51059482502,1833
184,1400000US51059420800,1835
383,1400000US51059471100,1835
502,1400000US51013103503,1841
615,1400000US24033801308,1843
917,1400000US24033801104,1845
292,1400000US51059422202,1846
282,1400000US51059421300,1847
598,1400000US24031705601,1855
267,1400000US51059416300,1855
638,1400000US24031700615,1856
135,1400000US11001005900,1860
670,1400000US24031700823,1861
318,1400000US51059432402,1868
850,1400000US24031704600,1871
269,1400000US51059420202,1871
603,1400000US24033800106,1875
458,1400000US51059492500,1875
210,1400000US51059461601,1884
306,1400000US51059431001,1885
251,1400000US51510200900,1886
928,1400000US24033801305,1889
833,1400000US24031703403,1894
382,1400000US51059470900,1898
472,1400000US51013101403,1906
302,1400000US51059430700,1906
954,1400000US24033801905,1908
123,1400000US11001004400,1912
629,1400000US24031700312,1926
193,1400000US51059431801,1931
299,1400000US51059430202,1935
851,1400000US24031704700,1938
287,1400000US51059421900,1939
862,1400000US24031705800,1940
822,1400000US24031703210,1942
920,1400000US24033801210,1943
897,1400000US24033800513,1945
588,1400000US24031703201,1948
321,1400000US51059432701,1952
931,1400000US24033801310,1954
816,1400000US24031703000,1958
887,1400000US24033800403,1958
396,1400000US51059480502,1959
770,1400000US24031701216,1960
789,1400000US24031701420,1967
241,1400000US51013103402,1967
855,1400000US24031705000,1973
545,1400000US24031700607,1974
334,1400000US51059450400,1975
639,1400000US24031700616,1977
213,1400000US51059471000,1977
644,1400000US24031700715,1978
330,1400000US51059440702,1978
348,1400000US51059451800,1979
270,1400000US51059420203,1983
416,1400000US51059482001,1983
469,1400000US51013101200,1984
473,1400000US51013101404,1988
471,1400000US51013101402,1995
311,1400000US51059431600,1998
85,1400000US11001000902,2000
658,1400000US24031700204,-
635,1400000US24031700610,-
776,1400000US24031701306,-
916,1400000US24033801004,-
923,1400000US24033801213,-
925,1400000US24033801215,-
939,1400000US24033801410,-
326,1400000US51059440300,-
361,1400000US51059460501,-
391,1400000US51059480201,-
432,1400000US51059491000,-
454,1400000US51059492201,-
77,1400000US11001000202,"2,000+"
92,1400000US11001001500,"2,000+"
134,1400000US11001005800,"2,000+"
145,1400000US11001007301,"2,000+"
656,1400000US24031700103,"2,000+"
662,1400000US24031700208,"2,000+"
663,1400000US24031700306,"2,000+"
628,1400000US24031700311,"2,000+"
633,1400000US24031700606,"2,000+"
634,1400000US24031700608,"2,000+"
548,1400000US24031700718,"2,000+"
572,1400000US24031700829,"2,000+"
575,1400000US24031701002,"2,000+"
758,1400000US24031701005,"2,000+"
761,1400000US24031701101,"2,000+"
764,1400000US24031701205,"2,000+"
577,1400000US24031701210,"2,000+"
767,1400000US24031701212,"2,000+"
775,1400000US24031701303,"2,000+"
579,1400000US24031701304,"2,000+"
784,1400000US24031701408,"2,000+"
790,1400000US24031701421,"2,000+"
794,1400000US24031701506,"2,000+"
586,1400000US24031702102,"2,000+"
821,1400000US24031703208,"2,000+"
590,1400000US24031703218,"2,000+"
830,1400000US24031703221,"2,000+"
831,1400000US24031703302,"2,000+"
839,1400000US24031703702,"2,000+"
843,1400000US24031704100,"2,000+"
845,1400000US24031704300,"2,000+"
846,1400000US24031704401,"2,000+"
847,1400000US24031704404,"2,000+"
848,1400000US24031704501,"2,000+"
747,1400000US24031704502,"2,000+"
849,1400000US24031704503,"2,000+"
856,1400000US24031705100,"2,000+"
857,1400000US24031705200,"2,000+"
597,1400000US24031705300,"2,000+"
858,1400000US24031705400,"2,000+"
859,1400000US24031705501,"2,000+"
860,1400000US24031705502,"2,000+"
861,1400000US24031705702,"2,000+"
601,1400000US24031705901,"2,000+"
863,1400000US24031705902,"2,000+"
864,1400000US24031705903,"2,000+"
866,1400000US24031706007,"2,000+"
867,1400000US24031706008,"2,000+"
868,1400000US24031706009,"2,000+"
