OBJECTID,GEO.id,acsmedrnt
200,1400000US51059450702,1351
201,1400000US51059451300,"2,000+"
202,1400000US51059451900,1629
203,1400000US51059452102,1517
204,1400000US51059452502,1378
205,1400000US51059452802,1536
206,1400000US51059460200,"2,000+"
207,1400000US51059460300,"2,000+"
208,1400000US51059460600,"2,000+"
209,1400000US51059461000,"2,000+"
210,1400000US51059461601,1884
211,1400000US51059461901,1178
212,1400000US51059470600,492
213,1400000US51059471000,1977
214,1400000US51059471303,1613
215,1400000US51059480202,1782
216,1400000US51059480501,"2,000+"
217,1400000US51059480802,1474
218,1400000US51059481000,1635
219,1400000US51059481104,1407
220,1400000US51059481701,"2,000+"
221,1400000US51059482301,1556
222,1400000US51059482502,1833
223,1400000US51059490501,1297
224,1400000US51059491202,1457
225,1400000US51059491401,1396
226,1400000US51059491501,1754
227,1400000US51059491703,1719
228,1400000US51059491801,1413
229,1400000US51059492202,"2,000+"
230,1400000US51059980100,-
231,1400000US51013100100,"2,000+"
232,1400000US51013100400,"2,000+"
233,1400000US51013100800,1629
234,1400000US51013101401,1761
235,1400000US51013101602,1320
236,1400000US51013101703,1356
237,1400000US51013101900,1465
238,1400000US51013102301,"2,000+"
239,1400000US51013102702,1206
240,1400000US51013102902,1708
241,1400000US51013103402,1967
242,1400000US51013103602,1570
243,1400000US51510200103,1219
244,1400000US51510200107,1581
245,1400000US51510200301,1360
246,1400000US51510200405,1367
247,1400000US51510200500,1217
248,1400000US51510200600,1113
249,1400000US51510200701,"2,000+"
250,1400000US51510200702,"2,000+"
251,1400000US51510200900,1886
252,1400000US51510201204,1105
253,1400000US51510201600,1656
254,1400000US51510202001,1691
255,,
256,1400000US51610500300,1518
257,1400000US51059415200,1294
258,1400000US51059415300,"2,000+"
259,1400000US51059415402,796
260,1400000US51059415500,709
261,1400000US51059415600,"2,000+"
262,1400000US51059415700,"2,000+"
263,1400000US51059415800,"2,000+"
264,1400000US51059415900,"2,000+"
265,1400000US51059416100,"2,000+"
266,1400000US51059416200,"2,000+"
267,1400000US51059416300,1855
268,1400000US51059420201,"2,000+"
269,1400000US51059420202,1871
270,1400000US51059420203,1983
271,1400000US51059420300,"2,000+"
272,1400000US51059420501,1420
273,1400000US51059420502,1519
274,1400000US51059420503,1203
275,1400000US51059420600,1151
276,1400000US51059420700,"2,000+"
277,1400000US51059421001,1779
278,1400000US51059421002,1418
279,1400000US51059421101,1705
280,1400000US51059421102,1213
281,1400000US51059421103,1730
282,1400000US51059421300,1847
283,1400000US51059421400,1080
284,1400000US51059421500,931
285,1400000US51059421701,1141
286,1400000US51059421702,"2,000+"
287,1400000US51059421900,1939
288,1400000US51059422000,"2,000+"
289,1400000US51059422101,1387
290,1400000US51059422102,1396
291,1400000US51059422201,"2,000+"
292,1400000US51059422202,1846
293,1400000US51059422302,1605
294,1400000US51059422402,1802
295,1400000US51059422403,"2,000+"
296,1400000US51059430101,"2,000+"
297,1400000US51059430102,1808
298,1400000US51059430201,1823
299,1400000US51059430202,1935
300,1400000US51059430400,1750
301,1400000US51059430600,1396
302,1400000US51059430700,1906
303,1400000US51059430801,1826
304,1400000US51059430802,1310
305,1400000US51059430902,1753
306,1400000US51059431001,1885
307,1400000US51059431002,1548
308,1400000US51059431300,"2,000+"
309,1400000US51059431400,"2,000+"
310,1400000US51059431500,"2,000+"
311,1400000US51059431600,1998
312,1400000US51059431802,"2,000+"
313,1400000US51059432000,1381
314,1400000US51059432100,1411
315,1400000US51059432201,1499
316,1400000US51059432202,1802
317,1400000US51059432401,"2,000+"
318,1400000US51059432402,1868
319,1400000US51059432500,"2,000+"
320,1400000US51059432600,"2,000+"
321,1400000US51059432701,1952
322,1400000US51059432800,1593
323,1400000US51059440100,1584
324,1400000US51059440201,1520
325,1400000US51059440202,1729
326,1400000US51059440300,-
327,1400000US51059440501,"2,000+"
328,1400000US51059440502,571
329,1400000US51059440701,1765
330,1400000US51059440702,1978
331,1400000US51059440800,1520
332,1400000US51059450100,1395
333,1400000US51059450300,1430
334,1400000US51059450400,1975
335,1400000US51059450601,"2,000+"
336,1400000US51059450602,1218
337,1400000US51059450701,"2,000+"
338,1400000US51059450800,1280
339,1400000US51059450900,"2,000+"
340,1400000US51059451000,"2,000+"
341,1400000US51059451100,"2,000+"
342,1400000US51059451200,"2,000+"
343,1400000US51059451400,1083
344,1400000US51059451501,1099
345,1400000US51059451502,1493
346,1400000US51059451601,1282
347,1400000US51059451602,1210
348,1400000US51059451800,1979
349,1400000US51059452000,184
350,1400000US51059452101,1798
351,1400000US51059452200,1315
352,1400000US51059452301,1072
353,1400000US51059452302,1466
354,1400000US51059452400,1222
355,1400000US51059452501,1720
356,1400000US51059452600,1453
357,1400000US51059452700,1093
358,1400000US51059452801,1390
359,1400000US51059460100,"2,000+"
360,1400000US51059460400,738
361,1400000US51059460501,-
362,1400000US51059460502,"2,000+"
363,1400000US51059460701,1514
364,1400000US51059460702,"2,000+"
365,1400000US51059460800,1732
366,1400000US51059460900,1295
367,1400000US51059461100,1426
368,1400000US51059461201,"2,000+"
369,1400000US51059461202,1704
370,1400000US51059461500,"2,000+"
371,1400000US51059461602,1525
372,1400000US51059461700,1476
373,1400000US51059461801,1517
374,1400000US51059461802,1690
375,1400000US51059461902,1442
376,1400000US51059470100,"2,000+"
