GEO_ID,ten_1,ten_2
1400000US11001003100,0.040758059,0.018334347
1400000US11001003200,-0.183880896,0.019686714
1400000US11001003301,0.748537439,0.014073388
1400000US11001003302,-0.278024327,0.020253474
1400000US11001003400,-0.583302016,0.022091301
1400000US11001003500,-1.504519847,0.027637198
1400000US11001003600,-1.56863602,0.028023188
1400000US11001003700,-2.190090662,0.031764457
1400000US11001003800,-1.739898772,0.029054221
1400000US11001003900,-1.748260616,0.029104561
1400000US11001004001,-0.233880952,0.019987723
1400000US11001004002,-1.307891491,0.02645346
1400000US11001004100,-0.75876474,0.023147618
1400000US11001004201,-1.275175365,0.026256503
1400000US11001004202,-1.130226148,0.025383882
1400000US11001004300,-2.124570983,0.031370017
1400000US11001004400,-0.388798303,0.020920354
1400000US11001004600,-0.426945623,0.021150007
1400000US11001004701,-2.591860867,0.034183186
1400000US11001004702,-1.463605396,0.027390885
1400000US11001004801,-0.304878258,0.02041514
1400000US11001004802,-2.535774255,0.033845534
1400000US11001004901,-1.758010703,0.029163258
1400000US11001004902,-1.564010046,0.027995339
1400000US11001005001,-0.263887828,0.02016837
1400000US11001005002,-1.661504351,0.028582272
1400000US11001005201,-1.581423252,0.02810017
1400000US11001005301,-1.098766223,0.025194488
1400000US11001005500,-1.278271255,0.02627514
1400000US11001005600,-1.264738752,0.026193672
1400000US11001005800,-1.250765139,0.026109549
1400000US11001005900,-2.738929277,0.035068564
1400000US11001006202,-0.632672886,-2.552229549
1400000US11001006400,-1.99804657,0.030608317
1400000US11001006500,-0.400320146,0.020989717
1400000US11001006600,-0.913817938,0.024081066
1400000US11001006700,0.112173616,0.017904413
1400000US11001006801,-0.946502391,0.024277832
1400000US11001006802,0.151078648,0.017670197
1400000US11001006804,-0.632672886,-2.552229549
1400000US11001006900,0.014454416,0.0184927
1400000US11001007000,-0.545731014,0.021865117
1400000US11001007100,-1.281298863,0.026293367
1400000US11001007200,-1.740027796,0.029054998
1400000US11001007301,-3.122440618,0.037377371
1400000US11001007304,-1.287075109,0.026328141
1400000US11001007401,-2.805187338,0.035467449
1400000US11001007403,-2.879589643,0.035915365
1400000US11001007404,-2.427327607,0.033192666
1400000US11001007406,-2.853582458,0.035758797
1400000US11001007407,-1.361592252,0.026776748
1400000US11001007408,-3.009804935,0.036699284
1400000US11001007409,-2.001458073,0.030628855
1400000US11001007502,-1.832895926,0.02961408
1400000US11001007503,-1.873212883,0.029856796
1400000US11001007504,-2.159997044,0.031583288
1400000US11001007601,-0.64534996,0.022464841
1400000US11001007603,-0.462394903,0.021363418
1400000US11001007604,-1.44802676,0.027297099
1400000US11001007605,-2.286344821,0.032343924
1400000US11001007703,-1.781701204,0.029305879
1400000US11001007707,-0.205365606,0.019816056
1400000US11001007708,-1.966710427,0.030419668
1400000US11001007709,-1.595903161,0.028187342
1400000US11001007803,-0.994843781,0.024568856
1400000US11001007804,-0.948321615,0.024288784
1400000US11001007806,-1.046982186,0.024882739
1400000US11001007807,-1.299837032,0.02640497
1400000US11001007808,-1.736196311,0.029031931
1400000US11001007809,-0.816612171,0.02349587
