GEO_ID,ACS_MA,ACS_AAPp,ACS_24pb,ACS_24plh,ACS_25ph,ACS_25pb,ASC_UEP,ACS_NWP,ACS_p1000,ACS_MGR,ACS_OO,ACS_RO,ACS_FOC,ACS_FRC,ACS_BPL,ACS_MBPL,ACS_FBPL,ACS_MI
1400000US11001006600,34.3,0,0,71.1,1.5,90.1,1.5,21.2,0.32300885,1367,0.448412698,0.551587302,0,0,8.7,6.5,10.5,94878
1400000US11001006700,37.7,14,0,80.1,6,81.4,2,22,0.170880558,1398,0.647656691,0.352343309,0,0,4.6,6.6,2.7,141004
1400000US11001006801,34.2,68.5,20,53.8,15.6,49.7,7.7,23.5,0.022792023,973,0.442065491,0.557934509,0,0.088161209,17.9,21.7,14.9,77955
1400000US11001006802,37.3,59.3,8,29.4,17.4,51.8,2.7,22.5,0.033216783,1349,0.655211913,0.344788087,0.006872852,0.021764032,2.7,2.9,2.5,86719
1400000US11001006804,34.1,91.1,75.8,0.5,36.3,2.3,0,99.9,0,NA,0,0,0,0,91.2,88.9,100,NA
1400000US11001006900,34.4,34.1,0,22.9,6.8,67.4,5.5,19.6,0,1455,0.628679962,0.371320038,0.010446344,0.010446344,9.1,4.9,13,115299
1400000US11001007000,33.8,11.3,0,29.9,5.1,87,2.3,19.4,0.035714286,1651,0.519893899,0.480106101,0.027409372,0,10.7,7.1,13.3,92656
1400000US11001007100,29.8,70.3,23.5,19.1,20.4,38.9,14.3,35,0.023913043,373,0.37704918,0.62295082,0,0.213934426,45.4,38.7,50.1,29493
1400000US11001007200,34.7,56.9,0,100,25.6,55.3,2,38.2,0,1225,0.287965616,0.712034384,0,0.031518625,11.7,12.1,11.4,47885
1400000US11001007301,24.9,21.1,0,14.8,18.1,39.9,2.6,24,0,2000,0.019505852,0.980494148,0,0.100130039,1.4,1.9,0.9,64821
1400000US11001007304,29.4,99.2,29.4,6.8,40.1,13.6,8.8,50.4,0.032894737,495,0.375927453,0.624072547,0.026380874,0.240725474,38.2,30.3,44.3,31856
1400000US11001007401,23.6,93.9,29.5,0,40.9,10.3,7.2,64.1,0,384,0.081115336,0.918884664,0,0.347275032,57.3,47.3,64.7,19238
1400000US11001007403,27.7,99.5,32.1,0,49.9,2.9,8.4,41.5,0,855,0.066666667,0.933333333,0,0.308444444,35.7,42.6,29.4,27333
1400000US11001007404,19,98.9,45.3,0,35.6,17.8,8,44.5,0.145454545,1056,0.154494382,0.845505618,0.041198502,0.397940075,48.8,47.4,49.8,26250
1400000US11001007406,21.5,100,47.5,3.4,47.7,8.7,14.2,50.6,0,879,0.071717172,0.928282828,0,0.415151515,47.2,45.7,48.3,27838
1400000US11001007407,28.4,99.7,28.1,7.6,46.1,14.8,9.6,36.7,0,886,0.361456483,0.638543517,0.011545293,0.179396092,31.7,28.7,34.6,36453
1400000US11001007408,26.8,96.9,23,15,55.1,3.4,5.7,53,0,753,0.04137931,0.95862069,0,0.300492611,53.3,58.4,50.2,17826
