OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
122,1400000US11001004300,33.0,3290,100.0,1765,53.6,1525,46.4,1283,39.0
123,1400000US11001004400,33.6,2589,100.0,1398,54.0,1191,46.0,1523,58.8
124,1400000US11001004600,33.1,2997,100.0,1483,49.5,1514,50.5,2713,90.5
125,,,,,,,,,,
126,1400000US11001004801,38.2,1876,100.0,1006,53.6,870,46.4,1448,77.2
127,1400000US11001004802,33.6,2853,100.0,1313,46.0,1540,54.0,2172,76.1
128,1400000US11001004902,28.8,2286,100.0,1216,53.2,1070,46.8,1373,60.1
129,,,,,,,,,,
130,,,,,,,,,,
131,1400000US11001005201,33.7,4559,100.0,2682,58.8,1877,41.2,1058,23.2
132,1400000US11001005301,32.9,5045,100.0,2746,54.4,2299,45.6,356,7.1
133,1400000US11001005500,34.4,4696,100.0,2354,50.1,2342,49.9,384,8.2
134,1400000US11001005800,42.7,1470,100.0,767,52.2,703,47.8,203,13.8
135,1400000US11001005900,39.6,1856,100.0,993,53.5,863,46.5,1522,82.0
136,1400000US11001006202,47.0,12,100.0,5,41.7,7,58.3,5,41.7
137,1400000US11001006500,34.1,2422,100.0,1262,52.1,1160,47.9,232,9.6
138,1400000US11001006600,35.0,1837,100.0,926,50.4,911,49.6,87,4.7
139,1400000US11001006700,37.1,3543,100.0,1811,51.1,1732,48.9,806,22.7
140,1400000US11001006802,39.5,2066,100.0,938,45.4,1128,54.6,1755,84.9
141,1400000US11001006804,31.9,2628,100.0,2254,85.8,374,14.2,2280,86.8
142,1400000US11001006900,41.1,1854,100.0,979,52.8,875,47.2,992,53.5
143,1400000US11001007000,33.3,2132,100.0,1232,57.8,900,42.2,496,23.3
144,1400000US11001007200,36.2,1825,100.0,816,44.7,1009,55.3,1732,94.9
145,1400000US11001007301,23.7,5234,100.0,2775,53.0,2459,47.0,1572,30.0
146,1400000US11001007304,25.4,4665,100.0,1916,41.1,2749,58.9,4564,97.8
147,1400000US11001007401,20.8,2996,100.0,1259,42.0,1737,58.0,2943,98.2
148,1400000US11001007404,18.9,3314,100.0,1380,41.6,1934,58.4,3267,98.6
149,1400000US11001007406,19.0,3227,100.0,1321,40.9,1906,59.1,3208,99.4
150,1400000US11001009301,41.0,3305,100.0,1534,46.4,1771,53.6,2373,71.8
151,1400000US11001009400,45.1,4166,100.0,1882,45.2,2284,54.8,3854,92.5
152,1400000US11001009501,25.4,5264,100.0,2524,47.9,2740,52.1,3130,59.5
153,1400000US11001009503,46.3,3066,100.0,1401,45.7,1665,54.3,2663,86.9
154,1400000US11001009505,47.5,2671,100.0,1135,42.5,1536,57.5,2503,93.7
155,1400000US11001009507,44.8,1533,100.0,651,42.5,882,57.5,1484,96.8
156,1400000US11001009508,46.2,2860,100.0,1237,43.3,1623,56.7,2732,95.5
157,1400000US11001009601,28.1,2343,100.0,1011,43.1,1332,56.9,2290,97.7
158,1400000US11001009801,21.4,2091,100.0,878,42.0,1213,58.0,2051,98.1
159,1400000US11001009803,32.8,2236,100.0,1033,46.2,1203,53.8,2164,96.8
160,1400000US11001009804,26.8,2566,100.0,1122,43.7,1444,56.3,2510,97.8
161,,,,,,,,,,
162,,,,,,,,,,
163,1400000US11001009901,49.9,2302,100.0,1034,44.9,1268,55.1,2161,93.9
164,1400000US11001009902,42.5,2993,100.0,1326,44.3,1667,55.7,2885,96.4
165,1400000US11001009903,37.1,2081,100.0,911,43.8,1170,56.2,2041,98.1
