OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
883,,,,,,,,,,
884,,,,,,,,,,
885,1400000US24033800401,38.1,2493,100.0,1211,48.6,1282,51.4,279,11.2
886,1400000US24033800402,39.6,5161,100.0,2518,48.8,2643,51.2,433,8.4
887,1400000US24033800403,40.8,2715,100.0,1302,48.0,1413,52.0,236,8.7
888,1400000US24033800409,36.4,6327,100.0,3050,48.2,3277,51.8,2130,33.7
889,,,,,,,,,,
890,,,,,,,,,,
891,,,,,,,,,,
892,1400000US24033800504,40.8,4763,100.0,2262,47.5,2501,52.5,424,8.9
893,1400000US24033800505,38.3,2856,100.0,1432,50.1,1424,49.9,189,6.6
894,1400000US24033800507,34.6,2155,100.0,1076,49.9,1079,50.1,879,40.8
895,1400000US24033800509,38.3,6196,100.0,2947,47.6,3249,52.4,5569,89.9
896,1400000US24033800511,34.9,5310,100.0,2542,47.9,2768,52.1,1957,36.9
897,,,,,,,,,,
898,,,,,,,,,,
899,,,,,,,,,,
900,,,,,,,,,,
901,,,,,,,,,,
902,,,,,,,,,,
903,1400000US24033800601,38.2,2111,100.0,1009,47.8,1102,52.2,1740,82.4
904,1400000US24033800604,33.7,1745,100.0,830,47.6,915,52.4,1507,86.4
905,1400000US24033800605,33.1,4544,100.0,2674,58.8,1870,41.2,3450,75.9
906,1400000US24033800606,32.8,4041,100.0,1786,44.2,2255,55.8,2775,68.7
907,,,,,,,,,,
908,,,,,,,,,,
909,1400000US24033800701,36.8,4642,100.0,2225,47.9,2417,52.1,3693,79.6
910,,,,,,,,,,
911,,,,,,,,,,
912,,,,,,,,,,
913,1400000US24033800800,40.7,3309,100.0,1700,51.4,1609,48.6,801,24.2
914,1400000US24033800900,39.2,1628,100.0,796,48.9,832,51.1,600,36.9
915,,,,,,,,,,
916,,,,,,,,,,
917,1400000US24033801104,24.5,7925,100.0,4318,54.5,3607,45.5,1805,22.8
918,1400000US24033801207,36.2,4465,100.0,2070,46.4,2395,53.6,3060,68.5
919,,,,,,,,,,
920,,,,,,,,,,
921,,,,,,,,,,
922,,,,,,,,,,
923,,,,,,,,,,
924,,,,,,,,,,
925,,,,,,,,,,
926,,,,,,,,,,
927,1400000US24033801302,39.3,2513,100.0,1247,49.6,1266,50.4,764,30.4
928,1400000US24033801305,38.8,4900,100.0,2355,48.1,2545,51.9,3928,80.2
929,1400000US24033801307,45.7,3431,100.0,1645,47.9,1786,52.1,2432,70.9
930,1400000US24033801309,44.6,3239,100.0,1570,48.5,1669,51.5,1789,55.2
931,,,,,,,,,,
932,,,,,,,,,,
933,,,,,,,,,,
934,1400000US24033801404,38.3,4635,100.0,2170,46.8,2465,53.2,3118,67.3
935,1400000US24033801405,36.6,4046,100.0,1899,46.9,2147,53.1,2604,64.4
936,1400000US24033801406,32.4,3140,100.0,1393,44.4,1747,55.6,2732,87.0
937,1400000US24033801407,36.4,6232,100.0,2964,47.6,3268,52.4,5274,84.6
938,,,,,,,,,,
939,,,,,,,,,,
940,,,,,,,,,,
941,1400000US24033801500,38.5,2620,100.0,1230,46.9,1390,53.1,2090,79.8
942,1400000US24033801600,29.9,2961,100.0,1348,45.5,1613,54.5,2837,95.8
943,1400000US24033801701,31.1,4533,100.0,2060,45.4,2473,54.6,3760,82.9
944,1400000US24033801704,31.0,4948,100.0,2272,45.9,2676,54.1,4697,94.9
945,1400000US24033801706,31.8,1938,100.0,877,45.3,1061,54.7,1712,88.3
946,1400000US24033801707,29.0,6326,100.0,2884,45.6,3442,54.4,5861,92.6
947,1400000US24033801708,30.9,3746,100.0,1759,47.0,1987,53.0,3362,89.7
948,1400000US24033801802,33.5,4133,100.0,1843,44.6,2290,55.4,3796,91.8
949,1400000US24033801804,42.5,2122,100.0,971,45.8,1151,54.2,1934,91.1
950,1400000US24033801807,35.4,4717,100.0,2165,45.9,2552,54.1,4528,96.0
951,1400000US24033801808,33.5,3686,100.0,1625,44.1,2061,55.9,3405,92.4
952,1400000US24033801901,42.5,4706,100.0,2299,48.9,2407,51.1,3401,72.3
953,1400000US24033801904,33.7,3355,100.0,1675,49.9,1680,50.1,2442,72.8
954,1400000US24033801905,39.2,3425,100.0,1598,46.7,1827,53.3,2598,75.9
955,1400000US24033801906,32.0,2379,100.0,1110,46.7,1269,53.3,1619,68.1
956,,,,,,,,,,
957,1400000US24033802001,28.1,5595,100.0,2516,45.0,3079,55.0,5140,91.9
958,1400000US24033802002,33.2,3936,100.0,1801,45.8,2135,54.2,3464,88.0
959,1400000US24033802103,35.8,2970,100.0,1366,46.0,1604,54.0,2374,79.9
960,,,,,,,,,,
961,,,,,,,,,,
962,1400000US24033802201,36.9,2096,100.0,983,46.9,1113,53.1,1443,68.8
963,1400000US24033802204,36.7,5524,100.0,2490,45.1,3034,54.9,5011,90.7
964,1400000US24033802301,37.4,3729,100.0,1788,47.9,1941,52.1,3098,83.1
965,1400000US24033802404,27.3,4524,100.0,1912,42.3,2612,57.7,4308,95.2
966,1400000US24033802405,32.5,4285,100.0,1878,43.8,2407,56.2,4086,95.4
967,,,,,,,,,,
968,,,,,,,,,,
969,1400000US24033802501,32.2,3541,100.0,1613,45.6,1928,54.4,3332,94.1
970,1400000US24033802502,30.9,3015,100.0,1438,47.7,1577,52.3,2849,94.5
971,1400000US24033802700,36.5,2669,100.0,1295,48.5,1374,51.5,2430,91.0
972,1400000US24033802803,31.0,4823,100.0,2136,44.3,2687,55.7,4579,94.9
973,1400000US24033802804,31.8,6155,100.0,2768,45.0,3387,55.0,5932,96.4
974,1400000US24033802805,35.0,4801,100.0,2247,46.8,2554,53.2,4652,96.9
975,1400000US24033802901,34.3,4250,100.0,1950,45.9,2300,54.1,4090,96.2
