OBJECTID,GEO.id,acs_ssm,acs_ssmf,acs_ssf,acs_sso
442,1400000US51059491405,0,0,0,841
443,1400000US51059491502,12,9,0,2040
444,1400000US51059491601,0,31,0,1454
445,1400000US51059491602,0,2,18,1555
446,1400000US51059491701,14,24,0,1565
447,1400000US51059491702,0,28,0,2894
448,1400000US51059491704,0,14,0,1808
449,1400000US51059491705,21,31,19,912
450,1400000US51059491802,0,17,0,1006
451,1400000US51059491803,14,29,13,2554
452,1400000US51059492000,14,8,0,2072
453,1400000US51059492100,34,0,0,2160
454,1400000US51059492201,0,0,0,878
455,1400000US51059492203,0,0,0,1207
456,1400000US51059492300,0,27,0,1025
457,1400000US51059492400,0,6,6,1757
458,1400000US51059492500,4,2,0,1327
459,1400000US51059980200,0,0,0,0
460,1400000US51059980300,0,0,0,0
461,1400000US51013100200,34,28,17,2055
462,1400000US51013100300,13,0,0,1989
463,1400000US51013100500,38,11,13,1489
464,1400000US51013100600,0,17,0,1244
465,1400000US51013100700,43,0,0,1963
466,1400000US51013100900,9,7,8,1567
467,1400000US51013101000,0,9,13,1175
468,1400000US51013101100,13,7,13,1962
469,1400000US51013101200,31,0,0,1195
470,1400000US51013101300,43,0,11,2116
471,1400000US51013101402,27,31,0,1293
472,1400000US51013101403,0,79,0,3118
473,1400000US51013101404,16,111,6,1941
474,1400000US51013101500,15,155,14,3163
475,1400000US51013101601,30,36,0,656
476,1400000US51013101603,0,63,0,1756
477,1400000US51013101701,0,69,0,1564
478,1400000US51013101702,0,85,0,2238
479,1400000US51013101801,0,14,0,1187
480,1400000US51013101802,30,154,9,2860
481,1400000US51013101803,0,3,0,2132
482,1400000US51013102001,10,10,0,968
483,1400000US51013102002,0,15,0,617
484,1400000US51013102003,16,11,0,1970
485,1400000US51013102100,31,0,14,899
486,1400000US51013102200,40,35,0,2409
487,1400000US51013102302,10,18,14,1429
488,1400000US51013102400,17,26,23,1545
489,1400000US51013102500,50,53,0,1939
490,1400000US51013102600,23,8,0,1122
491,1400000US51013102701,0,79,26,1370
492,1400000US51013102801,17,36,22,2628
493,1400000US51013102802,25,0,0,441
494,1400000US51013102901,8,94,0,1500
495,1400000US51013103000,11,68,45,1486
496,1400000US51013103100,16,43,0,1709
497,1400000US51013103200,0,72,10,2483
498,1400000US51013103300,0,52,0,996
499,1400000US51013103401,0,0,0,95
500,1400000US51013103501,7,90,0,1927
501,1400000US51013103502,0,88,16,1516
502,1400000US51013103503,40,62,31,2101
503,1400000US51013103601,36,9,0,928
504,1400000US51013103700,20,9,3,864
505,1400000US51013103800,27,105,0,1961
506,1400000US51013980100,0,0,0,0
507,1400000US51013980200,0,0,0,17
508,1400000US51059491103,0,14,0,2087
509,1400000US51510201300,39,34,38,1237
510,1400000US51510201400,6,18,0,1866
511,1400000US51510201500,37,0,9,1203
512,1400000US51510201801,36,57,27,2767
513,1400000US51510201802,5,27,0,905
514,1400000US51510201900,7,0,0,874
515,1400000US51510202002,0,18,11,1468
516,1400000US51510200102,16,50,0,1406
517,1400000US51510200104,27,44,0,1224
518,1400000US51510200105,0,48,0,2143
519,1400000US51510200106,0,47,0,1440
520,1400000US51510200201,8,39,0,1367
521,1400000US51510200202,13,0,0,605
522,1400000US51510200302,19,14,16,1275
523,1400000US51510200303,0,66,80,2360
524,1400000US51510200403,40,13,0,699
525,1400000US51510200404,42,0,11,1547
526,1400000US51510200406,14,159,0,1770
527,1400000US51510200407,18,29,11,2130
528,1400000US51510200703,0,22,0,1201
529,1400000US51510200801,13,0,0,964
530,1400000US51510200802,37,48,0,1203
531,1400000US51510201000,0,39,33,1717
532,1400000US51510201100,4,0,17,1142
533,1400000US51510201202,0,81,8,1145
534,1400000US51510201203,16,91,9,2159
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,1400000US51610500100,0,18,0,1026
540,1400000US51610500200,0,29,12,1993
541,1400000US51059420400,9,58,0,1372
