OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
378,1400000US51059470400,862,0.7,2039,60.8,60.8,76,2.3,162,36.2,1623,1623
379,1400000US51059470500,1107,0.6,2445,61.2,61.2,73,1.8,293,36.4,2058,2058
380,1400000US51059470700,1037,0.9,2329,60.1,60.1,58,1.5,280,37.5,2002,2002
381,1400000US51059470800,844,0.8,1577,71.4,71.4,27,1.2,140,26.6,1198,1198
382,1400000US51059470900,1657,0.4,3263,58.7,58.7,119,2.1,463,38.7,3090,3090
383,1400000US51059471100,2059,0.0,3819,76.0,76.0,158,3.1,481,20.9,2661,2661
384,1400000US51059471201,771,0.0,1770,75.1,75.1,52,2.2,182,22.7,1193,1193
385,1400000US51059471202,1330,1.8,2711,78.6,78.6,105,3.0,240,16.5,1794,1794
386,1400000US51059471301,891,0.0,1958,76.3,76.3,127,4.9,170,18.7,1299,1299
387,1400000US51059471304,508,0.5,923,69.5,69.5,10,0.8,75,29.3,738,738
388,1400000US51059471401,1222,0.3,2143,82.6,82.6,34,1.3,143,15.7,1513,1513
389,1400000US51059471402,1075,0.9,1880,70.6,70.6,162,6.1,106,22.4,1440,1440
390,1400000US51059480100,748,0.0,1797,58.2,58.2,115,3.7,179,38.1,1521,1521
391,1400000US51059480201,767,0.2,1884,59.4,59.4,41,1.3,147,39.1,1604,1604
392,1400000US51059480203,494,0.0,911,53.3,53.3,119,7.0,192,39.7,957,957
393,1400000US51059480300,1383,0.3,3389,61.5,61.5,55,1.0,262,37.2,2587,2587
394,1400000US51059480401,738,0.5,1802,59.0,59.0,63,2.1,256,38.5,1573,1573
395,1400000US51059480402,1379,0.0,2960,62.2,62.2,167,3.5,341,34.3,2525,2525
396,1400000US51059480502,1577,1.0,3191,68.5,68.5,149,3.2,470,27.3,2498,2498
397,1400000US51059480503,903,0.9,2141,76.9,76.9,38,1.4,333,20.9,1335,1335
398,1400000US51059480504,578,1.7,1082,75.2,75.2,22,1.5,157,21.5,807,807
399,1400000US51059480505,905,0.0,1804,77.6,77.6,98,4.2,233,18.2,1248,1248
400,1400000US51059480801,997,0.7,2605,80.9,80.9,59,1.8,191,16.5,1417,1417
401,1400000US51059480901,1800,0.0,4007,74.1,74.1,115,2.1,429,23.8,2699,2699
402,1400000US51059480902,1168,1.8,2809,85.4,85.4,49,1.5,178,11.3,1377,1377
403,1400000US51059480903,1195,1.3,2481,79.3,79.3,60,1.9,336,17.4,1585,1585
404,1400000US51059481101,469,1.9,1083,74.5,74.5,94,6.5,55,17.1,696,696
405,1400000US51059481102,839,3.5,1581,75.1,75.1,114,5.4,198,16.0,1040,1040
406,1400000US51059481103,809,0.0,1813,74.8,74.8,67,2.8,299,22.5,1214,1214
407,1400000US51059481105,1503,0.4,3062,76.6,76.6,79,2.0,411,21.1,2158,2158
408,1400000US51059481106,1446,0.7,3037,75.3,75.3,58,1.4,340,22.5,2049,2049
409,1400000US51059481201,366,0.0,871,81.4,81.4,25,2.3,104,16.3,481,481
410,1400000US51059481202,1336,0.9,3035,69.2,69.2,218,5.0,196,25.0,2147,2147
411,1400000US51059481400,1501,0.3,3432,71.1,71.1,67,1.4,409,27.2,2553,2553
412,1400000US51059481500,444,0.0,1074,64.3,64.3,39,2.3,183,33.4,816,816
413,1400000US51059481600,683,0.8,1537,61.8,61.8,46,1.8,196,35.6,1271,1271
414,1400000US51059481702,1376,0.7,2474,80.0,80.0,139,4.5,273,14.8,1580,1580
