,GEO.id,sss80,HC03_VC47,sssd49,vfvf22
43,1400000US11001002801,25,0.0,0,42.1
44,1400000US11001002802,0,0.0,0,31.3
45,1400000US11001002900,0,0.0,0,29.0
46,1400000US11001003000,0,0.0,0,47.3
47,1400000US11001003100,0,0.0,0,39.6
48,1400000US11001003200,0,0.0,0,56.0
49,1400000US11001003301,0,0.0,0,72.4
50,1400000US11001003302,0,0.0,0,60.3
51,1400000US11001003400,0,0.0,0,68.2
52,1400000US11001003500,12,0.0,0,71.9
53,1400000US11001003600,0,0.0,0,43.7
54,1400000US11001003700,0,0.0,0,50.1
55,1400000US11001003800,81,0.0,0,23.1
56,1400000US11001003900,0,0.0,0,17.8
57,1400000US11001004001,0,0.0,0,2.1
58,1400000US11001004002,9,0.0,9,6.7
59,1400000US11001004100,0,0.0,0,4.2
60,1400000US11001004201,0,0.0,0,11.3
61,1400000US11001004202,0,0.0,0,2.8
62,1400000US11001004300,0,0.0,0,30.5
63,1400000US11001004400,0,0.0,0,29.6
64,1400000US11001004600,0,0.0,0,69.8
65,1400000US11001004701,0,0.0,0,74.6
66,1400000US11001004702,0,0.0,0,48.8
67,1400000US11001004801,0,0.0,0,54.3
68,1400000US11001004802,0,0.0,0,53.8
69,1400000US11001004901,0,0.0,0,50.7
70,1400000US11001004902,0,0.0,0,26.4
71,1400000US11001005001,0,0.0,0,30.3
72,1400000US11001005002,0,0.0,0,17.8
73,1400000US11001005201,0,0.0,0,14.6
74,1400000US11001005301,0,0.0,0,6.0
75,1400000US11001005500,0,0.0,0,8.5
76,1400000US11001005600,0,0.0,0,7.5
77,1400000US11001005800,0,0.0,0,6.2
78,1400000US11001005900,0,0.0,0,37.8
79,1400000US11001006202,0,-,0,-
80,1400000US11001006400,0,0.0,0,89.9
81,1400000US11001006500,0,0.0,0,3.5
82,1400000US11001006600,0,0.0,0,1.0
83,1400000US11001006700,0,0.0,0,12.9
84,1400000US11001006801,0,0.0,0,65.4
85,1400000US11001006802,0,0.0,0,57.2
86,1400000US11001006804,0,0.0,0,94.9
87,1400000US11001006900,134,0.0,20,29.7
88,1400000US11001007000,9,0.0,9,12.8
89,1400000US11001007100,0,0.0,0,69.8
90,1400000US11001007200,0,0.0,0,38.2
91,1400000US11001007301,0,0.0,0,23.9
92,1400000US11001007304,0,0.0,0,98.5
93,1400000US11001007401,0,0.0,0,97.5
94,1400000US11001007403,0,0.0,0,98.5
95,1400000US11001007404,0,0.0,0,98.8
96,1400000US11001007406,0,0.0,0,100.0
97,1400000US11001007407,0,0.0,0,99.6
98,1400000US11001007408,0,0.0,0,97.2
99,1400000US11001007409,0,0.0,0,98.7
100,1400000US11001007502,0,0.0,0,98.8
101,1400000US11001007503,0,0.0,0,100.0
102,1400000US11001007504,0,0.0,0,97.5
103,1400000US11001007601,0,0.0,0,96.6
104,1400000US11001007603,0,0.0,0,93.0
105,1400000US11001007604,0,0.0,0,95.6
106,1400000US11001007605,0,0.0,0,94.9
107,1400000US11001007703,0,0.0,0,98.9
108,1400000US11001007707,0,0.0,0,98.7
109,1400000US11001007708,0,0.0,0,98.7
110,1400000US11001007709,0,0.0,0,95.9
111,1400000US11001007803,0,0.0,0,98.2
112,1400000US11001007804,0,0.0,0,98.1
113,1400000US11001007806,0,0.0,0,94.1
114,1400000US11001007807,0,0.0,0,99.7
115,1400000US11001007808,0,0.0,0,97.0
116,1400000US11001007809,0,0.0,0,98.1
117,1400000US11001007901,0,0.0,0,89.1
118,1400000US11001007903,0,0.0,0,91.2
119,1400000US11001008001,0,0.0,0,42.4
120,1400000US11001008002,0,0.0,0,41.5
121,1400000US11001008100,0,0.0,0,18.0
122,1400000US11001008200,0,0.0,0,4.5
123,1400000US11001008301,0,0.0,0,11.9
124,1400000US11001008302,0,0.0,0,12.4
125,1400000US11001008402,0,0.0,0,44.8
126,1400000US11001008410,0,0.0,0,74.8
127,1400000US11001008701,0,0.0,0,87.7
128,1400000US11001008702,0,0.0,0,80.3
129,1400000US11001008802,0,0.0,0,85.9
130,1400000US11001008803,0,0.0,0,56.6
131,1400000US11001008804,0,0.0,0,95.9
132,1400000US11001008903,0,0.0,0,97.9
133,1400000US11001008904,0,0.0,0,96.2
134,1400000US11001009000,0,0.0,0,97.6
135,1400000US11001009102,0,0.0,0,91.2
136,1400000US11001009201,0,0.0,0,62.0
137,1400000US11001009203,0,0.0,0,72.3
138,1400000US11001009204,0,0.0,0,77.0
139,1400000US11001009301,0,0.0,0,61.6
140,1400000US11001009302,0,0.0,0,76.4
141,1400000US11001009400,0,0.0,0,85.5
142,1400000US11001009501,0,0.0,0,61.4
143,1400000US11001009503,0,0.0,0,81.7
