GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1751,89,186,83,56,44,37,32,0,12,93,70,1565,120
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",1896,122,154,79,94,62,15,23,25,39,20,20,1742,138
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2554,101,351,118,176,96,67,50,18,27,90,74,2203,157
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1232,110,99,52,18,19,43,38,20,24,18,22,1133,122
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1862,130,106,60,14,27,15,25,0,12,77,47,1756,140
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1143,72,97,44,12,13,36,29,22,30,27,21,1046,83
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1015,108,134,56,41,33,53,44,0,12,40,29,881,120
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1553,107,161,75,21,23,76,52,0,12,64,60,1392,130
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1051,65,90,41,75,38,11,16,0,12,4,7,961,81
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1381,123,139,50,95,43,35,23,9,15,0,12,1242,141
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",929,65,241,92,108,50,48,40,0,12,85,71,688,109
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3406,208,311,160,108,106,133,79,0,17,70,73,3095,240
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4101,215,295,146,157,130,31,38,0,17,107,62,3806,259
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3412,191,354,132,165,83,113,67,0,17,76,62,3058,224
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3930,338,317,123,203,115,101,68,13,22,0,17,3613,351
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3510,286,137,79,0,17,24,28,0,17,113,73,3373,289
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1667,127,104,51,24,30,14,16,9,14,57,36,1563,124
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1339,104,80,53,14,18,31,36,0,12,35,25,1259,111
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",986,92,53,37,13,19,28,27,0,12,12,18,933,93
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1240,98,107,51,0,12,58,43,8,12,41,27,1133,117
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",866,95,62,46,10,15,9,15,0,12,43,42,804,86
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1742,130,154,58,55,37,18,18,0,12,81,47,1588,130
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",847,71,96,56,6,10,17,14,5,7,68,53,751,80
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",922,81,93,40,26,28,30,28,9,13,28,21,829,80
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1206,46,78,44,29,27,14,16,0,12,35,29,1128,65
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1135,78,137,62,28,30,17,18,27,31,65,40,998,95
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1346,64,50,35,0,12,33,29,5,8,12,17,1296,72
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",1774,119,142,59,0,12,79,46,6,10,57,32,1632,130
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",775,95,20,31,0,12,20,31,0,12,0,12,755,95
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1227,92,167,86,0,12,42,40,10,16,115,75,1060,113
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",909,72,43,27,10,14,11,19,0,12,22,22,866,73
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1094,63,155,94,9,13,0,12,0,12,146,95,939,116
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1163,107,33,38,0,12,0,12,10,16,23,37,1130,115
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",1000,90,24,39,0,12,0,12,0,12,24,39,976,97
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1094,96,61,47,0,12,28,34,0,12,33,30,1033,101
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1024,94,28,24,0,12,15,17,13,19,0,12,996,95
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1559,71,119,73,19,29,0,12,22,22,78,67,1440,88
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1674,106,110,69,20,33,0,12,0,12,90,60,1564,118
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",893,71,16,16,0,12,7,11,0,12,9,12,877,72
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",949,113,55,43,16,27,39,37,0,12,0,12,894,128
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1785,149,80,65,0,12,47,45,0,12,33,48,1705,163
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",1879,182,98,83,17,28,7,15,0,12,74,73,1781,213
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1606,134,124,84,17,26,99,83,0,12,8,13,1482,147
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1568,111,126,82,7,14,73,63,0,12,46,47,1442,126
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2247,130,102,83,0,17,54,60,0,17,48,59,2145,152
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1503,101,87,53,12,19,36,37,0,12,39,36,1416,117
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1100,110,70,53,4,10,15,26,0,12,51,44,1030,109
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",953,94,19,22,0,12,0,12,0,12,19,22,934,98
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1328,126,49,36,0,12,27,29,0,12,22,23,1279,126
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1134,104,48,48,0,12,40,47,0,12,8,11,1086,116
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",848,109,104,78,20,25,40,61,0,12,44,35,744,120
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",879,69,75,57,6,10,5,10,0,12,64,55,804,93
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1294,133,36,43,0,12,0,12,0,12,36,43,1258,141
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1177,117,50,41,0,12,23,23,0,12,27,34,1127,119
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1647,113,161,88,12,21,107,72,0,12,42,51,1486,126
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",745,67,22,19,0,12,7,10,0,12,15,16,723,71
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1277,113,82,52,10,17,35,30,0,12,37,44,1195,113
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1544,73,138,65,18,21,23,22,0,12,97,57,1406,93
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1319,94,140,61,31,27,57,34,0,12,52,43,1179,99
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1462,102,122,49,35,29,37,28,0,12,50,31,1340,115
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1093,75,103,41,30,28,43,32,0,12,30,25,990,89
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",986,55,86,40,32,26,11,15,7,11,36,23,900,66
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1055,110,100,50,21,26,30,26,12,21,37,31,955,118
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",540,78,43,25,11,13,24,22,0,12,8,11,497,78
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",872,70,42,21,4,7,12,10,0,12,26,18,830,71
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",716,67,52,33,17,20,15,22,0,12,20,15,664,72
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1816,106,287,107,17,27,119,80,0,12,151,80,1529,137
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",481,73,6,9,0,12,6,9,0,12,0,12,475,74
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1137,140,116,75,0,12,71,65,0,12,45,37,1021,147
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1281,160,72,58,0,12,13,21,0,12,59,55,1209,170
