GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07
Id,Id2,Geography,Total:,Unmarried-partner households:,Unmarried-partner households: - Male householder and male partner,Unmarried-partner households: - Male householder and female partner,Unmarried-partner households: - Female householder and female partner,Unmarried-partner households: - Female householder and male partner,All other households
1400000US11001005401,11001005401,"Census Tract 54.01, District of Columbia, District of Columbia",977,20,0,10,0,10,957
1400000US11001005402,11001005402,"Census Tract 54.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",3282,186,52,48,0,86,3096
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3480,145,31,51,7,56,3335
1400000US11001005701,11001005701,"Census Tract 57.01, District of Columbia, District of Columbia",1253,19,12,7,0,0,1234
1400000US11001005702,11001005702,"Census Tract 57.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",855,23,8,8,0,7,832
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",683,34,6,0,6,22,649
1400000US11001006001,11001006001,"Census Tract 60.01, District of Columbia, District of Columbia",1715,64,16,19,9,20,1651
1400000US11001006002,11001006002,"Census Tract 60.02, District of Columbia, District of Columbia",193,26,0,0,0,26,167
1400000US11001006100,11001006100,"Census Tract 61, District of Columbia, District of Columbia",1490,26,10,16,0,0,1464
1400000US11001006201,11001006201,"Census Tract 62.01, District of Columbia, District of Columbia",92,0,0,0,0,0,92
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0
1400000US11001006301,11001006301,"Census Tract 63.01, District of Columbia, District of Columbia",2469,58,11,6,0,41,2411
1400000US11001006302,11001006302,"Census Tract 63.02, District of Columbia, District of Columbia",22,0,0,0,0,0,22
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",1044,45,0,23,12,10,999
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1423,87,14,25,17,31,1336
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1023,87,8,37,0,42,936
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1872,162,67,23,14,58,1710
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",839,22,6,6,0,10,817
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",921,82,23,14,6,39,839
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",180,0,0,0,0,0,180
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",929,80,24,43,6,7,849
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1044,102,20,43,0,39,942
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1081,88,37,7,0,44,993
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",859,43,0,7,0,36,816
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",1358,5,0,5,0,0,1353
1400000US11001007302,11001007302,"Census Tract 73.02, District of Columbia, District of Columbia",1274,70,0,44,4,22,1204
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1493,78,0,22,0,56,1415
1400000US11001007308,11001007308,"Census Tract 73.08, District of Columbia, District of Columbia",0,0,0,0,0,0,0
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",899,38,8,0,0,30,861
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",841,82,0,24,10,48,759
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",954,84,0,4,7,73,870
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",967,65,0,24,0,41,902
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",898,12,0,0,0,12,886
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",807,77,0,14,0,63,730
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1354,69,9,12,0,48,1285
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1592,98,0,57,4,37,1494
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",908,37,0,8,0,29,871
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",821,105,0,32,5,68,716
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1856,134,0,48,8,78,1722
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",2090,95,0,28,21,46,1995
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1744,90,0,36,16,38,1654
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1688,131,0,23,26,82,1557
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",1827,69,0,10,7,52,1758
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1467,55,0,16,17,22,1412
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1188,97,7,17,0,73,1091
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",921,74,0,24,10,40,847
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1304,60,0,33,10,17,1244
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1164,73,0,19,0,54,1091
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",943,39,0,11,0,28,904
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",697,27,0,14,6,7,670
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1354,39,0,5,0,34,1315
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1157,67,0,12,0,55,1090
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1465,37,0,7,0,30,1428
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",844,40,0,40,0,0,804
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1129,70,23,16,9,22,1059
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1557,52,31,21,0,0,1505
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1286,99,38,32,16,13,1187
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1539,64,10,40,0,14,1475
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1135,171,17,85,23,46,964
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",893,93,19,35,19,20,800
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1113,33,10,10,0,13,1080
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",498,33,0,27,0,6,465
1400000US11001008500,11001008500,"Census Tract 85, District of Columbia, District of Columbia",1131,78,7,21,7,43,1053
1400000US11001008600,11001008600,"Census Tract 86, District of Columbia, District of Columbia",14,6,0,0,0,6,8
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",820,27,11,13,3,0,793
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",661,17,0,0,0,17,644
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1556,86,0,49,12,25,1470
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",438,29,0,13,0,16,409
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1106,104,0,41,0,63,1002
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1053,91,0,52,0,39,962
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1413,115,0,63,18,34,1298
1400000US11001008905,11001008905,"Census Tract 89.05, District of Columbia, District of Columbia",0,0,0,0,0,0,0
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1475,0,0,0,0,0,1475
1400000US11001009101,11001009101,"Census Tract 91.01, District of Columbia, District of Columbia",1725,77,7,5,12,53,1648
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1619,39,5,15,0,19,1580
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",503,33,0,23,0,10,470
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1146,54,0,7,0,47,1092
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1144,19,0,10,0,9,1125
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1161,63,17,23,19,4,1098
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",459,35,0,24,0,11,424
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1693,69,18,18,7,26,1624
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1766,80,0,51,0,29,1686
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1198,22,0,12,0,10,1176
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1345,117,23,37,19,38,1228
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1127,40,0,11,6,23,1087
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",713,21,4,17,0,0,692
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1255,9,0,9,0,0,1246
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1240,38,9,15,7,7,1202
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",760,33,0,5,8,20,727
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1292,111,0,35,5,71,1181
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1622,100,0,29,0,71,1522
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",943,46,6,0,11,29,897
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",839,61,5,8,10,38,778
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",655,31,0,8,0,23,624
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",616,32,0,10,0,22,584
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",1007,69,8,25,0,36,938
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",875,95,0,22,0,73,780
1400000US11001009806,11001009806,"Census Tract 98.06, District of Columbia, District of Columbia",2364,225,0,67,0,158,2139
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1312,74,0,34,0,40,1238
1400000US11001009808,11001009808,"Census Tract 98.08, District of Columbia, District of Columbia",1132,157,0,78,8,71,975
1400000US11001009809,11001009809,"Census Tract 98.09, District of Columbia, District of Columbia",0,0,0,0,0,0,0
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",961,27,0,10,0,17,934
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1217,18,0,12,0,6,1199
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",894,18,0,6,0,12,876
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",800,79,0,52,0,27,721
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1074,70,0,34,0,36,1004
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",660,34,0,15,0,19,626
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1029,50,7,16,17,10,979
1400000US24031700101,24031700101,"Census Tract 7001.01, Montgomery County, Maryland",1233,42,0,13,12,17,1191
1400000US24031700102,24031700102,"Census Tract 7001.02, Montgomery County, Maryland",3848,157,20,76,0,61,3691
1400000US24031700103,24031700103,"Census Tract 7001.03, Montgomery County, Maryland",1428,70,0,31,27,12,1358
1400000US24031700202,24031700202,"Census Tract 7002.02, Montgomery County, Maryland",2343,140,10,35,18,77,2203
1400000US24031700204,24031700204,"Census Tract 7002.04, Montgomery County, Maryland",680,33,0,24,4,5,647
1400000US24031700205,24031700205,"Census Tract 7002.05, Montgomery County, Maryland",1560,39,0,17,9,13,1521
1400000US24031700206,24031700206,"Census Tract 7002.06, Montgomery County, Maryland",1652,71,0,56,0,15,1581
1400000US24031700302,24031700302,"Census Tract 7003.02, Montgomery County, Maryland",1068,36,6,9,17,4,1032
1400000US24031700304,24031700304,"Census Tract 7003.04, Montgomery County, Maryland",2001,99,0,51,0,48,1902
1400000US24031700306,24031700306,"Census Tract 7003.06, Montgomery County, Maryland",2066,102,10,50,13,29,1964
1400000US24031700308,24031700308,"Census Tract 7003.08, Montgomery County, Maryland",2295,208,33,92,0,83,2087
1400000US24031700309,24031700309,"Census Tract 7003.09, Montgomery County, Maryland",1555,79,11,12,0,56,1476
1400000US24031700310,24031700310,"Census Tract 7003.10, Montgomery County, Maryland",1737,115,0,24,11,80,1622
1400000US24031700400,24031700400,"Census Tract 7004, Montgomery County, Maryland",754,23,0,16,4,3,731
1400000US24031700500,24031700500,"Census Tract 7005, Montgomery County, Maryland",2146,88,4,39,10,35,2058
1400000US24031700604,24031700604,"Census Tract 7006.04, Montgomery County, Maryland",2049,29,7,9,0,13,2020
1400000US24031700605,24031700605,"Census Tract 7006.05, Montgomery County, Maryland",2379,28,0,23,0,5,2351
1400000US24031700606,24031700606,"Census Tract 7006.06, Montgomery County, Maryland",1442,26,0,20,0,6,1416
1400000US24031700607,24031700607,"Census Tract 7006.07, Montgomery County, Maryland",2314,40,9,17,8,6,2274
1400000US24031700608,24031700608,"Census Tract 7006.08, Montgomery County, Maryland",1451,11,4,7,0,0,1440
1400000US24031700609,24031700609,"Census Tract 7006.09, Montgomery County, Maryland",3441,206,33,63,6,104,3235
1400000US24031700610,24031700610,"Census Tract 7006.10, Montgomery County, Maryland",691,11,0,0,0,11,680
1400000US24031700704,24031700704,"Census Tract 7007.04, Montgomery County, Maryland",996,78,0,40,16,22,918
1400000US24031700705,24031700705,"Census Tract 7007.05, Montgomery County, Maryland",2228,151,10,113,10,18,2077
1400000US24031700706,24031700706,"Census Tract 7007.06, Montgomery County, Maryland",1264,61,0,18,0,43,1203
1400000US24031700708,24031700708,"Census Tract 7007.08, Montgomery County, Maryland",3076,187,0,96,8,83,2889
1400000US24031700710,24031700710,"Census Tract 7007.10, Montgomery County, Maryland",1930,56,16,8,8,24,1874
1400000US24031700711,24031700711,"Census Tract 7007.11, Montgomery County, Maryland",2000,96,12,42,11,31,1904
1400000US24031700712,24031700712,"Census Tract 7007.12, Montgomery County, Maryland",2941,157,0,94,14,49,2784
