GEO_ID,census2010.id,num.index,census2000.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,dec_lf,dec_lfp,dec_em,dec_emp,dec_ue,dec_uep,dec_nlf,decnlfp,dec_flf,dec_flfp,d_e1824,d_e24lm,d_e24lf,d_nh24l,d_nh24lm,d_nh24lf,d_hs24l,d_hs24lm,d_hs24lm.1,d_as24l,d_as24lm,d_as24lf,d_ba24l,d_ba24lm,d_ba24lf,d_hs24l.1,d_hs34lm,d_hs34lf,d_ba34l,d_ba34lm,d_ba34lf,d_hs44l,d_hs44lm,d_hs44lf,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_750999,dec_1000,DEC_MGRp,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLp,DEC_BPLM,DEC_BPLF,DEC_BPLMp,DEC_BPLFp,DEC_MI,GEO_ID
1400000US11001002202,100,482,20,2.7126,122.364,64.614,3.4848,57.75,3.1152,65.472,3.531,72.402,4.4814,64.614,3.9996,6.402,0.396,34.188,2.1186,32.604,4.3494,5.148,1.716,3.432,0.594,0,0.594,1.122,0.528,0.594,1.782,0.396,1.386,1.65,0.792,0.858,6.6,6.6,6.6,5.9796,6.0588,5.841,5.4318,4.7586,6.1116,0,0,0,0,0,0,0,0,0.462,0.396,0,0.462,0.792,0,0.396,0,0,0,0,0,0,0,0,0,2.178,0,2.046,0.594,1.98,0,4.356,0.594,4.026,34.98,25.41,1.584,2.838,0.396,56.034,22.374,1.2408,6.402,1.3398,3.036,1.0032,3394.908,1400000US11001002202
1400000US11001002202,100,483,24,38.2641,1726.074,911.449,49.1568,814.625,43.9432,923.552,49.8085,1021.307,63.2149,911.449,56.4186,90.307,5.586,482.258,29.8851,459.914,61.3529,72.618,24.206,48.412,8.379,0,8.379,15.827,7.448,8.379,25.137,5.586,19.551,23.275,11.172,12.103,93.1,93.1,93.1,84.3486,85.4658,82.3935,76.6213,67.1251,86.2106,0,0,0,0,0,0,0,0,6.517,5.586,0,6.517,11.172,0,5.586,0,0,0,0,0,0,0,0,0,30.723,0,28.861,8.379,27.93,0,61.446,8.379,56.791,493.43,358.435,22.344,40.033,5.586,790.419,315.609,17.5028,90.307,18.8993,42.826,14.1512,47888.778,1400000US11001002202
1400000US11001002202,100,484,25,0.1233,5.562,2.937,0.1584,2.625,0.1416,2.976,0.1605,3.291,0.2037,2.937,0.1818,0.291,0.018,1.554,0.0963,1.482,0.1977,0.234,0.078,0.156,0.027,0,0.027,0.051,0.024,0.027,0.081,0.018,0.063,0.075,0.036,0.039,0.3,0.3,0.3,0.2718,0.2754,0.2655,0.2469,0.2163,0.2778,0,0,0,0,0,0,0,0,0.021,0.018,0,0.021,0.036,0,0.018,0,0,0,0,0,0,0,0,0,0.099,0,0.093,0.027,0.09,0,0.198,0.027,0.183,1.59,1.155,0.072,0.129,0.018,2.547,1.017,0.0564,0.291,0.0609,0.138,0.0456,154.314,1400000US11001002202
1400000US11001002202,100,485,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000US11001002202
1400000US11001002202,100,486,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000US11001002202
1400000US11001002301,101,487,24,2.1312,136.448,78.848,3.6992,57.6,2.7008,31.744,1.4912,106.624,5.3696,83.648,4.2112,4.224,0.2112,20.416,1.0304,42.048,5.0432,22.656,18.752,3.904,0.64,0,0.64,14.144,13.952,0.192,5.248,4.224,1.024,2.624,0.576,2.048,6.336,6.4,6.2784,6.1696,6.4,5.728,5.6896,5.3696,6.0672,0,0.448,0,0,0,0,0,0,0.576,0.32,0.448,0.576,2.048,4.48,1.728,0,0,0.64,0,0,0,0,0,0,1.9072,0.384,0.96,0,1.856,0.96,1.344,0.64,3.712,35.648,29.76,1.28,2.752,0,60.288,16.064,0.864,4.288,0.8128,2.304,0.576,4294.976,1400000US11001002301
1400000US11001002301,101,488,33,30.0699,1925.196,1112.496,52.1934,812.7,38.1066,447.888,21.0399,1504.398,75.7617,1180.221,59.4174,59.598,2.9799,288.057,14.5383,593.271,71.1564,319.662,264.579,55.083,9.03,0,9.03,199.563,196.854,2.709,74.046,59.598,14.448,37.023,8.127,28.896,89.397,90.3,88.5843,87.0492,90.3,80.8185,80.2767,75.7617,85.6044,0,6.321,0,0,0,0,0,0,8.127,4.515,6.321,8.127,28.896,63.21,24.381,0,0,9.03,0,0,0,0,0,0,26.9094,5.418,13.545,0,26.187,13.545,18.963,9.03,52.374,502.971,419.895,18.06,38.829,0,850.626,226.653,12.1905,60.501,11.4681,32.508,8.127,60599.427,1400000US11001002301
1400000US11001002301,101,489,34,0.333,21.32,12.32,0.578,9,0.422,4.96,0.233,16.66,0.839,13.07,0.658,0.66,0.033,3.19,0.161,6.57,0.788,3.54,2.93,0.61,0.1,0,0.1,2.21,2.18,0.03,0.82,0.66,0.16,0.41,0.09,0.32,0.99,1,0.981,0.964,1,0.895,0.889,0.839,0.948,0,0.07,0,0,0,0,0,0,0.09,0.05,0.07,0.09,0.32,0.7,0.27,0,0,0.1,0,0,0,0,0,0,0.298,0.06,0.15,0,0.29,0.15,0.21,0.1,0.58,5.57,4.65,0.2,0.43,0,9.42,2.51,0.135,0.67,0.127,0.36,0.09,671.09,1400000US11001002301
1400000US11001002301,101,490,36,0.7659,49.036,28.336,1.3294,20.7,0.9706,11.408,0.5359,38.318,1.9297,30.061,1.5134,1.518,0.0759,7.337,0.3703,15.111,1.8124,8.142,6.739,1.403,0.23,0,0.23,5.083,5.014,0.069,1.886,1.518,0.368,0.943,0.207,0.736,2.277,2.3,2.2563,2.2172,2.3,2.0585,2.0447,1.9297,2.1804,0,0.161,0,0,0,0,0,0,0.207,0.115,0.161,0.207,0.736,1.61,0.621,0,0,0.23,0,0,0,0,0,0,0.6854,0.138,0.345,0,0.667,0.345,0.483,0.23,1.334,12.811,10.695,0.46,0.989,0,21.666,5.773,0.3105,1.541,0.2921,0.828,0.207,1543.507,1400000US11001002301
1400000US11001002302,102,491,33,0.0596,5.636,2.638,0.0936,2.998,0.1064,4.834,0.1716,2.016,0.1074,1.682,0.0896,0.334,0.0178,1.738,0.0926,1.152,0.103,0.506,0.216,0.29,0.344,0.168,0.176,0.068,0.016,0.052,0.022,0.008,0.014,0.072,0.024,0.048,0.1396,0.1572,0.1296,0.1296,0.1554,0.1142,0.145,0.165,0.13,0,0,0,0,0,0,0,0,0.02,0,0,0.066,0.08,0.21,0.3,0.08,0,0,0,0,0,0,0,0,0.055,0,0.062,0.032,0.57,0,0.092,0.032,0.73,0.658,1.514,0.074,0.014,0,1.986,2.36,0.085,0.144,0.0388,0.242,0.0594,50.044,1400000US11001002302
