GEO_ID,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,dec_lf,dec_lfp,dec_em,dec_emp,dec_ue,dec_uep,dec_nlf,decnlfp,dec_flf,dec_flfp,d_e1824,d_e24lm,d_e24lf,d_nh24l,d_nh24lm,d_nh24lf,d_hs24l,d_hs24lm,d_hs24lm,d_as24l,d_as24lm,d_as24lf,d_ba24l,d_ba24lm,d_ba24lf,d_hs24l,d_hs34lm,d_hs34lf,d_ba34l,d_ba34lm,d_ba34lf,d_hs44l,d_hs44lm,d_hs44lf,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_750999,dec_1000,DEC_MGRp,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLp,DEC_BPLM,DEC_BPLF,DEC_BPLMp,DEC_BPLFp,DEC_MI,dem_dec,emp_dec,edu_dec,hsv_dec,ten_dec,pov_dec,ssh_dec
1400000US11001001804,36.7,4156,1900,45.7,2256,54.3,2995,72.1,2184,65.4,2009,60.2,156,4.7,1155,34.6,1165,64.3,392,206,186,218,153,65,61,20,41,107,33,74,6,0,6,67.7,68.9,66.1,78.6,76.1,80.6,70.9,67.4,73.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,41,153,193,88,29,23.5,6,54,65,114,19,91,116,264,580,1194,5,95,15,1613,715,17.2,121,25.2,109,19.3,33520,-4.1572792,-5.742162339,-6.223961021,1.806819223,-8.238764252,-3.378753352,-5.513270406
1400000US11001001901,42.6,3949,1734,43.9,2215,56.1,3586,90.8,1896,58.7,1799,55.7,97,3,1336,41.3,1027,56.5,309,186,123,92,79,13,91,46,45,118,53,65,8,8,0,86.2,87.6,84.9,83.2,75.9,89,76.1,66.2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0,24.1,26,44,0,61,39,320,8,110,1201,310,5,17,0,1408,453,11.5,35,16.7,66,17.1,47339,-4.577875654,-5.249253514,-5.945996331,-0.245555669,-5.681598273,-1.993596148,-1.205291097
1400000US11001001902,44.5,2062,945,45.8,1117,54.2,1841,89.3,1002,56.3,935,52.5,67,3.8,778,43.7,503,51,138,67,71,18,18,0,82,44,38,20,5,15,18,0,18,87.1,80,93.6,90.8,87.9,93.3,88.7,88.5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,32,77,146,194,269,152,207,26.4,0,49,12,7,21,106,32,30,682,134,0,12,6,869,179,8.8,48,26.2,46,15.7,54934,-4.323988017,-3.555914119,-5.166458429,3.674216693,-3.226729425,-1.894542723,-1.050161028
1400000US11001002001,38.7,2435,1176,48.3,1259,51.7,1510,62,1193,57.7,1157,56,36,1.7,874,42.3,587,54.2,145,60,85,27,10,17,27,18,9,62,3,59,29,29,0,75.7,64.5,86.4,59.1,58.6,59.7,86.9,82.3,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,55,66,160,106,113,52,35,17.9,0,11,18,48,14,72,33,121,321,725,0,22,7,968,428,17.4,115,25,139,33.1,32853,-3.834040507,-3.810624492,-3.905634517,1.949955823,-2.721494627,-3.57189151,-1.566915186
1400000US11001002002,39.4,3781,1782,47.1,1999,52.9,2785,73.7,1832,60.4,1701,56,131,4.3,1203,39.6,894,56.2,340,186,154,74,50,24,90,78,12,120,45,75,56,13,43,82.6,73.7,90.8,84.5,81.2,88.2,81.1,72.6,89.8,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,21,8,56,145,314,216,293,61,16,22.8,13,48,13,33,51,157,31,53,882,378,4,6,9,1234,354,9.6,96,24.6,109,24.3,47619,-4.20661671,-5.07694289,-6.326123091,4.063592207,-5.126830548,-2.865318169,-1.613199949
1400000US11001002101,36.2,5233,2504,47.9,2729,52.1,4241,81,2314,56.5,2095,51.2,198,4.8,1781,43.5,1185,54.2,466,223,243,200,119,81,127,43,84,110,58,52,29,3,26,72.7,75.9,69.8,73,69.1,77.5,78.8,72.3,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,23,21,14,48,57,22.7,29,63,41,121,17,216,63,205,840,1098,30,46,8,1821,1008,19.6,110,20.5,158,26.3,34375,-4.438625253,-6.151665827,-7.471494841,0.389486846,-7.695680256,-4.083879331,-4.179802928
1400000US11001002102,41.2,4631,2094,45.2,2537,54.8,4162,89.9,2220,57.9,1977,51.6,238,6.2,1613,42.1,1248,57.6,539,283,256,226,142,84,142,41,101,144,85,59,27,15,12,88,86,89.1,79.3,84.1,74.7,77.5,71.8,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,282,204,143,41,0,24.1,0,102,33,89,24,231,78,203,1151,849,15,44,8,1894,419,9.1,66,14.9,91,14.7,36489,-4.629493013,-6.159716313,-8.522586275,1.681402393,-8.8198136,-1.922502415,-3.677618317
1400000US11001002201,39.9,3505,1607,45.8,1898,54.2,2981,85,1571,56.8,1481,53.6,83,3,1194,43.2,778,51.3,323,154,169,106,58,48,124,58,66,84,29,55,9,9,0,76.4,73.2,80.2,67.7,51.8,83,73.9,68.8,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,20,38,50,22,22,14,0,8,0,23.6,11,63,7,29,58,234,20,64,905,230,0,30,0,1081,472,13.5,91,34,83,28.4,44388,-4.349138072,-4.558530926,-6.006329296,1.309605273,-5.810410433,-3.335771074,-1.186640537
1400000US11001002202,39,3013,1316,43.7,1697,56.3,2702,89.7,1380,58.4,1257,53.2,116,4.9,983,41.6,763,55.6,234,108,126,47,35,12,58,29,29,107,34,73,22,10,12,85.8,90.6,80.5,77.5,70.6,83,68.8,70.6,67.6,0,0,0,0,0,0,0,0,0,6,6,5,32,41,45,78,179,91,12,24,27,0,0,0,23,4,27,27,122,11,128,49,190,588,671,11,17,0,1199,458,15.3,73,20.7,64,16.2,37073,-4.316596924,-4.398880269,-4.808529289,5.112002694,-4.736115095,-2.300683559,-1.227248307
1400000US11001002301,40.4,2995,1336,44.6,1659,55.4,2639,88.1,1356,57.1,1228,51.7,126,5.3,1018,42.9,872,60.7,228,87,141,53,26,27,74,17,57,90,33,57,11,11,0,77.4,83.5,72.5,76.8,66,84,70.4,50.7,84.1,0,0,0,0,0,0,0,0,0,0,57,52,97,232,169,89,23,30,0,0,0,9,6,0,23.2,0,59,0,22,48,230,7,65,763,266,11,18,6,1010,548,18.4,37,16.9,96,26.7,44069,-4.331157464,-4.579363187,-4.77956103,6.917472347,-4.799305264,-2.762014045,-1.732024205
